StateCode,Sex,YearOfBirth,Name,Number
HI,F,1953,Ernestine,5
HI,F,1953,Estrellita,5
HI,F,1953,Eunice,5
HI,F,1953,Eva,5
HI,F,1953,Haunani,5
HI,F,1953,Hazel,5
HI,F,1953,Hester,5
HI,F,1953,Hope,5
HI,F,1953,Ivy,5
HI,F,1953,Jayne,5
HI,F,1953,Jeanette,5
HI,F,1953,Johanna,5
HI,F,1953,Karin,5
HI,F,1953,Kim,5
HI,F,1953,Lauren,5
HI,F,1953,Leila,5
HI,F,1953,Lou,5
HI,F,1953,Lucy,5
HI,F,1953,Marilynn,5
HI,F,1953,Miriam,5
HI,F,1953,Myrna,5
HI,F,1953,Natalie,5
HI,F,1953,Nola,5
HI,F,1953,Rita,5
HI,F,1953,Vanda,5
HI,F,1953,Vanessa,5
HI,F,1953,Vera,5
HI,F,1953,Vickie,5
HI,F,1954,Debra,151
HI,F,1954,Susan,132
HI,F,1954,Karen,111
HI,F,1954,Patricia,107
HI,F,1954,Sandra,107
HI,F,1954,Cynthia,102
HI,F,1954,Linda,97
HI,F,1954,Sharon,94
HI,F,1954,Deborah,93
HI,F,1954,Kathleen,91
HI,F,1954,Donna,90
HI,F,1954,Mary,85
HI,F,1954,Barbara,82
HI,F,1954,Cheryl,76
HI,F,1954,Carol,72
HI,F,1954,Diane,72
HI,F,1954,Gail,72
HI,F,1954,Pamela,67
HI,F,1954,Elizabeth,60
HI,F,1954,Lynn,60
HI,F,1954,Valerie,58
HI,F,1954,Stephanie,56
HI,F,1954,Ann,53
HI,F,1954,Janice,52
HI,F,1954,Darlene,49
HI,F,1954,Beverly,47
HI,F,1954,Charlene,46
HI,F,1954,Colleen,46
HI,F,1954,Christine,39
HI,F,1954,Joann,38
HI,F,1954,Shirley,38
HI,F,1954,Doreen,37
HI,F,1954,Nancy,37
HI,F,1954,Carolyn,35
HI,F,1954,Anne,34
HI,F,1954,Judy,32
HI,F,1954,Catherine,31
HI,F,1954,Jean,31
HI,F,1954,Margaret,31
HI,F,1954,Terry,31
HI,F,1954,Theresa,31
HI,F,1954,Wendy,31
HI,F,1954,Brenda,30
HI,F,1954,Denise,30
HI,F,1954,Marilyn,30
HI,F,1954,Roxanne,30
HI,F,1954,Iris,29
HI,F,1954,Jennifer,29
HI,F,1954,Joy,29
HI,F,1954,Joyce,29
HI,F,1954,Laura,29
HI,F,1954,Lynne,29
HI,F,1954,Sheila,29
HI,F,1954,Frances,28
HI,F,1954,Joan,27
HI,F,1954,Lisa,27
HI,F,1954,Dawn,26
HI,F,1954,Jan,26
HI,F,1954,Joanne,26
HI,F,1954,Gloria,25
HI,F,1954,Lynette,25
HI,F,1954,Virginia,25
HI,F,1954,Yolanda,25
HI,F,1954,Amy,24
HI,F,1954,Bernadette,24
HI,F,1954,Faith,24
HI,F,1954,Gayle,24
HI,F,1954,Gwendolyn,24
HI,F,1954,Helen,24
HI,F,1954,Lori,24
HI,F,1954,Lorna,24
HI,F,1954,Yvonne,24
HI,F,1954,Audrey,23
HI,F,1954,Laurie,23
HI,F,1954,Leslie,23
HI,F,1954,Phyllis,23
HI,F,1954,Rose,23
HI,F,1954,Dale,22
HI,F,1954,Diana,22
HI,F,1954,Janet,21
HI,F,1954,Katherine,21
HI,F,1954,Paula,21
HI,F,1954,Paulette,21
HI,F,1954,Rebecca,21
HI,F,1954,Victoria,21
HI,F,1954,Debbie,20
HI,F,1954,Elaine,20
HI,F,1954,June,20
HI,F,1954,Lois,20
HI,F,1954,Mona,20
HI,F,1954,Naomi,20
HI,F,1954,Bonnie,19
HI,F,1954,Charlotte,19
HI,F,1954,Irene,19
HI,F,1954,Jacqueline,19
HI,F,1954,Julie,19
HI,F,1954,Teresa,19
HI,F,1954,Arlene,18
HI,F,1954,Claire,18
HI,F,1954,Jill,18
HI,F,1954,Lani,18
HI,F,1954,Leona,18
HI,F,1954,Michele,18
HI,F,1954,Robin,18
HI,F,1954,Suzanne,18
HI,F,1954,Anna,17
HI,F,1954,Betty,17
