StateCode,Sex,YearOfBirth,Name,Number
HI,M,1969,Jack,7
HI,M,1969,Jamie,7
HI,M,1969,Jeff,7
HI,M,1969,Joe,7
HI,M,1969,Juan,7
HI,M,1969,Justin,7
HI,M,1969,Ken,7
HI,M,1969,Kent,7
HI,M,1969,Keoni,7
HI,M,1969,Leonard,7
HI,M,1969,Luke,7
HI,M,1969,Norman,7
HI,M,1969,Perry,7
HI,M,1969,Preston,7
HI,M,1969,Randolph,7
HI,M,1969,Ron,7
HI,M,1969,Royce,7
HI,M,1969,Ted,7
HI,M,1969,Adam,6
HI,M,1969,Adrian,6
HI,M,1969,Bobby,6
HI,M,1969,Clinton,6
HI,M,1969,Conrad,6
HI,M,1969,Cyrus,6
HI,M,1969,Dan,6
HI,M,1969,Fred,6
HI,M,1969,Isaac,6
HI,M,1969,Jaime,6
HI,M,1969,Jared,6
HI,M,1969,Jose,6
HI,M,1969,Joshua,6
HI,M,1969,Kalani,6
HI,M,1969,Lionel,6
HI,M,1969,Manuel,6
HI,M,1969,Marshall,6
HI,M,1969,Moses,6
HI,M,1969,Sidney,6
HI,M,1969,Solomon,6
HI,M,1969,Terry,6
HI,M,1969,Vance,6
HI,M,1969,Wendell,6
HI,M,1969,Alden,5
HI,M,1969,Arnold,5
HI,M,1969,Bennett,5
HI,M,1969,Blake,5
HI,M,1969,Bret,5
HI,M,1969,Bryant,5
HI,M,1969,Dane,5
HI,M,1969,Darrel,5
HI,M,1969,Daryl,5
HI,M,1969,Davin,5
HI,M,1969,Devin,5
HI,M,1969,Elmer,5
HI,M,1969,Evan,5
HI,M,1969,Everett,5
HI,M,1969,Floyd,5
HI,M,1969,Garret,5
HI,M,1969,Geoffrey,5
HI,M,1969,Greg,5
HI,M,1969,Jerome,5
HI,M,1969,Joey,5
HI,M,1969,Keone,5
HI,M,1969,Len,5
HI,M,1969,Leroy,5
HI,M,1969,Miles,5
HI,M,1969,Myles,5
HI,M,1969,Myron,5
HI,M,1969,Noel,5
HI,M,1969,Reynold,5
HI,M,1969,Rick,5
HI,M,1969,Rogelio,5
HI,M,1969,Sanford,5
HI,M,1969,Sherman,5
HI,M,1969,Stacy,5
HI,M,1969,Stanford,5
HI,M,1969,Terence,5
HI,M,1969,Wilfred,5
HI,M,1970,Michael,267
HI,M,1970,David,217
HI,M,1970,John,183
HI,M,1970,James,173
HI,M,1970,Robert,170
HI,M,1970,Jason,167
HI,M,1970,William,140
HI,M,1970,Mark,136
HI,M,1970,Kevin,127
HI,M,1970,Christopher,119
HI,M,1970,Eric,104
HI,M,1970,Richard,102
HI,M,1970,Scott,102
HI,M,1970,Joseph,96
HI,M,1970,Brian,85
HI,M,1970,Matthew,79
HI,M,1970,Jeffrey,76
HI,M,1970,Sean,76
HI,M,1970,Daniel,75
HI,M,1970,Paul,73
HI,M,1970,Thomas,70
HI,M,1970,Ryan,63
HI,M,1970,Jonathan,62
HI,M,1970,Patrick,62
HI,M,1970,Edward,60
HI,M,1970,Todd,59
HI,M,1970,Anthony,56
HI,M,1970,Charles,56
HI,M,1970,Derek,56
HI,M,1970,Chad,54
HI,M,1970,Shane,54
HI,M,1970,Steven,54
HI,M,1970,George,51
HI,M,1970,Troy,47
HI,M,1970,Kenneth,45
HI,M,1970,Craig,43
HI,M,1970,Stephen,43
HI,M,1970,Lance,42
HI,M,1970,Donald,41
HI,M,1970,Gregory,41
HI,M,1970,Dean,40
HI,M,1970,Peter,40
HI,M,1970,Shawn,40
HI,M,1970,Kyle,39
HI,M,1970,Aaron,37
HI,M,1970,Keith,36
HI,M,1970,Ronald,36
HI,M,1970,Andrew,34
HI,M,1970,Darren,32
HI,M,1970,Dennis,32
HI,M,1970,Jon,32
HI,M,1970,Kelly,32
HI,M,1970,Raymond,32
HI,M,1970,Timothy,32
HI,M,1970,Douglas,31
HI,M,1970,Alan,30
HI,M,1970,Benjamin,30
HI,M,1970,Frank,30
HI,M,1970,Gary,30
HI,M,1970,Russell,30
HI,M,1970,Lawrence,29
HI,M,1970,Wayne,29
HI,M,1970,Reid,28
HI,M,1970,Albert,27
HI,M,1970,Brandon,27
HI,M,1970,Marc,27
HI,M,1970,Nathan,27
HI,M,1970,Shannon,27
HI,M,1970,Samuel,26
HI,M,1970,Wesley,24
HI,M,1970,Rodney,23
HI,M,1970,Walter,23
HI,M,1970,Bradley,22
HI,M,1970,Henry,22
HI,M,1970,Jerry,22
HI,M,1970,Curtis,21
HI,M,1970,Joel,21
HI,M,1970,Randy,21
HI,M,1970,Travis,20
HI,M,1970,Chris,19
HI,M,1970,Duane,19
HI,M,1970,Frederick,19
HI,M,1970,Jay,19
HI,M,1970,Roland,19
HI,M,1970,Barry,18
HI,M,1970,Bryan,18
HI,M,1970,Corey,18
HI,M,1970,Glenn,18
HI,M,1970,Jesse,18
HI,M,1970,Kurt,18
HI,M,1970,Norman,18
HI,M,1970,Carl,17
HI,M,1970,Daryl,17
HI,M,1970,Guy,17
HI,M,1970,Ian,17
HI,M,1970,Wade,17
HI,M,1970,Adam,16
HI,M,1970,Danny,16
HI,M,1970,Derrick,16
HI,M,1970,Marcus,16
HI,M,1970,Melvin,16
HI,M,1970,Sheldon,16
HI,M,1970,Warren,16
HI,M,1970,Alexander,15
HI,M,1970,Garrett,15
HI,M,1970,Glen,15
HI,M,1970,Jeremy,15
HI,M,1970,Mitchell,15
HI,M,1970,Stanley,15
HI,M,1970,Arthur,14
HI,M,1970,Clarence,14
HI,M,1970,Donovan,14
HI,M,1970,Dwayne,14
HI,M,1970,Ernest,14
HI,M,1970,Gilbert,14
HI,M,1970,Grant,14
HI,M,1970,Ivan,14
