StateCode,Sex,YearOfBirth,Name,Number
IA,M,1930,Roger,155
IA,M,1930,Ralph,154
IA,M,1930,Howard,133
IA,M,1930,Norman,130
IA,M,1930,Earl,125
IA,M,1930,Walter,123
IA,M,1930,Jerry,118
IA,M,1930,Melvin,117
IA,M,1930,Keith,116
IA,M,1930,Lloyd,115
IA,M,1930,Vernon,113
IA,M,1930,Carl,111
IA,M,1930,Russell,110
IA,M,1930,Leo,109
IA,M,1930,Harry,107
IA,M,1930,Leonard,107
IA,M,1930,Lyle,106
IA,M,1930,Arthur,103
IA,M,1930,Clarence,101
IA,M,1930,Lawrence,101
IA,M,1930,Billy,96
IA,M,1930,Frank,95
IA,M,1930,Francis,92
IA,M,1930,Don,91
IA,M,1930,Leroy,90
IA,M,1930,Virgil,88
IA,M,1930,Stanley,86
IA,M,1930,Fred,84
IA,M,1930,Bill,83
IA,M,1930,Bernard,82
IA,M,1930,Gene,82
IA,M,1930,Bob,81
IA,M,1930,Glenn,78
IA,M,1930,Henry,78
IA,M,1930,Herbert,78
IA,M,1930,Clifford,75
IA,M,1930,Roy,73
IA,M,1930,Gordon,70
IA,M,1930,Jim,70
IA,M,1930,Floyd,69
IA,M,1930,Darrell,68
IA,M,1930,Dick,64
IA,M,1930,Merle,64
IA,M,1930,Albert,63
IA,M,1930,Delbert,62
IA,M,1930,Joe,62
IA,M,1930,Arnold,59
IA,M,1930,Edwin,59
IA,M,1930,Max,59
IA,M,1930,Larry,57
IA,M,1930,Ray,54
IA,M,1930,Alvin,53
IA,M,1930,Elmer,53
IA,M,1930,Eldon,52
IA,M,1930,Glen,52
IA,M,1930,Lester,48
IA,M,1930,Louis,48
IA,M,1930,Lowell,48
IA,M,1930,Alfred,47
IA,M,1930,Daniel,47
IA,M,1930,Ernest,47
IA,M,1930,Merlin,47
IA,M,1930,Wilbur,47
IA,M,1930,Everett,46
IA,M,1930,Marion,46
IA,M,1930,Harlan,44
IA,M,1930,Warren,44
IA,M,1930,Ivan,43
