StateCode,Sex,YearOfBirth,Name,Number
IA,M,1959,Terrance,13
IA,M,1959,Wendell,13
IA,M,1959,Byron,12
IA,M,1959,Clarence,12
IA,M,1959,Clayton,12
IA,M,1959,Ed,12
IA,M,1959,Franklin,12
IA,M,1959,Galen,12
IA,M,1959,Jesse,12
IA,M,1959,Shane,12
IA,M,1959,Bryce,11
IA,M,1959,Clyde,11
IA,M,1959,Darren,11
IA,M,1959,Denis,11
IA,M,1959,Denny,11
IA,M,1959,Gerry,11
IA,M,1959,Hugh,11
IA,M,1959,Johnny,11
IA,M,1959,Merlin,11
IA,M,1959,Monty,11
IA,M,1959,Rocky,11
IA,M,1959,Arnold,10
IA,M,1959,Dallas,10
IA,M,1959,Kraig,10
IA,M,1959,Russ,10
IA,M,1959,Van,10
IA,M,1959,Benjamin,9
IA,M,1959,Bert,9
IA,M,1959,Bryon,9
IA,M,1959,Clint,9
IA,M,1959,Drew,9
IA,M,1959,Erik,9
IA,M,1959,Harvey,9
IA,M,1959,Ivan,9
IA,M,1959,Jimmie,9
IA,M,1959,Justin,9
IA,M,1959,Lester,9
IA,M,1959,Lewis,9
IA,M,1959,Marlin,9
IA,M,1959,Maurice,9
IA,M,1959,Rodger,9
IA,M,1959,Stacy,9
IA,M,1959,Virgil,9
IA,M,1959,Willard,9
IA,M,1959,Blair,8
IA,M,1959,Blake,8
IA,M,1959,Carey,8
IA,M,1959,Casey,8
IA,M,1959,Chester,8
IA,M,1959,Danial,8
IA,M,1959,Derek,8
IA,M,1959,Dewayne,8
IA,M,1959,Doyle,8
IA,M,1959,Elmer,8
IA,M,1959,Harlan,8
IA,M,1959,Herbert,8
IA,M,1959,Jackie,8
IA,M,1959,Joey,8
IA,M,1959,Kelvin,8
IA,M,1959,Michel,8
IA,M,1959,Mitch,8
IA,M,1959,Mitchel,8
IA,M,1959,Rob,8
IA,M,1959,Wallace,8
IA,M,1959,Alfred,7
IA,M,1959,Arlan,7
IA,M,1959,Bradford,7
IA,M,1959,Cary,7
IA,M,1959,Cory,7
IA,M,1959,Eldon,7
IA,M,1959,Harley,7
IA,M,1959,Jerold,7
IA,M,1959,Kurtis,7
IA,M,1959,Lanny,7
IA,M,1959,Laurence,7
IA,M,1959,Lon,7
IA,M,1959,Pete,7
IA,M,1959,Randolph,7
IA,M,1959,Reed,7
IA,M,1959,Royce,7
IA,M,1959,Rustin,7
IA,M,1959,Timmie,7
IA,M,1959,Vern,7
IA,M,1959,Wayde,7
IA,M,1959,Al,6
IA,M,1959,Benny,6
IA,M,1959,Clay,6
IA,M,1959,Corey,6
IA,M,1959,Damon,6
IA,M,1959,Darcy,6
IA,M,1959,Donny,6
IA,M,1959,Erick,6
IA,M,1959,Evan,6
IA,M,1959,Everett,6
IA,M,1959,Gail,6
IA,M,1959,Gale,6
IA,M,1959,Kelley,6
IA,M,1959,Kip,6
IA,M,1959,Lane,6
IA,M,1959,Laverne,6
IA,M,1959,Layne,6
IA,M,1959,Luke,6
IA,M,1959,Marcus,6
IA,M,1959,Marion,6
IA,M,1959,Morris,6
IA,M,1959,Owen,6
IA,M,1959,Phil,6
IA,M,1959,Rock,6
IA,M,1959,Stan,6
IA,M,1959,Stephan,6
IA,M,1959,Stewart,6
IA,M,1959,Tad,6
IA,M,1959,Tod,6
IA,M,1959,Troy,6
IA,M,1959,Arlyn,5
IA,M,1959,Barton,5
IA,M,1959,Ben,5
IA,M,1959,Boyd,5
IA,M,1959,Bradly,5
IA,M,1959,Britt,5
IA,M,1959,Chad,5
IA,M,1959,Charlie,5
IA,M,1959,Christian,5
IA,M,1959,Cletus,5
IA,M,1959,Colin,5
IA,M,1959,Dane,5
IA,M,1959,Del,5
IA,M,1959,Donn,5
IA,M,1959,Eddy,5
IA,M,1959,Fredrick,5
IA,M,1959,Geoffrey,5
IA,M,1959,Herman,5
IA,M,1959,Johnnie,5
IA,M,1959,Kenton,5
IA,M,1959,Lamont,5
IA,M,1959,Lavern,5
IA,M,1959,Loras,5
IA,M,1959,Marlon,5
IA,M,1959,Rande,5
IA,M,1959,Roderick,5
IA,M,1959,Russel,5
IA,M,1959,Terence,5
IA,M,1959,Ty,5
IA,M,1959,Vance,5
IA,M,1959,Vince,5
IA,M,1959,Ward,5
IA,M,1960,David,1440
IA,M,1960,Michael,1196
IA,M,1960,Mark,1138
IA,M,1960,John,952
IA,M,1960,James,931
IA,M,1960,Robert,833
IA,M,1960,Jeffrey,786
IA,M,1960,Steven,786
IA,M,1960,Kevin,737
IA,M,1960,Scott,620
IA,M,1960,Thomas,592
IA,M,1960,Timothy,580
IA,M,1960,William,557
IA,M,1960,Daniel,549
IA,M,1960,Richard,543
IA,M,1960,Brian,522
IA,M,1960,Douglas,503
IA,M,1960,Randy,471
IA,M,1960,Dennis,385
IA,M,1960,Gary,379
IA,M,1960,Paul,348
IA,M,1960,Terry,345
IA,M,1960,Ronald,336
IA,M,1960,Larry,322
IA,M,1960,Craig,319
IA,M,1960,Gregory,313
IA,M,1960,Donald,295
IA,M,1960,Kenneth,282
IA,M,1960,Charles,275
IA,M,1960,Mike,269
IA,M,1960,Jeff,264
IA,M,1960,Joseph,250
IA,M,1960,Todd,234
IA,M,1960,Patrick,227
IA,M,1960,Randall,220
IA,M,1960,Alan,214
IA,M,1960,Jerry,213
IA,M,1960,Roger,213
IA,M,1960,Bruce,206
IA,M,1960,Tim,204
IA,M,1960,Rodney,191
IA,M,1960,Ricky,188
IA,M,1960,Bradley,186
IA,M,1960,Dale,184
IA,M,1960,Steve,182
IA,M,1960,Jon,166
IA,M,1960,Keith,165
IA,M,1960,Russell,164
IA,M,1960,Christopher,161
IA,M,1960,Rick,157
IA,M,1960,Tom,156
IA,M,1960,Eric,155
IA,M,1960,Danny,148
IA,M,1960,Stephen,148
IA,M,1960,Anthony,147
IA,M,1960,Jay,147
IA,M,1960,Jeffery,145
IA,M,1960,Dean,139
IA,M,1960,Dan,132
IA,M,1960,Edward,132
IA,M,1960,Matthew,131
IA,M,1960,Jim,127
IA,M,1960,Chris,125
IA,M,1960,Kent,120
IA,M,1960,Tony,116
IA,M,1960,Kelly,112
IA,M,1960,Joel,109
IA,M,1960,Kirk,107
IA,M,1960,Bryan,101
