StateCode,Sex,YearOfBirth,Name,Number
IA,M,2010,Lincoln,33
IA,M,2010,Preston,33
IA,M,2010,Cayden,31
IA,M,2010,Cody,31
IA,M,2010,Kevin,31
IA,M,2010,Ty,31
IA,M,2010,Vincent,31
IA,M,2010,Wesley,31
IA,M,2010,Jason,29
IA,M,2010,Joel,29
IA,M,2010,Justin,29
IA,M,2010,Maddox,29
IA,M,2010,Garrett,28
IA,M,2010,Graham,28
IA,M,2010,Marcus,28
IA,M,2010,Paxton,28
IA,M,2010,Ryker,28
IA,M,2010,Trevor,28
IA,M,2010,Kyler,27
IA,M,2010,Nathaniel,27
IA,M,2010,Timothy,27
IA,M,2010,Braden,26
IA,M,2010,Cael,26
IA,M,2010,Dane,26
IA,M,2010,Emmett,26
IA,M,2010,Eric,26
IA,M,2010,Zander,26
IA,M,2010,Bennett,25
IA,M,2010,Calvin,25
IA,M,2010,Corbin,25
IA,M,2010,Damian,25
IA,M,2010,Grady,25
IA,M,2010,Juan,25
IA,M,2010,Miles,25
IA,M,2010,Reid,25
IA,M,2010,Avery,24
IA,M,2010,Carlos,24
IA,M,2010,Cash,24
IA,M,2010,Jesus,24
IA,M,2010,Landen,24
IA,M,2010,Clayton,23
IA,M,2010,Dallas,23
IA,M,2010,Dalton,23
IA,M,2010,Jesse,23
IA,M,2010,Jose,23
IA,M,2010,Luis,23
IA,M,2010,Seth,23
IA,M,2010,Skyler,23
IA,M,2010,Zane,23
IA,M,2010,Cade,22
IA,M,2010,Devin,22
IA,M,2010,Elias,22
IA,M,2010,Payton,22
IA,M,2010,Bradley,21
IA,M,2010,Charlie,21
IA,M,2010,Cruz,21
IA,M,2010,Dominick,21
IA,M,2010,Greyson,21
IA,M,2010,Jaden,21
IA,M,2010,Kaiden,21
IA,M,2010,Karson,21
IA,M,2010,Kyle,21
IA,M,2010,Leo,21
IA,M,2010,Peter,21
IA,M,2010,Xander,21
IA,M,2010,Chance,20
IA,M,2010,Jax,20
IA,M,2010,Jude,20
IA,M,2010,Patrick,20
IA,M,2010,Sean,20
IA,M,2010,Silas,20
IA,M,2010,Spencer,20
IA,M,2010,Victor,20
IA,M,2010,Colten,19
IA,M,2010,Everett,19
IA,M,2010,Griffin,19
IA,M,2010,Harrison,19
IA,M,2010,Jett,19
IA,M,2010,Kale,19
