StateCode,Sex,YearOfBirth,Name,Number
ID,F,1982,Kelsey,16
ID,F,1982,Kendra,16
ID,F,1982,Tina,16
ID,F,1982,Camille,15
ID,F,1982,Catherine,15
ID,F,1982,Diana,15
ID,F,1982,Lauren,15
ID,F,1982,Mandy,15
ID,F,1982,Marie,15
ID,F,1982,Molly,15
ID,F,1982,Tamara,15
ID,F,1982,Whitney,15
ID,F,1982,Bethany,14
ID,F,1982,Hannah,14
ID,F,1982,Jessie,14
ID,F,1982,Kira,14
ID,F,1982,Meghan,14
ID,F,1982,Randi,14
ID,F,1982,Stacy,14
ID,F,1982,Tanya,14
ID,F,1982,Tonya,14
ID,F,1982,Brittney,13
ID,F,1982,Candace,13
ID,F,1982,Christy,13
ID,F,1982,Hailey,13
ID,F,1982,Jillian,13
ID,F,1982,Leah,13
ID,F,1982,Morgan,13
ID,F,1982,Patricia,13
ID,F,1982,Sabrina,13
ID,F,1982,Amelia,12
ID,F,1982,Barbara,12
ID,F,1982,Becky,12
ID,F,1982,Brenda,12
ID,F,1982,Chelsey,12
ID,F,1982,Jami,12
ID,F,1982,Laurie,12
ID,F,1982,Melinda,12
ID,F,1982,Nichole,12
ID,F,1982,Robin,12
ID,F,1982,Stacie,12
ID,F,1982,Allison,11
ID,F,1982,Ashlee,11
ID,F,1982,Bonnie,11
ID,F,1982,Brandie,11
ID,F,1982,Charity,11
ID,F,1982,Dawn,11
ID,F,1982,Debra,11
ID,F,1982,Gina,11
ID,F,1982,Haley,11
ID,F,1982,Jana,11
ID,F,1982,Krista,11
ID,F,1982,Sandra,11
ID,F,1982,Stacey,11
ID,F,1982,Tasha,11
ID,F,1982,Tracy,11
ID,F,1982,Alexis,10
ID,F,1982,Anne,10
ID,F,1982,Carly,10
ID,F,1982,Colleen,10
ID,F,1982,Hayley,10
ID,F,1982,Kasey,10
ID,F,1982,Lacy,10
ID,F,1982,Melody,10
ID,F,1982,Pamela,10
ID,F,1982,Rebekah,10
ID,F,1982,Stefanie,10
ID,F,1982,Suzanne,10
ID,F,1982,Abby,9
ID,F,1982,Aimee,9
ID,F,1982,Alyssa,9
ID,F,1982,Bobbi,9
ID,F,1982,Callie,9
ID,F,1982,Casey,9
ID,F,1982,Chandra,9
ID,F,1982,Cheryl,9
ID,F,1982,Deanna,9
ID,F,1982,Deborah,9
ID,F,1982,Hillary,9
ID,F,1982,Kristi,9
ID,F,1982,Kristine,9
ID,F,1982,Kristy,9
ID,F,1982,Mandi,9
ID,F,1982,Renee,9
ID,F,1982,Shauna,9
ID,F,1982,Tabitha,9
ID,F,1982,Toni,9
ID,F,1982,Amie,8
ID,F,1982,Annie,8
ID,F,1982,Breanna,8
ID,F,1982,Carolyn,8
ID,F,1982,Celeste,8
ID,F,1982,Cindy,8
ID,F,1982,Dana,8
ID,F,1982,Emilee,8
ID,F,1982,Kate,8
ID,F,1982,Kellie,8
ID,F,1982,Rachelle,8
ID,F,1982,Robyn,8
ID,F,1982,Shelly,8
ID,F,1982,Tera,8
ID,F,1982,Tia,8
ID,F,1982,Alisa,7
ID,F,1982,Cara,7
ID,F,1982,Carol,7
ID,F,1982,Connie,7
ID,F,1982,Darci,7
ID,F,1982,Denise,7
ID,F,1982,Esther,7
ID,F,1982,Ginger,7
ID,F,1982,Gretchen,7
ID,F,1982,Holli,7
ID,F,1982,Jaclyn,7
ID,F,1982,Janelle,7
ID,F,1982,Jenna,7
ID,F,1982,Jody,7
ID,F,1982,Jolene,7
ID,F,1982,Kimberlee,7
ID,F,1982,Meredith,7
ID,F,1982,Michele,7
ID,F,1982,Priscilla,7
ID,F,1982,Rikki,7
ID,F,1982,Rosa,7
ID,F,1982,Shanna,7
ID,F,1982,Shasta,7
ID,F,1982,Summer,7
ID,F,1982,Tami,7
ID,F,1982,Tessa,7
ID,F,1982,Tricia,7
ID,F,1982,Adrienne,6
ID,F,1982,Allyson,6
ID,F,1982,Angel,6
ID,F,1982,Angie,6
ID,F,1982,Annette,6
ID,F,1982,Audra,6
ID,F,1982,Beth,6
ID,F,1982,Bobbie,6
ID,F,1982,Briana,6
ID,F,1982,Cecilia,6
ID,F,1982,Charlotte,6
ID,F,1982,Cody,6
ID,F,1982,Cortney,6
ID,F,1982,Hilary,6
ID,F,1982,Jackie,6
ID,F,1982,Jade,6
ID,F,1982,Janet,6
ID,F,1982,Kami,6
ID,F,1982,Keri,6
ID,F,1982,Kirsten,6
ID,F,1982,Mariah,6
ID,F,1982,Raquel,6
ID,F,1982,Rhonda,6
ID,F,1982,Sadie,6
ID,F,1982,Savannah,6
ID,F,1982,Sheila,6
ID,F,1982,Terri,6
ID,F,1982,Tiffani,6
ID,F,1982,Tonia,6
ID,F,1982,Traci,6
ID,F,1982,Abigail,5
ID,F,1982,Alma,5
ID,F,1982,Anita,5
ID,F,1982,Athena,5
ID,F,1982,Breann,5
ID,F,1982,Brianna,5
ID,F,1982,Bridget,5
ID,F,1982,Colette,5
ID,F,1982,Darcy,5
ID,F,1982,Donna,5
ID,F,1982,Elena,5
ID,F,1982,Elisa,5
ID,F,1982,Ellen,5
ID,F,1982,Esmeralda,5
ID,F,1982,Eva,5
ID,F,1982,Felicia,5
ID,F,1982,Irene,5
ID,F,1982,Jacquelyn,5
ID,F,1982,Janae,5
ID,F,1982,Jenifer,5
ID,F,1982,Jennie,5
ID,F,1982,Joanna,5
ID,F,1982,Jocelyn,5
ID,F,1982,Joni,5
ID,F,1982,Julia,5
ID,F,1982,Kacie,5
ID,F,1982,Kandice,5
ID,F,1982,Karina,5
ID,F,1982,Karla,5
ID,F,1982,Kassandra,5
ID,F,1982,Kelley,5
ID,F,1982,Kerri,5
ID,F,1982,Kerry,5
ID,F,1982,Kyla,5
ID,F,1982,Lacie,5
ID,F,1982,Laurel,5
ID,F,1982,Lena,5
ID,F,1982,Lesley,5
ID,F,1982,Linda,5
ID,F,1982,Lyndsay,5
ID,F,1982,Lyndsey,5
ID,F,1982,Marci,5
ID,F,1982,Mindi,5
ID,F,1982,Miriam,5
ID,F,1982,Naomi,5
ID,F,1982,Nikki,5
ID,F,1982,Paige,5
ID,F,1982,Renae,5
ID,F,1982,Rochelle,5
ID,F,1982,Rosemary,5
ID,F,1982,Serena,5
ID,F,1982,Shara,5
ID,F,1982,Shelby,5
ID,F,1982,Sherry,5
ID,F,1982,Sophia,5
ID,F,1982,Tabatha,5
ID,F,1982,Yolanda,5
ID,F,1982,Yvette,5
ID,F,1983,Jennifer,219
ID,F,1983,Jessica,216
ID,F,1983,Amanda,202
ID,F,1983,Ashley,155
ID,F,1983,Sarah,134
ID,F,1983,Amber,124
ID,F,1983,Heather,117
ID,F,1983,Melissa,117
ID,F,1983,Stephanie,99
ID,F,1983,Nicole,97
ID,F,1983,Megan,92
ID,F,1983,Amy,88
ID,F,1983,Crystal,88
ID,F,1983,Kimberly,87
ID,F,1983,Rebecca,83
ID,F,1983,Michelle,81
ID,F,1983,Elizabeth,80
ID,F,1983,Emily,80
ID,F,1983,Tiffany,80
ID,F,1983,Katie,77
ID,F,1983,Sara,76
ID,F,1983,Rachel,74
ID,F,1983,Andrea,71
ID,F,1983,Jamie,71
ID,F,1983,Angela,68
ID,F,1983,Christina,60
ID,F,1983,Erin,60
ID,F,1983,Lindsey,58
ID,F,1983,Tara,54
ID,F,1983,Lisa,52
ID,F,1983,Holly,50
ID,F,1983,Katherine,50
ID,F,1983,April,46
ID,F,1983,Danielle,45
ID,F,1983,Laura,45
ID,F,1983,Anna,43
ID,F,1983,Julie,41
ID,F,1983,Kathryn,38
ID,F,1983,Lacey,38
ID,F,1983,Erica,37
ID,F,1983,Heidi,37
ID,F,1983,Courtney,36
ID,F,1983,Mary,36
ID,F,1983,Lindsay,35
ID,F,1983,Samantha,35
ID,F,1983,Nichole,34
ID,F,1983,Chelsea,32
ID,F,1983,Kristen,32
ID,F,1983,Shannon,32
ID,F,1983,Brandi,31
ID,F,1983,Brittany,30
ID,F,1983,Natalie,30
ID,F,1983,Cassandra,29
ID,F,1983,Kayla,29
ID,F,1983,Kristin,29
ID,F,1983,Leslie,29
ID,F,1983,Misty,29
ID,F,1983,Brooke,28
ID,F,1983,Kelly,27
ID,F,1983,Kristina,27
ID,F,1983,Alicia,26
ID,F,1983,Kari,23
ID,F,1983,Maria,23
ID,F,1983,Brenda,22
ID,F,1983,Camille,22
ID,F,1983,Melanie,22
ID,F,1983,Carrie,21
ID,F,1983,Cassie,21
ID,F,1983,Rachael,21
ID,F,1983,Brandy,20
ID,F,1983,Christine,20
ID,F,1983,Cynthia,20
ID,F,1983,Hailey,20
ID,F,1983,Monica,20
ID,F,1983,Vanessa,20
ID,F,1983,Alexis,19
ID,F,1983,Jill,19
ID,F,1983,Kristi,19
ID,F,1983,Lori,19
ID,F,1983,Stacy,19
ID,F,1983,Candice,18
ID,F,1983,Mindy,18
ID,F,1983,Rebekah,18
ID,F,1983,Stefanie,18
ID,F,1983,Veronica,18
ID,F,1983,Allison,17
ID,F,1983,Hannah,17
ID,F,1983,Mandy,17
ID,F,1983,Rachelle,17
ID,F,1983,Teresa,17
ID,F,1983,Valerie,17
ID,F,1983,Autumn,16
ID,F,1983,Bethany,16
ID,F,1983,Dana,16
ID,F,1983,Jenny,16
ID,F,1983,Karen,16
ID,F,1983,Kelli,16
ID,F,1983,Shawna,16
ID,F,1983,Sheena,16
ID,F,1983,Chelsey,15
ID,F,1983,Krystal,15
ID,F,1983,Leah,15
ID,F,1983,Miranda,15
ID,F,1983,Patricia,15
ID,F,1983,Tessa,15
ID,F,1983,Whitney,15
ID,F,1983,Anne,14
ID,F,1983,Desiree,14
