StateCode,Sex,YearOfBirth,Name,Number
ID,M,1954,Roger,56
ID,M,1954,Kim,55
ID,M,1954,Stephen,53
ID,M,1954,Dale,52
ID,M,1954,George,49
ID,M,1954,Joseph,47
ID,M,1954,Alan,44
ID,M,1954,Brian,44
ID,M,1954,Jack,43
ID,M,1954,Brent,42
ID,M,1954,Wayne,42
ID,M,1954,Edward,41
ID,M,1954,Keith,41
ID,M,1954,Kelly,40
ID,M,1954,Patrick,40
ID,M,1954,Randall,39
ID,M,1954,Danny,38
ID,M,1954,Gerald,38
ID,M,1954,Carl,35
ID,M,1954,Raymond,34
ID,M,1954,Rick,34
ID,M,1954,Russell,34
ID,M,1954,Ricky,33
ID,M,1954,Kent,32
ID,M,1954,Roy,31
ID,M,1954,Steve,31
ID,M,1954,Bradley,29
ID,M,1954,Frank,29
ID,M,1954,Stanley,29
ID,M,1954,Martin,28
ID,M,1954,Don,27
ID,M,1954,Lynn,27
ID,M,1954,Dan,26
ID,M,1954,Kerry,26
ID,M,1954,Mike,26
ID,M,1954,Curtis,25
ID,M,1954,Gordon,25
ID,M,1954,Jon,25
ID,M,1954,Clifford,24
ID,M,1954,Dean,24
ID,M,1954,Kirk,24
ID,M,1954,Brad,23
ID,M,1954,Monte,23
ID,M,1954,Ralph,23
ID,M,1954,Walter,23
ID,M,1954,Darrell,22
ID,M,1954,Fred,22
ID,M,1954,Jeffery,22
ID,M,1954,Ray,22
ID,M,1954,Anthony,21
ID,M,1954,Lawrence,21
ID,M,1954,Micheal,21
ID,M,1954,Chris,20
ID,M,1954,Harold,20
ID,M,1954,Lee,20
ID,M,1954,Shane,20
ID,M,1954,Arthur,19
ID,M,1954,Vernon,19
ID,M,1954,Allen,18
ID,M,1954,Barry,18
ID,M,1954,Howard,18
ID,M,1954,Philip,18
ID,M,1954,Allan,17
ID,M,1954,Christopher,17
ID,M,1954,Jay,17
ID,M,1954,Joe,17
ID,M,1954,Phillip,17
ID,M,1954,Tracy,17
ID,M,1954,Andrew,16
ID,M,1954,Rocky,16
ID,M,1954,Bryan,15
ID,M,1954,Eugene,15
ID,M,1954,Glenn,15
ID,M,1954,Jim,15
ID,M,1954,Kurt,15
ID,M,1954,Lonnie,15
ID,M,1954,Eric,14
ID,M,1954,Lloyd,14
ID,M,1954,Marvin,14
ID,M,1954,Neil,14
ID,M,1954,Norman,14
ID,M,1954,Rex,14
ID,M,1954,Ross,14
ID,M,1954,Ted,14
ID,M,1954,Billy,13
ID,M,1954,Grant,13
ID,M,1954,Lyle,13
ID,M,1954,Tom,13
ID,M,1954,Wesley,13
ID,M,1954,Duane,12
ID,M,1954,Earl,12
ID,M,1954,Guy,12
ID,M,1954,Johnny,12
ID,M,1954,Leslie,12
ID,M,1954,Samuel,12
ID,M,1954,Theodore,12
ID,M,1954,Tim,12
ID,M,1954,Val,12
ID,M,1954,Victor,12
ID,M,1954,Bill,11
ID,M,1954,Chad,11
ID,M,1954,Clayton,11
ID,M,1954,Dana,11
ID,M,1954,Eddie,11
ID,M,1954,Greg,11
ID,M,1954,Jimmy,11
ID,M,1954,Joel,11
ID,M,1954,Melvin,11
ID,M,1954,Wade,11
ID,M,1954,Blair,10
ID,M,1954,Brett,10
ID,M,1954,Calvin,10
ID,M,1954,Chester,10
ID,M,1954,Doyle,10
ID,M,1954,Fredrick,10
ID,M,1954,Glen,10
ID,M,1954,Leonard,10
ID,M,1954,Matthew,10
ID,M,1954,Sidney,10
ID,M,1954,Delbert,9
ID,M,1954,Ernest,9
ID,M,1954,Floyd,9
ID,M,1954,Jeff,9
ID,M,1954,Jesse,9
ID,M,1954,Leroy,9
ID,M,1954,Alvin,8
ID,M,1954,Blaine,8
ID,M,1954,Blake,8
ID,M,1954,Cary,8
ID,M,1954,Clinton,8
ID,M,1954,Evan,8
ID,M,1954,Garth,8
ID,M,1954,Gene,8
ID,M,1954,Karl,8
ID,M,1954,Neal,8
ID,M,1954,Perry,8
ID,M,1954,Rickey,8
ID,M,1954,Ronnie,8
ID,M,1954,Todd,8
ID,M,1954,Virgil,8
ID,M,1954,Warren,8
ID,M,1954,Wendell,8
ID,M,1954,Clarence,7
ID,M,1954,Dirk,7
ID,M,1954,Edwin,7
ID,M,1954,Forrest,7
ID,M,1954,Franklin,7
ID,M,1954,Hal,7
ID,M,1954,Harry,7
ID,M,1954,Harvey,7
ID,M,1954,Kris,7
ID,M,1954,Loren,7
ID,M,1954,Mitchell,7
ID,M,1954,Nicholas,7
ID,M,1954,Peter,7
ID,M,1954,Randal,7
ID,M,1954,Robin,7
ID,M,1954,Ryan,7
ID,M,1954,Bert,6
ID,M,1954,Bobby,6
ID,M,1954,Darwin,6
ID,M,1954,Daryl,6
ID,M,1954,Dave,6
ID,M,1954,Dee,6
ID,M,1954,Dwight,6
ID,M,1954,Francis,6
ID,M,1954,Garry,6
ID,M,1954,Henry,6
ID,M,1954,Hugh,6
ID,M,1954,Lance,6
ID,M,1954,Lane,6
ID,M,1954,Layne,6
ID,M,1954,Marty,6
ID,M,1954,Max,6
ID,M,1954,Reed,6
ID,M,1954,Rickie,6
ID,M,1954,Roderick,6
ID,M,1954,Ron,6
ID,M,1954,Sam,6
ID,M,1954,Tommy,6
ID,M,1954,Tony,6
ID,M,1954,Van,6
ID,M,1954,Vern,6
ID,M,1954,Bart,5
ID,M,1954,Boyd,5
ID,M,1954,Byron,5
ID,M,1954,Casey,5
ID,M,1954,Dallas,5
ID,M,1954,Danial,5
ID,M,1954,Denny,5
ID,M,1954,Jess,5
ID,M,1954,Jimmie,5
ID,M,1954,Johnnie,5
ID,M,1954,Jonathan,5
ID,M,1954,Leo,5
ID,M,1954,Marshall,5
ID,M,1954,Milton,5
