StateCode,Sex,YearOfBirth,Name,Number
ID,M,1994,Weston,10
ID,M,1994,Zane,10
ID,M,1994,Beau,9
ID,M,1994,Branden,9
ID,M,1994,Brendan,9
ID,M,1994,Conner,9
ID,M,1994,Devan,9
ID,M,1994,Donovan,9
ID,M,1994,Gary,9
ID,M,1994,Johnathon,9
ID,M,1994,Martin,9
ID,M,1994,Mathew,9
ID,M,1994,Peter,9
ID,M,1994,Skylar,9
ID,M,1994,Victor,9
ID,M,1994,Zachery,9
ID,M,1994,Avery,8
ID,M,1994,Cory,8
ID,M,1994,Craig,8
ID,M,1994,Jaime,8
ID,M,1994,Jeremiah,8
ID,M,1994,Landon,8
ID,M,1994,Mario,8
ID,M,1994,Micheal,8
ID,M,1994,Omar,8
ID,M,1994,Rhett,8
ID,M,1994,Ruben,8
ID,M,1994,Todd,8
ID,M,1994,Tucker,8
ID,M,1994,Allen,7
ID,M,1994,Brayden,7
ID,M,1994,Brenden,7
ID,M,1994,Cade,7
ID,M,1994,Clay,7
ID,M,1994,Collin,7
ID,M,1994,Corbin,7
ID,M,1994,Dallin,7
ID,M,1994,Diego,7
ID,M,1994,Douglas,7
ID,M,1994,Eduardo,7
ID,M,1994,Gavin,7
ID,M,1994,Grant,7
ID,M,1994,Jace,7
ID,M,1994,Jack,7
ID,M,1994,Jaden,7
ID,M,1994,Keaton,7
ID,M,1994,Marshall,7
ID,M,1994,Maxwell,7
ID,M,1994,Nicolas,7
ID,M,1994,Roberto,7
ID,M,1994,Ronald,7
ID,M,1994,Sawyer,7
ID,M,1994,Shaun,7
ID,M,1994,Tyrell,7
ID,M,1994,Zachariah,7
ID,M,1994,Zackery,7
ID,M,1994,Andres,6
ID,M,1994,Armando,6
ID,M,1994,Billy,6
ID,M,1994,Brendon,6
ID,M,1994,Carl,6
ID,M,1994,Cooper,6
ID,M,1994,Curtis,6
ID,M,1994,Damian,6
ID,M,1994,Dennis,6
ID,M,1994,Drew,6
ID,M,1994,Garret,6
ID,M,1994,Gunnar,6
ID,M,1994,Jakob,6
ID,M,1994,Javier,6
ID,M,1994,Johnny,6
ID,M,1994,Julian,6
ID,M,1994,Kasey,6
ID,M,1994,Keith,6
ID,M,1994,Kolby,6
ID,M,1994,Larry,6
ID,M,1994,Noah,6
ID,M,1994,Pedro,6
ID,M,1994,Phillip,6
ID,M,1994,Sergio,6
ID,M,1994,Tate,6
ID,M,1994,Trenton,6
ID,M,1994,Tyrel,6
ID,M,1994,Abel,5
ID,M,1994,Ashton,5
ID,M,1994,Bradly,5
ID,M,1994,Brennen,5
ID,M,1994,Bret,5
ID,M,1994,Bryson,5
ID,M,1994,Calvin,5
ID,M,1994,Cesar,5
ID,M,1994,Chanse,5
ID,M,1994,Colter,5
ID,M,1994,Dale,5
ID,M,1994,Dane,5
ID,M,1994,Derick,5
ID,M,1994,Desmond,5
ID,M,1994,Donald,5
ID,M,1994,Edward,5
ID,M,1994,Erick,5
ID,M,1994,Frank,5
ID,M,1994,George,5
ID,M,1994,Gilbert,5
ID,M,1994,Harley,5
ID,M,1994,Isaiah,5
ID,M,1994,Jaron,5
ID,M,1994,Jedediah,5
ID,M,1994,Jordon,5
ID,M,1994,Josiah,5
ID,M,1994,Kayden,5
ID,M,1994,Layne,5
ID,M,1994,Lorenzo,5
ID,M,1994,Marc,5
ID,M,1994,Neil,5
ID,M,1994,Nolan,5
ID,M,1994,Orlando,5
ID,M,1994,Philip,5
ID,M,1994,Randy,5
ID,M,1994,Rodney,5
ID,M,1994,Vincent,5
ID,M,1994,Xavier,5
ID,M,1995,Jacob,185
ID,M,1995,Tyler,179
ID,M,1995,Austin,166
ID,M,1995,Michael,147
ID,M,1995,Joshua,139
ID,M,1995,Andrew,126
ID,M,1995,Matthew,126
ID,M,1995,Cody,111
ID,M,1995,Nicholas,105
ID,M,1995,Zachary,103
ID,M,1995,Brandon,99
ID,M,1995,Christopher,97
ID,M,1995,Jordan,97
ID,M,1995,Daniel,91
ID,M,1995,Alexander,89
ID,M,1995,Ryan,89
ID,M,1995,John,84
ID,M,1995,Joseph,79
ID,M,1995,Justin,72
ID,M,1995,Anthony,71
ID,M,1995,Kyle,70
ID,M,1995,David,67
ID,M,1995,Aaron,63
ID,M,1995,Dakota,62
ID,M,1995,Robert,61
ID,M,1995,Benjamin,60
ID,M,1995,James,59
ID,M,1995,Nathan,59
ID,M,1995,William,59
ID,M,1995,Dylan,58
ID,M,1995,Chase,57
ID,M,1995,Christian,57
ID,M,1995,Tanner,56
ID,M,1995,Thomas,56
ID,M,1995,Jonathan,54
ID,M,1995,Jose,54
ID,M,1995,Taylor,54
ID,M,1995,Caleb,51
ID,M,1995,Logan,51
ID,M,1995,Cameron,50
ID,M,1995,Connor,48
ID,M,1995,Samuel,46
ID,M,1995,Adam,45
ID,M,1995,Jared,45
ID,M,1995,Wyatt,45
ID,M,1995,Colton,44
ID,M,1995,Eric,43
ID,M,1995,Ethan,43
ID,M,1995,Derek,40
