StateCode,Sex,YearOfBirth,Name,Number
IL,F,1928,Joann,78
IL,F,1928,Verna,78
IL,F,1928,Ella,76
IL,F,1928,Sarah,76
IL,F,1928,Angeline,75
IL,F,1928,Fern,75
IL,F,1928,Antoinette,74
IL,F,1928,Gwendolyn,74
IL,F,1928,Yvonne,72
IL,F,1928,Bessie,71
IL,F,1928,Blanche,71
IL,F,1928,Annette,70
IL,F,1928,Naomi,70
IL,F,1928,Irma,69
IL,F,1928,Diane,67
IL,F,1928,Imogene,67
IL,F,1928,Bernadine,66
IL,F,1928,Joy,66
IL,F,1928,Nellie,65
IL,F,1928,Mabel,63
IL,F,1928,Myrtle,63
IL,F,1928,Eunice,61
IL,F,1928,Caroline,60
IL,F,1928,Jennie,60
IL,F,1928,Christine,59
IL,F,1928,Mae,59
IL,F,1928,Winifred,59
IL,F,1928,Charmaine,58
IL,F,1928,Sophie,58
IL,F,1928,Corinne,57
IL,F,1928,Jeannette,57
IL,F,1928,Jo,57
IL,F,1928,Erma,56
IL,F,1928,Annie,55
IL,F,1928,Billie,55
IL,F,1928,Beulah,53
IL,F,1928,Miriam,53
IL,F,1928,Eleanore,52
IL,F,1928,Nina,52
IL,F,1928,Lena,51
IL,F,1928,Jeannine,50
IL,F,1928,Lola,48
IL,F,1928,Luella,48
IL,F,1928,Maria,48
IL,F,1928,Opal,48
IL,F,1928,Lila,47
IL,F,1928,Lucy,47
IL,F,1928,Estelle,46
IL,F,1928,Jessie,46
IL,F,1928,Adele,45
IL,F,1928,Nora,45
IL,F,1928,Veronica,45
IL,F,1928,Henrietta,44
IL,F,1928,Judith,44
IL,F,1928,Maryann,44
IL,F,1928,Ernestine,43
IL,F,1928,Inez,43
IL,F,1928,Susan,43
IL,F,1928,Suzanne,43
IL,F,1928,Geneva,42
IL,F,1928,Olga,42
IL,F,1928,Jacquelyn,41
IL,F,1928,Madeline,41
IL,F,1928,Marianne,41
IL,F,1928,Sara,41
IL,F,1928,Melba,40
IL,F,1928,Minnie,40
IL,F,1928,Natalie,40
IL,F,1928,Colleen,39
IL,F,1928,Flora,39
IL,F,1928,Freda,39
IL,F,1928,Iris,39
IL,F,1928,Rosie,39
IL,F,1928,Carmella,38
IL,F,1928,Carmen,38
IL,F,1928,Harriett,38
IL,F,1928,Lorene,38
IL,F,1928,Marcia,37
IL,F,1928,Olive,37
IL,F,1928,Victoria,37
IL,F,1928,Hilda,36
IL,F,1928,Sue,36
IL,F,1928,Cecelia,35
IL,F,1928,Cora,35
IL,F,1928,Dora,35
IL,F,1928,Pat,34
IL,F,1928,Ada,33
IL,F,1928,Annabelle,33
IL,F,1928,Claire,33
IL,F,1928,Della,33
IL,F,1928,Faye,33
IL,F,1928,Rosa,33
IL,F,1928,Arline,32
IL,F,1928,Bettie,32
IL,F,1928,Cecilia,32
IL,F,1928,Margery,32
IL,F,1928,Paula,32
IL,F,1928,Connie,31
IL,F,1928,Kay,31
IL,F,1928,Lydia,31
IL,F,1928,Diana,30
IL,F,1928,Dona,30
IL,F,1928,Eloise,30
IL,F,1928,Lillie,30
IL,F,1928,Clarice,29
IL,F,1928,Deloris,29
IL,F,1928,Lenore,29
IL,F,1928,Linda,29
IL,F,1928,Teresa,29
IL,F,1928,Dorothea,28
IL,F,1928,Frieda,28
IL,F,1928,Patty,28
IL,F,1928,Renee,28
IL,F,1928,Shirlee,28
IL,F,1928,Bernadette,27
IL,F,1928,Corrine,27
IL,F,1928,Leah,27
IL,F,1928,Lela,27
IL,F,1928,Myra,27
IL,F,1928,Robert,27
IL,F,1928,Fannie,26
IL,F,1928,Glenna,26
IL,F,1928,Ina,26
IL,F,1928,Lorna,26
IL,F,1928,Lula,26
IL,F,1928,Nadine,26
IL,F,1928,Priscilla,26
IL,F,1928,Regina,26
IL,F,1928,Elinor,25
IL,F,1928,Goldie,25
IL,F,1928,Rachel,25
IL,F,1928,Rosetta,25
IL,F,1928,Willa,25
IL,F,1928,Alta,24
IL,F,1928,Angela,24
IL,F,1928,Neva,24
IL,F,1928,Aileen,23
IL,F,1928,Camille,23
IL,F,1928,Carole,23
IL,F,1928,Estella,23
IL,F,1928,Eugenia,23
IL,F,1928,Mona,23
IL,F,1928,Betsy,22
IL,F,1928,Daisy,22
IL,F,1928,Elnora,22
IL,F,1928,Fay,22
IL,F,1928,Helene,21
IL,F,1928,Lenora,21
IL,F,1928,Loraine,21
IL,F,1928,Mable,21
IL,F,1928,May,21
IL,F,1928,Selma,21
