StateCode,Sex,YearOfBirth,Name,Number
IL,F,1943,Marjorie,205
IL,F,1943,Charlene,202
IL,F,1943,Norma,199
IL,F,1943,Cheryl,197
IL,F,1943,Christine,195
IL,F,1943,Sheila,194
IL,F,1943,Suzanne,188
IL,F,1943,Anita,185
IL,F,1943,Maureen,181
IL,F,1943,Constance,179
IL,F,1943,Katherine,178
IL,F,1943,Ellen,172
IL,F,1943,Evelyn,171
IL,F,1943,Loretta,169
IL,F,1943,Cynthia,163
IL,F,1943,Delores,156
IL,F,1943,Kathy,154
IL,F,1943,Marsha,154
IL,F,1943,Anna,152
IL,F,1943,Paula,152
IL,F,1943,Louise,149
IL,F,1943,Jo,148
IL,F,1943,June,144
IL,F,1943,Anne,143
IL,F,1943,Dianne,142
IL,F,1943,Lorraine,141
IL,F,1943,Maryann,141
IL,F,1943,Jeanette,139
IL,F,1943,Theresa,138
IL,F,1943,Sherry,136
IL,F,1943,Georgia,135
IL,F,1943,Pat,133
IL,F,1943,Wanda,132
IL,F,1943,Jeanne,129
IL,F,1943,Lynne,127
IL,F,1943,Juanita,126
IL,F,1943,Marianne,123
IL,F,1943,Josephine,116
IL,F,1943,Sylvia,115
IL,F,1943,Annette,107
IL,F,1943,Yvonne,107
IL,F,1943,Audrey,106
IL,F,1943,Penny,105
IL,F,1943,Patsy,104
IL,F,1943,Julie,103
IL,F,1943,Irene,102
IL,F,1943,Eleanor,100
IL,F,1943,Lucille,99
IL,F,1943,Wilma,99
IL,F,1943,Gayle,97
IL,F,1943,Joy,97
IL,F,1943,Sarah,95
IL,F,1943,Mildred,94
IL,F,1943,Lillian,92
IL,F,1943,Marian,92
IL,F,1943,Vivian,91
IL,F,1943,Bonita,90
IL,F,1943,Paulette,90
IL,F,1943,Julia,88
IL,F,1943,Vicki,87
IL,F,1943,Andrea,85
IL,F,1943,Florence,85
IL,F,1943,Rosalie,85
IL,F,1943,Deanna,82
IL,F,1943,Lynda,82
IL,F,1943,Valerie,80
IL,F,1943,Pauline,77
IL,F,1943,Victoria,77
IL,F,1943,Dixie,76
IL,F,1943,Marion,76
IL,F,1943,Claudia,75
IL,F,1943,Leslie,75
IL,F,1943,Rebecca,75
IL,F,1943,Grace,74
IL,F,1943,Laura,74
IL,F,1943,Jill,73
IL,F,1943,Renee,73
IL,F,1943,Antoinette,72
IL,F,1943,Bernadette,72
IL,F,1943,Michele,72
IL,F,1943,Glenda,71
IL,F,1943,Margie,71
IL,F,1943,Edith,70
IL,F,1943,Priscilla,70
IL,F,1943,Leona,69
IL,F,1943,Rosemarie,69
IL,F,1943,Sara,69
IL,F,1943,Caroline,67
IL,F,1943,Jackie,67
IL,F,1943,Maxine,67
IL,F,1943,Penelope,65
IL,F,1943,Beatrice,62
IL,F,1943,Gwendolyn,62
IL,F,1943,Bernice,61
IL,F,1943,Clara,61
IL,F,1943,Ruby,61
IL,F,1943,Sandy,61
IL,F,1943,Veronica,61
IL,F,1943,Jacquelyn,60
IL,F,1943,Denise,59
IL,F,1943,Billie,58
IL,F,1943,Dawn,58
IL,F,1943,Harriet,58
IL,F,1943,Ethel,57
IL,F,1943,Sheryl,57
IL,F,1943,Margo,56
IL,F,1943,Laverne,55
IL,F,1943,Maria,55
IL,F,1943,Regina,55
IL,F,1943,Angela,54
IL,F,1943,Bette,54
IL,F,1943,Cathy,54
IL,F,1943,Esther,54
IL,F,1943,Gladys,54
IL,F,1943,Lana,54
IL,F,1943,Marilynn,54
IL,F,1943,Alberta,53
IL,F,1943,Edna,53
IL,F,1943,Madeline,52
IL,F,1943,Myrna,52
IL,F,1943,Terry,52
IL,F,1943,Deborah,51
IL,F,1943,Dianna,51
IL,F,1943,Emma,51
IL,F,1943,Carla,49
IL,F,1943,Patty,49
IL,F,1943,Camille,48
IL,F,1943,Vera,48
IL,F,1943,Adrienne,47
IL,F,1943,Bernadine,47
IL,F,1943,Beth,47
IL,F,1943,Lenore,47
IL,F,1943,Thelma,47
IL,F,1943,Noreen,46
IL,F,1943,Colleen,45
IL,F,1943,Jeannette,45
IL,F,1943,Roseann,45
IL,F,1943,Teresa,45
IL,F,1943,Marguerite,44
IL,F,1943,Emily,42
IL,F,1943,Lucy,42
IL,F,1943,Francine,40
IL,F,1943,Naomi,40
IL,F,1943,Stephanie,40
IL,F,1943,Cecelia,39
IL,F,1943,Saundra,39
IL,F,1943,Toni,39
IL,F,1943,Carmen,38
IL,F,1943,Holly,38
IL,F,1943,Nina,38
IL,F,1943,Eva,36
IL,F,1943,Melinda,36
IL,F,1943,Sharron,36
IL,F,1943,Ella,35
IL,F,1943,Elsie,35
IL,F,1943,Genevieve,35
IL,F,1943,Judi,35
IL,F,1943,Stella,35
IL,F,1943,Janis,34
IL,F,1943,Melody,34
IL,F,1943,Myra,34
IL,F,1943,Patti,34
IL,F,1943,Rosalind,34
IL,F,1943,Trudy,34
IL,F,1943,Velma,34
IL,F,1943,Dale,33
IL,F,1943,Lola,33
IL,F,1943,Marcella,33
IL,F,1943,Miriam,33
IL,F,1943,Ramona,33
IL,F,1943,Verna,33
IL,F,1943,Agnes,32
IL,F,1943,Eloise,32
IL,F,1943,Faith,32
IL,F,1943,Faye,32
IL,F,1943,Irma,32
IL,F,1943,Charmaine,31
IL,F,1943,Della,31
IL,F,1943,Eunice,31
IL,F,1943,Hazel,31
IL,F,1943,Ida,31
IL,F,1943,Nora,31
IL,F,1943,Becky,30
IL,F,1943,Corinne,30
IL,F,1943,Lena,30
IL,F,1943,Tina,30
IL,F,1943,Gretchen,29
IL,F,1943,Iris,29
IL,F,1943,Monica,29
IL,F,1943,Pearl,29
IL,F,1943,Rachel,29
IL,F,1943,Vickie,29
IL,F,1943,Alma,28
IL,F,1943,Betsy,28
IL,F,1943,Christina,28
IL,F,1943,Joanna,28
IL,F,1943,Judie,28
IL,F,1943,Michelle,28
IL,F,1943,Nadine,28
IL,F,1943,Rosetta,28
IL,F,1943,Annie,27
IL,F,1943,Bertha,27
IL,F,1943,Ernestine,27
IL,F,1943,Jan,27
IL,F,1943,Laurel,27
IL,F,1943,Laurie,27
IL,F,1943,Rochelle,27
IL,F,1943,Rosa,27
IL,F,1943,Therese,27
IL,F,1943,Cecilia,26
IL,F,1943,Helene,26
IL,F,1943,Lydia,26
IL,F,1943,Sondra,26
IL,F,1943,Erma,25
IL,F,1943,Gertrude,25
IL,F,1943,Lee,25
IL,F,1943,Sonja,25
IL,F,1943,Susie,25
IL,F,1943,Wendy,25
