StateCode,Sex,YearOfBirth,Name,Number
IL,F,1954,Alexandra,10
IL,F,1954,Annamarie,10
IL,F,1954,Bernita,10
IL,F,1954,Beryl,10
IL,F,1954,Cara,10
IL,F,1954,Caren,10
IL,F,1954,Cecile,10
IL,F,1954,Celine,10
IL,F,1954,Cherry,10
IL,F,1954,Cheryle,10
IL,F,1954,Cindi,10
IL,F,1954,Cornelia,10
IL,F,1954,Daphne,10
IL,F,1954,Elena,10
IL,F,1954,Ellyn,10
IL,F,1954,Fannie,10
IL,F,1954,Flora,10
IL,F,1954,Ina,10
IL,F,1954,Janeen,10
IL,F,1954,Juliann,10
IL,F,1954,Kimberlee,10
IL,F,1954,Lela,10
IL,F,1954,Lindsey,10
IL,F,1954,Marina,10
IL,F,1954,Maryanne,10
IL,F,1954,Marylou,10
IL,F,1954,Michaelene,10
IL,F,1954,Mitzi,10
IL,F,1954,Reva,10
IL,F,1954,Rosalyn,10
IL,F,1954,Ruthie,10
IL,F,1954,Sharlene,10
IL,F,1954,Trina,10
IL,F,1954,Valencia,10
IL,F,1954,Valinda,10
IL,F,1954,Valorie,10
IL,F,1954,Aida,9
IL,F,1954,Antonette,9
IL,F,1954,Arleen,9
IL,F,1954,Avis,9
IL,F,1954,Bettie,9
IL,F,1954,Bobette,9
IL,F,1954,Carlotta,9
IL,F,1954,Christi,9
IL,F,1954,Deirdre,9
IL,F,1954,Delia,9
IL,F,1954,Dinah,9
IL,F,1954,Erica,9
IL,F,1954,Erin,9
IL,F,1954,Essie,9
IL,F,1954,Inez,9
IL,F,1954,Isabel,9
IL,F,1954,James,9
IL,F,1954,Jerry,9
IL,F,1954,Jocelyn,9
IL,F,1954,Kari,9
IL,F,1954,Karon,9
IL,F,1954,Kitty,9
IL,F,1954,Laureen,9
IL,F,1954,Lauretta,9
IL,F,1954,Leila,9
IL,F,1954,Lizabeth,9
IL,F,1954,Lula,9
IL,F,1954,Malinda,9
IL,F,1954,Mamie,9
IL,F,1954,Marilynn,9
IL,F,1954,Maura,9
IL,F,1954,Melodie,9
IL,F,1954,Meredith,9
IL,F,1954,Minnie,9
IL,F,1954,Renita,9
IL,F,1954,Rosella,9
IL,F,1954,Sherryl,9
IL,F,1954,Stacey,9
IL,F,1954,Teena,9
IL,F,1954,Twyla,9
IL,F,1954,Ursula,9
IL,F,1954,Valeria,9
IL,F,1954,Venita,9
IL,F,1954,Vida,9
IL,F,1954,Aileen,8
IL,F,1954,Angelia,8
IL,F,1954,Carleen,8
IL,F,1954,Carlene,8
IL,F,1954,Charla,8
IL,F,1954,Charles,8
IL,F,1954,Danielle,8
IL,F,1954,Darcel,8
IL,F,1954,Daryl,8
IL,F,1954,Estelle,8
IL,F,1954,Etta,8
IL,F,1954,Evon,8
IL,F,1954,Gaynell,8
IL,F,1954,Georgetta,8
IL,F,1954,Gerri,8
IL,F,1954,Jacklyn,8
IL,F,1954,Jaclyn,8
IL,F,1954,Jann,8
IL,F,1954,Janna,8
IL,F,1954,Jodie,8
IL,F,1954,Johnnie,8
IL,F,1954,Karyn,8
IL,F,1954,Kendra,8
IL,F,1954,Lourdes,8
IL,F,1954,Luz,8
IL,F,1954,Mable,8
IL,F,1954,Marci,8
IL,F,1954,Marijo,8
IL,F,1954,Marva,8
IL,F,1954,Mercedes,8
IL,F,1954,Merrie,8
IL,F,1954,Merrilee,8
IL,F,1954,Meryl,8
IL,F,1954,Mickey,8
