StateCode,Sex,YearOfBirth,Name,Number
IL,F,1963,Juliann,16
IL,F,1963,Lou,16
IL,F,1963,Marci,16
IL,F,1963,Nicolette,16
IL,F,1963,Roxann,16
IL,F,1963,Sheree,16
IL,F,1963,Abigail,15
IL,F,1963,Alana,15
IL,F,1963,Annamarie,15
IL,F,1963,Bernadine,15
IL,F,1963,Bridgett,15
IL,F,1963,Delia,15
IL,F,1963,Gabrielle,15
IL,F,1963,Georgette,15
IL,F,1963,Gerri,15
IL,F,1963,Hilda,15
IL,F,1963,Judi,15
IL,F,1963,Kathie,15
IL,F,1963,Leisa,15
IL,F,1963,Lenore,15
IL,F,1963,Letitia,15
IL,F,1963,Lorene,15
IL,F,1963,Lourdes,15
IL,F,1963,Maggie,15
IL,F,1963,Mariann,15
IL,F,1963,Marisa,15
IL,F,1963,Misty,15
IL,F,1963,Moira,15
IL,F,1963,Saundra,15
IL,F,1963,Shawna,15
IL,F,1963,Abby,14
IL,F,1963,Adrian,14
IL,F,1963,Deloris,14
IL,F,1963,Dona,14
IL,F,1963,Ernestine,14
IL,F,1963,Genevieve,14
IL,F,1963,Harriet,14
IL,F,1963,Jeanie,14
IL,F,1963,Jessie,14
IL,F,1963,Kate,14
IL,F,1963,Lesley,14
IL,F,1963,Lila,14
IL,F,1963,Lillie,14
IL,F,1963,Linnea,14
IL,F,1963,Malinda,14
IL,F,1963,Marisol,14
IL,F,1963,Randi,14
IL,F,1963,Robert,14
IL,F,1963,Rosetta,14
IL,F,1963,Roslyn,14
IL,F,1963,Susanna,14
IL,F,1963,Viola,14
IL,F,1963,Wendi,14
IL,F,1963,Adele,13
IL,F,1963,Aileen,13
IL,F,1963,Allyson,13
IL,F,1963,Avis,13
IL,F,1963,Blanca,13
IL,F,1963,Brooke,13
IL,F,1963,Eunice,13
IL,F,1963,Eve,13
IL,F,1963,Felecia,13
IL,F,1963,Flora,13
IL,F,1963,Joanie,13
IL,F,1963,Joellen,13
IL,F,1963,Julianna,13
IL,F,1963,Juliet,13
IL,F,1963,Kristie,13
IL,F,1963,Latanya,13
IL,F,1963,Lawanda,13
IL,F,1963,Loraine,13
IL,F,1963,Lorena,13
IL,F,1963,Madonna,13
IL,F,1963,Marylou,13
IL,F,1963,Melodie,13
IL,F,1963,Minerva,13
IL,F,1963,Rachelle,13
IL,F,1963,Roxane,13
IL,F,1963,Shelli,13
IL,F,1963,Tonja,13
IL,F,1963,Ursula,13
IL,F,1963,Whitney,13
IL,F,1963,Aimee,12
IL,F,1963,Angeline,12
IL,F,1963,Antonia,12
IL,F,1963,Bethany,12
IL,F,1963,Carmela,12
IL,F,1963,Charisse,12
IL,F,1963,Christi,12
IL,F,1963,Cornelia,12
IL,F,1963,Debi,12
IL,F,1963,Dinah,12
IL,F,1963,Dorene,12
IL,F,1963,Erika,12
IL,F,1963,Georgina,12
IL,F,1963,Hilary,12
IL,F,1963,Lavonne,12
IL,F,1963,Lola,12
IL,F,1963,Marilee,12
IL,F,1963,Maryanne,12
IL,F,1963,Missy,12
IL,F,1963,Nita,12
IL,F,1963,Pearl,12
IL,F,1963,Raquel,12
IL,F,1963,Rosalinda,12
IL,F,1963,Shellie,12
IL,F,1963,Shirl,12
IL,F,1963,Simone,12
IL,F,1963,Tamela,12
IL,F,1963,Valorie,12
IL,F,1963,Adrianne,11
IL,F,1963,Agnes,11
IL,F,1963,Alexandra,11
IL,F,1963,Annemarie,11
IL,F,1963,Antonette,11
IL,F,1963,Ava,11
IL,F,1963,Bessie,11
IL,F,1963,Carmel,11
IL,F,1963,Carmelita,11
IL,F,1963,Celestine,11
IL,F,1963,Cherri,11
IL,F,1963,Christa,11
IL,F,1963,Collette,11
IL,F,1963,Cora,11
IL,F,1963,Corrine,11
IL,F,1963,Danita,11
IL,F,1963,Demetria,11
IL,F,1963,Ellyn,11
IL,F,1963,Greta,11
IL,F,1963,Isabel,11
IL,F,1963,Jannette,11
IL,F,1963,Jeanna,11
IL,F,1963,Leanna,11
IL,F,1963,Leila,11
IL,F,1963,Lucia,11
IL,F,1963,Magdalena,11
IL,F,1963,Pennie,11
IL,F,1963,Rosalyn,11
IL,F,1963,Sandi,11
IL,F,1963,Twila,11
IL,F,1963,Valencia,11
IL,F,1963,Velma,11
IL,F,1963,Zena,11
IL,F,1963,Alecia,10
IL,F,1963,Cindi,10
IL,F,1963,Deeann,10
IL,F,1963,Dori,10
IL,F,1963,Elsie,10
IL,F,1963,Gaye,10
IL,F,1963,Inez,10
IL,F,1963,Janna,10
IL,F,1963,Karol,10
IL,F,1963,Katy,10
IL,F,1963,Kayla,10
IL,F,1963,Lela,10
IL,F,1963,Margot,10
IL,F,1963,Mattie,10
IL,F,1963,Meg,10
IL,F,1963,Melisa,10
IL,F,1963,Merry,10
IL,F,1963,Muriel,10
IL,F,1963,Natasha,10
IL,F,1963,Pattie,10
IL,F,1963,Ruthie,10
IL,F,1963,Selina,10
IL,F,1963,Serena,10
IL,F,1963,Sharron,10
IL,F,1963,Shauna,10
IL,F,1963,Staci,10
IL,F,1963,Starla,10
IL,F,1963,Suzy,10
IL,F,1963,Tammara,10
IL,F,1963,Thea,10
IL,F,1963,Valentina,10
IL,F,1963,Vernetta,10
IL,F,1963,Yolonda,10
IL,F,1963,Aleta,9
IL,F,1963,Alexis,9
IL,F,1963,Alfreda,9
IL,F,1963,Anastasia,9
IL,F,1963,Angelina,9
IL,F,1963,Anthony,9
IL,F,1963,Barbie,9
IL,F,1963,Brigette,9
IL,F,1963,Carmella,9
IL,F,1963,Carolynn,9
IL,F,1963,Chandra,9
IL,F,1963,Charla,9
IL,F,1963,Cherry,9
IL,F,1963,Clarice,9
IL,F,1963,Cristy,9
IL,F,1963,Dedra,9
IL,F,1963,Deidra,9
IL,F,1963,Doretha,9
IL,F,1963,Earline,9
IL,F,1963,Elissa,9
IL,F,1963,Fonda,9
IL,F,1963,Georgene,9
IL,F,1963,Germaine,9
IL,F,1963,Gia,9
IL,F,1963,Gigi,9
IL,F,1963,Jewel,9
IL,F,1963,Jonna,9
IL,F,1963,Juliette,9
IL,F,1963,Katharine,9
IL,F,1963,Kaye,9
IL,F,1963,Kevin,9
IL,F,1963,Kitty,9
IL,F,1963,Letha,9
IL,F,1963,Lise,9
IL,F,1963,Loriann,9
IL,F,1963,Lyn,9
IL,F,1963,Madeleine,9
IL,F,1963,Mara,9
IL,F,1963,Maritza,9
IL,F,1963,Nena,9
IL,F,1963,Norine,9
IL,F,1963,Renata,9
IL,F,1963,Rhea,9
IL,F,1963,Rhoda,9
IL,F,1963,Sallie,9
IL,F,1963,Shiela,9
IL,F,1963,Tari,9
IL,F,1963,Teena,9
IL,F,1963,Violet,9
IL,F,1963,Aida,8
IL,F,1963,Annetta,8
IL,F,1963,Beatriz,8
IL,F,1963,Becki,8
IL,F,1963,Bette,8
IL,F,1963,Bettina,8
IL,F,1963,Blanche,8
IL,F,1963,Candice,8
IL,F,1963,Cary,8
IL,F,1963,Caryl,8
IL,F,1963,Charles,8
IL,F,1963,Chiquita,8
IL,F,1963,Christel,8
IL,F,1963,Clarissa,8
IL,F,1963,Corinna,8
IL,F,1963,Cristina,8
IL,F,1963,Dale,8
IL,F,1963,Dalia,8
IL,F,1963,Dawna,8
IL,F,1963,Debbi,8
IL,F,1963,Demetrice,8
IL,F,1963,Donita,8
IL,F,1963,Dorothea,8
IL,F,1963,Earnestine,8
IL,F,1963,Eliza,8
IL,F,1963,Estella,8
IL,F,1963,Etta,8
IL,F,1963,Fay,8
IL,F,1963,Fern,8
IL,F,1963,Gertrude,8
IL,F,1963,Jacki,8
IL,F,1963,Jacque,8
IL,F,1963,Johnnie,8
IL,F,1963,Josefina,8
IL,F,1963,Kandy,8
IL,F,1963,Keri,8
IL,F,1963,Kristal,8
IL,F,1963,Lauretta,8
IL,F,1963,Lidia,8
IL,F,1963,Lita,8
IL,F,1963,Lonna,8
IL,F,1963,Loreen,8
IL,F,1963,Lorry,8
IL,F,1963,Marge,8
IL,F,1963,Marnita,8
IL,F,1963,Miranda,8
IL,F,1963,Mitzi,8
IL,F,1963,Nilsa,8
IL,F,1963,Paige,8
IL,F,1963,Pamala,8
IL,F,1963,Renae,8
IL,F,1963,Rosita,8
IL,F,1963,Selena,8
IL,F,1963,Shelby,8
IL,F,1963,Sherie,8
IL,F,1963,Tawana,8
IL,F,1963,Tonda,8
IL,F,1963,Twyla,8
IL,F,1963,Vikki,8
IL,F,1963,Ada,7
IL,F,1963,Angelica,7
IL,F,1963,Angelique,7
IL,F,1963,Athena,7
IL,F,1963,Aurora,7
IL,F,1963,Britt,7
IL,F,1963,Camilla,7
IL,F,1963,Carey,7
IL,F,1963,Carlotta,7
IL,F,1963,Carolina,7
IL,F,1963,Cinda,7
IL,F,1963,Coral,7
IL,F,1963,Corina,7
IL,F,1963,Corine,7
IL,F,1963,Daisy,7
IL,F,1963,Darci,7
IL,F,1963,Daria,7
IL,F,1963,Dawne,7
IL,F,1963,Demetra,7
IL,F,1963,Dominique,7
IL,F,1963,Dottie,7
IL,F,1963,Elvira,7
IL,F,1963,Felisa,7
IL,F,1963,Frankie,7
IL,F,1963,Freda,7
IL,F,1963,Georgiann,7
IL,F,1963,Ginny,7
IL,F,1963,Henrietta,7
IL,F,1963,Ilene,7
IL,F,1963,Jacalyn,7
IL,F,1963,Jaclyn,7
IL,F,1963,Janell,7
IL,F,1963,Jeana,7
IL,F,1963,Jerry,7
IL,F,1963,Jodee,7
IL,F,1963,Kandi,7
IL,F,1963,Karie,7
IL,F,1963,Katheryn,7
IL,F,1963,Kathrine,7
IL,F,1963,Kira,7
IL,F,1963,Krystal,7
IL,F,1963,Krystyna,7
IL,F,1963,Laurene,7
IL,F,1963,Libby,7
IL,F,1963,Lindsay,7
IL,F,1963,Lindsey,7
IL,F,1963,Linette,7
IL,F,1963,Lissa,7
IL,F,1963,Liza,7
IL,F,1963,Lizabeth,7
IL,F,1963,Louann,7
IL,F,1963,Madelyn,7
IL,F,1963,Margret,7
IL,F,1963,Marissa,7
IL,F,1963,Marlena,7
IL,F,1963,Marva,7
IL,F,1963,Maryellen,7
IL,F,1963,Michel,7
IL,F,1963,Milagros,7
IL,F,1963,Millie,7
IL,F,1963,Mimi,7
IL,F,1963,Monika,7
IL,F,1963,Nedra,7
IL,F,1963,Nereida,7
IL,F,1963,Nicki,7
IL,F,1963,Noemi,7
IL,F,1963,Opal,7
IL,F,1963,Ora,7
IL,F,1963,Paris,7
IL,F,1963,Portia,7
IL,F,1963,Richelle,7
IL,F,1963,Risa,7
IL,F,1963,Rochell,7
IL,F,1963,Romona,7
IL,F,1963,Ronna,7
IL,F,1963,Sarita,7
IL,F,1963,Sheena,7
IL,F,1963,Sherilyn,7
IL,F,1963,Starr,7
IL,F,1963,Suellen,7
IL,F,1963,Suzann,7
IL,F,1963,Tania,7
IL,F,1963,Toya,7
IL,F,1963,Troy,7
IL,F,1963,Valeria,7
