StateCode,Sex,YearOfBirth,Name,Number
IL,F,1992,Jacquelyn,58
IL,F,1992,Justine,58
IL,F,1992,Mia,58
IL,F,1992,Gabriella,57
IL,F,1992,Lydia,57
IL,F,1992,Tamara,57
IL,F,1992,Carla,56
IL,F,1992,Robin,56
IL,F,1992,Ann,55
IL,F,1992,Barbara,55
IL,F,1992,Cara,55
IL,F,1992,Elise,55
IL,F,1992,Jeanette,55
IL,F,1992,Naomi,55
IL,F,1992,Priscilla,55
IL,F,1992,Carissa,54
IL,F,1992,Martha,54
IL,F,1992,Natalia,54
IL,F,1992,Amelia,53
IL,F,1992,Angelina,53
IL,F,1992,Cassie,53
IL,F,1992,Faith,53
IL,F,1992,Hilary,53
IL,F,1992,Lacey,53
IL,F,1992,Liliana,53
IL,F,1992,Nicolette,53
IL,F,1992,Zoe,53
IL,F,1992,Gloria,52
IL,F,1992,Sharon,52
IL,F,1992,Devin,51
IL,F,1992,Janelle,51
IL,F,1992,Maritza,51
IL,F,1992,Michele,51
IL,F,1992,Savannah,51
IL,F,1992,Sonia,51
IL,F,1992,Vivian,51
IL,F,1992,Marlene,50
IL,F,1992,Allyson,49
IL,F,1992,Heidi,49
IL,F,1992,Marisa,48
IL,F,1992,Arielle,47
IL,F,1992,Aubrey,47
IL,F,1992,Elena,47
IL,F,1992,Jenny,47
IL,F,1992,Kate,47
IL,F,1992,Miriam,47
IL,F,1992,Paris,47
IL,F,1992,Bria,46
IL,F,1992,Brianne,46
IL,F,1992,Marina,46
IL,F,1992,Simone,46
IL,F,1992,Yvette,46
IL,F,1992,Carrie,45
IL,F,1992,Cecilia,45
IL,F,1992,Kari,45
IL,F,1992,Sophia,45
IL,F,1992,Stacy,45
IL,F,1992,Tracy,45
IL,F,1992,Britney,44
IL,F,1992,Cierra,44
IL,F,1992,Iesha,44
IL,F,1992,Leticia,44
IL,F,1992,Tyler,44
IL,F,1992,Virginia,44
IL,F,1992,Carmen,43
IL,F,1992,Jordyn,43
IL,F,1992,Kristine,43
IL,F,1992,Marilyn,43
IL,F,1992,Anastasia,42
IL,F,1992,Eva,42
IL,F,1992,Melody,42
IL,F,1992,Sylvia,42
IL,F,1992,Carolina,41
IL,F,1992,Clarissa,41
IL,F,1992,Donna,41
IL,F,1992,Hanna,41
IL,F,1992,Kailey,41
IL,F,1992,Kelsie,41
IL,F,1992,Latasha,41
IL,F,1992,Marisol,41
IL,F,1992,Melinda,41
IL,F,1992,Precious,41
IL,F,1992,Tori,41
IL,F,1992,Antoinette,40
IL,F,1992,Daniela,40
IL,F,1992,Ericka,40
IL,F,1992,Lisette,40
IL,F,1992,Maribel,40
IL,F,1992,Tanya,40
IL,F,1992,Alisha,39
IL,F,1992,Francesca,39
IL,F,1992,Kasey,39
IL,F,1992,Katlyn,39
IL,F,1992,Kellie,39
IL,F,1992,Regina,39
IL,F,1992,Rose,39
IL,F,1992,Tiana,39
IL,F,1992,Wendy,39
IL,F,1992,Callie,38
IL,F,1992,Nadia,38
IL,F,1992,Tessa,38
IL,F,1992,Adrianna,37
IL,F,1992,Alma,37
IL,F,1992,Ashleigh,37
IL,F,1992,Clare,37
IL,F,1992,Cortney,37
IL,F,1992,Devon,37
IL,F,1992,Eileen,37
IL,F,1992,Elisabeth,37
IL,F,1992,Jill,37
IL,F,1992,Katelynn,37
IL,F,1992,Tania,37
IL,F,1992,Trisha,37
IL,F,1992,Brittani,36
IL,F,1992,Dawn,36
IL,F,1992,Irene,36
IL,F,1992,Joy,36
IL,F,1992,Kaitlynn,36
IL,F,1992,Karissa,36
IL,F,1992,Madeleine,36
IL,F,1992,Pamela,36
IL,F,1992,Tanisha,36
IL,F,1992,Anita,35
IL,F,1992,Araceli,35
IL,F,1992,Charlotte,35
IL,F,1992,Christian,35
IL,F,1992,Deborah,35
IL,F,1992,Esmeralda,35
IL,F,1992,Esther,35
IL,F,1992,Genesis,35
IL,F,1992,Jaime,35
IL,F,1992,Karla,35
IL,F,1992,Tina,35
IL,F,1992,Viviana,35
IL,F,1992,Alyson,34
IL,F,1992,Arianna,34
IL,F,1992,Chanel,34
IL,F,1992,Katharine,34
IL,F,1992,Lorena,34
IL,F,1992,Mariana,34
IL,F,1992,Nora,34
IL,F,1992,Ruby,34
IL,F,1992,Sheila,34
IL,F,1992,Tia,34
IL,F,1992,Abbey,33
IL,F,1992,Chelsie,33
IL,F,1992,Helen,33
IL,F,1992,Ruth,33
IL,F,1992,Shawna,33
IL,F,1992,Toni,33
IL,F,1992,Yolanda,33
IL,F,1992,Dakota,32
IL,F,1992,Hope,32
IL,F,1992,Mariela,32
IL,F,1992,Rocio,32
IL,F,1992,Shana,32
IL,F,1992,Alana,31
IL,F,1992,Frances,31
IL,F,1992,Jane,31
IL,F,1992,Maureen,31
IL,F,1992,Paula,31
IL,F,1992,Shaniqua,31
IL,F,1992,Suzanne,31
IL,F,1992,Alice,30
IL,F,1992,Celeste,30
IL,F,1992,Ciera,30
IL,F,1992,Diane,30
IL,F,1992,Gianna,30
IL,F,1992,Juanita,30
IL,F,1992,Kelley,30
IL,F,1992,Kenya,30
IL,F,1992,Kristi,30
IL,F,1992,Maya,30
IL,F,1992,Monika,30
IL,F,1992,Robyn,30
IL,F,1992,Taryn,30
IL,F,1992,Carina,29
IL,F,1992,Cassidy,29
IL,F,1992,Corinne,29
IL,F,1992,Genevieve,29
IL,F,1992,Imani,29
IL,F,1992,Isabella,29
IL,F,1992,Josephine,29
IL,F,1992,Judith,29
IL,F,1992,Kaleigh,29
IL,F,1992,Kali,29
IL,F,1992,Kelsi,29
IL,F,1992,Lizbeth,29
IL,F,1992,Nikki,29
IL,F,1992,Shaina,29
IL,F,1992,Tayler,29
IL,F,1992,Annette,28
IL,F,1992,Breana,28
IL,F,1992,Brenna,28
IL,F,1992,Christa,28
IL,F,1992,Dorothy,28
IL,F,1992,Elisa,28
IL,F,1992,Johanna,28
IL,F,1992,Kourtney,28
IL,F,1992,Larissa,28
IL,F,1992,Lori,28
IL,F,1992,Ryan,28
IL,F,1992,Alaina,27
IL,F,1992,Beth,27
IL,F,1992,Breanne,27
IL,F,1992,Gwendolyn,27
IL,F,1992,Jalisa,27
IL,F,1992,Julianne,27
IL,F,1992,Kaley,27
IL,F,1992,Kendall,27
IL,F,1992,Kyla,27
IL,F,1992,Latoya,27
IL,F,1992,Latrice,27
IL,F,1992,Patrice,27
IL,F,1992,Randi,27
IL,F,1992,Rita,27
IL,F,1992,Sally,27
