StateCode,Sex,YearOfBirth,Name,Number
IL,F,1998,Cassandra,164
IL,F,1998,Miranda,163
IL,F,1998,Savannah,163
IL,F,1998,Shannon,163
IL,F,1998,Breanna,161
IL,F,1998,Leslie,159
IL,F,1998,Monica,158
IL,F,1998,Veronica,158
IL,F,1998,Erica,157
IL,F,1998,Hailey,157
IL,F,1998,Jada,157
IL,F,1998,Laura,157
IL,F,1998,Angelica,156
IL,F,1998,Autumn,154
IL,F,1998,Karina,154
IL,F,1998,Mia,154
IL,F,1998,Catherine,151
IL,F,1998,Zoe,150
IL,F,1998,Tiffany,149
IL,F,1998,Faith,147
IL,F,1998,Gabriela,147
IL,F,1998,Mikayla,146
IL,F,1998,Kaylee,145
IL,F,1998,Ariel,143
IL,F,1998,Cheyenne,142
IL,F,1998,Ariana,139
IL,F,1998,Caitlyn,138
IL,F,1998,Guadalupe,138
IL,F,1998,Alicia,137
IL,F,1998,Kylie,133
IL,F,1998,Meghan,133
IL,F,1998,Maya,132
IL,F,1998,Lindsey,131
IL,F,1998,Jamie,130
IL,F,1998,Gabriella,128
IL,F,1998,Jade,128
IL,F,1998,Katie,127
IL,F,1998,Kristen,126
IL,F,1998,Makayla,126
IL,F,1998,Madelyn,124
IL,F,1998,Carly,123
IL,F,1998,Erika,123
IL,F,1998,Heather,123
IL,F,1998,Cassidy,122
IL,F,1998,Adriana,119
IL,F,1998,Leah,119
IL,F,1998,Melanie,118
IL,F,1998,Michaela,118
IL,F,1998,Alejandra,116
IL,F,1998,Kaitlin,115
IL,F,1998,Bridget,113
IL,F,1998,Ana,112
IL,F,1998,Brenda,112
IL,F,1998,Evelyn,111
IL,F,1998,Kathleen,110
IL,F,1998,Dominique,107
IL,F,1998,Gianna,107
IL,F,1998,Kiara,106
IL,F,1998,Alondra,105
IL,F,1998,Deja,105
IL,F,1998,Bianca,104
IL,F,1998,Patricia,104
IL,F,1998,Giselle,100
IL,F,1998,Jasmin,98
IL,F,1998,Karen,96
IL,F,1998,Riley,95
IL,F,1998,Audrey,94
IL,F,1998,Lydia,94
IL,F,1998,Natalia,94
IL,F,1998,Claudia,92
IL,F,1998,Madeleine,91
IL,F,1998,Angel,90
IL,F,1998,Jazmin,90
IL,F,1998,Rachael,90
IL,F,1998,Kendall,88
IL,F,1998,Arianna,87
IL,F,1998,Christine,87
IL,F,1998,Jillian,87
IL,F,1998,Aaliyah,86
IL,F,1998,Hayley,86
IL,F,1998,Hope,86
IL,F,1998,Mckenzie,86
IL,F,1998,Jordyn,85
IL,F,1998,Anne,83
IL,F,1998,Cindy,83
IL,F,1998,Raven,83
IL,F,1998,Sandra,83
IL,F,1998,Selena,83
IL,F,1998,Karla,82
IL,F,1998,Kennedy,82
IL,F,1998,Alison,81
IL,F,1998,Hanna,81
IL,F,1998,Yesenia,81
IL,F,1998,Kendra,80
IL,F,1998,Tatiana,80
IL,F,1998,Chelsea,79
IL,F,1998,Delaney,79
IL,F,1998,Kara,79
IL,F,1998,Kyla,79
IL,F,1998,Nina,79
IL,F,1998,Daniela,78
IL,F,1998,Lindsay,78
IL,F,1998,Desiree,76
IL,F,1998,Nancy,76
IL,F,1998,Mya,75
IL,F,1998,Abby,74
IL,F,1998,Asia,74
IL,F,1998,Jazmine,74
IL,F,1998,Kyra,74
IL,F,1998,Lily,74
IL,F,1998,Skylar,74
IL,F,1998,Dana,73
IL,F,1998,Imani,73
IL,F,1998,Lillian,73
IL,F,1998,Mercedes,73
IL,F,1998,Isabelle,71
