StateCode,Sex,YearOfBirth,Name,Number
IL,F,2008,Miyah,7
IL,F,2008,Naila,7
IL,F,2008,Nalani,7
IL,F,2008,Nariyah,7
IL,F,2008,Nell,7
IL,F,2008,Niyah,7
IL,F,2008,Noel,7
IL,F,2008,Norma,7
IL,F,2008,Nuha,7
IL,F,2008,Peighton,7
IL,F,2008,Quincy,7
IL,F,2008,Raelyn,7
IL,F,2008,Raine,7
IL,F,2008,Rania,7
IL,F,2008,Reece,7
IL,F,2008,Rhianna,7
IL,F,2008,Robyn,7
IL,F,2008,Romy,7
IL,F,2008,Ruthie,7
IL,F,2008,Rylan,7
IL,F,2008,Sana,7
IL,F,2008,Savana,7
IL,F,2008,Scarlet,7
IL,F,2008,Selene,7
IL,F,2008,Shae,7
IL,F,2008,Sheridan,7
IL,F,2008,Suha,7
IL,F,2008,Sunny,7
IL,F,2008,Takayla,7
IL,F,2008,Takiyah,7
IL,F,2008,Tanvi,7
IL,F,2008,Taya,7
IL,F,2008,Tierra,7
IL,F,2008,Trisha,7
IL,F,2008,Valarie,7
IL,F,2008,Venus,7
IL,F,2008,Viridiana,7
IL,F,2008,Winter,7
IL,F,2008,Xitlali,7
IL,F,2008,Yamile,7
IL,F,2008,Yamileth,7
IL,F,2008,Yazmine,7
IL,F,2008,Yessenia,7
IL,F,2008,Yoselyn,7
IL,F,2008,Zaara,7
IL,F,2008,Zoee,7
IL,F,2008,Zulema,7
IL,F,2008,Adaline,6
IL,F,2008,Adia,6
IL,F,2008,Adison,6
IL,F,2008,Adisyn,6
IL,F,2008,Aishwarya,6
IL,F,2008,Akyra,6
IL,F,2008,Alanah,6
IL,F,2008,Alanis,6
IL,F,2008,Alesia,6
IL,F,2008,Alisa,6
IL,F,2008,Aliviah,6
IL,F,2008,Allyssa,6
IL,F,2008,Alysia,6
IL,F,2008,Amal,6
IL,F,2008,Amariana,6
IL,F,2008,Amariyah,6
IL,F,2008,Ambrielle,6
IL,F,2008,Amora,6
IL,F,2008,Amyah,6
IL,F,2008,Anaiah,6
IL,F,2008,Anayah,6
IL,F,2008,Aneesa,6
IL,F,2008,Angeles,6
IL,F,2008,Antoinette,6
IL,F,2008,Anyla,6
IL,F,2008,Aolani,6
IL,F,2008,Ari,6
IL,F,2008,Arlene,6
IL,F,2008,Arrianna,6
IL,F,2008,Arushi,6
IL,F,2008,Ashari,6
IL,F,2008,Ashton,6
IL,F,2008,Aubrianna,6
IL,F,2008,Audrie,6
IL,F,2008,Aundrea,6
IL,F,2008,Avani,6
