StateCode,Sex,YearOfBirth,Name,Number
IL,M,1922,Avery,5
IL,M,1922,Barney,5
IL,M,1922,Benjiman,5
IL,M,1922,Bennett,5
IL,M,1922,Bernell,5
IL,M,1922,Berwyn,5
IL,M,1922,Blaine,5
IL,M,1922,Bud,5
IL,M,1922,Carlton,5
IL,M,1922,Carter,5
IL,M,1922,Christy,5
IL,M,1922,Clem,5
IL,M,1922,Danny,5
IL,M,1922,Delmer,5
IL,M,1922,Dewitt,5
IL,M,1922,Dexter,5
IL,M,1922,Donal,5
IL,M,1922,Dorothy,5
IL,M,1922,Dudley,5
IL,M,1922,Duke,5
IL,M,1922,Edsel,5
IL,M,1922,Emerson,5
IL,M,1922,Emory,5
IL,M,1922,Foster,5
IL,M,1922,Francisco,5
IL,M,1922,Galen,5
IL,M,1922,Garrett,5
IL,M,1922,Hilbert,5
IL,M,1922,Hollis,5
IL,M,1922,Hugo,5
IL,M,1922,Jacques,5
IL,M,1922,Jerald,5
IL,M,1922,Jeremiah,5
IL,M,1922,Jess,5
IL,M,1922,Jewel,5
IL,M,1922,Jonathan,5
IL,M,1922,Jordan,5
IL,M,1922,Kevin,5
IL,M,1922,Laddie,5
IL,M,1922,Lindell,5
IL,M,1922,Logan,5
IL,M,1922,Ludwig,5
IL,M,1922,Mason,5
IL,M,1922,Medard,5
IL,M,1922,Monroe,5
IL,M,1922,Monte,5
IL,M,1922,Morgan,5
IL,M,1922,Newton,5
IL,M,1922,Norval,5
IL,M,1922,Odell,5
IL,M,1922,Olin,5
IL,M,1922,Omar,5
IL,M,1922,Orrin,5
IL,M,1922,Pasquale,5
IL,M,1922,Ramon,5
IL,M,1922,Reed,5
IL,M,1922,Rene,5
IL,M,1922,Royce,5
IL,M,1922,Rubin,5
IL,M,1922,Rufus,5
IL,M,1922,Sigurd,5
IL,M,1922,Terry,5
IL,M,1922,Tommie,5
IL,M,1922,Vance,5
IL,M,1922,Verlin,5
IL,M,1922,Wally,5
IL,M,1922,Walton,5
IL,M,1922,Warner,5
IL,M,1922,Wilburt,5
IL,M,1922,Will,5
IL,M,1923,Robert,4165
IL,M,1923,John,3348
IL,M,1923,William,3009
IL,M,1923,James,2225
IL,M,1923,Charles,1683
IL,M,1923,George,1649
IL,M,1923,Edward,1616
IL,M,1923,Joseph,1393
IL,M,1923,Richard,1348
IL,M,1923,Donald,1195
IL,M,1923,Frank,1021
IL,M,1923,Raymond,938
IL,M,1923,Harold,919
IL,M,1923,Paul,811
IL,M,1923,Walter,808
IL,M,1923,Thomas,752
IL,M,1923,Kenneth,689
IL,M,1923,Arthur,651
IL,M,1923,Eugene,617
IL,M,1923,Jack,596
IL,M,1923,Harry,541
IL,M,1923,Ralph,530
IL,M,1923,Henry,527
IL,M,1923,Albert,524
IL,M,1923,Howard,457
IL,M,1923,Leonard,439
IL,M,1923,Carl,397
IL,M,1923,Stanley,395
IL,M,1923,Clarence,393
IL,M,1923,Louis,392
IL,M,1923,Lawrence,387
IL,M,1923,Earl,379
IL,M,1923,David,363
IL,M,1923,Warren,346
IL,M,1923,Roy,333
IL,M,1923,Fred,325
IL,M,1923,Chester,324
IL,M,1923,Francis,315
IL,M,1923,Anthony,305
IL,M,1923,Edwin,297
IL,M,1923,Bernard,293
IL,M,1923,Norman,282
IL,M,1923,Russell,268
IL,M,1923,Leo,260
IL,M,1923,Elmer,256
IL,M,1923,Joe,256
IL,M,1923,Melvin,255
IL,M,1923,Marvin,248
IL,M,1923,Gerald,246
IL,M,1923,Peter,245
IL,M,1923,Alfred,235
IL,M,1923,Herbert,231
IL,M,1923,Wayne,225
IL,M,1923,Daniel,212
IL,M,1923,Michael,212
IL,M,1923,Leroy,210
IL,M,1923,Ray,197
IL,M,1923,Ernest,194
IL,M,1923,Vernon,193
IL,M,1923,Theodore,190
IL,M,1923,Glenn,186
IL,M,1923,Frederick,180
IL,M,1923,Andrew,178
IL,M,1923,Dale,176
IL,M,1923,Floyd,174
IL,M,1923,Martin,172
IL,M,1923,Lloyd,169
IL,M,1923,Clifford,157
IL,M,1923,Lester,151
IL,M,1923,Gordon,149
IL,M,1923,Herman,147
IL,M,1923,Sam,146
IL,M,1923,Victor,140
IL,M,1923,Philip,135
IL,M,1923,Vincent,134
IL,M,1923,Maurice,133
IL,M,1923,Samuel,128
IL,M,1923,Virgil,124
IL,M,1923,Jerome,122
IL,M,1923,Wallace,122
IL,M,1923,Willard,122
IL,M,1923,Wilbur,118
IL,M,1923,Alvin,117
IL,M,1923,Roger,116
IL,M,1923,Edmund,115
IL,M,1923,Lewis,113
IL,M,1923,Everett,110
IL,M,1923,Leon,110
IL,M,1923,Marion,110
IL,M,1923,Steve,110
IL,M,1923,Clyde,109
IL,M,1923,Milton,108
IL,M,1923,Leslie,107
IL,M,1923,Arnold,103
IL,M,1923,Emil,102
IL,M,1923,Glen,100
IL,M,1923,Jesse,96
IL,M,1923,Rudolph,96
IL,M,1923,Billy,94
IL,M,1923,Orville,93
IL,M,1923,Harvey,92
IL,M,1923,Edgar,91
IL,M,1923,Mike,91
IL,M,1923,Don,89
IL,M,1923,Norbert,89
IL,M,1923,Gene,88
