StateCode,Sex,YearOfBirth,Name,Number
IL,M,1941,Otis,28
IL,M,1941,Reginald,28
IL,M,1941,Alex,27
IL,M,1941,Eldon,27
IL,M,1941,Gale,27
IL,M,1941,Ira,27
IL,M,1941,Laverne,27
IL,M,1941,Morris,27
IL,M,1941,Pat,27
IL,M,1941,Phil,27
IL,M,1941,Rodger,27
IL,M,1941,Angelo,26
IL,M,1941,Jan,26
IL,M,1941,Kevin,26
IL,M,1941,Oscar,26
IL,M,1941,Tyrone,26
IL,M,1941,Wallace,26
IL,M,1941,Anton,25
IL,M,1941,Freddie,25
IL,M,1941,Ivan,25
IL,M,1941,Jerrold,25
IL,M,1941,Orville,25
IL,M,1941,Terrance,25
IL,M,1941,Willis,25
IL,M,1941,Dominic,24
IL,M,1941,Forrest,24
IL,M,1941,Jeff,24
IL,M,1941,Lance,24
IL,M,1941,Mitchell,24
IL,M,1941,Noel,24
IL,M,1941,Rudolph,24
IL,M,1941,Billie,23
IL,M,1941,Carroll,23
IL,M,1941,Chris,23
IL,M,1941,Clayton,23
IL,M,1941,Delmar,23
IL,M,1941,Melvyn,23
IL,M,1941,Perry,23
IL,M,1941,Scott,23
IL,M,1941,Stewart,23
IL,M,1941,Clifton,22
IL,M,1941,Donnie,22
IL,M,1941,Gerry,22
IL,M,1941,Neal,22
IL,M,1941,Nelson,22
IL,M,1941,Norbert,22
IL,M,1941,Benny,21
IL,M,1941,Burton,21
IL,M,1941,Clinton,21
IL,M,1941,Ed,21
IL,M,1941,Gerard,21
IL,M,1941,Grant,21
IL,M,1941,Hubert,21
IL,M,1941,Sylvester,21
IL,M,1941,Tim,21
IL,M,1941,Ben,20
IL,M,1941,Christopher,20
IL,M,1941,Jacob,20
IL,M,1941,Kenny,20
IL,M,1941,Malcolm,20
IL,M,1941,Oliver,20
IL,M,1941,August,19
IL,M,1941,Bert,19
IL,M,1941,Geoffrey,19
IL,M,1941,Johnnie,19
IL,M,1941,Owen,19
IL,M,1941,Teddy,19
IL,M,1941,Andy,18
IL,M,1941,Chuck,18
IL,M,1941,Clark,18
IL,M,1941,Errol,18
IL,M,1941,Homer,18
IL,M,1941,Luther,18
IL,M,1941,Manuel,18
IL,M,1941,Merrill,18
IL,M,1941,Salvatore,18
IL,M,1941,Thaddeus,18
IL,M,1941,Archie,17
IL,M,1941,Daryl,17
IL,M,1941,Doyle,17
IL,M,1941,Nathaniel,17
IL,M,1941,Rex,17
IL,M,1941,Art,16
IL,M,1941,Bruno,16
IL,M,1941,Dallas,16
IL,M,1941,Darrel,16
IL,M,1941,Harley,16
IL,M,1941,Jonathan,16
IL,M,1941,Marc,16
IL,M,1941,Mary,16
IL,M,1941,Pete,16
IL,M,1941,Rudy,16
IL,M,1941,Todd,16
IL,M,1941,Al,15
IL,M,1941,Harlan,15
IL,M,1941,Irvin,15
IL,M,1941,Jerold,15
IL,M,1941,Julius,15
IL,M,1941,Sanford,15
IL,M,1941,Spencer,15
IL,M,1941,Wilbert,15
IL,M,1941,Aaron,14
