StateCode,Sex,YearOfBirth,Name,Number
IL,M,1969,Michelle,9
IL,M,1969,Miles,9
IL,M,1969,Odell,9
IL,M,1969,Ramiro,9
IL,M,1969,Reid,9
IL,M,1969,Santos,9
IL,M,1969,Theron,9
IL,M,1969,Tomas,9
IL,M,1969,Torrance,9
IL,M,1969,Torrence,9
IL,M,1969,Trenton,9
IL,M,1969,Wilbur,9
IL,M,1969,Wilfred,9
IL,M,1969,Winston,9
IL,M,1969,Alexis,8
IL,M,1969,Anibal,8
IL,M,1969,Antwan,8
IL,M,1969,Ari,8
IL,M,1969,Aric,8
IL,M,1969,Bert,8
IL,M,1969,Brant,8
IL,M,1969,Brenton,8
IL,M,1969,Chadwick,8
IL,M,1969,Conrad,8
IL,M,1969,Curtiss,8
IL,M,1969,Danial,8
IL,M,1969,Daron,8
IL,M,1969,Dedric,8
IL,M,1969,Dejuan,8
IL,M,1969,Derrell,8
IL,M,1969,Domingo,8
IL,M,1969,Garland,8
IL,M,1969,Gerry,8
IL,M,1969,Guillermo,8
IL,M,1969,Harley,8
IL,M,1969,Homer,8
IL,M,1969,Ignacio,8
IL,M,1969,Jake,8
IL,M,1969,Jamison,8
IL,M,1969,Jan,8
IL,M,1969,Jarrett,8
IL,M,1969,Jerold,8
IL,M,1969,Jerrold,8
IL,M,1969,Josef,8
IL,M,1969,Kenyatta,8
IL,M,1969,Kermit,8
IL,M,1969,Keven,8
IL,M,1969,Kimberly,8
IL,M,1969,Kip,8
IL,M,1969,Laverne,8
IL,M,1969,Lisa,8
IL,M,1969,Marlin,8
IL,M,1969,Mauricio,8
IL,M,1969,Micah,8
IL,M,1969,Napoleon,8
IL,M,1969,Noe,8
IL,M,1969,Quinn,8
IL,M,1969,Reggie,8
IL,M,1969,Reuben,8
IL,M,1969,Rhett,8
IL,M,1969,Rico,8
IL,M,1969,Rodrigo,8
IL,M,1969,Shayne,8
IL,M,1969,Willis,8
IL,M,1969,Woodrow,8
IL,M,1969,Andreas,7
