StateCode,Sex,YearOfBirth,Name,Number
IL,M,1998,Chase,189
IL,M,1998,Jesse,189
IL,M,1998,Jorge,189
IL,M,1998,Paul,182
IL,M,1998,Omar,181
IL,M,1998,Bryce,176
IL,M,1998,Eduardo,176
IL,M,1998,Edward,176
IL,M,1998,Colin,174
IL,M,1998,Cristian,173
IL,M,1998,Mason,172
IL,M,1998,Erik,171
IL,M,1998,Grant,169
IL,M,1998,Marcus,169
IL,M,1998,Martin,169
IL,M,1998,George,168
IL,M,1998,Jeffrey,168
IL,M,1998,Xavier,168
IL,M,1998,Jeremiah,166
IL,M,1998,Collin,164
IL,M,1998,Maxwell,162
IL,M,1998,Ricardo,161
IL,M,1998,Scott,160
IL,M,1998,Vincent,156
IL,M,1998,Alexis,155
IL,M,1998,Seth,154
IL,M,1998,Edgar,152
IL,M,1998,Ivan,152
IL,M,1998,Jackson,150
IL,M,1998,Brett,147
IL,M,1998,Marco,147
IL,M,1998,Tanner,147
IL,M,1998,Joel,146
IL,M,1998,Tristan,145
IL,M,1998,Corey,143
IL,M,1998,Garrett,143
IL,M,1998,Stephen,142
IL,M,1998,Spencer,141
IL,M,1998,Dominic,138
IL,M,1998,Max,137
IL,M,1998,Mario,134
IL,M,1998,Colton,133
IL,M,1998,Diego,131
IL,M,1998,Devon,130
IL,M,1998,Cesar,127
IL,M,1998,Henry,127
IL,M,1998,Nicolas,123
IL,M,1998,Darius,122
IL,M,1998,Riley,120
IL,M,1998,Derek,119
IL,M,1998,Travis,119
IL,M,1998,Gavin,118
IL,M,1998,Liam,118
IL,M,1998,Javier,115
IL,M,1998,Fernando,114
IL,M,1998,Francisco,113
IL,M,1998,Gregory,113
IL,M,1998,Jalen,113
IL,M,1998,Manuel,113
IL,M,1998,Clayton,109
IL,M,1998,Johnathan,108
IL,M,1998,Shane,108
IL,M,1998,Andres,105
IL,M,1998,Derrick,105
IL,M,1998,Edwin,105
IL,M,1998,Giovanni,105
IL,M,1998,Pedro,105
IL,M,1998,Roberto,105
IL,M,1998,Shawn,105
IL,M,1998,Raymond,104
IL,M,1998,Dustin,102
IL,M,1998,Andre,101
IL,M,1998,Frank,101
IL,M,1998,Alan,100
IL,M,1998,Taylor,98
IL,M,1998,Jonathon,97
IL,M,1998,Aidan,96
IL,M,1998,Sergio,94
IL,M,1998,Ronald,93
IL,M,1998,Enrique,92
IL,M,1998,Erick,91
IL,M,1998,Keith,91
