StateCode,Sex,YearOfBirth,Name,Number
IN,F,1919,Olga,21
IN,F,1919,Rosalie,21
IN,F,1919,Iva,20
IN,F,1919,Lottie,20
IN,F,1919,Angeline,19
IN,F,1919,Joyce,19
IN,F,1919,Peggy,19
IN,F,1919,Susie,19
IN,F,1919,Cleo,18
IN,F,1919,Flora,18
IN,F,1919,Gwendolyn,18
IN,F,1919,Leah,18
IN,F,1919,Clarice,17
IN,F,1919,Elma,17
IN,F,1919,Ilene,17
IN,F,1919,Laverne,17
IN,F,1919,Lorena,17
IN,F,1919,Adeline,16
IN,F,1919,Beverly,16
IN,F,1919,Cecelia,16
IN,F,1919,Dorotha,16
IN,F,1919,Letha,16
IN,F,1919,Madonna,16
IN,F,1919,Marjory,16
IN,F,1919,Muriel,16
IN,F,1919,Nettie,16
IN,F,1919,Neva,16
IN,F,1919,Regina,16
IN,F,1919,Sally,16
IN,F,1919,Arlene,15
IN,F,1919,Bettye,15
IN,F,1919,Constance,15
IN,F,1919,Isabelle,15
IN,F,1919,Jewell,15
IN,F,1919,Mamie,15
IN,F,1919,Marilyn,15
IN,F,1919,Mattie,15
IN,F,1919,Bettie,14
IN,F,1919,Christina,14
IN,F,1919,Crystal,14
IN,F,1919,Effie,14
IN,F,1919,Estella,14
IN,F,1919,Evalyn,14
IN,F,1919,Ina,14
IN,F,1919,Lillie,14
IN,F,1919,Lydia,14
IN,F,1919,Sophia,14
IN,F,1919,Susan,14
IN,F,1919,Treva,14
IN,F,1919,Amy,13
IN,F,1919,Hattie,13
IN,F,1919,Janice,13
IN,F,1919,May,13
IN,F,1919,Ora,13
IN,F,1919,Rowena,13
IN,F,1919,Cecilia,12
IN,F,1919,Celia,12
IN,F,1919,Charlene,12
IN,F,1919,Donnabelle,12
IN,F,1919,Elaine,12
IN,F,1919,Enid,12
IN,F,1919,Fay,12
IN,F,1919,Freida,12
IN,F,1919,Helene,12
IN,F,1919,Joanna,12
IN,F,1919,Rosetta,12
IN,F,1919,Veronica,12
IN,F,1919,Alvina,11
IN,F,1919,Annetta,11
IN,F,1919,Annette,11
IN,F,1919,Bernadine,11
IN,F,1919,Dorthy,11
IN,F,1919,Elinor,11
IN,F,1919,Elva,11
IN,F,1919,Fannie,11
IN,F,1919,Helena,11
IN,F,1919,Iona,11
IN,F,1919,Lavonne,11
IN,F,1919,Lelah,11
IN,F,1919,Lenore,11
IN,F,1919,Leora,11
IN,F,1919,Loraine,11
IN,F,1919,Lula,11
IN,F,1919,Marcia,11
IN,F,1919,Mayme,11
IN,F,1919,Sue,11
IN,F,1919,Addie,10
IN,F,1919,Alyce,10
IN,F,1919,Annabel,10
IN,F,1919,Dortha,10
IN,F,1919,Eugenia,10
IN,F,1919,Flossie,10
IN,F,1919,Jewel,10
IN,F,1919,Joy,10
IN,F,1919,Lenora,10
IN,F,1919,Leola,10
IN,F,1919,Lora,10
IN,F,1919,Pansy,10
IN,F,1919,Rhoda,10
IN,F,1919,Rosella,10
IN,F,1919,Sadie,10
IN,F,1919,Amelia,9
IN,F,1919,Billie,9
IN,F,1919,Claire,9
IN,F,1919,Cornelia,9
IN,F,1919,Estelle,9
IN,F,1919,Isabel,9
IN,F,1919,Katheryn,9
IN,F,1919,Lila,9
IN,F,1919,Maryellen,9
IN,F,1919,Maude,9
IN,F,1919,Merle,9
IN,F,1919,Nelda,9
IN,F,1919,Nola,9
IN,F,1919,Priscilla,9
IN,F,1919,Theda,9
IN,F,1919,Agatha,8
IN,F,1919,Aline,8
IN,F,1919,Amanda,8
IN,F,1919,Eula,8
IN,F,1919,Glenna,8
IN,F,1919,Gloria,8
IN,F,1919,Gretchen,8
IN,F,1919,Hester,8
IN,F,1919,Hope,8
IN,F,1919,Iola,8
IN,F,1919,Joanne,8
IN,F,1919,Kay,8
IN,F,1919,Maggie,8
IN,F,1919,Marcelle,8
IN,F,1919,Matilda,8
IN,F,1919,Mona,8
IN,F,1919,Suzanne,8
