StateCode,Sex,YearOfBirth,Name,Number
IN,F,1942,Faye,23
IN,F,1942,Lynne,23
IN,F,1942,Margo,23
IN,F,1942,Velma,23
IN,F,1942,Vickie,23
IN,F,1942,Audrey,22
IN,F,1942,Bette,22
IN,F,1942,Hazel,22
IN,F,1942,Vera,22
IN,F,1942,Maureen,21
IN,F,1942,Melinda,21
IN,F,1942,Pearl,21
IN,F,1942,Violet,21
IN,F,1942,Cheryl,20
IN,F,1942,Deloris,20
IN,F,1942,Janis,20
IN,F,1942,Marcella,20
IN,F,1942,Stephanie,20
IN,F,1942,Viola,20
IN,F,1942,Ada,19
IN,F,1942,Elsie,19
IN,F,1942,Gretchen,19
IN,F,1942,Harriet,19
IN,F,1942,Jayne,19
IN,F,1942,Leona,19
IN,F,1942,Madeline,19
IN,F,1942,Terry,19
IN,F,1942,Verna,19
IN,F,1942,Vicky,19
IN,F,1942,Yvonne,19
IN,F,1942,Agnes,18
IN,F,1942,Annette,18
IN,F,1942,Carmen,18
IN,F,1942,Cecilia,18
IN,F,1942,Freda,18
IN,F,1942,Jennie,18
IN,F,1942,Joanna,18
IN,F,1942,Susie,18
IN,F,1942,Veronica,18
IN,F,1942,Faith,17
IN,F,1942,Gwendolyn,17
IN,F,1942,Jerilyn,17
IN,F,1942,Marion,17
IN,F,1942,Patti,17
IN,F,1942,Ramona,17
IN,F,1942,Valerie,17
IN,F,1942,Amy,16
IN,F,1942,Dana,16
IN,F,1942,Ella,16
IN,F,1942,Eunice,16
IN,F,1942,Karon,16
IN,F,1942,Leah,16
IN,F,1942,Leslie,16
IN,F,1942,Lucy,16
IN,F,1942,Bertha,15
IN,F,1942,Colleen,15
IN,F,1942,Deborah,15
IN,F,1942,Erma,15
IN,F,1942,Geneva,15
IN,F,1942,Jeannette,15
IN,F,1942,Jenny,15
IN,F,1942,Beulah,14
IN,F,1942,Blanche,14
IN,F,1942,Dora,14
IN,F,1942,Eloise,14
IN,F,1942,Glenna,14
IN,F,1942,Harriett,14
IN,F,1942,Irma,14
IN,F,1942,Jeraldine,14
IN,F,1942,Judie,14
IN,F,1942,Ladonna,14
IN,F,1942,Lydia,14
IN,F,1942,Nora,14
IN,F,1942,Betsy,13
IN,F,1942,Cora,13
IN,F,1942,Daisy,13
IN,F,1942,Henrietta,13
IN,F,1942,Iris,13
IN,F,1942,Jeannine,13
IN,F,1942,Karin,13
IN,F,1942,Lila,13
IN,F,1942,Lou,13
IN,F,1942,Madonna,13
IN,F,1942,Miriam,13
IN,F,1942,Mona,13
IN,F,1942,Nellie,13
IN,F,1942,Regina,13
IN,F,1942,Rosetta,13
IN,F,1942,Sherrie,13
IN,F,1942,Tamara,13
IN,F,1942,Winifred,13
IN,F,1942,Bernice,12
IN,F,1942,Janie,12
IN,F,1942,Lela,12
IN,F,1942,Melody,12
IN,F,1942,Nila,12
IN,F,1942,Opal,12
IN,F,1942,Penelope,12
IN,F,1942,Teresa,12
IN,F,1942,Treva,12
IN,F,1942,Willa,12
IN,F,1942,Bernadine,11
IN,F,1942,Bobbie,11
IN,F,1942,Carla,11
IN,F,1942,Caryl,11
IN,F,1942,Cecelia,11
IN,F,1942,Dee,11
IN,F,1942,Etta,11
IN,F,1942,Iva,11
IN,F,1942,Lorene,11
IN,F,1942,Lucinda,11
IN,F,1942,Maria,11
IN,F,1942,Melba,11
IN,F,1942,Myrtle,11
IN,F,1942,Rosalyn,11
IN,F,1942,Sonia,11
IN,F,1942,Cathy,10
IN,F,1942,Jeri,10
IN,F,1942,Judi,10
IN,F,1942,Mabel,10
IN,F,1942,Marilynn,10
IN,F,1942,Nadine,10
IN,F,1942,Roxie,10
IN,F,1942,Sallie,10
IN,F,1942,Toni,10
IN,F,1942,Angela,9
IN,F,1942,Beverley,9
IN,F,1942,Cindy,9
IN,F,1942,Darleen,9
IN,F,1942,Dona,9
IN,F,1942,Eugenia,9
IN,F,1942,Gale,9
IN,F,1942,Gertrude,9
IN,F,1942,Ina,9
IN,F,1942,Inez,9
IN,F,1942,Jan,9
IN,F,1942,Jerri,9
IN,F,1942,Kaaren,9
IN,F,1942,Karren,9
IN,F,1942,Kaye,9
IN,F,1942,Laverne,9
IN,F,1942,Lena,9
IN,F,1942,Lenora,9
IN,F,1942,Lorna,9
IN,F,1942,Luella,9
IN,F,1942,Marguerite,9
IN,F,1942,Marla,9
IN,F,1942,Nelda,9
IN,F,1942,Neva,9
IN,F,1942,Renee,9
IN,F,1942,Rosalee,9
IN,F,1942,Shannon,9
IN,F,1942,Sherrill,9
IN,F,1942,Sheryl,9
IN,F,1942,Sonya,9
IN,F,1942,Annabelle,8
IN,F,1942,Christina,8
IN,F,1942,Dawn,8
IN,F,1942,Dian,8
IN,F,1942,Earlene,8
IN,F,1942,Elnora,8
IN,F,1942,Ernestine,8
IN,F,1942,Ginger,8
IN,F,1942,Jeannie,8
IN,F,1942,Jessie,8
IN,F,1942,Jewell,8
IN,F,1942,John,8
IN,F,1942,Madelyn,8
IN,F,1942,Mariann,8
IN,F,1942,Marilee,8
IN,F,1942,Marna,8
IN,F,1942,Marylou,8
IN,F,1942,Melva,8
IN,F,1942,Minnie,8
IN,F,1942,Monica,8
IN,F,1942,Muriel,8
IN,F,1942,Nona,8
IN,F,1942,Pauletta,8
IN,F,1942,Robert,8
IN,F,1942,Rosalind,8
IN,F,1942,Rosemarie,8
IN,F,1942,Ruthann,8
IN,F,1942,Shelby,8
IN,F,1942,Therese,8
IN,F,1942,Trudy,8
IN,F,1942,Bettye,7
IN,F,1942,Cassandra,7
IN,F,1942,Cathleen,7
IN,F,1942,Dinah,7
IN,F,1942,Edwina,7
IN,F,1942,Fay,7
IN,F,1942,Fern,7
IN,F,1942,Flora,7
IN,F,1942,Frieda,7
IN,F,1942,Georgianna,7
IN,F,1942,Gerry,7
IN,F,1942,Jana,7
IN,F,1942,Juliann,7
IN,F,1942,Kathie,7
IN,F,1942,Larry,7
IN,F,1942,Lora,7
IN,F,1942,Mable,7
IN,F,1942,Molly,7
IN,F,1942,Olive,7
IN,F,1942,Polly,7
IN,F,1942,Portia,7
IN,F,1942,Sharen,7
IN,F,1942,Sharlene,7
IN,F,1942,Suellen,7
IN,F,1942,Tonya,7
IN,F,1942,Waneta,7
IN,F,1942,Wendy,7
IN,F,1942,Winona,7
IN,F,1942,Alicia,6
IN,F,1942,Amanda,6
IN,F,1942,Amelia,6
IN,F,1942,Annetta,6
IN,F,1942,Antoinette,6
IN,F,1942,Carolynn,6
IN,F,1942,Cherie,6
IN,F,1942,Dolly,6
IN,F,1942,Elinor,6
IN,F,1942,Freida,6
IN,F,1942,Garnet,6
IN,F,1942,Hattie,6
IN,F,1942,Hilda,6
IN,F,1942,Jacklyn,6
IN,F,1942,Janette,6
IN,F,1942,Jeane,6
IN,F,1942,Jeanetta,6
IN,F,1942,Jeanie,6
IN,F,1942,Johanna,6
IN,F,1942,Karan,6
IN,F,1942,Karla,6
IN,F,1942,Laurel,6
IN,F,1942,Lula,6
IN,F,1942,Malinda,6
IN,F,1942,Merrily,6
IN,F,1942,Merry,6
IN,F,1942,Nedra,6
IN,F,1942,Nita,6
IN,F,1942,Nola,6
IN,F,1942,Pattie,6
IN,F,1942,Reva,6
IN,F,1942,Rhea,6
IN,F,1942,Rosanne,6
IN,F,1942,Roselyn,6
IN,F,1942,Rosie,6
IN,F,1942,Shari,6
IN,F,1942,Suzan,6
IN,F,1942,Tanya,6
IN,F,1942,Theodora,6
IN,F,1942,Tina,6
IN,F,1942,Vonda,6
IN,F,1942,Adrienne,5
IN,F,1942,Alta,5
IN,F,1942,Bessie,5
IN,F,1942,Carrie,5
IN,F,1942,Clarice,5
IN,F,1942,Claudette,5
IN,F,1942,Cleta,5
IN,F,1942,Crystal,5
IN,F,1942,Darla,5
IN,F,1942,Delilah,5
IN,F,1942,Diann,5
IN,F,1942,Elva,5
IN,F,1942,Eula,5
IN,F,1942,Francine,5
IN,F,1942,Georgeann,5
IN,F,1942,Georgetta,5
IN,F,1942,Helene,5
IN,F,1942,Imogene,5
IN,F,1942,Iona,5
IN,F,1942,Jannie,5
IN,F,1942,Jennifer,5
IN,F,1942,Jerilynn,5
IN,F,1942,Jewel,5
IN,F,1942,Julianne,5
IN,F,1942,Karol,5
IN,F,1942,Katharine,5
IN,F,1942,Katie,5
IN,F,1942,Lauretta,5
IN,F,1942,Lavonne,5
IN,F,1942,Leanne,5
IN,F,1942,Lee,5
IN,F,1942,Lenore,5
IN,F,1942,Leota,5
IN,F,1942,Letitia,5
IN,F,1942,Lillie,5
IN,F,1942,Lilly,5
IN,F,1942,Lolita,5
IN,F,1942,Louann,5
IN,F,1942,Lynette,5
IN,F,1942,Madaline,5
IN,F,1942,Mae,5
IN,F,1942,Marita,5
IN,F,1942,Marlyn,5
IN,F,1942,Marva,5
IN,F,1942,Marylin,5
IN,F,1942,Mattie,5
IN,F,1942,Merle,5
IN,F,1942,Michael,5
IN,F,1942,Millicent,5
IN,F,1942,Mollie,5
IN,F,1942,Nan,5
IN,F,1942,Nancie,5
IN,F,1942,Nikki,5
IN,F,1942,Ollie,5
IN,F,1942,Phillis,5
IN,F,1942,Rae,5
IN,F,1942,Rhoda,5
IN,F,1942,Rochelle,5
IN,F,1942,Ronald,5
IN,F,1942,Rosa,5
IN,F,1942,Sherron,5
IN,F,1942,Susanne,5
IN,F,1942,William,5
IN,F,1942,Willie,5
IN,F,1943,Mary,1587
IN,F,1943,Linda,1267
IN,F,1943,Sharon,1211
IN,F,1943,Judith,1009
IN,F,1943,Patricia,983
IN,F,1943,Barbara,967
IN,F,1943,Sandra,956
IN,F,1943,Nancy,803
IN,F,1943,Carolyn,773
IN,F,1943,Carol,764
IN,F,1943,Karen,726
IN,F,1943,Judy,683
IN,F,1943,Janet,600
IN,F,1943,Donna,530
IN,F,1943,Betty,470
IN,F,1943,Joyce,433
IN,F,1943,Shirley,413
IN,F,1943,Marilyn,383
IN,F,1943,Susan,378
IN,F,1943,Janice,375
IN,F,1943,Margaret,349
IN,F,1943,Beverly,347
IN,F,1943,Phyllis,328
IN,F,1943,Ruth,317
IN,F,1943,Bonnie,296
IN,F,1943,Martha,280
IN,F,1943,Connie,233
IN,F,1943,Diana,229
IN,F,1943,Sue,227
IN,F,1943,Joan,211
IN,F,1943,Virginia,210
IN,F,1943,Diane,205
IN,F,1943,Elizabeth,205
IN,F,1943,Pamela,203
IN,F,1943,Brenda,202
IN,F,1943,Kathleen,202
IN,F,1943,Dorothy,197
IN,F,1943,Gloria,197
IN,F,1943,Rita,197
IN,F,1943,Jane,188
IN,F,1943,Carole,187
IN,F,1943,Peggy,178
IN,F,1943,Alice,173
