StateCode,Sex,YearOfBirth,Name,Number
IN,F,1958,Roxie,6
IN,F,1958,Sandi,6
IN,F,1958,Shellie,6
IN,F,1958,Sheryle,6
IN,F,1958,Susanne,6
IN,F,1958,Tama,6
IN,F,1958,Tari,6
IN,F,1958,Toby,6
IN,F,1958,Valorie,6
IN,F,1958,Viola,6
IN,F,1958,Violet,6
IN,F,1958,Vonda,6
IN,F,1958,William,6
IN,F,1958,Abbie,5
IN,F,1958,Abigail,5
IN,F,1958,Alisa,5
IN,F,1958,Angelina,5
IN,F,1958,Annetta,5
IN,F,1958,Athena,5
IN,F,1958,Bette,5
IN,F,1958,Bettina,5
IN,F,1958,Blanca,5
IN,F,1958,Brian,5
IN,F,1958,Bridgette,5
IN,F,1958,Brigitte,5
IN,F,1958,Callie,5
IN,F,1958,Catharine,5
IN,F,1958,Clare,5
IN,F,1958,Cornelia,5
IN,F,1958,Daisy,5
IN,F,1958,Dayna,5
IN,F,1958,Deann,5
IN,F,1958,Deanne,5
IN,F,1958,Denice,5
IN,F,1958,Edwina,5
IN,F,1958,Elnora,5
IN,F,1958,Elsie,5
IN,F,1958,Elva,5
IN,F,1958,Estella,5
IN,F,1958,Etta,5
IN,F,1958,Evon,5
IN,F,1958,Felecia,5
IN,F,1958,Flora,5
IN,F,1958,Gena,5
IN,F,1958,Geri,5
IN,F,1958,Goldie,5
IN,F,1958,Ingrid,5
IN,F,1958,Irma,5
IN,F,1958,Isabel,5
IN,F,1958,Kara,5
IN,F,1958,Karolyn,5
IN,F,1958,Laureen,5
IN,F,1958,Lissa,5
IN,F,1958,Londa,5
IN,F,1958,Lonna,5
IN,F,1958,Lonnie,5
IN,F,1958,Maggie,5
IN,F,1958,Mariann,5
IN,F,1958,Martina,5
IN,F,1958,Marty,5
IN,F,1958,Maryellen,5
IN,F,1958,Micki,5
IN,F,1958,Nada,5
IN,F,1958,Nancee,5
IN,F,1958,Nanci,5
IN,F,1958,Nedra,5
IN,F,1958,Nellie,5
IN,F,1958,Neva,5
IN,F,1958,Nicki,5
IN,F,1958,Nyla,5
IN,F,1958,Paige,5
IN,F,1958,Pauletta,5
IN,F,1958,Perri,5
IN,F,1958,Rachael,5
IN,F,1958,Reba,5
IN,F,1958,Ronna,5
IN,F,1958,Rosanne,5
