StateCode,Sex,YearOfBirth,Name,Number
IN,F,1972,Jean,28
IN,F,1972,Marie,28
IN,F,1972,Sonja,28
IN,F,1972,Cara,27
IN,F,1972,Jana,27
IN,F,1972,Lana,27
IN,F,1972,Lesley,27
IN,F,1972,Stefanie,27
IN,F,1972,Tammie,27
IN,F,1972,Yvette,27
IN,F,1972,Amie,26
IN,F,1972,Christie,26
IN,F,1972,Keri,26
IN,F,1972,Lorie,26
IN,F,1972,Sylvia,26
IN,F,1972,Tabitha,26
IN,F,1972,Tisha,26
IN,F,1972,Latasha,25
IN,F,1972,Melisa,25
IN,F,1972,Audrey,24
IN,F,1972,Brooke,24
IN,F,1972,Christi,24
IN,F,1972,Darlene,24
IN,F,1972,Jennie,24
IN,F,1972,Monique,24
IN,F,1972,Wanda,24
IN,F,1972,Cherie,23
IN,F,1972,Lee,23
IN,F,1972,Lynette,23
IN,F,1972,Shana,23
IN,F,1972,Candice,22
IN,F,1972,Juanita,22
IN,F,1972,Tabatha,22
IN,F,1972,Tami,22
IN,F,1972,Wendi,22
IN,F,1972,Dianna,21
IN,F,1972,Jami,21
IN,F,1972,Jenifer,21
IN,F,1972,Joan,21
IN,F,1972,Antoinette,20
IN,F,1972,Dena,20
IN,F,1972,Dina,20
IN,F,1972,Elaine,20
IN,F,1972,Evelyn,20
IN,F,1972,Helen,20
IN,F,1972,Latonya,20
IN,F,1972,Alisha,19
IN,F,1972,Desiree,19
IN,F,1972,Emma,19
IN,F,1972,Janelle,19
IN,F,1972,Jo,19
IN,F,1972,Leann,19
IN,F,1972,Marilyn,19
IN,F,1972,Michael,19
IN,F,1972,Nina,19
IN,F,1972,Ruby,19
IN,F,1972,Shirley,19
IN,F,1972,Sonia,19
IN,F,1972,Adrienne,18
IN,F,1972,Leigh,18
IN,F,1972,Lois,18
IN,F,1972,Marcie,18
IN,F,1972,Norma,18
IN,F,1972,Sally,18
IN,F,1972,Tammi,18
IN,F,1972,Angelia,17
IN,F,1972,Daphne,17
IN,F,1972,Gloria,17
IN,F,1972,Irene,17
IN,F,1972,Katie,17
IN,F,1972,Kenya,17
IN,F,1972,Lillian,17
IN,F,1972,Sondra,17
IN,F,1972,Tamika,17
IN,F,1972,Angelique,16
IN,F,1972,Audra,16
IN,F,1972,Carey,16
IN,F,1972,Cari,16
IN,F,1972,Caroline,16
IN,F,1972,Faith,16
IN,F,1972,Frances,16
IN,F,1972,Glenda,16
IN,F,1972,Joann,16
IN,F,1972,Kirsten,16
IN,F,1972,Ladonna,16
IN,F,1972,Lashawn,16
IN,F,1972,Lucinda,16
IN,F,1972,Malinda,16
IN,F,1972,Priscilla,16
IN,F,1972,Raquel,16
IN,F,1972,Shari,16
IN,F,1972,Stacia,16
IN,F,1972,Candi,15
IN,F,1972,Casey,15
IN,F,1972,Chandra,15
IN,F,1972,Chris,15
IN,F,1972,Cristina,15
IN,F,1972,Ericka,15
IN,F,1972,Esther,15
IN,F,1972,Gena,15
IN,F,1972,Kimberlee,15
IN,F,1972,Lara,15
IN,F,1972,Marjorie,15
IN,F,1972,Shelli,15
IN,F,1972,Sue,15
IN,F,1972,Tanisha,15
IN,F,1972,Terry,15
IN,F,1972,Edith,14
IN,F,1972,Jeanne,14
IN,F,1972,Joanne,14
IN,F,1972,Latanya,14
IN,F,1972,Leanne,14
IN,F,1972,Lydia,14
IN,F,1972,Marci,14
IN,F,1972,Maureen,14
IN,F,1972,Patty,14
IN,F,1972,Tawana,14
IN,F,1972,Vicky,14
IN,F,1972,Alisa,13
IN,F,1972,Ayanna,13
IN,F,1972,Bethany,13
IN,F,1972,Bridgette,13
IN,F,1972,Camille,13
IN,F,1972,Carissa,13
IN,F,1972,Cassie,13
IN,F,1972,Claudia,13
IN,F,1972,Dionne,13
IN,F,1972,Doris,13
IN,F,1972,Eva,13
IN,F,1972,Kami,13
IN,F,1972,Latisha,13
IN,F,1972,Marcella,13
IN,F,1972,Misti,13
IN,F,1972,Naomi,13
IN,F,1972,Phyllis,13
IN,F,1972,Ramona,13
IN,F,1972,Shanda,13
IN,F,1972,Sherrie,13
IN,F,1972,Vonda,13
IN,F,1972,Alexandra,12
IN,F,1972,Autumn,12
IN,F,1972,Chastity,12
IN,F,1972,Cindi,12
IN,F,1972,Constance,12
IN,F,1972,Corina,12
IN,F,1972,Edna,12
IN,F,1972,Grace,12
IN,F,1972,India,12
IN,F,1972,Jama,12
IN,F,1972,Jeannie,12
IN,F,1972,Jeri,12
IN,F,1972,Julianne,12
IN,F,1972,Latoya,12
IN,F,1972,Lauren,12
IN,F,1972,Lorraine,12
IN,F,1972,Paige,12
IN,F,1972,Rene,12
IN,F,1972,Rosemary,12
IN,F,1972,Roxanne,12
IN,F,1972,Shane,12
IN,F,1972,Shanna,12
IN,F,1972,Tia,12
IN,F,1972,Wilma,12
IN,F,1972,Amelia,11
IN,F,1972,Brandie,11
IN,F,1972,Clara,11
IN,F,1972,Darcy,11
IN,F,1972,Gayle,11
IN,F,1972,Jacquelyn,11
IN,F,1972,James,11
IN,F,1972,Jerri,11
IN,F,1972,Joni,11
IN,F,1972,June,11
IN,F,1972,Lauri,11
IN,F,1972,Leanna,11
IN,F,1972,Lynne,11
IN,F,1972,Lynnette,11
IN,F,1972,Marianne,11
IN,F,1972,Mia,11
IN,F,1972,Polly,11
IN,F,1972,Rebekah,11
IN,F,1972,Shelia,11
IN,F,1972,Tiffani,11
IN,F,1972,Alexis,10
IN,F,1972,Angelina,10
IN,F,1972,Anissa,10
