StateCode,Sex,YearOfBirth,Name,Number
IN,F,1997,Bianca,21
IN,F,1997,Callie,21
IN,F,1997,Cara,21
IN,F,1997,Harley,21
IN,F,1997,Jacquelyn,21
IN,F,1997,Kali,21
IN,F,1997,Lexus,21
IN,F,1997,Madalyn,21
IN,F,1997,Mckayla,21
IN,F,1997,Tiara,21
IN,F,1997,Addison,20
IN,F,1997,Alaina,20
IN,F,1997,Alivia,20
IN,F,1997,Colleen,20
IN,F,1997,Heaven,20
IN,F,1997,Josephine,20
IN,F,1997,Makenna,20
IN,F,1997,Maya,20
IN,F,1997,Shayna,20
IN,F,1997,Annie,19
IN,F,1997,Carley,19
IN,F,1997,Christian,19
IN,F,1997,Hailee,19
IN,F,1997,Kierra,19
IN,F,1997,Kourtney,19
IN,F,1997,Larissa,19
IN,F,1997,Leslie,19
IN,F,1997,Meagan,19
IN,F,1997,Rylee,19
IN,F,1997,Tayler,19
IN,F,1997,Tiana,19
IN,F,1997,Ashlynn,18
IN,F,1997,Esther,18
IN,F,1997,Joy,18
IN,F,1997,Kaley,18
IN,F,1997,Karissa,18
IN,F,1997,Kassandra,18
IN,F,1997,Kelsi,18
IN,F,1997,Kiana,18
IN,F,1997,Kiley,18
IN,F,1997,Linda,18
IN,F,1997,Martha,18
IN,F,1997,Melinda,18
IN,F,1997,Regan,18
IN,F,1997,Rose,18
IN,F,1997,Susan,18
IN,F,1997,Alana,17
IN,F,1997,Antonia,17
IN,F,1997,Camille,17
IN,F,1997,Cassie,17
IN,F,1997,Charity,17
IN,F,1997,Claudia,17
IN,F,1997,Cortney,17
IN,F,1997,Cynthia,17
IN,F,1997,Deanna,17
IN,F,1997,Devin,17
IN,F,1997,Isabelle,17
IN,F,1997,Janelle,17
IN,F,1997,Jasmin,17
IN,F,1997,Krystal,17
IN,F,1997,Lisa,17
IN,F,1997,Randi,17
IN,F,1997,Regina,17
IN,F,1997,Ruth,17
IN,F,1997,Sandra,17
IN,F,1997,Tamara,17
IN,F,1997,Alexia,16
IN,F,1997,Aliyah,16
IN,F,1997,Brook,16
IN,F,1997,Ciera,16
IN,F,1997,Clarissa,16
IN,F,1997,Donna,16
IN,F,1997,Gina,16
IN,F,1997,Jazmine,16
IN,F,1997,Jessie,16
IN,F,1997,Justine,16
IN,F,1997,Karlie,16
IN,F,1997,Kaylynn,16
IN,F,1997,Madisyn,16
IN,F,1997,Nancy,16
IN,F,1997,Shelbi,16
IN,F,1997,Sylvia,16
IN,F,1997,Tatiana,16
IN,F,1997,Tia,16
IN,F,1997,Barbara,15
IN,F,1997,Brandy,15
IN,F,1997,Breana,15
