StateCode,Sex,YearOfBirth,Name,Number
IN,F,2006,Gracelynn,6
IN,F,2006,Gracen,6
IN,F,2006,Hillary,6
IN,F,2006,Jadelynn,6
IN,F,2006,Jaliyah,6
IN,F,2006,Jalyn,6
IN,F,2006,Jamia,6
IN,F,2006,Janae,6
IN,F,2006,Janice,6
IN,F,2006,Jill,6
IN,F,2006,Johana,6
IN,F,2006,Jolene,6
IN,F,2006,Josalyn,6
IN,F,2006,Josey,6
IN,F,2006,Joyce,6
IN,F,2006,Juliet,6
IN,F,2006,Kairi,6
IN,F,2006,Kalli,6
IN,F,2006,Kalyn,6
IN,F,2006,Kalynn,6
IN,F,2006,Kamara,6
IN,F,2006,Karli,6
IN,F,2006,Kaylen,6
IN,F,2006,Kayley,6
IN,F,2006,Kelsi,6
IN,F,2006,Kierstin,6
IN,F,2006,Kori,6
IN,F,2006,Laina,6
IN,F,2006,Lamya,6
IN,F,2006,Leann,6
IN,F,2006,Leigha,6
IN,F,2006,Lesly,6
IN,F,2006,Lillyanna,6
IN,F,2006,Livia,6
IN,F,2006,Lorna,6
IN,F,2006,Lucinda,6
IN,F,2006,Lyndsey,6
IN,F,2006,Maeve,6
IN,F,2006,Magdalen,6
IN,F,2006,Makala,6
IN,F,2006,Makena,6
IN,F,2006,Malinda,6
IN,F,2006,Margarita,6
IN,F,2006,Maureen,6
IN,F,2006,Maycee,6
IN,F,2006,Mayra,6
IN,F,2006,Meadow,6
IN,F,2006,Melany,6
IN,F,2006,Melia,6
IN,F,2006,Miah,6
IN,F,2006,Miley,6
IN,F,2006,Myla,6
IN,F,2006,Naima,6
IN,F,2006,Olyvia,6
IN,F,2006,Paityn,6
IN,F,2006,Raelynn,6
IN,F,2006,Rhyan,6
IN,F,2006,Rory,6
IN,F,2006,Ryanna,6
IN,F,2006,Sahara,6
IN,F,2006,Saige,6
IN,F,2006,Saniah,6
IN,F,2006,Shyann,6
IN,F,2006,Stacey,6
IN,F,2006,Taya,6
IN,F,2006,Thalia,6
IN,F,2006,Treasure,6
IN,F,2006,Triniti,6
IN,F,2006,Tyla,6
IN,F,2006,Tyler,6
IN,F,2006,Viola,6
IN,F,2006,Viviana,6
IN,F,2006,Yareli,6
IN,F,2006,Yasmine,6
IN,F,2006,Zaria,6
IN,F,2006,Abbigayle,5
IN,F,2006,Adalynn,5
IN,F,2006,Adele,5
IN,F,2006,Aidan,5
IN,F,2006,Aileen,5
IN,F,2006,Aiyana,5
IN,F,2006,Alannah,5
IN,F,2006,Alea,5
IN,F,2006,Alexcia,5
IN,F,2006,Alisa,5
IN,F,2006,Aliviah,5
IN,F,2006,Allissa,5
IN,F,2006,Anastacia,5
IN,F,2006,Annabell,5
IN,F,2006,Anneliese,5
IN,F,2006,Aracely,5
IN,F,2006,Areli,5
IN,F,2006,Arionna,5
IN,F,2006,Ariyana,5
IN,F,2006,Ashlie,5
IN,F,2006,Ashlin,5
IN,F,2006,Ashtyn,5
IN,F,2006,Audree,5
IN,F,2006,Audriana,5
IN,F,2006,Berkley,5
IN,F,2006,Brooklynne,5
IN,F,2006,Calleigh,5
IN,F,2006,Calli,5
IN,F,2006,Cameran,5
IN,F,2006,Carys,5
IN,F,2006,Caydence,5
IN,F,2006,Caylin,5
IN,F,2006,Charlize,5
IN,F,2006,Chesney,5
IN,F,2006,Cienna,5
IN,F,2006,Claira,5
IN,F,2006,Dania,5
IN,F,2006,Deborah,5
IN,F,2006,Desirae,5
IN,F,2006,Destiney,5
IN,F,2006,Dior,5
IN,F,2006,Dixie,5
IN,F,2006,Ellery,5
IN,F,2006,Elly,5
IN,F,2006,Ember,5
IN,F,2006,Emmaleigh,5
IN,F,2006,Emmie,5
IN,F,2006,Ericka,5
