StateCode,Sex,YearOfBirth,Name,Number
IN,F,2015,Maci,52
IN,F,2015,Paige,52
IN,F,2015,Brianna,51
IN,F,2015,Camila,51
IN,F,2015,Jordyn,51
IN,F,2015,Luna,51
IN,F,2015,Alyssa,50
IN,F,2015,Finley,50
IN,F,2015,Morgan,50
IN,F,2015,Nova,50
IN,F,2015,Sawyer,50
IN,F,2015,Cecilia,49
IN,F,2015,Alice,48
IN,F,2015,Julia,48
IN,F,2015,Maria,48
IN,F,2015,Gracelyn,47
IN,F,2015,Hayden,47
IN,F,2015,Izabella,47
IN,F,2015,Athena,46
IN,F,2015,Isla,46
IN,F,2015,Kinley,46
IN,F,2015,Presley,46
IN,F,2015,Rose,46
IN,F,2015,Addilyn,45
IN,F,2015,Elena,45
IN,F,2015,Harmony,45
IN,F,2015,Jenna,45
IN,F,2015,Liliana,45
IN,F,2015,Mariah,45
IN,F,2015,Laila,43
IN,F,2015,Paislee,43
IN,F,2015,Adelyn,42
IN,F,2015,Arabella,42
IN,F,2015,Makenna,42
IN,F,2015,Melody,42
IN,F,2015,Rachel,42
IN,F,2015,Georgia,41
IN,F,2015,Maggie,41
IN,F,2015,Vanessa,41
IN,F,2015,Alexandria,40
IN,F,2015,Brynlee,40
IN,F,2015,Eloise,40
IN,F,2015,Emersyn,40
IN,F,2015,Jasmine,40
IN,F,2015,Kimberly,40
IN,F,2015,Makayla,40
IN,F,2015,Delaney,39
IN,F,2015,Fiona,39
IN,F,2015,Genesis,39
IN,F,2015,Gracelynn,39
IN,F,2015,Ryleigh,39
IN,F,2015,Teagan,39
IN,F,2015,Arya,38
IN,F,2015,Elaina,38
IN,F,2015,Gianna,38
IN,F,2015,Kenzie,38
IN,F,2015,Anastasia,37
IN,F,2015,Charlie,37
IN,F,2015,Genevieve,37
IN,F,2015,Lilliana,37
IN,F,2015,Marley,37
IN,F,2015,Rebecca,37
IN,F,2015,Daisy,36
IN,F,2015,Hope,36
IN,F,2015,Londyn,36
IN,F,2015,Lucille,36
IN,F,2015,Aliyah,35
IN,F,2015,Allie,35
IN,F,2015,Briella,35
IN,F,2015,Elliana,35
IN,F,2015,Journey,35
IN,F,2015,Kaydence,35
IN,F,2015,Lola,35
IN,F,2015,Madilyn,35
IN,F,2015,Makenzie,35
IN,F,2015,Mckenna,35
IN,F,2015,Rosalie,35
IN,F,2015,Ariel,34
IN,F,2015,Emilia,34
IN,F,2015,Haley,34
IN,F,2015,Kamryn,34
IN,F,2015,Katelyn,34
IN,F,2015,Ainsley,33
IN,F,2015,Alexandra,33
IN,F,2015,Amiyah,33
IN,F,2015,Cali,33
IN,F,2015,Gabrielle,33
IN,F,2015,Kate,33
IN,F,2015,Lila,33
IN,F,2015,Lilah,33
IN,F,2015,Mckinley,33
IN,F,2015,Parker,33
IN,F,2015,Payton,33
IN,F,2015,Phoebe,33
IN,F,2015,Raelyn,33
IN,F,2015,Ashley,32
IN,F,2015,Averie,32
IN,F,2015,Evangeline,32
IN,F,2015,Haven,32
IN,F,2015,Natalia,32
IN,F,2015,Tessa,32
IN,F,2015,Andrea,31
IN,F,2015,Catherine,31
IN,F,2015,Elise,31
IN,F,2015,Evelynn,31
IN,F,2015,Noelle,31
IN,F,2015,Adelynn,30
IN,F,2015,Brinley,30
IN,F,2015,Bristol,30
IN,F,2015,Elsie,30
IN,F,2015,Esther,30
IN,F,2015,Gwendolyn,30
IN,F,2015,Kaitlyn,30
IN,F,2015,Katie,30
IN,F,2015,Kayla,30
IN,F,2015,Ruth,30
IN,F,2015,Adaline,29
IN,F,2015,Heidi,29
IN,F,2015,Juliana,29
IN,F,2015,June,29
IN,F,2015,Madelynn,29
IN,F,2015,Mckenzie,29
IN,F,2015,Phoenix,29
IN,F,2015,Rowan,29
IN,F,2015,Alana,28
IN,F,2015,Braelynn,28
IN,F,2015,Camille,28
IN,F,2015,Charlee,28
IN,F,2015,Felicity,28
IN,F,2015,Olive,28
IN,F,2015,Summer,28
IN,F,2015,Amy,27
IN,F,2015,Angela,27
IN,F,2015,Aubrie,27
IN,F,2015,Brooke,27
IN,F,2015,Brynn,27
IN,F,2015,Dakota,27
IN,F,2015,Harley,27
IN,F,2015,Kali,27
IN,F,2015,Remington,27
IN,F,2015,Stephanie,27
IN,F,2015,Baylee,26
IN,F,2015,Bethany,26
IN,F,2015,Ember,26
IN,F,2015,Juliet,26
IN,F,2015,Kara,26
IN,F,2015,Kathryn,26
IN,F,2015,Kylee,26
IN,F,2015,Macy,26
IN,F,2015,Mariana,26
IN,F,2015,Raven,26
IN,F,2015,River,26
IN,F,2015,Thea,26
IN,F,2015,Ximena,26
IN,F,2015,Addyson,25
IN,F,2015,Jada,25
IN,F,2015,Julianna,25
IN,F,2015,Justice,25
IN,F,2015,Mallory,25
IN,F,2015,Myla,25
IN,F,2015,Aleah,24
IN,F,2015,Angel,24
IN,F,2015,Aniyah,24
IN,F,2015,Annalise,24
IN,F,2015,Blakely,24
IN,F,2015,Chelsea,24
IN,F,2015,Gemma,24
IN,F,2015,Isabel,24
IN,F,2015,Jayla,24
IN,F,2015,Kaylynn,24
IN,F,2015,Kyra,24
IN,F,2015,Leilani,24
IN,F,2015,Lena,24
IN,F,2015,Lyric,24
IN,F,2015,Vivienne,24
IN,F,2015,Addilynn,23
IN,F,2015,Allyson,23
IN,F,2015,Brylee,23
IN,F,2015,Destiny,23
IN,F,2015,Hattie,23
IN,F,2015,Jane,23
IN,F,2015,Joanna,23
IN,F,2015,Kayleigh,23
IN,F,2015,Keira,23
IN,F,2015,Lexi,23
IN,F,2015,Madilynn,23
IN,F,2015,Valerie,23
IN,F,2015,Amanda,22
IN,F,2015,Amara,22
IN,F,2015,Amina,22
IN,F,2015,Ashlynn,22
IN,F,2015,Cynthia,22
IN,F,2015,Juliette,22
IN,F,2015,Kyleigh,22
IN,F,2015,Megan,22
IN,F,2015,Melissa,22
IN,F,2015,Skyler,22
IN,F,2015,Vera,22
IN,F,2015,Adriana,21
IN,F,2015,Alayah,21
IN,F,2015,Ashlyn,21
IN,F,2015,Braelyn,21
IN,F,2015,Carmen,21
IN,F,2015,Charleigh,21
IN,F,2015,Jennifer,21
IN,F,2015,Karlee,21
IN,F,2015,Lainey,21
IN,F,2015,Miriam,21
IN,F,2015,Monroe,21
IN,F,2015,Raegan,21
IN,F,2015,Sienna,21
IN,F,2015,Valeria,21
IN,F,2015,Addalynn,20
IN,F,2015,Adrianna,20
IN,F,2015,Alina,20
IN,F,2015,Braylee,20
IN,F,2015,Bridget,20
IN,F,2015,Carly,20
IN,F,2015,Cheyenne,20
IN,F,2015,Daphne,20
IN,F,2015,Hallie,20
IN,F,2015,Haylee,20
IN,F,2015,Heaven,20
IN,F,2015,Jessica,20
IN,F,2015,Jillian,20
IN,F,2015,Kynlee,20
IN,F,2015,Macie,20
IN,F,2015,Millie,20
IN,F,2015,Nadia,20
IN,F,2015,Rebekah,20
IN,F,2015,Shelby,20
IN,F,2015,Ada,19
IN,F,2015,Adelaide,19
IN,F,2015,Ariah,19
IN,F,2015,Charli,19
IN,F,2015,Elaine,19
IN,F,2015,Emilee,19
IN,F,2015,Emmalyn,19
IN,F,2015,Eve,19
IN,F,2015,Julie,19
IN,F,2015,Kennedi,19
IN,F,2015,Maddison,19
IN,F,2015,Michelle,19
IN,F,2015,Sara,19
IN,F,2015,Tenley,19
IN,F,2015,Ayla,18
IN,F,2015,Cadence,18
IN,F,2015,Erin,18
IN,F,2015,Harlow,18
IN,F,2015,Henley,18
IN,F,2015,Jacqueline,18
IN,F,2015,Jordan,18
IN,F,2015,Journee,18
IN,F,2015,Lucia,18
IN,F,2015,Macey,18
IN,F,2015,Marissa,18
IN,F,2015,Marlee,18
IN,F,2015,Nicole,18
IN,F,2015,Sabrina,18
IN,F,2015,Sloane,18
IN,F,2015,Tatum,18
IN,F,2015,Ana,17
IN,F,2015,Annabella,17
IN,F,2015,Annie,17
IN,F,2015,Charley,17
IN,F,2015,Dylan,17
IN,F,2015,Gia,17
IN,F,2015,Helen,17
IN,F,2015,Jaylynn,17
IN,F,2015,Kora,17
IN,F,2015,Kyla,17
IN,F,2015,Madalyn,17
IN,F,2015,Maeve,17
IN,F,2015,Malia,17
IN,F,2015,Mikayla,17
IN,F,2015,Miranda,17
IN,F,2015,Nola,17
IN,F,2015,Wren,17
IN,F,2015,Alexia,16
IN,F,2015,Amber,16
IN,F,2015,Avalyn,16
IN,F,2015,Camryn,16
IN,F,2015,Coraline,16
IN,F,2015,Danielle,16
IN,F,2015,Diana,16
IN,F,2015,Elle,16
IN,F,2015,Evie,16
IN,F,2015,Farrah,16
IN,F,2015,Hadassah,16
IN,F,2015,Jessa,16
IN,F,2015,Kaylin,16
IN,F,2015,Kendra,16
IN,F,2015,Kinslee,16
IN,F,2015,Kira,16
IN,F,2015,Laura,16
IN,F,2015,Lennon,16
