StateCode,Sex,YearOfBirth,Name,Number
IN,M,1936,Dennis,72
IN,M,1936,Ronnie,72
IN,M,1936,Glenn,70
IN,M,1936,Louis,68
IN,M,1936,Bernard,67
IN,M,1936,Dick,66
IN,M,1936,Gordon,65
IN,M,1936,Ray,64
IN,M,1936,Terry,64
IN,M,1936,Bobby,63
IN,M,1936,Bruce,63
IN,M,1936,Francis,61
IN,M,1936,Jimmy,61
IN,M,1936,Allen,60
IN,M,1936,Keith,59
IN,M,1936,Leonard,59
IN,M,1936,Glen,58
IN,M,1936,Rex,58
IN,M,1936,Floyd,57
IN,M,1936,Henry,56
IN,M,1936,Jimmie,56
IN,M,1936,Herbert,55
IN,M,1936,Lowell,53
IN,M,1936,Clifford,52
IN,M,1936,Samuel,51
IN,M,1936,Darrell,50
IN,M,1936,Lloyd,50
IN,M,1936,Virgil,50
IN,M,1936,Leroy,48
IN,M,1936,Lester,48
IN,M,1936,Stephen,47
IN,M,1936,Tommy,47
IN,M,1936,Lee,46
IN,M,1936,Theodore,46
IN,M,1936,Arnold,44
IN,M,1936,Dean,44
IN,M,1936,Edwin,44
IN,M,1936,Marion,44
IN,M,1936,Vernon,44
IN,M,1936,Warren,43
IN,M,1936,Alfred,42
IN,M,1936,Duane,42
IN,M,1936,Gilbert,42
IN,M,1936,Maurice,42
IN,M,1936,Danny,41
IN,M,1936,Ted,40
IN,M,1936,Victor,40
IN,M,1936,Clyde,39
IN,M,1936,Jerome,39
IN,M,1936,Chester,38
IN,M,1936,Leo,38
IN,M,1936,Leon,38
IN,M,1936,Delbert,37
IN,M,1936,Jon,37
IN,M,1936,Lewis,36
IN,M,1936,Alvin,35
IN,M,1936,Douglas,35
IN,M,1936,Eddie,35
IN,M,1936,Herman,35
IN,M,1936,Martin,35
IN,M,1936,Alan,34
IN,M,1936,Claude,34
IN,M,1936,Peter,34
IN,M,1936,Jesse,32
IN,M,1936,Anthony,31
IN,M,1936,Jay,30
IN,M,1936,Leslie,30
IN,M,1936,Morris,30
IN,M,1936,Patrick,30
IN,M,1936,Phil,30
IN,M,1936,Everett,29
IN,M,1936,Harvey,29
IN,M,1936,Loren,29
IN,M,1936,Ivan,28
IN,M,1936,Karl,28
IN,M,1936,Roland,27
IN,M,1936,Curtis,26
IN,M,1936,Byron,25
IN,M,1936,Cecil,25
IN,M,1936,Elmer,25
IN,M,1936,Forrest,25
IN,M,1936,Fredrick,25
IN,M,1936,Neil,25
IN,M,1936,Wendell,25
IN,M,1936,Edgar,24
IN,M,1936,Dan,23
IN,M,1936,Johnny,23
IN,M,1936,Malcolm,23
IN,M,1936,Marshall,23
IN,M,1936,Willard,23
IN,M,1936,Lynn,22
IN,M,1936,Merrill,22
IN,M,1936,Rodney,22
IN,M,1936,Steve,22
IN,M,1936,Wilbur,22
IN,M,1936,Andrew,21
IN,M,1936,Donnie,21
IN,M,1936,Freddie,21
IN,M,1936,Mark,21
IN,M,1936,Dave,20
IN,M,1936,Homer,20
IN,M,1936,Jerald,20
IN,M,1936,Lyle,20
IN,M,1936,Mike,20
IN,M,1936,Benjamin,19
IN,M,1936,Carroll,19
IN,M,1936,Hubert,19
IN,M,1936,Ross,19
IN,M,1936,Allan,18
IN,M,1936,Nelson,18
IN,M,1936,Oscar,18
IN,M,1936,Milton,17
IN,M,1936,Orville,17
IN,M,1936,Wallace,17
IN,M,1936,Wesley,17
IN,M,1936,Harley,16
IN,M,1936,Irvin,16
IN,M,1936,Jan,16
IN,M,1936,Myron,16
IN,M,1936,Sam,16
IN,M,1936,Dallas,15
IN,M,1936,Ervin,15
IN,M,1936,Hugh,15
IN,M,1936,Steven,15
IN,M,1936,Buddy,14
IN,M,1936,Clayton,14
IN,M,1936,Edmund,14
IN,M,1936,Guy,14
IN,M,1936,Junior,14
IN,M,1936,Willie,14
IN,M,1936,Bert,13
IN,M,1936,Billie,13
IN,M,1936,Doyle,13
IN,M,1936,Marlin,13
IN,M,1936,Meredith,13
IN,M,1936,Merle,13
IN,M,1936,Nick,13
IN,M,1936,Norbert,13
IN,M,1936,Perry,13
IN,M,1936,Teddy,13
IN,M,1936,Vincent,13
IN,M,1936,Kent,12
IN,M,1936,Leland,12
IN,M,1936,Luther,12
IN,M,1936,Nicholas,12
IN,M,1936,Sylvester,12
IN,M,1936,Barry,11
IN,M,1936,Benny,11
IN,M,1936,Calvin,11
IN,M,1936,Conrad,11
IN,M,1936,Eldon,11
IN,M,1936,Frankie,11
IN,M,1936,Gayle,11
IN,M,1936,Herschel,11
IN,M,1936,Ned,11
IN,M,1936,Ora,11
IN,M,1936,Owen,11
IN,M,1936,Shirley,11
IN,M,1936,Willis,11
IN,M,1936,Dwight,10
IN,M,1936,Ira,10
IN,M,1936,Oliver,10
IN,M,1936,Stuart,10
IN,M,1936,Aaron,9
IN,M,1936,Alex,9
IN,M,1936,Archie,9
IN,M,1936,Ben,9
IN,M,1936,Carol,9
IN,M,1936,Darrel,9
IN,M,1936,Dewayne,9
IN,M,1936,Dickie,9
IN,M,1936,Gerry,9
IN,M,1936,Jacob,9
IN,M,1936,Nathan,9
IN,M,1936,Otto,9
IN,M,1936,Pete,9
IN,M,1936,Rolland,9
IN,M,1936,Russel,9
IN,M,1936,Scott,9
IN,M,1936,Sidney,9
IN,M,1936,Alexander,8
IN,M,1936,Bobbie,8
IN,M,1936,Bud,8
IN,M,1936,Chris,8
IN,M,1936,Clinton,8
IN,M,1936,Cornelius,8
IN,M,1936,Darwin,8
IN,M,1936,Delmar,8
IN,M,1936,Eric,8
IN,M,1936,Gail,8
IN,M,1936,Galen,8
IN,M,1936,Garland,8
IN,M,1936,Hal,8
IN,M,1936,Joel,8
IN,M,1936,Lonnie,8
IN,M,1936,Mervin,8
IN,M,1936,Orval,8
IN,M,1936,Otis,8
IN,M,1936,Patricia,8
IN,M,1936,Randall,8
IN,M,1936,Sherman,8
IN,M,1936,Tony,8
IN,M,1936,Alva,7
IN,M,1936,Arlen,7
IN,M,1936,Bennie,7
IN,M,1936,Burl,7
IN,M,1936,Carlton,7
IN,M,1936,Denny,7
IN,M,1936,Emery,7
IN,M,1936,Emil,7
IN,M,1936,Garry,7
IN,M,1936,Gaylord,7
IN,M,1936,Harlan,7
IN,M,1936,Julian,7
IN,M,1936,Ken,7
IN,M,1936,Kenny,7
IN,M,1936,Kermit,7
IN,M,1936,Laurence,7
IN,M,1936,Merritt,7
IN,M,1936,Mickey,7
IN,M,1936,Milo,7
IN,M,1936,Omer,7
IN,M,1936,Sammy,7
IN,M,1936,Sheldon,7
IN,M,1936,Terrence,7
IN,M,1936,Vance,7
IN,M,1936,Vaughn,7
IN,M,1936,Verlin,7
IN,M,1936,Wilford,7
