StateCode,Sex,YearOfBirth,Name,Number
IN,M,1959,Forrest,19
IN,M,1959,Jamie,19
IN,M,1959,Jan,19
IN,M,1959,Sammy,19
IN,M,1959,Terence,19
IN,M,1959,Carlos,18
IN,M,1959,Francis,18
IN,M,1959,Geoffrey,18
IN,M,1959,Hugh,18
IN,M,1959,Kris,18
IN,M,1959,Randolph,18
IN,M,1959,Freddie,17
IN,M,1959,Jason,17
IN,M,1959,Jody,17
IN,M,1959,Terrance,17
IN,M,1959,Antonio,16
IN,M,1959,Benny,16
IN,M,1959,Bradford,16
IN,M,1959,Carey,16
IN,M,1959,Clinton,16
IN,M,1959,Denny,16
IN,M,1959,Elmer,16
IN,M,1959,Herman,16
IN,M,1959,Juan,16
IN,M,1959,Kirby,16
IN,M,1959,Monty,16
IN,M,1959,Rod,16
IN,M,1959,Teddy,16
IN,M,1959,Tod,16
IN,M,1959,Ben,15
IN,M,1959,Damon,15
IN,M,1959,Dirk,15
IN,M,1959,Edgar,15
IN,M,1959,Milton,15
IN,M,1959,Orville,15
IN,M,1959,Scot,15
IN,M,1959,Stewart,15
IN,M,1959,Van,15
IN,M,1959,Andre,14
IN,M,1959,Clark,14
IN,M,1959,Clifton,14
IN,M,1959,Delbert,14
IN,M,1959,Fredrick,14
IN,M,1959,Kelvin,14
IN,M,1959,Lowell,14
IN,M,1959,Marlin,14
IN,M,1959,Ricardo,14
IN,M,1959,Sherman,14
IN,M,1959,Charlie,13
IN,M,1959,Ivan,13
IN,M,1959,Marion,13
IN,M,1959,Mathew,13
IN,M,1959,Pete,13
IN,M,1959,Roderick,13
IN,M,1959,Roland,13
IN,M,1959,Shannon,13
IN,M,1959,Sidney,13
IN,M,1959,Alexander,12
IN,M,1959,Angel,12
IN,M,1959,Bryon,12
IN,M,1959,Cliff,12
IN,M,1959,Gerard,12
IN,M,1959,Manuel,12
IN,M,1959,Ned,12
IN,M,1959,Robbie,12
IN,M,1959,Wayde,12
IN,M,1959,Adrian,11
IN,M,1959,Blake,11
IN,M,1959,Bryce,11
IN,M,1959,Casey,11
IN,M,1959,Dane,11
IN,M,1959,Darwin,11
IN,M,1959,Ellis,11
IN,M,1959,Galen,11
IN,M,1959,Jacob,11
IN,M,1959,Jerald,11
IN,M,1959,Kenton,11
IN,M,1959,Loren,11
IN,M,1959,Luther,11
IN,M,1959,Marlon,11
IN,M,1959,Nathaniel,11
IN,M,1959,Otis,11
IN,M,1959,Ryan,11
IN,M,1959,Spencer,11
IN,M,1959,Archie,10
IN,M,1959,Blaine,10
IN,M,1959,Brandon,10
IN,M,1959,Carlton,10
IN,M,1959,Christian,10
IN,M,1959,Delmar,10
IN,M,1959,Drew,10
IN,M,1959,Hubert,10
IN,M,1959,Justin,10
IN,M,1959,Levi,10
IN,M,1959,Noel,10
IN,M,1959,Rory,10
IN,M,1959,Ruben,10
IN,M,1959,Rudy,10
IN,M,1959,Shane,10
IN,M,1959,Sylvester,10
IN,M,1959,Trent,10
IN,M,1959,Vance,10
IN,M,1959,Wilbur,10
IN,M,1959,Al,9
IN,M,1959,Barton,9
IN,M,1959,Bennie,9
IN,M,1959,Boyd,9
IN,M,1959,Dewey,9
IN,M,1959,Dexter,9
IN,M,1959,Eddy,9
IN,M,1959,Elbert,9
IN,M,1959,Ernie,9
IN,M,1959,Harley,9
IN,M,1959,Kristopher,9
IN,M,1959,Luis,9
IN,M,1959,Nicky,9
IN,M,1959,Randell,9
IN,M,1959,Rob,9
IN,M,1959,Stacy,9
IN,M,1959,Stephan,9
IN,M,1959,Toby,9
IN,M,1959,Willard,9
IN,M,1959,Willis,9
IN,M,1959,Adam,8
IN,M,1959,Alonzo,8
IN,M,1959,Alton,8
IN,M,1959,Austin,8
IN,M,1959,Billie,8
IN,M,1959,Bradly,8
IN,M,1959,Bryant,8
IN,M,1959,Buddy,8
IN,M,1959,Cedric,8
IN,M,1959,Clint,8
IN,M,1959,Cornelius,8
IN,M,1959,Danial,8
IN,M,1959,Duncan,8
IN,M,1959,Eldon,8
IN,M,1959,Erich,8
IN,M,1959,Evan,8
IN,M,1959,Gail,8
IN,M,1959,Garland,8
IN,M,1959,Grant,8
IN,M,1959,Jesus,8
IN,M,1959,Mitch,8
IN,M,1959,Morris,8
IN,M,1959,Oscar,8
IN,M,1959,Rene,8
IN,M,1959,Scotty,8
IN,M,1959,Sheldon,8
IN,M,1959,Vaughn,8
IN,M,1959,Will,8
IN,M,1959,Barney,7
IN,M,1959,Bert,7
IN,M,1959,Cameron,7
IN,M,1959,Chad,7
IN,M,1959,Chip,7
IN,M,1959,Cory,7
IN,M,1959,Dino,7
IN,M,1959,Earnest,7
IN,M,1959,Erik,7
IN,M,1959,Felix,7
IN,M,1959,Frankie,7
IN,M,1959,Harlan,7
