StateCode,Sex,YearOfBirth,Name,Number
IN,M,1978,Howard,26
IN,M,1978,Byron,25
IN,M,1978,Clarence,25
IN,M,1978,Joey,25
IN,M,1978,Melvin,25
IN,M,1978,Micah,25
IN,M,1978,Terrence,25
IN,M,1978,Erick,24
IN,M,1978,Ernest,24
IN,M,1978,Albert,23
IN,M,1978,Jarrod,23
IN,M,1978,Tommy,23
IN,M,1978,Calvin,22
IN,M,1978,Colin,22
IN,M,1978,Dean,22
IN,M,1978,Dewayne,22
IN,M,1978,Duane,22
IN,M,1978,Dwayne,22
IN,M,1978,Elijah,22
IN,M,1978,Harry,22
IN,M,1978,Johnathan,22
IN,M,1978,Nicolas,22
IN,M,1978,Ross,22
IN,M,1978,Terrance,22
IN,M,1978,Trevor,22
IN,M,1978,Austin,21
IN,M,1978,Caleb,21
IN,M,1978,Joe,21
IN,M,1978,Ralph,21
IN,M,1978,Clifford,20
IN,M,1978,Courtney,20
IN,M,1978,Edwin,20
IN,M,1978,Evan,20
IN,M,1978,Grant,20
IN,M,1978,Jermaine,20
IN,M,1978,Kerry,20
IN,M,1978,Norman,20
IN,M,1978,Reginald,20
IN,M,1978,Bryce,19
IN,M,1978,Franklin,19
IN,M,1978,Jarod,19
IN,M,1978,Jordan,19
IN,M,1978,Karl,19
IN,M,1978,Neal,19
IN,M,1978,Nickolas,19
IN,M,1978,Victor,19
IN,M,1978,Wade,19
IN,M,1978,Ben,18
IN,M,1978,Dallas,18
IN,M,1978,Darin,18
IN,M,1978,Drew,18
IN,M,1978,Eugene,18
IN,M,1978,Garrett,18
IN,M,1978,Glenn,18
IN,M,1978,Loren,18
IN,M,1978,Bret,17
IN,M,1978,Damian,17
IN,M,1978,Fredrick,17
IN,M,1978,Noah,17
IN,M,1978,Ricardo,17
IN,M,1978,Stanley,17
IN,M,1978,Tracy,17
IN,M,1978,Tyson,17
IN,M,1978,Cody,16
IN,M,1978,Glen,16
IN,M,1978,Jimmie,16
IN,M,1978,Levi,16
IN,M,1978,Rex,16
IN,M,1978,Rick,16
IN,M,1978,Ty,16
IN,M,1978,Amos,15
IN,M,1978,Blake,15
IN,M,1978,Cameron,15
IN,M,1978,Darrin,15
IN,M,1978,Darryl,15
IN,M,1978,Floyd,15
IN,M,1978,Gene,15
IN,M,1978,Harley,15
IN,M,1978,Jayson,15
IN,M,1978,Jerald,15
IN,M,1978,Jessie,15
IN,M,1978,Johnathon,15
IN,M,1978,Kirk,15
IN,M,1978,Lonnie,15
IN,M,1978,Max,15
IN,M,1978,Quentin,15
IN,M,1978,Robbie,15
IN,M,1978,Trenton,15
IN,M,1978,Chadwick,14
IN,M,1978,Clifton,14
IN,M,1978,Devin,14
IN,M,1978,Eddie,14
IN,M,1978,Jackie,14
IN,M,1978,Lamar,14
IN,M,1978,Leon,14
IN,M,1978,Leroy,14
IN,M,1978,Leslie,14
IN,M,1978,Marshall,14
IN,M,1978,Reuben,14
IN,M,1978,Abraham,13
IN,M,1978,Antoine,13
