StateCode,Sex,YearOfBirth,Name,Number
IN,M,1995,Jaron,14
IN,M,1995,Javon,14
IN,M,1995,Jorge,14
IN,M,1995,Kendall,14
IN,M,1995,Sterling,14
IN,M,1995,Walter,14
IN,M,1995,Weston,14
IN,M,1995,Ashton,13
IN,M,1995,Byron,13
IN,M,1995,Cedric,13
IN,M,1995,Darian,13
IN,M,1995,Dean,13
IN,M,1995,Deion,13
IN,M,1995,Deonte,13
IN,M,1995,Dorian,13
IN,M,1995,Dwayne,13
IN,M,1995,Elliot,13
IN,M,1995,Elliott,13
IN,M,1995,Enrique,13
IN,M,1995,Glen,13
IN,M,1995,Gunnar,13
IN,M,1995,Harold,13
IN,M,1995,Heath,13
IN,M,1995,Jamie,13
IN,M,1995,Khalil,13
IN,M,1995,Kolton,13
IN,M,1995,Kurtis,13
IN,M,1995,Marc,13
IN,M,1995,Mitchel,13
IN,M,1995,Myron,13
IN,M,1995,Nathanael,13
IN,M,1995,Oscar,13
IN,M,1995,Quincy,13
IN,M,1995,Reed,13
IN,M,1995,Ricardo,13
IN,M,1995,Shaun,13
IN,M,1995,Stuart,13
IN,M,1995,Terrell,13
IN,M,1995,Angelo,12
IN,M,1995,Beau,12
IN,M,1995,Blaine,12
IN,M,1995,Braydon,12
IN,M,1995,Bruce,12
IN,M,1995,Cristian,12
IN,M,1995,Dakotah,12
IN,M,1995,Damion,12
IN,M,1995,Duane,12
IN,M,1995,Edwin,12
IN,M,1995,Gunner,12
IN,M,1995,Jerome,12
IN,M,1995,Jordon,12
IN,M,1995,Loren,12
IN,M,1995,Malcolm,12
IN,M,1995,Maurice,12
IN,M,1995,Nathanial,12
IN,M,1995,Peyton,12
IN,M,1995,Reuben,12
IN,M,1995,Simon,12
IN,M,1995,Tristen,12
IN,M,1995,Wayne,12
IN,M,1995,Andres,11
IN,M,1995,Austyn,11
IN,M,1995,Darrion,11
IN,M,1995,Davon,11
IN,M,1995,Denzel,11
IN,M,1995,Dewayne,11
IN,M,1995,Dylon,11
IN,M,1995,Edgar,11
IN,M,1995,Eugene,11
IN,M,1995,Francisco,11
IN,M,1995,Holden,11
IN,M,1995,Ivan,11
IN,M,1995,Jade,11
IN,M,1995,Jarrod,11
IN,M,1995,Leroy,11
IN,M,1995,Marvin,11
IN,M,1995,Nelson,11
IN,M,1995,Quinten,11
IN,M,1995,Roberto,11
IN,M,1995,Sam,11
IN,M,1995,Terrence,11
IN,M,1995,Tevin,11
IN,M,1995,Theodore,11
IN,M,1995,Trever,11
IN,M,1995,Albert,10
IN,M,1995,Brad,10
IN,M,1995,Brenton,10
IN,M,1995,Briar,10
IN,M,1995,Brooks,10
IN,M,1995,Bryson,10
IN,M,1995,Clint,10
IN,M,1995,Colby,10
IN,M,1995,Colt,10
IN,M,1995,Colten,10
IN,M,1995,Daron,10
IN,M,1995,Daryl,10
IN,M,1995,Deondre,10
IN,M,1995,Devyn,10
IN,M,1995,Dillan,10
IN,M,1995,Franklin,10
IN,M,1995,Glenn,10
IN,M,1995,Issac,10
IN,M,1995,Jamal,10
IN,M,1995,Kasey,10
IN,M,1995,Kegan,10
IN,M,1995,Kory,10
IN,M,1995,Marlin,10
IN,M,1995,Marquis,10
IN,M,1995,Nikolas,10
IN,M,1995,Phoenix,10
IN,M,1995,Rhett,10
IN,M,1995,Ronnie,10
IN,M,1995,Tommy,10
IN,M,1995,Arron,9
IN,M,1995,Auston,9
IN,M,1995,Chris,9
IN,M,1995,Conor,9
IN,M,1995,Cordell,9
IN,M,1995,Coty,9
IN,M,1995,Courtland,9
IN,M,1995,Darrin,9
IN,M,1995,Davion,9
IN,M,1995,Denver,9
IN,M,1995,Deshawn,9
IN,M,1995,Duncan,9
IN,M,1995,Earl,9
IN,M,1995,Emilio,9
IN,M,1995,Guy,9
IN,M,1995,Isiah,9
IN,M,1995,Jace,9
IN,M,1995,Jaquan,9
IN,M,1995,Jerrod,9
IN,M,1995,Joe,9
IN,M,1995,Johnnie,9
IN,M,1995,Kole,9
IN,M,1995,Kristian,9
IN,M,1995,Marco,9
IN,M,1995,Maverick,9
IN,M,1995,Melvin,9
IN,M,1995,Neal,9
IN,M,1995,Rashad,9
IN,M,1995,Reece,9
IN,M,1995,Reginald,9
IN,M,1995,Sawyer,9
IN,M,1995,Sheldon,9
IN,M,1995,Tayler,9
IN,M,1995,Thaddeus,9
IN,M,1995,Tracy,9
IN,M,1995,Trae,9
IN,M,1995,Tre,9
IN,M,1995,Trevon,9
IN,M,1995,Tristin,9
IN,M,1995,Tyrone,9
IN,M,1995,Aric,8
