StateCode,Sex,YearOfBirth,Name,Number
KS,F,2005,Daniella,7
KS,F,2005,Deanna,7
KS,F,2005,Elisa,7
KS,F,2005,Fatima,7
KS,F,2005,Finley,7
KS,F,2005,Gracelyn,7
KS,F,2005,Hailee,7
KS,F,2005,Jacklyn,7
KS,F,2005,Jacquelyn,7
KS,F,2005,Jane,7
KS,F,2005,Joslyn,7
KS,F,2005,Kaci,7
KS,F,2005,Kaia,7
KS,F,2005,Karli,7
KS,F,2005,Karlie,7
KS,F,2005,Karma,7
KS,F,2005,Kassidy,7
KS,F,2005,Kathleen,7
KS,F,2005,Katlyn,7
KS,F,2005,Kaylin,7
KS,F,2005,Kenna,7
KS,F,2005,Kimora,7
KS,F,2005,Krystal,7
KS,F,2005,Liana,7
KS,F,2005,Lilian,7
KS,F,2005,Lillie,7
KS,F,2005,Lyric,7
KS,F,2005,Madilyn,7
KS,F,2005,Meredith,7
KS,F,2005,Moriah,7
KS,F,2005,Natalee,7
KS,F,2005,Nayeli,7
KS,F,2005,Rachael,7
KS,F,2005,Sage,7
KS,F,2005,Saige,7
KS,F,2005,Sarai,7
KS,F,2005,Skye,7
KS,F,2005,Tabitha,7
KS,F,2005,Talia,7
KS,F,2005,Tanya,7
KS,F,2005,Tiana,7
KS,F,2005,Virginia,7
KS,F,2005,Yadira,7
KS,F,2005,Yazmin,7
KS,F,2005,Abrianna,6
KS,F,2005,Adelaide,6
KS,F,2005,Alisa,6
KS,F,2005,Annabel,6
KS,F,2005,Araceli,6
KS,F,2005,Arleth,6
KS,F,2005,Ashton,6
KS,F,2005,Athena,6
KS,F,2005,Aubrie,6
KS,F,2005,Averie,6
KS,F,2005,Breana,6
KS,F,2005,Breckyn,6
KS,F,2005,Brinley,6
KS,F,2005,Brylie,6
KS,F,2005,Carli,6
KS,F,2005,Charisma,6
KS,F,2005,Charlee,6
KS,F,2005,Christine,6
KS,F,2005,Cindy,6
KS,F,2005,Claudia,6
KS,F,2005,Dayanara,6
KS,F,2005,Diamond,6
KS,F,2005,Elliana,6
KS,F,2005,Elyse,6
KS,F,2005,Emilie,6
KS,F,2005,Eve,6
KS,F,2005,Fiona,6
KS,F,2005,Gracey,6
KS,F,2005,Greta,6
KS,F,2005,Harmony,6
KS,F,2005,Hazel,6
KS,F,2005,Helen,6
KS,F,2005,Imani,6
KS,F,2005,Iris,6
KS,F,2005,Isabela,6
KS,F,2005,Ivy,6
KS,F,2005,Izabella,6
KS,F,2005,Jaelynn,6
KS,F,2005,Julie,6
KS,F,2005,Julissa,6
KS,F,2005,Kailyn,6
KS,F,2005,Kaleigh,6
KS,F,2005,Karina,6
KS,F,2005,Karis,6
KS,F,2005,Karsyn,6
KS,F,2005,Kayli,6
KS,F,2005,Kaylynn,6
KS,F,2005,Krista,6
KS,F,2005,Laci,6
KS,F,2005,Lainey,6
