StateCode,Sex,YearOfBirth,Name,Number
KY,F,1915,Eula,77
KY,F,1915,Flora,77
KY,F,1915,Ann,76
KY,F,1915,Josephine,73
KY,F,1915,Wilma,71
KY,F,1915,Willie,69
KY,F,1915,Juanita,67
KY,F,1915,Mable,67
KY,F,1915,Esther,66
KY,F,1915,Maggie,66
KY,F,1915,Susie,66
KY,F,1915,Hattie,64
KY,F,1915,Kathleen,64
KY,F,1915,Vivian,62
KY,F,1915,Alberta,61
KY,F,1915,Blanche,61
KY,F,1915,Leona,61
KY,F,1915,Rosa,61
KY,F,1915,Kathryn,60
KY,F,1915,Rebecca,60
KY,F,1915,Virgie,59
KY,F,1915,Roberta,58
KY,F,1915,Jane,57
KY,F,1915,Verna,57
KY,F,1915,Daisy,54
KY,F,1915,Marjorie,54
KY,F,1915,Nettie,53
KY,F,1915,Ollie,53
KY,F,1915,Velma,53
KY,F,1915,Eunice,52
KY,F,1915,Lola,51
KY,F,1915,Sara,51
KY,F,1915,Vera,51
KY,F,1915,Rachel,50
KY,F,1915,Lorene,48
KY,F,1915,Doris,46
KY,F,1915,Effie,46
KY,F,1915,June,46
KY,F,1915,Lela,46
KY,F,1915,Lizzie,46
KY,F,1915,Ora,46
KY,F,1915,Violet,46
KY,F,1915,Flossie,45
KY,F,1915,Bonnie,44
KY,F,1915,Iva,44
KY,F,1915,Naomi,44
KY,F,1915,Sadie,44
KY,F,1915,Hallie,43
KY,F,1915,Sylvia,43
KY,F,1915,Gracie,42
KY,F,1915,Jewell,42
KY,F,1915,Mamie,42
KY,F,1915,Eleanor,41
KY,F,1915,Jean,41
KY,F,1915,Audrey,40
KY,F,1915,Bernice,40
KY,F,1915,Katie,40
KY,F,1915,Maude,40
KY,F,1915,Sallie,40
KY,F,1915,Addie,39
KY,F,1915,Cleo,39
KY,F,1915,Jennie,39
KY,F,1915,Loretta,39
KY,F,1915,Rosie,39
KY,F,1915,Ina,38
KY,F,1915,Nina,38
KY,F,1915,Margie,37
KY,F,1915,Maxine,37
KY,F,1915,Oma,37
KY,F,1915,Jeanette,35
KY,F,1915,Norma,35
KY,F,1915,Allie,34
KY,F,1915,Ellen,34
KY,F,1915,Inez,34
KY,F,1915,Lottie,33
KY,F,1915,Mayme,33
KY,F,1915,Sally,33
KY,F,1915,Emily,32
KY,F,1915,Henrietta,32
KY,F,1915,Polly,32
KY,F,1915,Sue,32
KY,F,1915,Susan,32
KY,F,1915,Estelle,31
KY,F,1915,Marguerite,31
KY,F,1915,Mollie,31
KY,F,1915,Reba,31
KY,F,1915,Carolyn,30
KY,F,1915,Charlotte,30
