StateCode,Sex,YearOfBirth,Name,Number
KY,F,1933,Hester,19
KY,F,1933,Jackie,19
KY,F,1933,Lila,19
KY,F,1933,Marion,19
KY,F,1933,Yvonne,19
KY,F,1933,Addie,18
KY,F,1933,Alene,18
KY,F,1933,Betsy,18
KY,F,1933,Connie,18
KY,F,1933,Dolly,18
KY,F,1933,Flossie,18
KY,F,1933,Ima,18
KY,F,1933,Lenora,18
KY,F,1933,Nola,18
KY,F,1933,Olive,18
KY,F,1933,Susie,18
KY,F,1933,Theresa,18
KY,F,1933,Zella,18
KY,F,1933,Darlene,17
KY,F,1933,Eliza,17
KY,F,1933,Elva,17
KY,F,1933,Essie,17
KY,F,1933,Fern,17
KY,F,1933,Iris,17
KY,F,1933,Jennie,17
KY,F,1933,Neva,17
KY,F,1933,Susan,17
KY,F,1933,Wilda,17
KY,F,1933,Elaine,16
KY,F,1933,Eloise,16
KY,F,1933,Emogene,16
KY,F,1933,Janie,16
KY,F,1933,Lora,16
KY,F,1933,Loraine,16
KY,F,1933,Lottie,16
KY,F,1933,Mavis,16
KY,F,1933,Millie,16
KY,F,1933,Regina,16
KY,F,1933,Sadie,16
KY,F,1933,Allene,15
KY,F,1933,Bobby,15
KY,F,1933,Carole,15
KY,F,1933,Gwendolyn,15
KY,F,1933,Hallie,15
KY,F,1933,Mayme,15
KY,F,1933,Mona,15
KY,F,1933,Zelma,15
KY,F,1933,Dortha,14
KY,F,1933,Irma,14
KY,F,1933,Justine,14
KY,F,1933,Pearlie,14
KY,F,1933,Rhoda,14
KY,F,1933,Clarice,13
KY,F,1933,Elma,13
KY,F,1933,Garnet,13
KY,F,1933,Gearldine,13
KY,F,1933,James,13
KY,F,1933,Joe,13
KY,F,1933,Kathern,13
KY,F,1933,Lorena,13
KY,F,1933,Madeline,13
KY,F,1933,Marcia,13
KY,F,1933,Arlene,12
KY,F,1933,Delphia,12
KY,F,1933,Gay,12
KY,F,1933,Lizzie,12
KY,F,1933,Lorine,12
KY,F,1933,Magdalene,12
KY,F,1933,Mollie,12
KY,F,1933,Ola,12
KY,F,1933,Roxie,12
KY,F,1933,Zola,12
KY,F,1933,Amelia,11
KY,F,1933,Colleen,11
KY,F,1933,Corrine,11
KY,F,1933,Dollie,11
KY,F,1933,Dorotha,11
KY,F,1933,Edwina,11
KY,F,1933,Estella,11
KY,F,1933,Garnett,11
KY,F,1933,Georgie,11
KY,F,1933,Hannah,11
KY,F,1933,Jerry,11
KY,F,1933,Jimmie,11
KY,F,1933,Joanna,11
KY,F,1933,Kay,11
KY,F,1933,Louella,11
KY,F,1933,May,11
KY,F,1933,Myra,11
KY,F,1933,Nancye,11
KY,F,1933,Rena,11
KY,F,1933,Robbie,11
KY,F,1933,Rosella,11
KY,F,1933,Suzanne,11
KY,F,1933,Vernie,11
KY,F,1933,Vina,11
KY,F,1933,Cynthia,10
KY,F,1933,Diana,10
KY,F,1933,Dottie,10
KY,F,1933,Eileen,10
KY,F,1933,Eugenia,10
KY,F,1933,Jacquelyn,10
KY,F,1933,Lida,10
KY,F,1933,Lilly,10
KY,F,1933,Lydia,10
KY,F,1933,Madge,10
KY,F,1933,Maude,10
KY,F,1933,Retha,10
KY,F,1933,Winifred,10
KY,F,1933,Amanda,9
KY,F,1933,Ava,9
KY,F,1933,Constance,9
KY,F,1933,Corine,9
KY,F,1933,Florene,9
KY,F,1933,Greta,9
KY,F,1933,Ila,9
KY,F,1933,Jeanne,9
KY,F,1933,Johnnie,9
KY,F,1933,Lee,9
KY,F,1933,Leola,9
KY,F,1933,Lily,9
KY,F,1933,Lyda,9
KY,F,1933,Melva,9
KY,F,1933,Molly,9
KY,F,1933,Nona,9
KY,F,1933,Pansy,9
KY,F,1933,Pat,9
KY,F,1933,Sharon,9
KY,F,1933,Sybil,9
KY,F,1933,Vada,9
KY,F,1933,Velva,9
KY,F,1933,Aline,8
KY,F,1933,Angela,8
KY,F,1933,Annette,8
KY,F,1933,Artie,8
KY,F,1933,Audra,8
KY,F,1933,Bertie,8
KY,F,1933,Bethel,8
KY,F,1933,Birdie,8
KY,F,1933,Callie,8
KY,F,1933,Cassie,8
KY,F,1933,Celia,8
KY,F,1933,Claire,8
KY,F,1933,Diane,8
KY,F,1933,Dovie,8
KY,F,1933,Elinor,8
KY,F,1933,Elnora,8
KY,F,1933,Fanny,8
KY,F,1933,Florine,8
KY,F,1933,Freeda,8
KY,F,1933,Frieda,8
KY,F,1933,Gertie,8
KY,F,1933,Herma,8
KY,F,1933,Jenny,8
KY,F,1933,Letha,8
KY,F,1933,Loyce,8
KY,F,1933,Margret,8
KY,F,1933,Maxie,8
KY,F,1933,Melba,8
KY,F,1933,Nella,8
KY,F,1933,Orpha,8
KY,F,1933,Rosalie,8
KY,F,1933,Vena,8
KY,F,1933,Victoria,8
KY,F,1933,Amy,7
KY,F,1933,Arizona,7
KY,F,1933,Berniece,7
KY,F,1933,Cecilia,7
KY,F,1933,Claudette,7
KY,F,1933,Claudia,7
KY,F,1933,Cleda,7
KY,F,1933,Dona,7
KY,F,1933,Earnestine,7
KY,F,1933,Elsa,7
KY,F,1933,Esta,7
KY,F,1933,Fairy,7
KY,F,1933,Imojean,7
KY,F,1933,Lettie,7
KY,F,1933,Louetta,7
KY,F,1933,Marietta,7
KY,F,1933,Mazie,7
KY,F,1933,Minerva,7
KY,F,1933,Miriam,7
KY,F,1933,Muriel,7
KY,F,1933,Olga,7
KY,F,1933,Paula,7
KY,F,1933,Phoebe,7
KY,F,1933,Rae,7
KY,F,1933,Sandra,7
KY,F,1933,Sidney,7
KY,F,1933,Willia,7
KY,F,1933,William,7
KY,F,1933,Winona,7
KY,F,1933,Zelda,7
KY,F,1933,Angeline,6
KY,F,1933,Annetta,6
KY,F,1933,Belva,6
KY,F,1933,Carlene,6
KY,F,1933,Caroline,6
KY,F,1933,Cecelia,6
KY,F,1933,Charline,6
KY,F,1933,Cordelia,6
KY,F,1933,Cordie,6
KY,F,1933,Delia,6
KY,F,1933,Delora,6
KY,F,1933,Dessie,6
KY,F,1933,Donald,6
KY,F,1933,Earline,6
KY,F,1933,Easter,6
KY,F,1933,Eddie,6
KY,F,1933,Elwanda,6
KY,F,1933,Evangeline,6
KY,F,1933,Floretta,6
KY,F,1933,Gaynell,6
KY,F,1933,Gene,6
KY,F,1933,Genevia,6
KY,F,1933,Georgetta,6
KY,F,1933,Harriet,6
KY,F,1933,Harriett,6
KY,F,1933,Hettie,6
KY,F,1933,Hope,6
KY,F,1933,Imogean,6
KY,F,1933,Iona,6
KY,F,1933,Jeanetta,6
KY,F,1933,Joetta,6
KY,F,1933,Jolene,6
KY,F,1933,Lelia,6
KY,F,1933,Marguerite,6
KY,F,1933,Maurine,6
KY,F,1933,Mossie,6
KY,F,1933,Myrna,6
KY,F,1933,Ona,6
KY,F,1933,Teresa,6
KY,F,1933,Tommie,6
KY,F,1933,Tressie,6
KY,F,1933,Vergie,6
KY,F,1933,Vesta,6
KY,F,1933,Zula,6
KY,F,1933,Agatha,5
KY,F,1933,Alline,5
KY,F,1933,Alva,5
KY,F,1933,Angie,5
KY,F,1933,Annabelle,5
KY,F,1933,Billy,5
KY,F,1933,Chloe,5
KY,F,1933,Chloie,5
KY,F,1933,Christene,5
KY,F,1933,Claudine,5
KY,F,1933,Colene,5
KY,F,1933,Corene,5
KY,F,1933,Dean,5
KY,F,1933,Delois,5
KY,F,1933,Delta,5
KY,F,1933,Drucilla,5
KY,F,1933,Earlene,5
KY,F,1933,Elois,5
KY,F,1933,Evalee,5
KY,F,1933,Exie,5
KY,F,1933,Gayle,5
KY,F,1933,Genevieve,5
KY,F,1933,Imagene,5
KY,F,1933,Isabell,5
KY,F,1933,Ivory,5
KY,F,1933,Janette,5
KY,F,1933,Janis,5
KY,F,1933,Jannie,5
KY,F,1933,Jaunita,5
KY,F,1933,Jeanie,5
KY,F,1933,Jeannette,5
KY,F,1933,John,5
KY,F,1933,Josie,5
KY,F,1933,Katheryn,5
KY,F,1933,Laquita,5
KY,F,1933,Lenore,5
KY,F,1933,Lona,5
KY,F,1933,Lura,5
KY,F,1933,Magaline,5
KY,F,1933,Malinda,5
KY,F,1933,Margarete,5
KY,F,1933,Marilou,5
KY,F,1933,Maureen,5
KY,F,1933,Maurice,5
KY,F,1933,Mima,5
KY,F,1933,Nada,5
KY,F,1933,Nira,5
KY,F,1933,Noma,5
KY,F,1933,Norene,5
KY,F,1933,Nova,5
KY,F,1933,Novella,5
KY,F,1933,Ova,5
KY,F,1933,Peggie,5
KY,F,1933,Samantha,5
KY,F,1933,Selma,5
KY,F,1933,Sophie,5
KY,F,1933,Sudie,5
KY,F,1933,Velda,5
KY,F,1933,Wanna,5
KY,F,1933,Willetta,5
KY,F,1933,Winnie,5
KY,F,1933,Zona,5
KY,F,1934,Mary,1881
KY,F,1934,Betty,1453
KY,F,1934,Barbara,612
KY,F,1934,Dorothy,564
KY,F,1934,Anna,520
KY,F,1934,Helen,442
KY,F,1934,Joyce,420
KY,F,1934,Margaret,415
KY,F,1934,Doris,389
KY,F,1934,Martha,353
KY,F,1934,Shirley,353
KY,F,1934,Norma,349
KY,F,1934,Virginia,342
KY,F,1934,Wanda,340
KY,F,1934,Ruby,328
KY,F,1934,Ruth,321
KY,F,1934,Nancy,298
KY,F,1934,Patricia,272
KY,F,1934,Elizabeth,267
KY,F,1934,Wilma,266
KY,F,1934,Lois,257
KY,F,1934,Mildred,247
KY,F,1934,Juanita,245
KY,F,1934,Frances,223
KY,F,1934,Thelma,219
KY,F,1934,Peggy,200
KY,F,1934,Jean,196
KY,F,1934,Joan,196
KY,F,1934,Evelyn,178
KY,F,1934,Alice,175
KY,F,1934,Edna,172
KY,F,1934,Phyllis,167
KY,F,1934,Carolyn,164
KY,F,1934,Patsy,162
KY,F,1934,Hazel,161
KY,F,1934,Emma,160
KY,F,1934,Jo,148
KY,F,1934,Alma,147
KY,F,1934,Bonnie,147
KY,F,1934,Gladys,147
KY,F,1934,Billie,140
KY,F,1934,Lillian,140
