StateCode,Sex,YearOfBirth,Name,Number
KY,F,1952,Rosa,21
KY,F,1952,Tina,21
KY,F,1952,Andrea,20
KY,F,1952,Cora,20
KY,F,1952,Jessie,20
KY,F,1952,Lena,20
KY,F,1952,Melinda,20
KY,F,1952,Myra,20
KY,F,1952,Nadine,20
KY,F,1952,Saundra,20
KY,F,1952,Shelley,20
KY,F,1952,Colleen,19
KY,F,1952,Deanna,19
KY,F,1952,Dixie,19
KY,F,1952,Esther,19
KY,F,1952,Flora,19
KY,F,1952,Mae,19
KY,F,1952,Michelle,19
KY,F,1952,Myrtle,19
KY,F,1952,Naomi,19
KY,F,1952,Patti,19
KY,F,1952,Rosetta,19
KY,F,1952,Candace,18
KY,F,1952,Dinah,18
KY,F,1952,Elsie,18
KY,F,1952,Ida,18
KY,F,1952,Jeannie,18
KY,F,1952,Josephine,18
KY,F,1952,Lillie,18
KY,F,1952,Lula,18
KY,F,1952,Lydia,18
KY,F,1952,Maria,18
KY,F,1952,Marion,18
KY,F,1952,Maureen,18
KY,F,1952,Trudy,18
KY,F,1952,Amy,17
KY,F,1952,Annette,17
KY,F,1952,Cecilia,17
KY,F,1952,Eunice,17
KY,F,1952,Grace,17
KY,F,1952,Jennie,17
KY,F,1952,Polly,17
KY,F,1952,Sharron,17
KY,F,1952,Amelia,16
KY,F,1952,Becky,16
KY,F,1952,Beulah,16
KY,F,1952,Dottie,16
KY,F,1952,Florence,16
KY,F,1952,Jacquelyn,16
KY,F,1952,Janis,16
KY,F,1952,Melody,16
KY,F,1952,Velma,16
KY,F,1952,Yolanda,16
KY,F,1952,Alberta,15
KY,F,1952,Alicia,15
KY,F,1952,Ava,15
KY,F,1952,Beatrice,15
KY,F,1952,Delilah,15
KY,F,1952,Eula,15
KY,F,1952,Hilda,15
KY,F,1952,Susie,15
KY,F,1952,Vera,15
KY,F,1952,Amanda,14
KY,F,1952,April,14
KY,F,1952,Cheri,14
KY,F,1952,Christy,14
KY,F,1952,Erma,14
KY,F,1952,Henrietta,14
KY,F,1952,Iva,14
KY,F,1952,Lora,14
KY,F,1952,Marian,14
KY,F,1952,Mollie,14
KY,F,1952,Ollie,14
KY,F,1952,Reva,14
KY,F,1952,Therese,14
KY,F,1952,Unknown,14
KY,F,1952,Violet,14
KY,F,1952,Willa,14
KY,F,1952,Edwina,13
KY,F,1952,Freida,13
KY,F,1952,Iris,13
KY,F,1952,Laverne,13
KY,F,1952,Lorene,13
KY,F,1952,Molly,13
KY,F,1952,Veronica,13
KY,F,1952,Annie,12
KY,F,1952,Arlene,12
KY,F,1952,Beth,12
KY,F,1952,Bettye,12
KY,F,1952,Christina,12
KY,F,1952,Dawn,12
KY,F,1952,Dolly,12
KY,F,1952,Etta,12
KY,F,1952,Fannie,12
KY,F,1952,Fonda,12
KY,F,1952,Frankie,12
KY,F,1952,Gay,12
KY,F,1952,Harriet,12
KY,F,1952,Imogene,12
KY,F,1952,Ina,12
KY,F,1952,Jeanie,12
KY,F,1952,Karla,12
KY,F,1952,Ladonna,12
KY,F,1952,Leona,12
KY,F,1952,Robbie,12
KY,F,1952,Ruthie,12
KY,F,1952,Verna,12
KY,F,1952,Viola,12
KY,F,1952,Bettie,11
KY,F,1952,Charolette,11
KY,F,1952,Holly,11
KY,F,1952,Irma,11
KY,F,1952,Mable,11
KY,F,1952,Maggie,11
KY,F,1952,Mitzi,11
KY,F,1952,Opal,11
KY,F,1952,Rena,11
KY,F,1952,Retha,11
KY,F,1952,Rosie,11
KY,F,1952,Teri,11
KY,F,1952,Virgie,11
KY,F,1952,Benita,10
KY,F,1952,Carlene,10
KY,F,1952,Cecelia,10
KY,F,1952,Darla,10
KY,F,1952,Debora,10
KY,F,1952,Diann,10
KY,F,1952,Dorthy,10
KY,F,1952,Effie,10
KY,F,1952,Gwen,10
KY,F,1952,Jerri,10
KY,F,1952,Jerry,10
KY,F,1952,Jewell,10
KY,F,1952,Jill,10
KY,F,1952,Joanne,10
KY,F,1952,Malinda,10
KY,F,1952,Marianne,10
KY,F,1952,Marla,10
KY,F,1952,Michele,10
KY,F,1952,Olivia,10
KY,F,1952,Pauletta,10
KY,F,1952,Shannon,10
KY,F,1952,Sherri,10
KY,F,1952,Sherrie,10
KY,F,1952,Sonja,10
KY,F,1952,Vanessa,10
KY,F,1952,Vonda,10
KY,F,1952,Celia,9
KY,F,1952,Deana,9
KY,F,1952,Dona,9
KY,F,1952,Earlene,9
KY,F,1952,Eileen,9
KY,F,1952,Francis,9
KY,F,1952,Gracie,9
KY,F,1952,Hattie,9
KY,F,1952,James,9
KY,F,1952,Jeanetta,9
KY,F,1952,Johnnie,9
KY,F,1952,Katie,9
KY,F,1952,Kaye,9
KY,F,1952,Lee,9
KY,F,1952,Lorraine,9
KY,F,1952,Lucinda,9
KY,F,1952,Lynne,9
KY,F,1952,Madonna,9
KY,F,1952,Mamie,9
KY,F,1952,Marguerite,9
KY,F,1952,Marva,9
KY,F,1952,Nola,9
KY,F,1952,Reda,9
KY,F,1952,Rosalie,9
KY,F,1952,Rosalind,9
KY,F,1952,Roxanna,9
KY,F,1952,Sadie,9
KY,F,1952,Sallie,9
KY,F,1952,Tamara,9
KY,F,1952,Alfreda,8
KY,F,1952,Alta,8
KY,F,1952,Dolores,8
KY,F,1952,Ernestine,8
KY,F,1952,Freeda,8
KY,F,1952,Gale,8
KY,F,1952,Goldie,8
KY,F,1952,Jamie,8
KY,F,1952,Jana,8
KY,F,1952,Jewel,8
KY,F,1952,Katrina,8
KY,F,1952,Kitty,8
