StateCode,Sex,YearOfBirth,Name,Number
KY,F,1987,Lori,37
KY,F,1987,Stacey,37
KY,F,1987,Tina,37
KY,F,1987,Autumn,36
KY,F,1987,Brooke,36
KY,F,1987,Christine,36
KY,F,1987,Rebekah,36
KY,F,1987,Sabrina,36
KY,F,1987,Candice,35
KY,F,1987,Cynthia,35
KY,F,1987,Nikki,35
KY,F,1987,Sheena,35
KY,F,1987,Abigail,34
KY,F,1987,Barbara,34
KY,F,1987,Julia,34
KY,F,1987,Molly,34
KY,F,1987,Pamela,34
KY,F,1987,Tasha,34
KY,F,1987,Monica,33
KY,F,1987,Ashlee,32
KY,F,1987,Bridget,32
KY,F,1987,Dana,32
KY,F,1987,Jaclyn,32
KY,F,1987,Karen,32
KY,F,1987,Meredith,32
KY,F,1987,Jasmine,31
KY,F,1987,Meghan,31
KY,F,1987,Melanie,31
KY,F,1987,Paige,31
KY,F,1987,Haley,30
KY,F,1987,Katrina,30
KY,F,1987,Tabatha,30
KY,F,1987,Alyssa,29
KY,F,1987,Kasey,29
KY,F,1987,Melinda,29
KY,F,1987,Cara,28
KY,F,1987,Hillary,28
KY,F,1987,Hope,28
KY,F,1987,Jillian,28
KY,F,1987,Maria,28
KY,F,1987,Christy,27
KY,F,1987,Olivia,27
KY,F,1987,Tamara,27
KY,F,1987,Christa,26
KY,F,1987,Caroline,25
KY,F,1987,Deanna,25
KY,F,1987,Joanna,25
KY,F,1987,Veronica,25
KY,F,1987,Angel,24
KY,F,1987,Audrey,24
KY,F,1987,Kellie,24
KY,F,1987,Latasha,24
KY,F,1987,Summer,24
KY,F,1987,Virginia,24
KY,F,1987,Abby,23
KY,F,1987,Sandra,23
KY,F,1987,Taylor,23
KY,F,1987,Brenda,22
KY,F,1987,Desiree,22
KY,F,1987,Nancy,22
KY,F,1987,Sonya,22
KY,F,1987,Adrienne,21
KY,F,1987,Carla,21
KY,F,1987,Kristi,21
KY,F,1987,Teresa,21
KY,F,1987,Valerie,21
KY,F,1987,Wendy,21
KY,F,1987,Ann,20
KY,F,1987,Britney,20
KY,F,1987,Jenny,20
KY,F,1987,Kaitlin,20
KY,F,1987,Kari,20
KY,F,1987,Leigh,20
KY,F,1987,Sierra,20
KY,F,1987,Anne,19
KY,F,1987,Ashton,19
KY,F,1987,Debra,19
KY,F,1987,Sharon,19
KY,F,1987,Shawna,19
KY,F,1987,Alexandria,18
KY,F,1987,Donna,18
KY,F,1987,Hilary,18
KY,F,1987,Keisha,18
KY,F,1987,Keshia,18
KY,F,1987,Latoya,18
KY,F,1987,Marissa,18
KY,F,1987,Bonnie,17
KY,F,1987,Carolyn,17
KY,F,1987,Charity,17
KY,F,1987,Dawn,17
KY,F,1987,Ebony,17
KY,F,1987,Lacy,17
KY,F,1987,Linda,17
KY,F,1987,Nikita,17
KY,F,1987,Nina,17
KY,F,1987,Paula,17
KY,F,1987,Shelly,17
KY,F,1987,Tammy,17
KY,F,1987,Diana,16
KY,F,1987,Ellen,16
KY,F,1987,Jodi,16
KY,F,1987,Kala,16
KY,F,1987,Katelyn,16
KY,F,1987,Lydia,16
KY,F,1987,Nichole,16
KY,F,1987,Suzanne,16
KY,F,1987,Amelia,15
KY,F,1987,Beth,15
KY,F,1987,Heidi,15
KY,F,1987,Jana,15
KY,F,1987,Kelley,15
KY,F,1987,Lyndsey,15
KY,F,1987,Mindy,15
KY,F,1987,Randi,15
KY,F,1987,Shauna,15
KY,F,1987,Toni,15
KY,F,1987,Aimee,14
KY,F,1987,Ashleigh,14
KY,F,1987,Brandie,14
KY,F,1987,Chelsey,14
KY,F,1987,Cheryl,14
KY,F,1987,Denise,14
KY,F,1987,Jessie,14
KY,F,1987,Kathy,14
KY,F,1987,Keri,14
KY,F,1987,Krystle,14
KY,F,1987,Racheal,14
KY,F,1987,Regina,14
KY,F,1987,Renee,14
KY,F,1987,Terri,14
KY,F,1987,Theresa,14
KY,F,1987,Brittani,13
KY,F,1987,Cortney,13
KY,F,1987,Destiny,13
KY,F,1987,Gabrielle,13
KY,F,1987,Gina,13
KY,F,1987,Janet,13
KY,F,1987,Joyce,13
KY,F,1987,Maggie,13
KY,F,1987,Rhonda,13
KY,F,1987,Shaina,13
KY,F,1987,Shana,13
KY,F,1987,Tanya,13
KY,F,1987,Tia,13
KY,F,1987,Tiffani,13
KY,F,1987,Allyson,12
KY,F,1987,Bobbie,12
KY,F,1987,Claire,12
KY,F,1987,Clarissa,12
KY,F,1987,Frances,12
KY,F,1987,Grace,12
KY,F,1987,Hayley,12
KY,F,1987,Jaime,12
KY,F,1987,Jill,12
KY,F,1987,Latisha,12
KY,F,1987,Lora,12
KY,F,1987,Shanna,12
KY,F,1987,Stefanie,12
KY,F,1987,Tosha,12
KY,F,1987,Tracey,12
KY,F,1987,Trista,12
KY,F,1987,Amie,11
KY,F,1987,Angelica,11
KY,F,1987,Betty,11
KY,F,1987,Carol,11
KY,F,1987,Deborah,11
KY,F,1987,Jackie,11
KY,F,1987,Joshua,11
KY,F,1987,Kate,11
KY,F,1987,Maranda,11
KY,F,1987,Marie,11
KY,F,1987,Sheila,11
KY,F,1987,Shelby,11
KY,F,1987,Tessa,11
KY,F,1987,Ahsley,10
KY,F,1987,Alexis,10
KY,F,1987,Alice,10
KY,F,1987,Anita,10
KY,F,1987,Audra,10
KY,F,1987,Beverly,10
KY,F,1987,Bobbi,10
KY,F,1987,Briana,10
KY,F,1987,Christin,10
KY,F,1987,Connie,10
KY,F,1987,Emma,10
KY,F,1987,Jacquelyn,10
KY,F,1987,Kaitlyn,10
KY,F,1987,Kandace,10
KY,F,1987,Lesley,10
KY,F,1987,Monique,10
KY,F,1987,Priscilla,10
KY,F,1987,Shelley,10
KY,F,1987,Shirley,10
KY,F,1987,Staci,10
KY,F,1987,Sylvia,10
KY,F,1987,Aubrey,9
KY,F,1987,Billie,9
KY,F,1987,Brianna,9
KY,F,1987,Deana,9
KY,F,1987,Dominique,9
KY,F,1987,Elisha,9
KY,F,1987,Jacklyn,9
KY,F,1987,Jade,9
KY,F,1987,Jami,9
KY,F,1987,Jerrica,9
KY,F,1987,Kaci,9
KY,F,1987,Kendall,9
KY,F,1987,Kristie,9
KY,F,1987,Leanna,9
KY,F,1987,Lucy,9
KY,F,1987,Maegan,9
KY,F,1987,Martha,9
KY,F,1987,Mckenzie,9
KY,F,1987,Nora,9
KY,F,1987,Robyn,9
KY,F,1987,Sherry,9
KY,F,1987,Stacie,9
KY,F,1987,Tiara,9
KY,F,1987,Alyson,8
KY,F,1987,Anastasia,8
KY,F,1987,Ashlie,8
KY,F,1987,Blair,8
KY,F,1987,Bridgette,8
KY,F,1987,Carly,8
KY,F,1987,Casie,8
KY,F,1987,Chelsie,8
KY,F,1987,Christian,8
KY,F,1987,Christopher,8
KY,F,1987,Cristina,8
KY,F,1987,Dara,8
KY,F,1987,Deidra,8
KY,F,1987,Devin,8
KY,F,1987,Devon,8
KY,F,1987,Dorothy,8
KY,F,1987,Elise,8
KY,F,1987,Ericka,8
KY,F,1987,Eva,8
KY,F,1987,Gretchen,8
KY,F,1987,Hollie,8
KY,F,1987,Jayme,8
KY,F,1987,Jeannie,8
KY,F,1987,Jesse,8
KY,F,1987,Jody,8
KY,F,1987,Kacey,8
KY,F,1987,Kristal,8
KY,F,1987,Kristian,8
KY,F,1987,Mackenzie,8
KY,F,1987,Mara,8
KY,F,1987,Melody,8
KY,F,1987,Michael,8
KY,F,1987,Michaela,8
KY,F,1987,Michele,8
KY,F,1987,Natosha,8
KY,F,1987,Peggy,8
KY,F,1987,Raven,8
KY,F,1987,Rose,8
KY,F,1987,Rosemary,8
KY,F,1987,Sally,8
KY,F,1987,Sydney,8
KY,F,1987,Terra,8
KY,F,1987,Trisha,8
KY,F,1987,Whittney,8
KY,F,1987,Annie,7
KY,F,1987,Ashely,7
KY,F,1987,Brandon,7
KY,F,1987,Britta,7
KY,F,1987,Callie,7
KY,F,1987,Carmen,7
KY,F,1987,Chandra,7
KY,F,1987,Channing,7
KY,F,1987,Christie,7
KY,F,1987,Cindy,7
KY,F,1987,Elaina,7
KY,F,1987,Eleanor,7
KY,F,1987,Emilee,7
KY,F,1987,Faith,7
KY,F,1987,Gwendolyn,7
KY,F,1987,Hailey,7
KY,F,1987,Holli,7
KY,F,1987,Jaimie,7
KY,F,1987,Joy,7
KY,F,1987,Kacie,7
KY,F,1987,Kacy,7
KY,F,1987,Kaila,7
KY,F,1987,Karla,7
KY,F,1987,Katharine,7
KY,F,1987,Kelsie,7
KY,F,1987,Ladonna,7
KY,F,1987,Loren,7
KY,F,1987,Madeline,7
KY,F,1987,Mariah,7
KY,F,1987,Marilyn,7
KY,F,1987,Marsha,7
KY,F,1987,Reba,7
KY,F,1987,Rita,7
KY,F,1987,Robert,7
KY,F,1987,Ruth,7
KY,F,1987,Ryan,7
KY,F,1987,Savanna,7
KY,F,1987,Shelia,7
KY,F,1987,Sherri,7
KY,F,1987,Tarah,7
KY,F,1987,Taryn,7
KY,F,1987,Tisha,7
KY,F,1987,Tori,7
KY,F,1987,Traci,7
KY,F,1987,Alecia,6
KY,F,1987,Alesha,6
KY,F,1987,Alishia,6
KY,F,1987,Allie,6
KY,F,1987,Amberly,6
KY,F,1987,Ashly,6
KY,F,1987,Bailey,6
KY,F,1987,Britany,6
KY,F,1987,Camille,6
KY,F,1987,Candy,6
KY,F,1987,Cari,6
KY,F,1987,Carissa,6
KY,F,1987,Cayla,6
KY,F,1987,Charlene,6
KY,F,1987,Charlotte,6
KY,F,1987,Cherish,6
KY,F,1987,Christen,6
KY,F,1987,Chrystal,6
KY,F,1987,Ciera,6
KY,F,1987,Cierra,6
KY,F,1987,Clara,6
KY,F,1987,Colleen,6
KY,F,1987,Constance,6
KY,F,1987,Cristy,6
KY,F,1987,David,6
KY,F,1987,Della,6
KY,F,1987,Denisha,6
KY,F,1987,Farrah,6
KY,F,1987,Felisha,6
KY,F,1987,Geneva,6
KY,F,1987,Ginger,6
KY,F,1987,Glenda,6
KY,F,1987,Helen,6
KY,F,1987,Janice,6
KY,F,1987,Janie,6
KY,F,1987,Jennie,6
KY,F,1987,Justin,6
KY,F,1987,Kasandra,6
KY,F,1987,Kasi,6
KY,F,1987,Kassandra,6
KY,F,1987,Kerri,6
KY,F,1987,Kori,6
KY,F,1987,Kristan,6
KY,F,1987,Lakeisha,6
KY,F,1987,Laken,6
KY,F,1987,Lakeshia,6
KY,F,1987,Lara,6
KY,F,1987,Leann,6
KY,F,1987,Lee,6
KY,F,1987,Lena,6
KY,F,1987,Loretta,6
KY,F,1987,Mandi,6
KY,F,1987,Mandy,6
KY,F,1987,Marisa,6
KY,F,1987,Meaghan,6
KY,F,1987,Naomi,6
KY,F,1987,Phyllis,6
KY,F,1987,Rachelle,6
KY,F,1987,Rikki,6
KY,F,1987,Rochelle,6
KY,F,1987,Ruby,6
KY,F,1987,Samatha,6
KY,F,1987,Stevie,6
KY,F,1987,Tabetha,6
KY,F,1987,Tricia,6
KY,F,1987,Wanda,6
KY,F,1987,Yvonne,6
KY,F,1987,Ada,5
KY,F,1987,Afton,5
KY,F,1987,Alana,5
KY,F,1987,Alexa,5
KY,F,1987,Ali,5
KY,F,1987,Alisa,5
KY,F,1987,Alycia,5
KY,F,1987,Alysia,5
KY,F,1987,Andria,5
KY,F,1987,Anthony,5
KY,F,1987,Antonia,5
KY,F,1987,Baby,5
KY,F,1987,Betsy,5
KY,F,1987,Breanna,5
KY,F,1987,Bridgett,5
KY,F,1987,Brittanie,5
KY,F,1987,Cecilia,5
KY,F,1987,Charissa,5
KY,F,1987,Charli,5
KY,F,1987,Ciara,5
KY,F,1987,Cora,5
KY,F,1987,Debbie,5
KY,F,1987,Deidre,5
KY,F,1987,Edna,5
KY,F,1987,Ella,5
KY,F,1987,Fallon,5
KY,F,1987,Gerri,5
KY,F,1987,India,5
KY,F,1987,Ivy,5
KY,F,1987,Janay,5
KY,F,1987,Jean,5
KY,F,1987,Jeanna,5
KY,F,1987,Jena,5
KY,F,1987,Jerica,5
KY,F,1987,Jocelyn,5
KY,F,1987,Joni,5
KY,F,1987,Juanita,5
KY,F,1987,Justine,5
KY,F,1987,Kalyn,5
KY,F,1987,Kandice,5
KY,F,1987,Katheryn,5
KY,F,1987,Katy,5
KY,F,1987,Kellye,5
KY,F,1987,Kendal,5
KY,F,1987,Kimber,5
KY,F,1987,Kristine,5
KY,F,1987,Kyla,5
KY,F,1987,Laci,5
KY,F,1987,Larissa,5
KY,F,1987,Lashanda,5
KY,F,1987,Latosha,5
KY,F,1987,Laurie,5
KY,F,1987,Lea,5
KY,F,1987,Leanne,5
KY,F,1987,Lyndsay,5
KY,F,1987,Lynn,5
KY,F,1987,Madison,5
KY,F,1987,Magen,5
KY,F,1987,Makayla,5
KY,F,1987,Marci,5
KY,F,1987,Marcie,5
KY,F,1987,Maureen,5
KY,F,1987,Mollie,5
KY,F,1987,Penny,5
KY,F,1987,Sadie,5
KY,F,1987,Selena,5
KY,F,1987,Serena,5
KY,F,1987,Sharonda,5
KY,F,1987,Shasta,5
KY,F,1987,Shayla,5
KY,F,1987,Shea,5
KY,F,1987,Shonda,5
KY,F,1987,Stella,5
KY,F,1987,Sue,5
KY,F,1987,Tamra,5
KY,F,1987,Terry,5
KY,F,1987,Tyler,5
KY,F,1988,Ashley,914
KY,F,1988,Jessica,826
KY,F,1988,Amanda,654
KY,F,1988,Brittany,605
KY,F,1988,Sarah,514
KY,F,1988,Kayla,409
KY,F,1988,Tiffany,389
KY,F,1988,Heather,380
KY,F,1988,Amber,379
KY,F,1988,Samantha,370
KY,F,1988,Megan,328
KY,F,1988,Whitney,311
KY,F,1988,Jennifer,291
KY,F,1988,Elizabeth,289
KY,F,1988,Lauren,277
KY,F,1988,Emily,267
KY,F,1988,Rachel,262
KY,F,1988,Stephanie,228
KY,F,1988,Courtney,218
KY,F,1988,Rebecca,195
KY,F,1988,Amy,183
KY,F,1988,Kimberly,183
KY,F,1988,Mary,174
KY,F,1988,Laura,173
KY,F,1988,Danielle,160
KY,F,1988,Christina,154
KY,F,1988,Katherine,154
KY,F,1988,Erica,152
KY,F,1988,Sara,145
KY,F,1988,Melissa,134
KY,F,1988,Chelsea,131
KY,F,1988,Lindsey,130
KY,F,1988,Angela,122
KY,F,1988,Crystal,120
KY,F,1988,Kristen,119
KY,F,1988,Erin,114
KY,F,1988,Jamie,113
KY,F,1988,Andrea,111
KY,F,1988,Allison,105
KY,F,1988,Michelle,105
KY,F,1988,Hannah,104
KY,F,1988,Kelly,98
KY,F,1988,Nicole,97
KY,F,1988,Lindsay,96
KY,F,1988,April,90
KY,F,1988,Brittney,90
KY,F,1988,Tara,90
KY,F,1988,Bethany,89
KY,F,1988,Katie,86
KY,F,1988,Victoria,83
KY,F,1988,Holly,82
KY,F,1988,Natasha,82
KY,F,1988,Tabitha,82
KY,F,1988,Alicia,79
KY,F,1988,Kristin,77
KY,F,1988,Morgan,77
KY,F,1988,Kara,75
KY,F,1988,Lisa,75
KY,F,1988,Kathryn,74
KY,F,1988,Cassandra,73
KY,F,1988,Anna,71
KY,F,1988,Brandy,71
KY,F,1988,Kelsey,70
KY,F,1988,Kendra,67
KY,F,1988,Shannon,66
KY,F,1988,Natalie,65
KY,F,1988,Brandi,62
KY,F,1988,Leslie,60
KY,F,1988,Alyssa,59
KY,F,1988,Casey,59
KY,F,1988,Felicia,58
KY,F,1988,Kristina,57
KY,F,1988,Misty,53
KY,F,1988,Brooke,51
KY,F,1988,Caitlin,51
KY,F,1988,Leah,51
KY,F,1988,Stacey,50
KY,F,1988,Carrie,49
KY,F,1988,Krystal,49
KY,F,1988,Miranda,49
KY,F,1988,Cassie,48
KY,F,1988,Jenna,47
KY,F,1988,Kasey,47
KY,F,1988,Catherine,46
KY,F,1988,Margaret,46
KY,F,1988,Sasha,46
KY,F,1988,Susan,46
KY,F,1988,Haley,45
KY,F,1988,Jasmine,45
KY,F,1988,Julie,45
KY,F,1988,Vanessa,45
