StateCode,Sex,YearOfBirth,Name,Number
KY,M,1952,Wayne,141
KY,M,1952,Jack,140
KY,M,1952,Joe,139
KY,M,1952,Walter,131
KY,M,1952,Randy,126
KY,M,1952,Frank,125
KY,M,1952,Eddie,124
KY,M,1952,Samuel,120
KY,M,1952,Tommy,118
KY,M,1952,Stanley,117
KY,M,1952,Garry,116
KY,M,1952,Glenn,114
KY,M,1952,Allen,112
KY,M,1952,Henry,112
KY,M,1952,Steve,110
KY,M,1952,Ernest,109
KY,M,1952,Dale,106
KY,M,1952,Harry,105
KY,M,1952,Earl,104
KY,M,1952,Arthur,102
KY,M,1952,Clarence,102
KY,M,1952,Eugene,102
KY,M,1952,Marvin,102
KY,M,1952,Patrick,98
KY,M,1952,Keith,95
KY,M,1952,Alan,94
KY,M,1952,Micheal,94
KY,M,1952,Philip,92
KY,M,1952,Rodney,91
KY,M,1952,Jeffrey,90
KY,M,1952,Lonnie,90
KY,M,1952,Howard,88
KY,M,1952,Jesse,82
KY,M,1952,Russell,80
KY,M,1952,Dwight,74
KY,M,1952,Ray,74
KY,M,1952,Albert,72
KY,M,1952,Curtis,71
KY,M,1952,Fred,71
KY,M,1952,Leonard,70
KY,M,1952,Tony,70
KY,M,1952,Lloyd,69
KY,M,1952,Norman,62
KY,M,1952,Cecil,61
KY,M,1952,Floyd,61
KY,M,1952,Don,60
KY,M,1952,Edwin,60
KY,M,1952,Clifford,59
KY,M,1952,Jimmie,59
KY,M,1952,Louis,59
KY,M,1952,Franklin,57
KY,M,1952,Melvin,57
KY,M,1952,Rickey,56
KY,M,1952,Herbert,55
KY,M,1952,Leslie,55
KY,M,1952,Frederick,54
KY,M,1952,Wendell,54
KY,M,1952,Alvin,53
KY,M,1952,Chester,53
KY,M,1952,Clyde,53
KY,M,1952,Glen,53
KY,M,1952,Lee,52
KY,M,1952,Mitchell,52
KY,M,1952,Christopher,51
KY,M,1952,Bill,50
KY,M,1952,Freddie,49
KY,M,1952,Marshall,49
KY,M,1952,Vernon,49
KY,M,1952,Willie,49
KY,M,1952,Elmer,48
KY,M,1952,Benjamin,47
KY,M,1952,Calvin,46
KY,M,1952,Kevin,46
KY,M,1952,Mike,46
KY,M,1952,Lewis,45
KY,M,1952,Theodore,45
KY,M,1952,Virgil,45
KY,M,1952,Martin,44
KY,M,1952,Andrew,42
KY,M,1952,Gilbert,42
KY,M,1952,Johnnie,42
KY,M,1952,Lester,41
KY,M,1952,Francis,40
KY,M,1952,Gene,37
KY,M,1952,Arnold,36
KY,M,1952,Benny,36
KY,M,1952,Daryl,36
KY,M,1952,Gordon,36
KY,M,1952,Herman,36
KY,M,1952,Peter,36
KY,M,1952,Bennie,35
KY,M,1952,Bernard,35
KY,M,1952,Claude,35
KY,M,1952,Rick,35
KY,M,1952,Warren,35
KY,M,1952,Willard,35
KY,M,1952,Jeffery,34
KY,M,1952,Perry,34
KY,M,1952,Wesley,34
KY,M,1952,Alfred,33
KY,M,1952,Craig,33
KY,M,1952,Dan,33
KY,M,1952,Dewey,33
KY,M,1952,Everett,33
KY,M,1952,Maurice,33
KY,M,1952,Rex,33
KY,M,1952,Eric,32
KY,M,1952,Milton,32
KY,M,1952,Carlos,31
KY,M,1952,Homer,31
KY,M,1952,Leon,31
KY,M,1952,Teddy,31
KY,M,1952,Edgar,30
KY,M,1952,Hugh,30
KY,M,1952,Kenny,30
KY,M,1952,Lowell,29
KY,M,1952,Morris,29
KY,M,1952,Rickie,29
