StateCode,Sex,YearOfBirth,Name,Number
KY,M,1975,Brian,567
KY,M,1975,Charles,502
KY,M,1975,Kevin,440
KY,M,1975,Joseph,429
KY,M,1975,Matthew,418
KY,M,1975,Jeremy,354
KY,M,1975,Steven,352
KY,M,1975,Timothy,339
KY,M,1975,Anthony,336
KY,M,1975,Eric,300
KY,M,1975,Mark,292
KY,M,1975,Jeffrey,282
KY,M,1975,Thomas,280
KY,M,1975,Daniel,271
KY,M,1975,Jonathan,267
KY,M,1975,Chad,264
KY,M,1975,Richard,262
KY,M,1975,Kenneth,244
KY,M,1975,Shawn,226
KY,M,1975,Gregory,225
KY,M,1975,Joshua,209
KY,M,1975,Stephen,205
KY,M,1975,Gary,197
KY,M,1975,Donald,193
KY,M,1975,Scott,193
KY,M,1975,Paul,188
KY,M,1975,Larry,186
KY,M,1975,Bryan,157
KY,M,1975,Ronald,157
KY,M,1975,Benjamin,150
KY,M,1975,Adam,147
KY,M,1975,Aaron,146
KY,M,1975,Bradley,145
KY,M,1975,Andrew,144
KY,M,1975,Phillip,142
KY,M,1975,Billy,140
KY,M,1975,Jerry,140
KY,M,1975,Terry,140
KY,M,1975,Brandon,138
KY,M,1975,Bobby,131
KY,M,1975,George,130
KY,M,1975,Jeffery,130
KY,M,1975,Jamie,129
KY,M,1975,Danny,123
KY,M,1975,Ryan,121
KY,M,1975,Edward,115
KY,M,1975,Rodney,112
KY,M,1975,Johnny,111
KY,M,1975,Nathan,111
KY,M,1975,Patrick,111
KY,M,1975,Douglas,108
KY,M,1975,Travis,102
KY,M,1975,Shannon,98
KY,M,1975,Roger,97
KY,M,1975,Todd,96
KY,M,1975,Keith,95
KY,M,1975,Dennis,93
KY,M,1975,Samuel,89
KY,M,1975,Ronnie,87
KY,M,1975,Sean,85
KY,M,1975,Shane,85
KY,M,1975,Tony,85
KY,M,1975,Ricky,83
KY,M,1975,Troy,83
KY,M,1975,Carl,79
KY,M,1975,Roy,78
KY,M,1975,Randall,73
KY,M,1975,Russell,72
KY,M,1975,Jimmy,70
KY,M,1975,Justin,70
KY,M,1975,Craig,69
KY,M,1975,Randy,66
KY,M,1975,Brent,63
KY,M,1975,Jesse,62
KY,M,1975,Raymond,60
KY,M,1975,Darrell,59
KY,M,1975,Micheal,55
KY,M,1975,Scotty,55
KY,M,1975,Walter,54
KY,M,1975,Philip,53
KY,M,1975,Tommy,53
KY,M,1975,Brad,51
KY,M,1975,Wesley,51
KY,M,1975,Barry,50
KY,M,1975,Donnie,49
KY,M,1975,Damon,48
KY,M,1975,Derek,48
KY,M,1975,Kelly,48
KY,M,1975,Joe,46
KY,M,1975,Chris,45
KY,M,1975,Gerald,45
KY,M,1975,Marcus,45
KY,M,1975,Jody,40
KY,M,1975,Curtis,39
KY,M,1975,Darren,39
KY,M,1975,Kyle,39
KY,M,1975,Corey,38
KY,M,1975,Jacob,38
KY,M,1975,Lawrence,38
KY,M,1975,Dustin,37
KY,M,1975,Harold,37
KY,M,1975,Bruce,36
KY,M,1975,Eddie,36
KY,M,1975,Jackie,36
KY,M,1975,Jon,35
KY,M,1975,Martin,35
KY,M,1975,Scottie,35
KY,M,1975,Allen,34
KY,M,1975,Derrick,34
KY,M,1975,Mitchell,33
KY,M,1975,Ralph,33
KY,M,1975,Arthur,32
KY,M,1975,Casey,32
KY,M,1975,Lee,32
KY,M,1975,Earl,31
KY,M,1975,Jared,31
KY,M,1975,Alan,30
KY,M,1975,Henry,30
KY,M,1975,Leslie,30
KY,M,1975,Marvin,30
KY,M,1975,Cory,29
