StateCode,Sex,YearOfBirth,Name,Number
LA,M,1957,Edwin,60
LA,M,1957,Guy,60
LA,M,1957,Gordon,59
LA,M,1957,Vincent,59
LA,M,1957,Nathan,58
LA,M,1957,Wilbert,58
LA,M,1957,Donnie,57
LA,M,1957,Alton,55
LA,M,1957,Bernard,55
LA,M,1957,Victor,55
LA,M,1957,Jackie,53
LA,M,1957,Aaron,50
LA,M,1957,Benjamin,50
LA,M,1957,Claude,50
LA,M,1957,Jay,50
LA,M,1957,Johnnie,50
LA,M,1957,Kim,50
LA,M,1957,Leo,50
LA,M,1957,Morris,49
LA,M,1957,Dwight,48
LA,M,1957,Wendell,48
LA,M,1957,Dean,47
LA,M,1957,Gene,47
LA,M,1957,Leslie,46
LA,M,1957,Percy,46
LA,M,1957,Roosevelt,46
LA,M,1957,Kent,45
LA,M,1957,Gilbert,44
LA,M,1957,Jeff,44
LA,M,1957,Otis,44
LA,M,1957,Huey,43
LA,M,1957,Wesley,43
LA,M,1957,Matthew,42
LA,M,1957,Oscar,42
LA,M,1957,Randal,42
LA,M,1957,Francis,41
LA,M,1957,Andre,40
LA,M,1957,Wade,40
LA,M,1957,Wilfred,40
LA,M,1957,Benny,39
LA,M,1957,Bradley,39
LA,M,1957,Cecil,39
LA,M,1957,Elvis,39
LA,M,1957,Jonathan,39
LA,M,1957,Kenny,38
LA,M,1957,Marshall,38
LA,M,1957,Edgar,37
LA,M,1957,Lynn,37
LA,M,1957,Oliver,37
LA,M,1957,Clinton,36
LA,M,1957,Darrel,36
LA,M,1957,Cedric,35
LA,M,1957,Garry,35
LA,M,1957,Kelvin,35
LA,M,1957,Marc,35
LA,M,1957,Theodore,35
LA,M,1957,Unknown,35
LA,M,1957,Wallace,35
LA,M,1957,Felton,34
LA,M,1957,Malcolm,34
LA,M,1957,Nelson,34
LA,M,1957,Chester,33
LA,M,1957,Archie,32
LA,M,1957,Frankie,32
LA,M,1957,Harvey,32
LA,M,1957,Sam,32
LA,M,1957,Ted,32
LA,M,1957,Clayton,31
LA,M,1957,Dan,31
LA,M,1957,Daryl,31
LA,M,1957,Fredrick,31
LA,M,1957,Isaac,31
LA,M,1957,Mickey,31
LA,M,1957,Roderick,31
LA,M,1957,Marcus,30
LA,M,1957,Maurice,30
LA,M,1957,Rene,30
LA,M,1957,Sylvester,30
LA,M,1957,Bennie,29
LA,M,1957,Carlton,29
LA,M,1957,Jon,29
LA,M,1957,Nicholas,29
LA,M,1957,Randolph,29
LA,M,1957,Arnold,28
LA,M,1957,Clay,28
LA,M,1957,Earnest,28
LA,M,1957,Horace,28
LA,M,1957,Irvin,28
LA,M,1957,Rickie,28
LA,M,1957,Van,28
