StateCode,Sex,YearOfBirth,Name,Number
LA,M,1973,Derrick,170
LA,M,1973,Brandon,162
LA,M,1973,Jeremy,155
LA,M,1973,Corey,146
LA,M,1973,Todd,135
LA,M,1973,Gary,130
LA,M,1973,Terry,130
LA,M,1973,Willie,126
LA,M,1973,Sean,125
LA,M,1973,Joshua,123
LA,M,1973,George,120
LA,M,1973,Marcus,119
LA,M,1973,Jeffery,118
LA,M,1973,Aaron,114
LA,M,1973,Jermaine,111
LA,M,1973,Jerry,110
LA,M,1973,Johnny,108
LA,M,1973,Rodney,106
LA,M,1973,Brent,104
LA,M,1973,Shannon,104
LA,M,1973,Travis,104
LA,M,1973,Billy,103
LA,M,1973,Reginald,100
LA,M,1973,Tyrone,98
LA,M,1973,Andrew,97
LA,M,1973,Brad,97
LA,M,1973,Craig,96
LA,M,1973,Jamie,93
LA,M,1973,Dennis,92
LA,M,1973,Dwayne,91
LA,M,1973,Gerald,91
LA,M,1973,Roy,88
LA,M,1973,Chris,87
LA,M,1973,Samuel,87
LA,M,1973,Randy,86
LA,M,1973,Raymond,86
LA,M,1973,Henry,85
LA,M,1973,Micheal,84
LA,M,1973,Douglas,83
LA,M,1973,Benjamin,82
LA,M,1973,Bradley,82
LA,M,1973,Frank,82
LA,M,1973,Derek,81
LA,M,1973,Ronnie,81
LA,M,1973,Bobby,80
LA,M,1973,Damon,78
LA,M,1973,Louis,78
LA,M,1973,Albert,76
LA,M,1973,Carl,76
LA,M,1973,Curtis,76
LA,M,1973,Cedric,75
LA,M,1973,Frederick,74
LA,M,1973,Jimmy,73
LA,M,1973,Adam,72
LA,M,1973,Allen,70
LA,M,1973,Russell,70
LA,M,1973,Byron,69
LA,M,1973,Leonard,69
LA,M,1973,Carlos,68
LA,M,1973,Danny,68
LA,M,1973,Terrence,68
LA,M,1973,Calvin,67
LA,M,1973,Darrell,67
LA,M,1973,Lawrence,67
LA,M,1973,Ernest,65
LA,M,1973,Roderick,64
LA,M,1973,Tony,62
LA,M,1973,Walter,62
LA,M,1973,Jerome,61
LA,M,1973,Nathan,61
LA,M,1973,Terrance,59
LA,M,1973,Eddie,58
LA,M,1973,Wayne,58
LA,M,1973,Barry,57
LA,M,1973,Harold,57
LA,M,1973,Brett,56
LA,M,1973,Lance,56
LA,M,1973,Marlon,56
LA,M,1973,Tommy,56
LA,M,1973,Alvin,55
LA,M,1973,Kyle,55
LA,M,1973,Melvin,55
LA,M,1973,Arthur,53
LA,M,1973,Jody,53
LA,M,1973,Lee,53
LA,M,1973,Ricky,53
LA,M,1973,Earl,52
LA,M,1973,Joel,52
LA,M,1973,Philip,52
LA,M,1973,Christian,51
LA,M,1973,Clinton,51
LA,M,1973,Glenn,51
LA,M,1973,Nicholas,51
LA,M,1973,Clarence,50
LA,M,1973,Eugene,50
LA,M,1973,Jon,50
LA,M,1973,Justin,50
LA,M,1973,Kelly,50
LA,M,1973,Andre,49
LA,M,1973,Don,49
LA,M,1973,Phillip,49
LA,M,1973,Toby,49
LA,M,1973,Alfred,47
LA,M,1973,Jesse,47
LA,M,1973,Peter,47
LA,M,1973,Cory,46
LA,M,1973,Darren,46
LA,M,1973,Ron,46
LA,M,1973,Vincent,46
LA,M,1973,Antonio,45
LA,M,1973,Kendrick,45
LA,M,1973,Roger,45
LA,M,1973,Mitchell,44
LA,M,1973,Jack,42
LA,M,1973,Jared,42
LA,M,1973,Leon,42
LA,M,1973,Marc,42
LA,M,1973,Randall,42
LA,M,1973,Clint,41
LA,M,1973,Darryl,41
LA,M,1973,Kirk,40
LA,M,1973,Stacy,40
LA,M,1973,Jacob,39
LA,M,1973,Kelvin,39
LA,M,1973,Marvin,39
LA,M,1973,Bryant,38
LA,M,1973,Fredrick,38
LA,M,1973,Heath,38
LA,M,1973,Herman,38
LA,M,1973,Kerry,38
LA,M,1973,Wesley,38
LA,M,1973,Demond,37
LA,M,1973,Edwin,37
LA,M,1973,Warren,37
LA,M,1973,Clifford,36
LA,M,1973,Cody,36
LA,M,1973,Dwight,36
LA,M,1973,Jessie,36
LA,M,1973,Joe,36
LA,M,1973,Malcolm,36
LA,M,1973,Donnie,35
LA,M,1973,Jay,35
LA,M,1973,Lionel,35
LA,M,1973,Lloyd,35
LA,M,1973,Nathaniel,35
LA,M,1973,Herbert,34
LA,M,1973,Stanley,34
LA,M,1973,Adrian,33
LA,M,1973,Joey,33
LA,M,1973,Steve,33
LA,M,1973,Tracy,33
LA,M,1973,Bruce,32
LA,M,1973,Clifton,32
LA,M,1973,Lonnie,32
LA,M,1973,Clayton,31
LA,M,1973,Daryl,31
LA,M,1973,Dewayne,31
LA,M,1973,Leroy,31
LA,M,1973,Victor,31
LA,M,1973,Alton,30
LA,M,1973,Isaac,30
LA,M,1973,Lester,30
LA,M,1973,Maurice,30
LA,M,1973,Alan,29
LA,M,1973,Dale,29
LA,M,1973,Demetrius,29
LA,M,1973,Johnathan,29
LA,M,1973,Ralph,29
LA,M,1973,Ray,29
LA,M,1973,Scotty,29
LA,M,1973,Casey,28
LA,M,1973,Erik,28
LA,M,1973,Marshall,28
LA,M,1973,Milton,28
LA,M,1973,Carlton,27
LA,M,1973,Leo,27
LA,M,1973,Martin,27
LA,M,1973,Perry,27
LA,M,1973,Vernon,27
LA,M,1973,Duane,26
LA,M,1973,Greg,26
LA,M,1973,Wade,26
LA,M,1973,Ashley,25
LA,M,1973,Chadwick,25
LA,M,1973,Damian,25
LA,M,1973,Dustin,25
LA,M,1973,Harry,25
LA,M,1973,Lamont,25
LA,M,1973,Norman,25
LA,M,1973,Roland,25
LA,M,1973,Sidney,25
LA,M,1973,Brady,24
LA,M,1973,Charlie,24
LA,M,1973,Cornelius,24
LA,M,1973,Dana,24
LA,M,1973,Jimmie,24
LA,M,1973,Wendell,24
LA,M,1973,Clyde,23
LA,M,1973,Derick,23
LA,M,1973,Howard,23
LA,M,1973,Terrell,23
LA,M,1973,Blake,22
LA,M,1973,Clay,22
LA,M,1973,Floyd,22
LA,M,1973,Gabriel,22
LA,M,1973,Johnnie,22
LA,M,1973,Rickey,22
LA,M,1973,Blaine,21
LA,M,1973,Damien,21
LA,M,1973,Glen,21
LA,M,1973,Jeff,21
LA,M,1973,Kenny,21
LA,M,1973,Kurt,21
LA,M,1973,Neil,21
LA,M,1973,Orlando,21
LA,M,1973,Rene,21
LA,M,1973,Bernard,20
LA,M,1973,Dexter,20
LA,M,1973,Freddie,20
LA,M,1973,Jude,20
LA,M,1973,Karl,20
LA,M,1973,Leslie,20
LA,M,1973,Mario,20
LA,M,1973,Quincy,20
LA,M,1973,Spencer,20
LA,M,1973,Stuart,20
LA,M,1973,Kendall,19
LA,M,1973,Morris,19
LA,M,1973,Robin,19
LA,M,1973,Sterling,19
LA,M,1973,Alexander,18
