StateCode,Sex,YearOfBirth,Name,Number
MA,F,1951,Jeanne,230
MA,F,1951,Dianne,228
MA,F,1951,Sheila,211
MA,F,1951,Theresa,202
MA,F,1951,Brenda,199
MA,F,1951,Lorraine,195
MA,F,1951,Ruth,193
MA,F,1951,Suzanne,193
MA,F,1951,Katherine,192
MA,F,1951,Marcia,184
MA,F,1951,Helen,178
MA,F,1951,Carolyn,176
MA,F,1951,Kathryn,173
MA,F,1951,Frances,172
MA,F,1951,Roberta,172
MA,F,1951,Bonnie,170
MA,F,1951,Louise,164
MA,F,1951,Jacqueline,157
MA,F,1951,Rosemary,152
MA,F,1951,Wendy,151
MA,F,1951,Shirley,147
MA,F,1951,Laura,142
MA,F,1951,Lois,141
MA,F,1951,Claire,139
MA,F,1951,Lynne,137
MA,F,1951,Phyllis,135
MA,F,1951,Alice,132
MA,F,1951,Sally,126
MA,F,1951,Charlene,123
MA,F,1951,Leslie,119
MA,F,1951,Lynn,117
MA,F,1951,Rita,116
MA,F,1951,Robin,115
MA,F,1951,Irene,114
MA,F,1951,Marjorie,114
MA,F,1951,Valerie,114
MA,F,1951,Andrea,109
MA,F,1951,Joann,106
MA,F,1951,Michelle,106
MA,F,1951,Constance,105
MA,F,1951,Gloria,104
MA,F,1951,Geraldine,102
MA,F,1951,Kathy,102
MA,F,1951,Arlene,100
MA,F,1951,June,99
MA,F,1951,Michele,99
MA,F,1951,Rose,99
MA,F,1951,Darlene,98
MA,F,1951,Julie,95
MA,F,1951,Rebecca,95
MA,F,1951,Jo,92
MA,F,1951,Laurie,92
MA,F,1951,Pauline,92
MA,F,1951,Marsha,91
MA,F,1951,Judy,90
MA,F,1951,Diana,89
MA,F,1951,Teresa,89
MA,F,1951,Sarah,84
MA,F,1951,Stephanie,84
MA,F,1951,Betty,82
MA,F,1951,Gayle,81
MA,F,1951,Victoria,81
MA,F,1951,Janis,79
MA,F,1951,Priscilla,79
MA,F,1951,Maria,78
MA,F,1951,Cathy,77
MA,F,1951,Lisa,77
MA,F,1951,Carole,76
MA,F,1951,Lynda,76
MA,F,1951,Eleanor,74
MA,F,1951,Marlene,73
MA,F,1951,Colleen,72
MA,F,1951,Marianne,72
MA,F,1951,Evelyn,69
MA,F,1951,Doreen,67
MA,F,1951,Jill,67
MA,F,1951,Norma,66
MA,F,1951,Regina,66
MA,F,1951,Christina,65
MA,F,1951,Doris,65
MA,F,1951,Candace,62
MA,F,1951,Claudia,62
MA,F,1951,Maryann,62
MA,F,1951,Charlotte,61
MA,F,1951,Dolores,61
MA,F,1951,Dale,60
MA,F,1951,Rosemarie,59
MA,F,1951,Anita,57
MA,F,1951,Anna,56
MA,F,1951,Audrey,56
MA,F,1951,Lucille,56
MA,F,1951,Beth,55
MA,F,1951,Kristine,55
MA,F,1951,Sheryl,54
MA,F,1951,Angela,52
MA,F,1951,Marguerite,51
MA,F,1951,Holly,50
MA,F,1951,Laurel,49
MA,F,1951,Marion,49
MA,F,1951,Amy,48
MA,F,1951,Lee,48
MA,F,1951,Annette,47
MA,F,1951,Lillian,47
MA,F,1951,Loretta,47
MA,F,1951,Gale,46
MA,F,1951,Sylvia,46
MA,F,1951,Noreen,45
MA,F,1951,Shelley,44
MA,F,1951,Grace,43
MA,F,1951,Jeannette,43
MA,F,1951,Paulette,43
MA,F,1951,Yvonne,43
