StateCode,Sex,YearOfBirth,Name,Number
MA,F,1983,Deidre,7
MA,F,1983,Dena,7
MA,F,1983,Devin,7
MA,F,1983,Georgia,7
MA,F,1983,Ilana,7
MA,F,1983,James,7
MA,F,1983,Jami,7
MA,F,1983,Janel,7
MA,F,1983,Jeannine,7
MA,F,1983,Karina,7
MA,F,1983,Lianne,7
MA,F,1983,Lissette,7
MA,F,1983,Lynda,7
MA,F,1983,Mandi,7
MA,F,1983,Maritza,7
MA,F,1983,Melisa,7
MA,F,1983,Patrice,7
MA,F,1983,Rebeca,7
MA,F,1983,Rene,7
MA,F,1983,Robert,7
MA,F,1983,Rosalie,7
MA,F,1983,Shayna,7
MA,F,1983,Sherrie,7
MA,F,1983,Shirley,7
MA,F,1983,Susanna,7
MA,F,1983,Talia,7
MA,F,1983,Terri,7
MA,F,1983,Thomas,7
MA,F,1983,Tiana,7
MA,F,1983,Tiffanie,7
MA,F,1983,Timothy,7
MA,F,1983,Venessa,7
MA,F,1983,Yvonne,7
MA,F,1983,Abbie,6
MA,F,1983,Aileen,6
MA,F,1983,Alisa,6
MA,F,1983,Ami,6
MA,F,1983,Angelique,6
MA,F,1983,Angie,6
MA,F,1983,Anthony,6
MA,F,1983,Arianna,6
MA,F,1983,Audra,6
MA,F,1983,Bailey,6
MA,F,1983,Brigid,6
MA,F,1983,Cecilia,6
MA,F,1983,Chelsey,6
MA,F,1983,Clarissa,6
MA,F,1983,Constance,6
MA,F,1983,Cori,6
MA,F,1983,Cortney,6
MA,F,1983,Darcy,6
MA,F,1983,Dianne,6
MA,F,1983,Dominique,6
MA,F,1983,Elana,6
MA,F,1983,Ericka,6
MA,F,1983,Eugenia,6
MA,F,1983,Helena,6
MA,F,1983,Isabel,6
MA,F,1983,Ivy,6
MA,F,1983,Jaimie,6
MA,F,1983,Janice,6
MA,F,1983,Jasmin,6
MA,F,1983,Jordan,6
MA,F,1983,Joseph,6
MA,F,1983,Juliette,6
MA,F,1983,Kassandra,6
MA,F,1983,Kathy,6
MA,F,1983,Kaylan,6
MA,F,1983,Kerrie,6
MA,F,1983,Keyana,6
MA,F,1983,Leanna,6
MA,F,1983,Loriann,6
MA,F,1983,Louisa,6
MA,F,1983,Lucia,6
MA,F,1983,Margo,6
MA,F,1983,Mariel,6
MA,F,1983,May,6
MA,F,1983,Mellisa,6
MA,F,1983,Mellissa,6
MA,F,1983,Natalia,6
MA,F,1983,Nicholas,6
MA,F,1983,Quiana,6
MA,F,1983,Shari,6
MA,F,1983,Shayla,6
MA,F,1983,Stacia,6
MA,F,1983,Susanne,6
MA,F,1983,Tami,6
MA,F,1983,Tarah,6
MA,F,1983,William,6
MA,F,1983,Adina,5
MA,F,1983,Aida,5
MA,F,1983,Alina,5
MA,F,1983,Alyse,5
MA,F,1983,Ariana,5
MA,F,1983,Arlene,5
MA,F,1983,Beverly,5
MA,F,1983,Carolina,5
MA,F,1983,Cathy,5
MA,F,1983,Celina,5
MA,F,1983,Chandra,5
MA,F,1983,Chantel,5
MA,F,1983,Chloe,5
MA,F,1983,Colby,5
MA,F,1983,Damaris,5
MA,F,1983,Daniella,5
MA,F,1983,Deena,5
MA,F,1983,Ebonie,5
MA,F,1983,Elaina,5
MA,F,1983,Fiona,5
MA,F,1983,Harmony,5
MA,F,1983,Hayley,5
MA,F,1983,Jacqui,5
MA,F,1983,Jahaira,5
MA,F,1983,Janette,5
MA,F,1983,Janna,5
MA,F,1983,Jazmin,5
MA,F,1983,Jenelle,5
MA,F,1983,Jenni,5
MA,F,1983,Jesse,5
MA,F,1983,Jonathan,5
MA,F,1983,Josephine,5
MA,F,1983,Juanita,5
MA,F,1983,Justin,5
MA,F,1983,Kali,5
MA,F,1983,Katelin,5
MA,F,1983,Katelynn,5
MA,F,1983,Keila,5
MA,F,1983,Keriann,5
MA,F,1983,Kylie,5
MA,F,1983,Leigha,5
MA,F,1983,Lia,5
MA,F,1983,Lila,5
MA,F,1983,Lindsy,5
MA,F,1983,Lisandra,5
MA,F,1983,Lisette,5
MA,F,1983,Lucinda,5
MA,F,1983,Marlena,5
MA,F,1983,Marta,5
MA,F,1983,Maya,5
MA,F,1983,Meryl,5
MA,F,1983,Mia,5
MA,F,1983,Milagros,5
MA,F,1983,Moriah,5
MA,F,1983,Nikia,5
MA,F,1983,Norma,5
MA,F,1983,Rachele,5
MA,F,1983,Rena,5
MA,F,1983,Rhiannon,5
MA,F,1983,Roberta,5
MA,F,1983,Sarina,5
MA,F,1983,Shamika,5
MA,F,1983,Shira,5
MA,F,1983,Staci,5
MA,F,1983,Tawnya,5
MA,F,1983,Therese,5
MA,F,1983,Thuy,5
MA,F,1983,Tonia,5
MA,F,1983,Wanda,5
MA,F,1983,Yajaira,5
MA,F,1984,Jennifer,1317
MA,F,1984,Jessica,1102
MA,F,1984,Sarah,780
MA,F,1984,Nicole,760
MA,F,1984,Elizabeth,641
MA,F,1984,Amanda,635
MA,F,1984,Melissa,615
MA,F,1984,Ashley,614
MA,F,1984,Stephanie,577
MA,F,1984,Danielle,501
MA,F,1984,Lauren,472
MA,F,1984,Heather,448
MA,F,1984,Amy,442
MA,F,1984,Erin,430
MA,F,1984,Laura,416
MA,F,1984,Emily,390
MA,F,1984,Michelle,370
MA,F,1984,Rebecca,370
MA,F,1984,Rachel,363
MA,F,1984,Kimberly,343
MA,F,1984,Kristen,338
MA,F,1984,Megan,325
MA,F,1984,Katherine,313
MA,F,1984,Lisa,312
MA,F,1984,Kelly,309
MA,F,1984,Meghan,304
MA,F,1984,Christine,293
MA,F,1984,Christina,276
MA,F,1984,Crystal,267
MA,F,1984,Lindsay,266
MA,F,1984,Andrea,257
MA,F,1984,Shannon,246
MA,F,1984,Sara,239
MA,F,1984,Caitlin,234
MA,F,1984,Julie,227
MA,F,1984,Tiffany,220
MA,F,1984,Kristin,217
MA,F,1984,Courtney,215
MA,F,1984,Erica,210
MA,F,1984,Kathryn,209
MA,F,1984,Katie,192
MA,F,1984,Allison,190
MA,F,1984,Jenna,189
MA,F,1984,Kathleen,181
MA,F,1984,Lindsey,178
MA,F,1984,Jillian,176
MA,F,1984,Jamie,175
MA,F,1984,Jacqueline,173
MA,F,1984,Samantha,169
MA,F,1984,Mary,167
MA,F,1984,Angela,166
MA,F,1984,Tara,164
MA,F,1984,Alicia,161
MA,F,1984,Colleen,157
MA,F,1984,Vanessa,153
MA,F,1984,Catherine,149
MA,F,1984,Alexandra,141
MA,F,1984,Katelyn,134
MA,F,1984,Julia,129
MA,F,1984,Alison,127
MA,F,1984,Victoria,118
MA,F,1984,Leah,112
MA,F,1984,Kate,110
MA,F,1984,Holly,107
MA,F,1984,Maria,106
MA,F,1984,Cassandra,104
MA,F,1984,Joanna,104
MA,F,1984,Kara,101
MA,F,1984,Melanie,101
MA,F,1984,Stacey,101
MA,F,1984,Kerri,97
MA,F,1984,Susan,97
MA,F,1984,Diana,95
MA,F,1984,Jaclyn,95
MA,F,1984,Bethany,94
MA,F,1984,Kristina,94
MA,F,1984,Alyssa,92
MA,F,1984,Carolyn,91
MA,F,1984,Meredith,91
MA,F,1984,Patricia,91
MA,F,1984,Karen,88
MA,F,1984,Tanya,88
MA,F,1984,Renee,85
MA,F,1984,Stacy,85
MA,F,1984,Amber,81
MA,F,1984,Meaghan,81
MA,F,1984,Alexis,79
MA,F,1984,Jill,76
MA,F,1984,Brittany,75
MA,F,1984,Margaret,75
MA,F,1984,Monica,75
MA,F,1984,Pamela,75
MA,F,1984,Caroline,74
MA,F,1984,Kaitlyn,74
MA,F,1984,Anne,73
MA,F,1984,Anna,72
MA,F,1984,Krystal,72
MA,F,1984,Tracy,72
MA,F,1984,Rachael,71
MA,F,1984,April,70
MA,F,1984,Erika,70
MA,F,1984,Molly,70
MA,F,1984,Gina,67
MA,F,1984,Sheena,67
MA,F,1984,Valerie,67
MA,F,1984,Cynthia,66
MA,F,1984,Casey,65
MA,F,1984,Kerry,65
MA,F,1984,Marissa,64
MA,F,1984,Abigail,63
MA,F,1984,Natasha,61
MA,F,1984,Kaitlin,59
MA,F,1984,Natalie,59
MA,F,1984,Nichole,59
MA,F,1984,Sandra,58
MA,F,1984,Heidi,57
MA,F,1984,Jacquelyn,57
MA,F,1984,Stefanie,57
MA,F,1984,Dawn,55
MA,F,1984,Shauna,55
MA,F,1984,Jocelyn,54
MA,F,1984,Robin,52
MA,F,1984,Suzanne,52
MA,F,1984,Aimee,50
MA,F,1984,Cheryl,50
MA,F,1984,Katrina,50
MA,F,1984,Meagan,50
MA,F,1984,Theresa,50
MA,F,1984,Jenny,49
MA,F,1984,Linda,49
MA,F,1984,Denise,48
MA,F,1984,Janelle,48
MA,F,1984,Michele,48
MA,F,1984,Sabrina,48
MA,F,1984,Tina,48
MA,F,1984,Leslie,47
MA,F,1984,Carrie,46
MA,F,1984,Ann,45
MA,F,1984,Diane,45
MA,F,1984,Jaime,45
MA,F,1984,Dana,44
MA,F,1984,Lori,44
MA,F,1984,Desiree,43
MA,F,1984,Hannah,43
MA,F,1984,Leanne,43
MA,F,1984,Chelsea,42
MA,F,1984,Justine,42
MA,F,1984,Kristine,42
MA,F,1984,Monique,42
MA,F,1984,Bridget,41
MA,F,1984,Cara,41
MA,F,1984,Kendra,41
MA,F,1984,Alisha,40
MA,F,1984,Candice,40
MA,F,1984,Deanna,40
MA,F,1984,Maura,40
MA,F,1984,Maureen,40
MA,F,1984,Nancy,40
MA,F,1984,Beth,39
MA,F,1984,Brenda,39
MA,F,1984,Deborah,39
MA,F,1984,Ellen,39
MA,F,1984,Latoya,39
MA,F,1984,Elisabeth,38
MA,F,1984,Marie,38
MA,F,1984,Taylor,38
MA,F,1984,Krista,37
MA,F,1984,Krystle,37
MA,F,1984,Kristy,36
MA,F,1984,Emma,35
MA,F,1984,Laurie,35
MA,F,1984,Nina,35
MA,F,1984,Sharon,35
MA,F,1984,Wendy,35
MA,F,1984,Charlene,34
MA,F,1984,Cristina,34
MA,F,1984,Katharine,34
MA,F,1984,Kelley,33
MA,F,1984,Melinda,33
MA,F,1984,Adrienne,32
MA,F,1984,Barbara,32
MA,F,1984,Brooke,32
MA,F,1984,Cindy,32
MA,F,1984,Johanna,32
MA,F,1984,Keri,32
MA,F,1984,Caitlyn,31
MA,F,1984,Elise,31
MA,F,1984,Janine,31
MA,F,1984,Leigh,31
MA,F,1984,Amelia,30
MA,F,1984,Brianna,30
MA,F,1984,Hillary,30
MA,F,1984,Shawna,30
MA,F,1984,Bonnie,29
MA,F,1984,Brianne,29
MA,F,1984,Candace,29
MA,F,1984,Lydia,29
MA,F,1984,Rebekah,29
MA,F,1984,Alissa,28
