StateCode,Sex,YearOfBirth,Name,Number
MA,F,2007,Reilly,13
MA,F,2007,Ruth,13
MA,F,2007,Shayna,13
MA,F,2007,Sonia,13
MA,F,2007,Taryn,13
MA,F,2007,Tatum,13
MA,F,2007,Valeria,13
MA,F,2007,Alejandra,12
MA,F,2007,Amara,12
MA,F,2007,Angel,12
MA,F,2007,Ayva,12
MA,F,2007,Carina,12
MA,F,2007,Carolina,12
MA,F,2007,Daisy,12
MA,F,2007,Delia,12
MA,F,2007,Elyse,12
MA,F,2007,Giavanna,12
MA,F,2007,Hadley,12
MA,F,2007,Harmony,12
MA,F,2007,Imani,12
MA,F,2007,Janiyah,12
MA,F,2007,Julianne,12
MA,F,2007,Karla,12
MA,F,2007,Kayden,12
MA,F,2007,Kira,12
MA,F,2007,Kristen,12
MA,F,2007,Lexi,12
MA,F,2007,Linda,12
MA,F,2007,Marianna,12
MA,F,2007,Nayeli,12
MA,F,2007,Ryan,12
MA,F,2007,Selena,12
MA,F,2007,Simone,12
MA,F,2007,Tianna,12
MA,F,2007,Virginia,12
MA,F,2007,Willow,12
MA,F,2007,Yasmine,12
MA,F,2007,Addyson,11
MA,F,2007,Aliana,11
MA,F,2007,Aliya,11
MA,F,2007,Aria,11
MA,F,2007,Ariel,11
MA,F,2007,Ashlynn,11
MA,F,2007,Cheyanne,11
MA,F,2007,Cynthia,11
MA,F,2007,Esmeralda,11
MA,F,2007,Gwendolyn,11
MA,F,2007,Jaylene,11
MA,F,2007,Jaylynn,11
MA,F,2007,Jolie,11
MA,F,2007,Kaila,11
MA,F,2007,Kassandra,11
MA,F,2007,Katerina,11
MA,F,2007,Kaylani,11
MA,F,2007,Kelsie,11
MA,F,2007,Kennedy,11
MA,F,2007,Kianna,11
MA,F,2007,Lauryn,11
MA,F,2007,Leslie,11
MA,F,2007,Madilyn,11
MA,F,2007,Mae,11
MA,F,2007,Mariam,11
MA,F,2007,Mollie,11
MA,F,2007,Niamh,11
MA,F,2007,Susan,11
MA,F,2007,Sylvie,11
MA,F,2007,Valentina,11
MA,F,2007,Adelaide,10
MA,F,2007,Adele,10
MA,F,2007,Alannah,10
MA,F,2007,Anabella,10
MA,F,2007,Aniya,10
MA,F,2007,Aryana,10
MA,F,2007,Aryanna,10
MA,F,2007,Ashleigh,10
MA,F,2007,Aya,10
MA,F,2007,Barbara,10
MA,F,2007,Brooklynn,10
MA,F,2007,Cali,10
MA,F,2007,Carissa,10
MA,F,2007,Chelsea,10
MA,F,2007,Christine,10
MA,F,2007,Cianna,10
MA,F,2007,Cristina,10
MA,F,2007,Dylan,10
MA,F,2007,Hailee,10
MA,F,2007,Heather,10
MA,F,2007,Helena,10
MA,F,2007,Jacquelyn,10
MA,F,2007,Jaelynn,10
MA,F,2007,Jaslene,10
MA,F,2007,Jasmin,10
MA,F,2007,Joy,10
MA,F,2007,Kaya,10
MA,F,2007,Lilian,10
MA,F,2007,Lilianna,10
MA,F,2007,Macy,10
MA,F,2007,Maisie,10
MA,F,2007,Malia,10
MA,F,2007,Margot,10
MA,F,2007,Mariaclara,10
MA,F,2007,Marie,10
MA,F,2007,Marisa,10
MA,F,2007,Meadow,10
MA,F,2007,Miriam,10
MA,F,2007,Nancy,10
MA,F,2007,Nathalie,10
MA,F,2007,Neha,10
MA,F,2007,Priscilla,10
MA,F,2007,Rhianna,10
MA,F,2007,Rory,10
MA,F,2007,Shreya,10
MA,F,2007,Thalia,10
MA,F,2007,Willa,10
MA,F,2007,Aine,9
MA,F,2007,Alena,9
MA,F,2007,Alissa,9
MA,F,2007,Amari,9
MA,F,2007,Amiyah,9
MA,F,2007,Angelique,9
MA,F,2007,Anjali,9
MA,F,2007,Ann,9
MA,F,2007,Annabel,9
MA,F,2007,Antonia,9
MA,F,2007,Arabella,9
MA,F,2007,Aubrie,9
MA,F,2007,Bree,9
MA,F,2007,Bryanna,9
MA,F,2007,Cameron,9
MA,F,2007,Camilla,9
MA,F,2007,Cassie,9
MA,F,2007,Cindy,9
MA,F,2007,Claudia,9
MA,F,2007,Deanna,9
MA,F,2007,Diamond,9
MA,F,2007,Diya,9
MA,F,2007,Elsa,9
MA,F,2007,Gemma,9
MA,F,2007,Gillian,9
MA,F,2007,Gwen,9
MA,F,2007,Haleigh,9
MA,F,2007,Heidi,9
MA,F,2007,Iliana,9
MA,F,2007,Jaclyn,9
MA,F,2007,Jaliyah,9
MA,F,2007,Janessa,9
MA,F,2007,Janiah,9
MA,F,2007,Janiya,9
MA,F,2007,Jazmine,9
MA,F,2007,Jessie,9
MA,F,2007,Kailee,9
