StateCode,Sex,YearOfBirth,Name,Number
MA,M,1916,Ronald,25
MA,M,1916,Lionel,24
MA,M,1916,Pasquale,24
MA,M,1916,Phillip,24
MA,M,1916,Romeo,24
MA,M,1916,Allen,23
MA,M,1916,Clement,23
MA,M,1916,Horace,23
MA,M,1916,Leroy,23
MA,M,1916,Rudolph,23
MA,M,1916,Sam,23
MA,M,1916,Timothy,23
MA,M,1916,Adam,22
MA,M,1916,Clifton,22
MA,M,1916,Jerome,22
MA,M,1916,Malcolm,22
MA,M,1916,Hector,21
MA,M,1916,Rene,21
MA,M,1916,Saul,21
MA,M,1916,Guido,20
MA,M,1916,Guy,20
MA,M,1916,Julian,20
MA,M,1916,Rocco,20
MA,M,1916,Thaddeus,20
MA,M,1916,Carlton,19
MA,M,1916,Conrad,19
MA,M,1916,Emil,19
MA,M,1916,Alton,18
MA,M,1916,Dominick,18
MA,M,1916,Alan,17
MA,M,1916,Augustine,17
MA,M,1916,Cornelius,17
MA,M,1916,Forrest,17
MA,M,1916,Frederic,17
MA,M,1916,Jeremiah,17
MA,M,1916,Marshall,17
MA,M,1916,Normand,17
MA,M,1916,Bruce,16
MA,M,1916,Clayton,16
MA,M,1916,Israel,16
MA,M,1916,Morton,16
MA,M,1916,Sumner,16
MA,M,1916,Wendell,16
MA,M,1916,Christopher,15
MA,M,1916,Gaetano,15
MA,M,1916,Homer,15
MA,M,1916,Oliver,15
MA,M,1916,Santo,15
MA,M,1916,Stuart,15
MA,M,1916,Aaron,14
MA,M,1916,Alden,14
MA,M,1916,Americo,14
MA,M,1916,Archie,14
MA,M,1916,Augustus,14
MA,M,1916,Austin,14
MA,M,1916,Eric,14
MA,M,1916,Jose,14
MA,M,1916,Karl,14
MA,M,1916,Myer,14
MA,M,1916,Patsy,14
MA,M,1916,Raoul,14
MA,M,1916,Simon,14
MA,M,1916,Steve,14
MA,M,1916,Sydney,14
MA,M,1916,Bradford,13
MA,M,1916,Burton,13
MA,M,1916,Dante,13
MA,M,1916,Hubert,13
MA,M,1916,Joe,13
MA,M,1916,Nathaniel,13
MA,M,1916,Omer,13
MA,M,1916,Vito,13
MA,M,1916,Alex,12
MA,M,1916,Boleslaw,12
MA,M,1916,Clinton,12
MA,M,1916,Clyde,12
MA,M,1916,Dennis,12
MA,M,1916,Floyd,12
MA,M,1916,Jesse,12
MA,M,1916,Neil,12
MA,M,1916,Wilson,12
MA,M,1916,Carleton,11
MA,M,1916,Dana,11
MA,M,1916,Dexter,11
MA,M,1916,Ellsworth,11
MA,M,1916,Isadore,11
MA,M,1916,Jean,11
MA,M,1916,Myron,11
MA,M,1916,Ray,11
MA,M,1916,Reginald,11
MA,M,1916,Steven,11
MA,M,1916,Woodrow,11
MA,M,1916,Bertram,10
MA,M,1916,Bronislaw,10
MA,M,1916,Carlo,10
MA,M,1916,Carmine,10
MA,M,1916,Eliot,10
MA,M,1916,Emilio,10
MA,M,1916,Francisco,10
MA,M,1916,Gardner,10
MA,M,1916,Jerry,10
MA,M,1916,Justin,10
MA,M,1916,Lincoln,10
MA,M,1916,Lyman,10
MA,M,1916,Merton,10
MA,M,1916,Rodney,10
MA,M,1916,Roman,10
MA,M,1916,Sebastian,10
MA,M,1916,Teddy,10
MA,M,1916,Winthrop,10
MA,M,1916,Armando,9
MA,M,1916,August,9
MA,M,1916,Bartholomew,9
MA,M,1916,Elliot,9
MA,M,1916,Elliott,9
