StateCode,Sex,YearOfBirth,Name,Number
MA,M,1993,Marlon,6
MA,M,1993,Moises,6
MA,M,1993,Perry,6
MA,M,1993,Rashad,6
MA,M,1993,Reginald,6
MA,M,1993,Robin,6
MA,M,1993,Roderick,6
MA,M,1993,Solomon,6
MA,M,1993,Terence,6
MA,M,1993,Trevon,6
MA,M,1993,Walker,6
MA,M,1993,Ahmed,5
MA,M,1993,Alessandro,5
MA,M,1993,Andreas,5
MA,M,1993,Anibal,5
MA,M,1993,Antoine,5
MA,M,1993,Anton,5
MA,M,1993,Ashton,5
MA,M,1993,Bobby,5
MA,M,1993,Brock,5
MA,M,1993,Bruno,5
MA,M,1993,Camden,5
MA,M,1993,Carlo,5
MA,M,1993,Carmen,5
MA,M,1993,Clarence,5
MA,M,1993,Conrad,5
MA,M,1993,Damion,5
MA,M,1993,Darin,5
MA,M,1993,Darion,5
MA,M,1993,Darrin,5
MA,M,1993,Daryl,5
MA,M,1993,Declan,5
MA,M,1993,Demetrios,5
MA,M,1993,Dequan,5
MA,M,1993,Desmond,5
MA,M,1993,Devonte,5
MA,M,1993,Diego,5
MA,M,1993,Dimitrios,5
MA,M,1993,Edmund,5
MA,M,1993,Elvis,5
MA,M,1993,Enrique,5
MA,M,1993,Ezekiel,5
MA,M,1993,Ezequiel,5
MA,M,1993,Freddy,5
MA,M,1993,Fredrick,5
MA,M,1993,Gaetano,5
MA,M,1993,Galen,5
MA,M,1993,Georgios,5
MA,M,1993,Gustavo,5
MA,M,1993,Jamel,5
MA,M,1993,Jan,5
MA,M,1993,Jed,5
MA,M,1993,Joe,5
MA,M,1993,Kareem,5
MA,M,1993,Kendall,5
MA,M,1993,Kerry,5
MA,M,1993,Khalil,5
MA,M,1993,Korey,5
MA,M,1993,Lyndon,5
MA,M,1993,Marcello,5
MA,M,1993,Mathieu,5
MA,M,1993,Mauricio,5
MA,M,1993,Maxx,5
MA,M,1993,Milton,5
MA,M,1993,Mohamed,5
MA,M,1993,Moses,5
MA,M,1993,Neal,5
MA,M,1993,Niall,5
MA,M,1993,Nils,5
MA,M,1993,Osvaldo,5
MA,M,1993,Paulo,5
MA,M,1993,Reed,5
MA,M,1993,Reid,5
MA,M,1993,Rocco,5
MA,M,1993,Rolando,5
MA,M,1993,Ronnie,5
MA,M,1993,Shea,5
MA,M,1993,Skyler,5
MA,M,1993,Sonny,5
MA,M,1993,Syed,5
MA,M,1993,Tarek,5
MA,M,1993,Terry,5
MA,M,1993,Tobias,5
MA,M,1993,Ty,5
MA,M,1993,Vance,5
MA,M,1993,Vincenzo,5
MA,M,1993,Vladimir,5
MA,M,1994,Michael,1426
MA,M,1994,Matthew,1191
MA,M,1994,Nicholas,1043
MA,M,1994,Christopher,1034
MA,M,1994,John,878
MA,M,1994,Joseph,825
MA,M,1994,Daniel,817
MA,M,1994,Ryan,813
MA,M,1994,Andrew,808
MA,M,1994,Tyler,714
MA,M,1994,James,691
MA,M,1994,Zachary,662
MA,M,1994,Alexander,628
MA,M,1994,Joshua,607
MA,M,1994,David,582
MA,M,1994,Robert,570
MA,M,1994,Kevin,558
MA,M,1994,Kyle,549
MA,M,1994,Thomas,526
MA,M,1994,Jonathan,503
MA,M,1994,Anthony,502
MA,M,1994,Jacob,502
MA,M,1994,William,487
MA,M,1994,Benjamin,455
MA,M,1994,Brian,431
MA,M,1994,Patrick,425
MA,M,1994,Timothy,415
MA,M,1994,Brandon,414
MA,M,1994,Justin,411
MA,M,1994,Sean,378
MA,M,1994,Adam,371
MA,M,1994,Samuel,360
MA,M,1994,Eric,354
MA,M,1994,Dylan,288
MA,M,1994,Steven,278
MA,M,1994,Nathan,276
MA,M,1994,Cameron,275
