StateCode,Sex,YearOfBirth,Name,Number
MD,F,1954,Della,14
MD,F,1954,Fay,14
MD,F,1954,Lynette,14
MD,F,1954,Mona,14
MD,F,1954,Rochelle,14
MD,F,1954,Rosa,14
MD,F,1954,Sheryl,14
MD,F,1954,Verna,14
MD,F,1954,Beatrice,13
MD,F,1954,Billie,13
MD,F,1954,Carmen,13
MD,F,1954,Dana,13
MD,F,1954,Jacquelyn,13
MD,F,1954,Jayne,13
MD,F,1954,Jeannie,13
MD,F,1954,Kathi,13
MD,F,1954,Lucille,13
MD,F,1954,Terrie,13
MD,F,1954,Yvette,13
MD,F,1954,Clara,12
MD,F,1954,Ella,12
MD,F,1954,Lenora,12
MD,F,1954,Marion,12
MD,F,1954,Alicia,11
MD,F,1954,Cathleen,11
MD,F,1954,Crystal,11
MD,F,1954,Doreen,11
MD,F,1954,Jackie,11
MD,F,1954,Kathie,11
MD,F,1954,Lucy,11
MD,F,1954,Rosemarie,11
MD,F,1954,Sharlene,11
MD,F,1954,Sherri,11
MD,F,1954,Suzan,11
MD,F,1954,Therese,11
MD,F,1954,Valarie,11
MD,F,1954,Viola,11
MD,F,1954,Adele,10
MD,F,1954,Candice,10
MD,F,1954,Celeste,10
MD,F,1954,Cherie,10
MD,F,1954,Dora,10
MD,F,1954,Doretha,10
MD,F,1954,Elise,10
MD,F,1954,Geneva,10
MD,F,1954,Gwen,10
MD,F,1954,Janine,10
MD,F,1954,Joanna,10
MD,F,1954,Lena,10
MD,F,1954,Nora,10
MD,F,1954,Portia,10
MD,F,1954,Shelly,10
MD,F,1954,Sheree,10
MD,F,1954,Yolanda,10
MD,F,1954,Aileen,9
MD,F,1954,Amanda,9
MD,F,1954,Amelia,9
MD,F,1954,Bessie,9
MD,F,1954,Candy,9
MD,F,1954,Cora,9
MD,F,1954,Dona,9
MD,F,1954,Dorothea,9
MD,F,1954,Eloise,9
MD,F,1954,Freda,9
MD,F,1954,Heather,9
MD,F,1954,Heidi,9
MD,F,1954,Helena,9
MD,F,1954,Jamie,9
MD,F,1954,Lana,9
MD,F,1954,Marla,9
MD,F,1954,Mindy,9
MD,F,1954,Rosalyn,9
MD,F,1954,Saundra,9
MD,F,1954,Sondra,9
MD,F,1954,Trudy,9
MD,F,1954,Valinda,9
MD,F,1954,Aleta,8
MD,F,1954,Alma,8
MD,F,1954,Althea,8
MD,F,1954,Becky,8
MD,F,1954,Charmaine,8
MD,F,1954,Dixie,8
MD,F,1954,Dolly,8
MD,F,1954,Eunice,8
MD,F,1954,Gertrude,8
MD,F,1954,Ginger,8
MD,F,1954,Helene,8
MD,F,1954,Ilene,8
MD,F,1954,Inez,8
MD,F,1954,Jacalyn,8
MD,F,1954,Janie,8
MD,F,1954,Jeannine,8
MD,F,1954,Jody,8
MD,F,1954,Katharine,8
MD,F,1954,Krista,8
MD,F,1954,Leona,8
MD,F,1954,Margo,8
MD,F,1954,Mari,8
MD,F,1954,Molly,8
MD,F,1954,Naomi,8
MD,F,1954,Nellie,8
MD,F,1954,Penelope,8
MD,F,1954,Rhoda,8
MD,F,1954,Susanne,8
MD,F,1954,Tanya,8
MD,F,1954,Alberta,7
MD,F,1954,Alfreda,7
MD,F,1954,Avis,7
MD,F,1954,Bette,7
MD,F,1954,Blanche,7
MD,F,1954,Bobbie,7
MD,F,1954,Bridget,7
MD,F,1954,Caroline,7
MD,F,1954,Cheri,7
MD,F,1954,Clare,7
MD,F,1954,Dena,7
MD,F,1954,Denice,7
MD,F,1954,Dinah,7
MD,F,1954,Earlene,7
MD,F,1954,Edwina,7
MD,F,1954,Eugenia,7
MD,F,1954,Gay,7
MD,F,1954,Gretchen,7
MD,F,1954,Hilda,7
MD,F,1954,Hope,7
MD,F,1954,Jeanie,7
MD,F,1954,Jenny,7
MD,F,1954,Lauren,7
MD,F,1954,Lavern,7
MD,F,1954,Lavinia,7
MD,F,1954,Leah,7
MD,F,1954,Lola,7
MD,F,1954,Lora,7
MD,F,1954,Lorna,7
MD,F,1954,Mabel,7
MD,F,1954,Madeline,7
MD,F,1954,Marcella,7
MD,F,1954,Marcie,7
MD,F,1954,Maryann,7
MD,F,1954,Minnie,7
MD,F,1954,Natalie,7
MD,F,1954,Rena,7
MD,F,1954,Robbin,7
MD,F,1954,Romaine,7
MD,F,1954,Sallie,7
MD,F,1954,Sonja,7
MD,F,1954,Velma,7
MD,F,1954,Winifred,7
MD,F,1954,Alexandra,6
MD,F,1954,Alexis,6
MD,F,1954,Alison,6
MD,F,1954,Beulah,6
MD,F,1954,Bonny,6
MD,F,1954,Carlene,6
MD,F,1954,Corinne,6
MD,F,1954,Dorene,6
MD,F,1954,Estelle,6
MD,F,1954,Eve,6
MD,F,1954,Genevieve,6
MD,F,1954,Harriett,6
MD,F,1954,Irma,6
MD,F,1954,Jessie,6
MD,F,1954,Jewell,6
MD,F,1954,Jocelyn,6
MD,F,1954,Karla,6
MD,F,1954,Kristie,6
MD,F,1954,Leola,6
MD,F,1954,Lillie,6
MD,F,1954,Mattie,6
MD,F,1954,Mollie,6
MD,F,1954,Polly,6
MD,F,1954,Rae,6
MD,F,1954,Randi,6
MD,F,1954,Rosetta,6
MD,F,1954,Sandy,6
MD,F,1954,Sharron,6
MD,F,1954,Sonia,6
MD,F,1954,Violet,6
MD,F,1954,Aletha,5
MD,F,1954,Bernadine,5
MD,F,1954,Bettie,5
MD,F,1954,Celia,5
MD,F,1954,Charleen,5
MD,F,1954,Christa,5
MD,F,1954,Deanna,5
MD,F,1954,Eartha,5
MD,F,1954,Elva,5
MD,F,1954,Felicia,5
MD,F,1954,Flora,5
MD,F,1954,Goldie,5
MD,F,1954,Jennie,5
MD,F,1954,Joni,5
MD,F,1954,Katie,5
MD,F,1954,Lavonne,5
MD,F,1954,Leigh,5
MD,F,1954,Letitia,5
MD,F,1954,Lolita,5
MD,F,1954,Lorelei,5
MD,F,1954,Lorrie,5
MD,F,1954,Lu,5
MD,F,1954,Maryanne,5
MD,F,1954,Myrtle,5
MD,F,1954,Pam,5
MD,F,1954,Patty,5
MD,F,1954,Randy,5
MD,F,1954,Reva,5
MD,F,1954,Roxie,5
MD,F,1954,Sadie,5
MD,F,1954,Shannon,5
MD,F,1954,Shawn,5
MD,F,1954,Stacy,5
MD,F,1954,Tracey,5
MD,F,1954,Unknown,5
MD,F,1954,Wilhelmina,5
MD,F,1955,Deborah,1332
MD,F,1955,Mary,1103
MD,F,1955,Patricia,844
MD,F,1955,Linda,815
MD,F,1955,Susan,692
MD,F,1955,Barbara,672
MD,F,1955,Sharon,592
MD,F,1955,Debra,590
MD,F,1955,Karen,580
MD,F,1955,Donna,545
MD,F,1955,Nancy,437
MD,F,1955,Cynthia,434
MD,F,1955,Diane,397
MD,F,1955,Sandra,396
MD,F,1955,Pamela,393
MD,F,1955,Carol,379
MD,F,1955,Denise,345
MD,F,1955,Brenda,324
MD,F,1955,Margaret,317
MD,F,1955,Kathleen,315
MD,F,1955,Robin,313
MD,F,1955,Elizabeth,281
MD,F,1955,Janet,266
MD,F,1955,Cheryl,260
MD,F,1955,Bonnie,253
MD,F,1955,Joyce,239
MD,F,1955,Catherine,223
MD,F,1955,Judith,202
MD,F,1955,Darlene,195
MD,F,1955,Carolyn,183
MD,F,1955,Janice,183
MD,F,1955,Theresa,183
MD,F,1955,Teresa,182
MD,F,1955,Kathy,181
MD,F,1955,Beverly,173
MD,F,1955,Joan,170
MD,F,1955,Gail,169
MD,F,1955,Rose,160
MD,F,1955,Shirley,160
MD,F,1955,Jacqueline,157
MD,F,1955,Wanda,150
MD,F,1955,Gloria,149
