StateCode,Sex,YearOfBirth,Name,Number
MD,F,2001,Patricia,19
MD,F,2001,Ruth,19
MD,F,2001,Selena,19
MD,F,2001,Sidney,19
MD,F,2001,Talia,19
MD,F,2001,Tatiana,19
MD,F,2001,Allyson,18
MD,F,2001,Anya,18
MD,F,2001,Elisabeth,18
MD,F,2001,Gina,18
MD,F,2001,Heaven,18
MD,F,2001,Karina,18
MD,F,2001,Lauryn,18
MD,F,2001,Monica,18
MD,F,2001,Nya,18
MD,F,2001,Simone,18
MD,F,2001,Tamara,18
MD,F,2001,Tori,18
MD,F,2001,Vivian,18
MD,F,2001,Ayana,17
MD,F,2001,Barbara,17
MD,F,2001,Daniela,17
MD,F,2001,Emely,17
MD,F,2001,Genevieve,17
MD,F,2001,Kierra,17
MD,F,2001,Kristin,17
MD,F,2001,Lisa,17
MD,F,2001,Reagan,17
MD,F,2001,Regina,17
MD,F,2001,Savanna,17
MD,F,2001,Serena,17
MD,F,2001,Tara,17
MD,F,2001,Adrianna,16
MD,F,2001,Alice,16
MD,F,2001,Angelica,16
MD,F,2001,Aniyah,16
MD,F,2001,Carissa,16
MD,F,2001,Daisy,16
MD,F,2001,Dakota,16
MD,F,2001,Elise,16
MD,F,2001,Francesca,16
MD,F,2001,Genesis,16
MD,F,2001,Karla,16
MD,F,2001,Marie,16
MD,F,2001,Marisa,16
MD,F,2001,Mercedes,16
MD,F,2001,Nancy,16
MD,F,2001,Ryleigh,16
MD,F,2001,Sadie,16
MD,F,2001,Tessa,16
MD,F,2001,Amira,15
MD,F,2001,Annabelle,15
MD,F,2001,Cara,15
MD,F,2001,Eden,15
MD,F,2001,Ellie,15
MD,F,2001,Gloria,15
MD,F,2001,Jaida,15
MD,F,2001,Janiya,15
MD,F,2001,Jayda,15
MD,F,2001,Jazmin,15
MD,F,2001,Renee,15
MD,F,2001,Rosa,15
MD,F,2001,Ruby,15
MD,F,2001,Ryan,15
MD,F,2001,Alaina,14
MD,F,2001,Alexus,14
MD,F,2001,Alisha,14
MD,F,2001,Alissa,14
MD,F,2001,Annie,14
MD,F,2001,Aubrey,14
MD,F,2001,Brenna,14
MD,F,2001,Chyna,14
MD,F,2001,Deborah,14
MD,F,2001,Ellen,14
MD,F,2001,Georgia,14
MD,F,2001,Gillian,14
MD,F,2001,Ivy,14
MD,F,2001,Jane,14
MD,F,2001,Jenny,14
MD,F,2001,Josie,14
MD,F,2001,Katelynn,14
MD,F,2001,Maura,14
MD,F,2001,Mckayla,14
MD,F,2001,Melody,14
MD,F,2001,Miriam,14
MD,F,2001,Niya,14
MD,F,2001,Raquel,14
MD,F,2001,Sade,14
MD,F,2001,Skyler,14
MD,F,2001,Tania,14
MD,F,2001,Tyler,14
MD,F,2001,Yasmine,14
MD,F,2001,Amirah,13
MD,F,2001,Brenda,13
MD,F,2001,Bria,13
MD,F,2001,Bryanna,13
MD,F,2001,Carolina,13
MD,F,2001,Cassie,13
MD,F,2001,Cheyanne,13
MD,F,2001,Clare,13
MD,F,2001,Destini,13
MD,F,2001,Gianna,13
MD,F,2001,Hunter,13
MD,F,2001,Iyana,13
MD,F,2001,Jadyn,13
MD,F,2001,Janet,13
MD,F,2001,Joy,13
MD,F,2001,Kailey,13
MD,F,2001,Kamryn,13
MD,F,2001,Katarina,13
MD,F,2001,Kelli,13
MD,F,2001,Mariam,13
MD,F,2001,Phoebe,13
MD,F,2001,Sasha,13
MD,F,2001,Tabitha,13
MD,F,2001,Teresa,13
MD,F,2001,Tiana,13
MD,F,2001,Wendy,13
MD,F,2001,Aliya,12
MD,F,2001,Carley,12
MD,F,2001,Celeste,12
MD,F,2001,Dana,12
MD,F,2001,Eliana,12
MD,F,2001,Helena,12
MD,F,2001,Jewel,12
MD,F,2001,Justine,12
MD,F,2001,Lacey,12
MD,F,2001,Lilly,12
MD,F,2001,Meagan,12
MD,F,2001,Nyah,12
MD,F,2001,Paris,12
MD,F,2001,Piper,12
MD,F,2001,Rylee,12
MD,F,2001,Sharon,12
MD,F,2001,Ainsley,11
MD,F,2001,Alanna,11
MD,F,2001,Amya,11
MD,F,2001,Anastasia,11
MD,F,2001,Corinne,11
MD,F,2001,Daniella,11
MD,F,2001,Denise,11
MD,F,2001,Elaina,11
MD,F,2001,Harley,11
MD,F,2001,Jaelyn,11
MD,F,2001,Karissa,11
MD,F,2001,Kathy,11
MD,F,2001,Kaya,11
MD,F,2001,Leila,11
MD,F,2001,Lena,11
MD,F,2001,Noelle,11
MD,F,2001,Nora,11
MD,F,2001,Paola,11
MD,F,2001,Shania,11
MD,F,2001,Shayna,11
MD,F,2001,Shyanne,11
MD,F,2001,Sydni,11
MD,F,2001,Tiara,11
MD,F,2001,Aisha,10
MD,F,2001,Aleah,10
MD,F,2001,Ally,10
MD,F,2001,Amani,10
MD,F,2001,Annika,10
MD,F,2001,Ashlee,10
MD,F,2001,Baby,10
MD,F,2001,Brandi,10
MD,F,2001,Breonna,10
MD,F,2001,Brielle,10
MD,F,2001,Carina,10
MD,F,2001,Carlie,10
MD,F,2001,Christian,10
MD,F,2001,Cora,10
MD,F,2001,Fiona,10
MD,F,2001,Gracie,10
MD,F,2001,Hailee,10
MD,F,2001,Hana,10
MD,F,2001,Isabela,10
MD,F,2001,Iyanna,10
MD,F,2001,Jaclyn,10
MD,F,2001,Johanna,10
MD,F,2001,Juliette,10
MD,F,2001,Kailyn,10
MD,F,2001,Kaleigh,10
MD,F,2001,Kali,10
MD,F,2001,Kaylah,10
MD,F,2001,Kiana,10
MD,F,2001,Krystal,10
MD,F,2001,Kylee,10
MD,F,2001,Larissa,10
MD,F,2001,Macey,10
MD,F,2001,Macy,10
MD,F,2001,Maddison,10
MD,F,2001,Malia,10
MD,F,2001,Mara,10
MD,F,2001,Mariana,10
MD,F,2001,Mollie,10
MD,F,2001,Monique,10
MD,F,2001,Nakiya,10
MD,F,2001,Niyah,10
MD,F,2001,Samara,10
MD,F,2001,Sandra,10
MD,F,2001,Shanya,10
MD,F,2001,Shianne,10
MD,F,2001,Tess,10
MD,F,2001,Toni,10
MD,F,2001,Zoey,10
MD,F,2001,Alayna,9
MD,F,2001,Alejandra,9
MD,F,2001,Alivia,9
MD,F,2001,Allie,9
MD,F,2001,Alyson,9
MD,F,2001,Anika,9
MD,F,2001,Brooklyn,9
MD,F,2001,Callie,9
MD,F,2001,Candace,9
MD,F,2001,Cayla,9
MD,F,2001,Chelsey,9
MD,F,2001,Destinee,9
MD,F,2001,Dorothy,9
MD,F,2001,Elaine,9
MD,F,2001,Emilia,9
MD,F,2001,Eve,9
MD,F,2001,Giselle,9
MD,F,2001,Gwendolyn,9
MD,F,2001,Hallie,9
MD,F,2001,Haylee,9
MD,F,2001,Heidi,9
MD,F,2001,Justice,9
MD,F,2001,Kaela,9
MD,F,2001,Kailee,9
MD,F,2001,Kelsie,9
MD,F,2001,Kiley,9
MD,F,2001,Liliana,9
MD,F,2001,Madalyn,9
MD,F,2001,Madyson,9
MD,F,2001,Maia,9
MD,F,2001,Maranda,9
MD,F,2001,Marilyn,9
MD,F,2001,Monet,9
MD,F,2001,Myah,9
MD,F,2001,Nichole,9
MD,F,2001,Regan,9
