StateCode,Sex,YearOfBirth,Name,Number
MD,F,2011,Janiya,13
MD,F,2011,Jaylah,13
MD,F,2011,Juliette,13
MD,F,2011,Kaelyn,13
MD,F,2011,Kiara,13
MD,F,2011,Kinley,13
MD,F,2011,Kristen,13
MD,F,2011,Lexi,13
MD,F,2011,Lindsey,13
MD,F,2011,Mariana,13
MD,F,2011,Mikaela,13
MD,F,2011,Miley,13
MD,F,2011,Mollie,13
MD,F,2011,Nayeli,13
MD,F,2011,Rosemary,13
MD,F,2011,Skyler,13
MD,F,2011,Zara,13
MD,F,2011,Abby,12
MD,F,2011,Asia,12
MD,F,2011,Braelynn,12
MD,F,2011,Cassandra,12
MD,F,2011,Charlie,12
MD,F,2011,Corinne,12
MD,F,2011,Danica,12
MD,F,2011,Hayley,12
MD,F,2011,Jayden,12
MD,F,2011,Jazmin,12
MD,F,2011,Julissa,12
MD,F,2011,Kamille,12
MD,F,2011,Karla,12
MD,F,2011,Kaylie,12
MD,F,2011,Kenley,12
MD,F,2011,Kiley,12
MD,F,2011,Lilah,12
MD,F,2011,Madisyn,12
MD,F,2011,Maeve,12
MD,F,2011,Maryam,12
MD,F,2011,Meghan,12
MD,F,2011,Miracle,12
MD,F,2011,Monica,12
MD,F,2011,Nancy,12
MD,F,2011,Rowan,12
MD,F,2011,Sage,12
MD,F,2011,Samara,12
MD,F,2011,Shiloh,12
MD,F,2011,Sonia,12
MD,F,2011,Tatiana,12
MD,F,2011,Tess,12
MD,F,2011,Yasmin,12
MD,F,2011,Amina,11
MD,F,2011,Annabella,11
MD,F,2011,April,11
MD,F,2011,Arabella,11
MD,F,2011,Baylee,11
MD,F,2011,Camilla,11
MD,F,2011,Casey,11
MD,F,2011,Cecelia,11
MD,F,2011,Cynthia,11
MD,F,2011,Fernanda,11
MD,F,2011,Francesca,11
MD,F,2011,Harley,11
MD,F,2011,Janiyah,11
MD,F,2011,Jaylin,11
MD,F,2011,Kali,11
MD,F,2011,Karis,11
MD,F,2011,Kori,11
MD,F,2011,Laylah,11
MD,F,2011,Lilian,11
MD,F,2011,Lorelei,11
MD,F,2011,Madilyn,11
MD,F,2011,Mercy,11
MD,F,2011,Precious,11
MD,F,2011,Raina,11
MD,F,2011,Rebekah,11
MD,F,2011,Saige,11
MD,F,2011,Scarlet,11
MD,F,2011,Sharon,11
MD,F,2011,Susan,11
MD,F,2011,Tabitha,11
MD,F,2011,Zariah,11
MD,F,2011,Zoie,11
MD,F,2011,Adrienne,10
MD,F,2011,Aiyana,10
MD,F,2011,Alaya,10
MD,F,2011,Aleena,10
MD,F,2011,Alejandra,10
MD,F,2011,Alissa,10
MD,F,2011,Allie,10
MD,F,2011,Alyson,10
MD,F,2011,Anaya,10
MD,F,2011,Annabel,10
MD,F,2011,Annalise,10
MD,F,2011,Annie,10
MD,F,2011,Aryana,10
MD,F,2011,Audrina,10
MD,F,2011,Azaria,10
MD,F,2011,Beatrice,10
MD,F,2011,Bryn,10
MD,F,2011,Cara,10
MD,F,2011,Carla,10
MD,F,2011,Carleigh,10
MD,F,2011,Caylee,10
MD,F,2011,Celeste,10
MD,F,2011,Claudia,10
MD,F,2011,Danna,10
MD,F,2011,Deborah,10
MD,F,2011,Delia,10
MD,F,2011,Elisa,10
MD,F,2011,Elyse,10
MD,F,2011,Giana,10
MD,F,2011,Hailee,10
MD,F,2011,Hallie,10
MD,F,2011,Hanna,10
MD,F,2011,Helena,10
MD,F,2011,India,10
MD,F,2011,Jaiden,10
MD,F,2011,Janelle,10
MD,F,2011,Jasmin,10
MD,F,2011,Joelle,10
MD,F,2011,Josie,10
MD,F,2011,Kaia,10
MD,F,2011,Kaliyah,10
MD,F,2011,Kamya,10
MD,F,2011,Keily,10
MD,F,2011,Kendra,10
MD,F,2011,Kiera,10
MD,F,2011,Krystal,10
MD,F,2011,Kyra,10
MD,F,2011,Lacey,10
MD,F,2011,Leanna,10
MD,F,2011,Macie,10
MD,F,2011,Mae,10
MD,F,2011,Maliah,10
MD,F,2011,Marleigh,10
MD,F,2011,Myla,10
MD,F,2011,Paityn,10
MD,F,2011,Princess,10
MD,F,2011,Sariah,10
MD,F,2011,Tara,10
MD,F,2011,Zahra,10
MD,F,2011,Zainab,10
MD,F,2011,Abbigail,9
MD,F,2011,Adelaide,9
MD,F,2011,Ahuva,9
MD,F,2011,Alisha,9
MD,F,2011,Alisson,9
MD,F,2011,Alondra,9
MD,F,2011,Anabelle,9
MD,F,2011,Anika,9
MD,F,2011,Ayla,9
MD,F,2011,Aylin,9
MD,F,2011,Brenna,9
MD,F,2011,Bryanna,9
MD,F,2011,Cailyn,9
MD,F,2011,Camden,9
MD,F,2011,Carolina,9
MD,F,2011,Charlee,9
MD,F,2011,Ciara,9
MD,F,2011,Dana,9
MD,F,2011,Devyn,9
MD,F,2011,Diamond,9
MD,F,2011,Eloise,9
MD,F,2011,Elsa,9
MD,F,2011,Elsie,9
MD,F,2011,Erika,9
MD,F,2011,Eshal,9
MD,F,2011,Eve,9
MD,F,2011,Evie,9
MD,F,2011,Gwyneth,9
MD,F,2011,Johanna,9
MD,F,2011,Karina,9
MD,F,2011,Kathleen,9
MD,F,2011,Kiersten,9
MD,F,2011,Lina,9
MD,F,2011,Macy,9
MD,F,2011,Marie,9
MD,F,2011,Maura,9
MD,F,2011,Micah,9
MD,F,2011,Milania,9
