StateCode,Sex,YearOfBirth,Name,Number
MD,M,1988,Leon,22
MD,M,1988,Rashad,22
MD,M,1988,Terrance,22
MD,M,1988,Tyrell,22
MD,M,1988,Alvin,21
MD,M,1988,Bernard,21
MD,M,1988,Clifton,21
MD,M,1988,Darius,21
MD,M,1988,Earl,21
MD,M,1988,Francis,21
MD,M,1988,Maxwell,21
MD,M,1988,Clayton,20
MD,M,1988,Collin,20
MD,M,1988,Daryl,20
MD,M,1988,Dominick,20
MD,M,1988,Edwin,20
MD,M,1988,Jay,20
MD,M,1988,Kurt,20
MD,M,1988,Lamar,20
MD,M,1988,Lewis,20
MD,M,1988,Mario,20
MD,M,1988,Damien,19
MD,M,1988,Darrin,19
MD,M,1988,Gerald,19
MD,M,1988,Jonathon,19
MD,M,1988,Ricardo,19
MD,M,1988,Albert,18
MD,M,1988,Caleb,18
MD,M,1988,Clinton,18
MD,M,1988,Deandre,18
MD,M,1988,Randall,18
MD,M,1988,Xavier,18
MD,M,1988,Billy,17
MD,M,1988,Bryce,17
MD,M,1988,Dean,17
MD,M,1988,Harrison,17
MD,M,1988,Herbert,17
MD,M,1988,Isaiah,17
MD,M,1988,Karl,17
MD,M,1988,Marshall,17
MD,M,1988,Arthur,16
MD,M,1988,Demetrius,16
MD,M,1988,Donovan,16
MD,M,1988,Duane,16
MD,M,1988,Dwight,16
MD,M,1988,Harold,16
MD,M,1988,Jake,16
MD,M,1988,Kelvin,16
MD,M,1988,Kirk,16
MD,M,1988,Lee,16
MD,M,1988,Neil,16
MD,M,1988,Owen,16
MD,M,1988,Roy,16
MD,M,1988,Bobby,15
MD,M,1988,Brad,15
MD,M,1988,Branden,15
MD,M,1988,Chase,15
MD,M,1988,Clarence,15
MD,M,1988,Danny,15
MD,M,1988,Dante,15
MD,M,1988,Erick,15
MD,M,1988,Gerard,15
MD,M,1988,Jamie,15
MD,M,1988,Jessie,15
MD,M,1988,Max,15
MD,M,1988,Milton,15
MD,M,1988,Morgan,15
MD,M,1988,Nelson,15
MD,M,1988,Norman,15
MD,M,1988,Quentin,15
MD,M,1988,Wade,15
MD,M,1988,Chaz,14
MD,M,1988,Glen,14
MD,M,1988,Isaac,14
MD,M,1988,Juan,14
MD,M,1988,Miguel,14
MD,M,1988,Noah,14
MD,M,1988,Preston,14
MD,M,1988,Ronnie,14
MD,M,1988,Stanley,14
MD,M,1988,Vernon,14
MD,M,1988,Angelo,13
MD,M,1988,Bradford,13
MD,M,1988,Eddie,13
MD,M,1988,Emmanuel,13
MD,M,1988,Gordon,13
MD,M,1988,Lance,13
MD,M,1988,Leonard,13
MD,M,1988,Luis,13
MD,M,1988,Stephon,13
MD,M,1988,Stuart,13
MD,M,1988,Terence,13
MD,M,1988,Travon,13
MD,M,1988,Willie,13
MD,M,1988,Zachery,13
MD,M,1988,Alfred,12
MD,M,1988,Anton,12
MD,M,1988,Antwan,12
MD,M,1988,Blair,12
MD,M,1988,Colby,12
MD,M,1988,Damian,12
MD,M,1988,Delonte,12
MD,M,1988,Gene,12
MD,M,1988,Johnny,12
MD,M,1988,Kennard,12
MD,M,1988,Pierre,12
MD,M,1988,Randolph,12
MD,M,1988,Roland,12
MD,M,1988,Alonzo,11
MD,M,1988,Chris,11
MD,M,1988,Conor,11
MD,M,1988,Damon,11
MD,M,1988,Dana,11
MD,M,1988,Elijah,11
MD,M,1988,Jamaal,11
MD,M,1988,Jimmy,11
MD,M,1988,Jorge,11
MD,M,1988,Kelly,11
MD,M,1988,Lamont,11
MD,M,1988,Leroy,11
MD,M,1988,Mason,11
MD,M,1988,Myron,11
MD,M,1988,Stephan,11
MD,M,1988,Brendon,10
MD,M,1988,Conrad,10
MD,M,1988,Courtney,10
MD,M,1988,Jamel,10
MD,M,1988,Jaron,10
MD,M,1988,Jerrod,10
MD,M,1988,Joe,10
MD,M,1988,Leo,10
MD,M,1988,Malcolm,10
MD,M,1988,Marco,10
MD,M,1988,Marquis,10
MD,M,1988,Micah,10
MD,M,1988,Miles,10
MD,M,1988,Nicolas,10
MD,M,1988,Oscar,10
MD,M,1988,Quinton,10
MD,M,1988,Ralph,10
MD,M,1988,Simon,10
MD,M,1988,Stefan,10
MD,M,1988,Sterling,10
MD,M,1988,Brennan,9
MD,M,1988,Cedric,9
MD,M,1988,Cornelius,9
