StateCode,Sex,YearOfBirth,Name,Number
MI,F,1911,Leora,6
MI,F,1911,Reva,6
MI,F,1911,Rita,6
MI,F,1911,Rosa,6
MI,F,1911,Rosalie,6
MI,F,1911,Rosemary,6
MI,F,1911,Sara,6
MI,F,1911,Signe,6
MI,F,1911,Viva,6
MI,F,1911,Adah,5
MI,F,1911,Amanda,5
MI,F,1911,Anita,5
MI,F,1911,Bernetta,5
MI,F,1911,Bonnie,5
MI,F,1911,Cecil,5
MI,F,1911,Constance,5
MI,F,1911,Elinor,5
MI,F,1911,Enid,5
MI,F,1911,Fannie,5
MI,F,1911,Florine,5
MI,F,1911,Garnet,5
MI,F,1911,Gwendolyn,5
MI,F,1911,Ilene,5
MI,F,1911,Imogene,5
MI,F,1911,Ivah,5
MI,F,1911,Katie,5
MI,F,1911,Leila,5
MI,F,1911,Lela,5
MI,F,1911,Lempi,5
MI,F,1911,Madge,5
MI,F,1911,Maggie,5
MI,F,1911,May,5
MI,F,1911,Mina,5
MI,F,1911,Myrna,5
MI,F,1911,Naomi,5
MI,F,1911,Norine,5
MI,F,1911,Rebecca,5
MI,F,1911,Rhea,5
MI,F,1911,Roberta,5
MI,F,1911,Rosella,5
MI,F,1911,Saima,5
MI,F,1911,Sigrid,5
MI,F,1911,Veda,5
MI,F,1911,Zella,5
MI,F,1912,Mary,628
MI,F,1912,Helen,604
MI,F,1912,Dorothy,458
MI,F,1912,Margaret,426
MI,F,1912,Ruth,323
MI,F,1912,Mildred,221
MI,F,1912,Irene,201
MI,F,1912,Elizabeth,198
MI,F,1912,Marie,195
MI,F,1912,Florence,190
MI,F,1912,Anna,186
MI,F,1912,Alice,183
MI,F,1912,Frances,177
MI,F,1912,Evelyn,164
MI,F,1912,Lillian,158
MI,F,1912,Gertrude,145
MI,F,1912,Esther,143
MI,F,1912,Edna,141
MI,F,1912,Gladys,135
MI,F,1912,Virginia,135
MI,F,1912,Grace,133
MI,F,1912,Hazel,127
MI,F,1912,Eleanor,125
MI,F,1912,Beatrice,121
MI,F,1912,Rose,121
MI,F,1912,Doris,119
MI,F,1912,Bernice,117
MI,F,1912,Martha,117
MI,F,1912,Catherine,115
MI,F,1912,Marion,115
MI,F,1912,Agnes,114
MI,F,1912,Lucille,114
MI,F,1912,Ethel,112
MI,F,1912,Thelma,111
MI,F,1912,Josephine,110
MI,F,1912,Clara,104
MI,F,1912,Louise,97
MI,F,1912,Genevieve,94
MI,F,1912,Marjorie,94
MI,F,1912,Leona,89
MI,F,1912,Ann,88
MI,F,1912,Eva,88
MI,F,1912,Marian,87
MI,F,1912,Edith,86
MI,F,1912,Jean,86
MI,F,1912,Viola,84
MI,F,1912,Marguerite,77
MI,F,1912,Vera,76
MI,F,1912,Elsie,75
MI,F,1912,Katherine,72
MI,F,1912,Mabel,71
MI,F,1912,Pauline,71
MI,F,1912,Stella,66
MI,F,1912,Pearl,65
MI,F,1912,Julia,64
MI,F,1912,Anne,62
MI,F,1912,Laura,61
MI,F,1912,Violet,61
MI,F,1912,Bertha,60
MI,F,1912,Ida,60
MI,F,1912,Emma,59
MI,F,1912,Charlotte,58
MI,F,1912,Geraldine,56
MI,F,1912,Myrtle,55
MI,F,1912,Kathryn,52
MI,F,1912,Wilma,52
MI,F,1912,Winifred,52
MI,F,1912,Alma,50
MI,F,1912,Barbara,49
MI,F,1912,Ellen,49
MI,F,1912,Theresa,49
MI,F,1912,Vivian,49
MI,F,1912,Betty,48
MI,F,1912,Nellie,48
MI,F,1912,Ruby,47
MI,F,1912,Phyllis,46
MI,F,1912,Jane,45
MI,F,1912,Jennie,45
MI,F,1912,Lois,45
MI,F,1912,Sylvia,42
MI,F,1912,Harriet,41
MI,F,1912,Beulah,39
MI,F,1912,Blanche,37
MI,F,1912,Cecelia,37
MI,F,1912,Velma,37
MI,F,1912,Olive,36
MI,F,1912,Fern,35
MI,F,1912,Kathleen,34
MI,F,1912,Ella,33
MI,F,1912,Minnie,33
MI,F,1912,Caroline,32
MI,F,1912,Henrietta,32
MI,F,1912,Lena,32
MI,F,1912,Madeline,32
MI,F,1912,Bessie,31
MI,F,1912,Erma,31
MI,F,1912,Hilda,31
MI,F,1912,Sarah,31
MI,F,1912,Sophie,31
MI,F,1912,June,30
MI,F,1912,Muriel,30
MI,F,1912,Dorothea,29
MI,F,1912,Emily,29
MI,F,1912,Hattie,29
MI,F,1912,Loretta,29
MI,F,1912,Iva,28
MI,F,1912,Lila,28
MI,F,1912,Maxine,28
MI,F,1912,Norma,28
MI,F,1912,Donna,27
MI,F,1912,Lucile,27
MI,F,1912,Lydia,27
MI,F,1912,Verna,27
MI,F,1912,Audrey,26
MI,F,1912,Cecilia,26
MI,F,1912,Eleanore,26
MI,F,1912,Mae,26
MI,F,1912,Luella,25
MI,F,1912,Marcella,25
MI,F,1912,Patricia,25
MI,F,1912,Jeanette,24
MI,F,1912,Angeline,23
MI,F,1912,Eunice,23
MI,F,1912,Mable,23
MI,F,1912,Opal,23
MI,F,1912,Wanda,23
MI,F,1912,Ada,22
MI,F,1912,Dora,22
MI,F,1912,Irma,22
MI,F,1912,Lorraine,22
MI,F,1912,Lottie,22
MI,F,1912,Alberta,21
MI,F,1912,Arlene,21
MI,F,1912,Christine,21
MI,F,1912,Cora,21
MI,F,1912,Goldie,21
MI,F,1912,Adeline,20
MI,F,1912,Janet,20
MI,F,1912,Olga,20
MI,F,1912,Amelia,19
MI,F,1912,Annabelle,19
MI,F,1912,Isabelle,19
MI,F,1912,Naomi,19
MI,F,1912,Celia,18
MI,F,1912,Elma,18
MI,F,1912,Freda,18
MI,F,1912,Inez,18
MI,F,1912,Jeanne,18
MI,F,1912,Jessie,18
MI,F,1912,Gwendolyn,17
MI,F,1912,Helene,17
MI,F,1912,Ila,17
MI,F,1912,Mamie,17
MI,F,1912,Nina,17
MI,F,1912,Sally,17
MI,F,1912,Elaine,16
MI,F,1912,Isabel,16
MI,F,1912,Sophia,16
MI,F,1912,Victoria,16
MI,F,1912,Avis,15
MI,F,1912,Eileen,15
MI,F,1912,Miriam,15
MI,F,1912,Nettie,15
MI,F,1912,Nora,15
MI,F,1912,Regina,15
MI,F,1912,Rita,15
MI,F,1912,Sadie,15
MI,F,1912,Veronica,15
MI,F,1912,Dolores,14
MI,F,1912,Estelle,14
MI,F,1912,Frieda,14
MI,F,1912,Harriett,14
MI,F,1912,Johanna,14
MI,F,1912,Juanita,14
MI,F,1912,Leone,14
MI,F,1912,Roberta,14
MI,F,1912,Shirley,14
MI,F,1912,Adelaide,13
MI,F,1912,Aileen,13
MI,F,1912,Antoinette,13
MI,F,1912,Flora,13
MI,F,1912,Georgia,13
MI,F,1912,Katharine,13
MI,F,1912,Linda,13
MI,F,1912,Peggy,13
MI,F,1912,Angela,12
MI,F,1912,Berniece,12
MI,F,1912,Beth,12
MI,F,1912,Carrie,12
MI,F,1912,Constance,12
