StateCode,Sex,YearOfBirth,Name,Number
MI,F,1931,Jo,28
MI,F,1931,Maryann,28
MI,F,1931,Cora,27
MI,F,1931,Lena,27
MI,F,1931,Marylou,27
MI,F,1931,Annie,26
MI,F,1931,Beverley,26
MI,F,1931,Isabelle,26
MI,F,1931,Lorna,26
MI,F,1931,Mabel,26
MI,F,1931,Olga,26
MI,F,1931,Antoinette,25
MI,F,1931,Carmen,25
MI,F,1931,Loraine,25
MI,F,1931,Marilynn,25
MI,F,1931,Nora,25
MI,F,1931,Veronica,25
MI,F,1931,Victoria,25
MI,F,1931,Ardith,24
MI,F,1931,Beulah,24
MI,F,1931,Clarice,24
MI,F,1931,Cynthia,24
MI,F,1931,Dawn,24
MI,F,1931,Geneva,24
MI,F,1931,Greta,24
MI,F,1931,Lenore,24
MI,F,1931,Natalie,24
MI,F,1931,Nina,24
MI,F,1931,Sara,24
MI,F,1931,Teresa,24
MI,F,1931,Della,23
MI,F,1931,Freda,23
MI,F,1931,Inez,23
MI,F,1931,Annabelle,22
MI,F,1931,Linda,22
MI,F,1931,Patty,22
MI,F,1931,Sheila,22
MI,F,1931,Dorothea,21
MI,F,1931,Ila,21
MI,F,1931,Jeannine,21
MI,F,1931,Therese,21
MI,F,1931,Bernadette,20
MI,F,1931,Billie,20
MI,F,1931,Ernestine,20
MI,F,1931,Iva,20
MI,F,1931,Monica,20
MI,F,1931,Julie,19
MI,F,1931,Laverne,19
MI,F,1931,Leah,19
MI,F,1931,Margery,19
MI,F,1931,Neva,19
MI,F,1931,Noreen,19
MI,F,1931,Olive,19
MI,F,1931,Rachel,19
MI,F,1931,Ada,18
MI,F,1931,Ardis,18
MI,F,1931,Cecilia,18
MI,F,1931,Corrine,18
MI,F,1931,Diana,18
MI,F,1931,Irma,18
MI,F,1931,Adele,17
MI,F,1931,Aileen,17
MI,F,1931,Annette,17
MI,F,1931,Dona,17
MI,F,1931,Eleanore,17
MI,F,1931,Gail,17
MI,F,1931,Lillie,17
MI,F,1931,Minnie,17
MI,F,1931,Norene,17
MI,F,1931,Paula,17
MI,F,1931,Rosie,17
MI,F,1931,Sandra,17
MI,F,1931,Beth,16
MI,F,1931,Cecelia,16
MI,F,1931,Estelle,16
MI,F,1931,Fay,16
MI,F,1931,Flora,16
MI,F,1931,Isabel,16
MI,F,1931,May,16
MI,F,1931,Miriam,16
MI,F,1931,Opal,16
MI,F,1931,Rena,16
MI,F,1931,Berniece,15
MI,F,1931,Christina,15
MI,F,1931,Eugenia,15
MI,F,1931,Janette,15
MI,F,1931,Johanna,15
MI,F,1931,Judy,15
MI,F,1931,Lottie,15
MI,F,1931,Myra,15
MI,F,1931,Nadine,15
MI,F,1931,Robert,15
MI,F,1931,Angela,14
MI,F,1931,Bettie,14
MI,F,1931,Celia,14
MI,F,1931,Dixie,14
MI,F,1931,Elva,14
MI,F,1931,Goldie,14
MI,F,1931,Helene,14
MI,F,1931,Lou,14
MI,F,1931,Mable,14
MI,F,1931,Nona,14
MI,F,1931,Ramona,14
MI,F,1931,Regina,14
MI,F,1931,Rosella,14
MI,F,1931,Valerie,14
MI,F,1931,Alta,13
MI,F,1931,Claire,13
MI,F,1931,Cleo,13
MI,F,1931,Germaine,13
MI,F,1931,Gretchen,13
MI,F,1931,Harriett,13
MI,F,1931,Lavonne,13
MI,F,1931,Lydia,13
MI,F,1931,Maryjane,13
MI,F,1931,Avis,12
MI,F,1931,Carlene,12
MI,F,1931,Frieda,12
MI,F,1931,Jackie,12
MI,F,1931,Joanna,12
MI,F,1931,Molly,12
MI,F,1931,Nelda,12
MI,F,1931,Rebecca,12
MI,F,1931,Roselyn,12
MI,F,1931,Shirlee,12
MI,F,1931,Susie,12
MI,F,1931,Yolanda,12
MI,F,1931,Alyce,11
MI,F,1931,Amelia,11
MI,F,1931,Amy,11
MI,F,1931,Beryl,11
MI,F,1931,Betsy,11
MI,F,1931,Carrie,11
MI,F,1931,Corinne,11
MI,F,1931,Daisy,11
MI,F,1931,Dolly,11
MI,F,1931,Donald,11
MI,F,1931,Donelda,11
MI,F,1931,Eloise,11
MI,F,1931,Faith,11
MI,F,1931,Helena,11
MI,F,1931,Janis,11
MI,F,1931,Lenora,11
MI,F,1931,Marjory,11
MI,F,1931,Rhoda,11
MI,F,1931,Rosa,11
MI,F,1931,Winona,11
MI,F,1931,Bethany,10
MI,F,1931,Delia,10
MI,F,1931,Edwina,10
MI,F,1931,Eula,10
MI,F,1931,Guadalupe,10
MI,F,1931,Hattie,10
MI,F,1931,Imogene,10
MI,F,1931,Justine,10
MI,F,1931,Laurel,10
MI,F,1931,Marlyn,10
MI,F,1931,Sadie,10
MI,F,1931,Sallie,10
MI,F,1931,Waneta,10
MI,F,1931,Adeline,9
MI,F,1931,Arline,9
MI,F,1931,Arvilla,9
MI,F,1931,Dorthy,9
MI,F,1931,Elma,9
MI,F,1931,Estella,9
MI,F,1931,Etta,9
MI,F,1931,Ione,9
MI,F,1931,James,9
MI,F,1931,Jenny,9
MI,F,1931,John,9
MI,F,1931,Kaye,9
MI,F,1931,Ladonna,9
MI,F,1931,Leatrice,9
MI,F,1931,Leora,9
MI,F,1931,Lora,9
MI,F,1931,Madelyn,9
MI,F,1931,Marvel,9
MI,F,1931,Melva,9
MI,F,1931,Mollie,9
MI,F,1931,Nettie,9
MI,F,1931,Onalee,9
MI,F,1931,Reva,9
MI,F,1931,Rosalind,9
MI,F,1931,Rosetta,9
MI,F,1931,Arleen,8
MI,F,1931,Bonita,8
MI,F,1931,Bridget,8
MI,F,1931,Carla,8
MI,F,1931,Charles,8
MI,F,1931,Coral,8
MI,F,1931,Cornelia,8
MI,F,1931,Denise,8
MI,F,1931,Hope,8
MI,F,1931,Ingrid,8
MI,F,1931,Iola,8
MI,F,1931,Lee,8
MI,F,1931,Leila,8
MI,F,1931,Lona,8
MI,F,1931,Lucile,8
MI,F,1931,Lula,8
MI,F,1931,Madonna,8
MI,F,1931,Mamie,8
MI,F,1931,Marva,8
MI,F,1931,Mona,8
MI,F,1931,Ora,8
MI,F,1931,Rhea,8
MI,F,1931,Richard,8
MI,F,1931,Stephanie,8
MI,F,1931,Agatha,7
MI,F,1931,Alfreda,7
MI,F,1931,Belva,7
MI,F,1931,Clarabelle,7
MI,F,1931,Clare,7
MI,F,1931,Crystal,7
MI,F,1931,Doloris,7
MI,F,1931,Fannie,7
MI,F,1931,Gayle,7
MI,F,1931,George,7
MI,F,1931,Georgina,7
MI,F,1931,Ilah,7
MI,F,1931,Ina,7
MI,F,1931,Isabell,7
MI,F,1931,Lavina,7
MI,F,1931,Leota,7
MI,F,1931,Lucia,7
MI,F,1931,Margarita,7
MI,F,1931,Marietta,7
MI,F,1931,Marylin,7
MI,F,1931,Millicent,7
MI,F,1931,Norine,7
MI,F,1931,Reta,7
MI,F,1931,Selma,7
MI,F,1931,Susanne,7
MI,F,1931,Valeria,7
MI,F,1931,Verla,7
MI,F,1931,Zelma,7
MI,F,1931,Annabell,6
MI,F,1931,Beverlee,6
MI,F,1931,Claudine,6
MI,F,1931,Clementine,6
MI,F,1931,Colette,6
MI,F,1931,Darline,6
MI,F,1931,Delma,6
MI,F,1931,Dorene,6
MI,F,1931,Earlene,6
MI,F,1931,Earline,6
MI,F,1931,Edward,6
MI,F,1931,Elena,6
MI,F,1931,Enid,6
MI,F,1931,Francis,6
MI,F,1931,Georgene,6
MI,F,1931,Georgiana,6
MI,F,1931,Georgianna,6
MI,F,1931,Gwen,6
MI,F,1931,Hannah,6
MI,F,1931,Janie,6
MI,F,1931,Johnnie,6
MI,F,1931,Lela,6
MI,F,1931,Leone,6
MI,F,1931,Madge,6
MI,F,1931,Marceline,6
MI,F,1931,Margot,6
MI,F,1931,Maryellen,6
MI,F,1931,Maryetta,6
MI,F,1931,Matilda,6
MI,F,1931,Mattie,6
MI,F,1931,Maurine,6
MI,F,1931,Nanette,6
MI,F,1931,Olivia,6
MI,F,1931,Patrica,6
MI,F,1931,Peggie,6
MI,F,1931,Renee,6
MI,F,1931,Rosalee,6
MI,F,1931,Rosalyn,6
MI,F,1931,Una,6
MI,F,1931,Vada,6
MI,F,1931,Velda,6
MI,F,1931,Vernice,6
MI,F,1931,Vonda,6
MI,F,1931,William,6
MI,F,1931,Willie,6
MI,F,1931,Zoe,6
MI,F,1931,Alda,5
MI,F,1931,Ardeth,5
MI,F,1931,Arletta,5
MI,F,1931,Arloa,5
MI,F,1931,Belle,5
MI,F,1931,Bethel,5
MI,F,1931,Camille,5
MI,F,1931,Carlotta,5
MI,F,1931,Carmella,5
MI,F,1931,Charmaine,5
MI,F,1931,Clarissa,5
MI,F,1931,Claudia,5
MI,F,1931,Concetta,5
MI,F,1931,Dana,5
MI,F,1931,Elisabeth,5
MI,F,1931,Elizebeth,5
MI,F,1931,Erna,5
MI,F,1931,Essie,5
MI,F,1931,Flossie,5
MI,F,1931,Gerry,5
MI,F,1931,Janiece,5
MI,F,1931,Jerry,5
MI,F,1931,Karen,5
MI,F,1931,Laureen,5
MI,F,1931,Lavona,5
MI,F,1931,Leola,5
MI,F,1931,Letha,5
MI,F,1931,Lorene,5
MI,F,1931,Loris,5
MI,F,1931,Lynn,5
MI,F,1931,Maryanne,5
MI,F,1931,Mavis,5
MI,F,1931,Maybelle,5
MI,F,1931,Melvina,5
MI,F,1931,Mercedes,5
MI,F,1931,Millie,5
MI,F,1931,Nada,5
MI,F,1931,Nadene,5
MI,F,1931,Phylis,5
MI,F,1931,Polly,5
MI,F,1931,Rae,5
MI,F,1931,Romaine,5
MI,F,1931,Roseann,5
MI,F,1931,Roslyn,5
MI,F,1931,Vilma,5
MI,F,1931,Wanetta,5
MI,F,1931,Wanita,5
MI,F,1931,Wava,5
MI,F,1931,Wilda,5
MI,F,1932,Mary,2003
MI,F,1932,Barbara,1492
MI,F,1932,Betty,1164
MI,F,1932,Patricia,1105
MI,F,1932,Joan,994
MI,F,1932,Shirley,961
MI,F,1932,Dorothy,832
MI,F,1932,Marilyn,795
MI,F,1932,Joyce,763
MI,F,1932,Margaret,713
MI,F,1932,Donna,657
MI,F,1932,Dolores,575
MI,F,1932,Helen,560
MI,F,1932,Nancy,550
MI,F,1932,Beverly,538
MI,F,1932,Lois,468
MI,F,1932,Ruth,450
MI,F,1932,Virginia,438
MI,F,1932,Phyllis,426
MI,F,1932,Jean,417
MI,F,1932,Doris,395
MI,F,1932,Carol,352
MI,F,1932,Norma,336
MI,F,1932,Elizabeth,324
MI,F,1932,Janet,316
MI,F,1932,Alice,307
MI,F,1932,Gloria,307
MI,F,1932,Geraldine,295
MI,F,1932,Frances,287
MI,F,1932,Evelyn,274
MI,F,1932,Marjorie,269
MI,F,1932,Joanne,259
MI,F,1932,Delores,258
MI,F,1932,Rose,258
MI,F,1932,Sally,246
MI,F,1932,June,238
MI,F,1932,Lorraine,233
MI,F,1932,Elaine,220
MI,F,1932,Irene,220
MI,F,1932,Ann,205
MI,F,1932,Marlene,200
MI,F,1932,Marie,197
MI,F,1932,Mildred,192
MI,F,1932,Eleanor,191
MI,F,1932,Joann,183
MI,F,1932,Theresa,182
MI,F,1932,Florence,181
MI,F,1932,Kathleen,181
MI,F,1932,Arlene,180
MI,F,1932,Marion,180
MI,F,1932,Marian,177
MI,F,1932,Lillian,170
MI,F,1932,Anna,169
MI,F,1932,Carolyn,162
MI,F,1932,Rosemary,162
MI,F,1932,Catherine,161
MI,F,1932,Jane,161
MI,F,1932,Jacqueline,160
MI,F,1932,Louise,146
MI,F,1932,Rita,143
MI,F,1932,Esther,139
MI,F,1932,Bonnie,136
MI,F,1932,Lucille,133
MI,F,1932,Martha,131
MI,F,1932,Grace,129
MI,F,1932,Josephine,128
MI,F,1932,Constance,127
MI,F,1932,Jeanette,127
MI,F,1932,Audrey,126
MI,F,1932,Maxine,124
MI,F,1932,Janice,115
MI,F,1932,Loretta,115
MI,F,1932,Beatrice,114
MI,F,1932,Charlotte,112
MI,F,1932,Katherine,110
MI,F,1932,Pauline,110
MI,F,1932,Gladys,108
MI,F,1932,Ellen,105
MI,F,1932,Vivian,105
MI,F,1932,Wilma,104
MI,F,1932,Bernice,103
MI,F,1932,Wanda,103
MI,F,1932,Edith,100
MI,F,1932,Peggy,99
MI,F,1932,Clara,97
MI,F,1932,Kathryn,97
MI,F,1932,Sylvia,90
MI,F,1932,Gertrude,89
MI,F,1932,Laura,89
MI,F,1932,Eileen,87
MI,F,1932,Jeanne,87
MI,F,1932,Edna,85
MI,F,1932,Ethel,85
MI,F,1932,Thelma,85
MI,F,1932,Anne,84
MI,F,1932,Violet,84
MI,F,1932,Yvonne,82
MI,F,1932,Caroline,76
MI,F,1932,Juanita,76
MI,F,1932,Roberta,76
MI,F,1932,Vera,76
MI,F,1932,Leona,74
MI,F,1932,Judith,72
MI,F,1932,Hazel,69
MI,F,1932,Marcia,67
MI,F,1932,Elsie,66
MI,F,1932,Agnes,65
MI,F,1932,Carole,64
MI,F,1932,Sharon,64
MI,F,1932,Patsy,63
MI,F,1932,Darlene,62
MI,F,1932,Diane,62
MI,F,1932,Eva,61
MI,F,1932,Delphine,60
MI,F,1932,Suzanne,60
MI,F,1932,Julia,59
MI,F,1932,Susan,59
MI,F,1932,Connie,57
MI,F,1932,Genevieve,57
MI,F,1932,Anita,55
MI,F,1932,Charlene,55
MI,F,1932,Harriet,54
MI,F,1932,Bertha,53
MI,F,1932,Ida,53
MI,F,1932,Gwendolyn,52
MI,F,1932,Viola,51
MI,F,1932,Sarah,50
MI,F,1932,Pat,49
MI,F,1932,Maryann,47
MI,F,1932,Maureen,47
MI,F,1932,Pearl,47
MI,F,1932,Ruby,47
MI,F,1932,Jeannette,46
MI,F,1932,Velma,46
MI,F,1932,Angeline,45
MI,F,1932,Margie,45
MI,F,1932,Marguerite,45
MI,F,1932,Stella,45
MI,F,1932,Emily,42
MI,F,1932,Ilene,42
MI,F,1932,Nina,42
MI,F,1932,Rosalie,41
MI,F,1932,Christine,40
MI,F,1932,Sue,40
MI,F,1932,Colleen,39
MI,F,1932,Georgia,39
MI,F,1932,Dora,38
MI,F,1932,Eunice,38
MI,F,1932,Jessie,38
MI,F,1932,Jo,38
MI,F,1932,Judy,38
MI,F,1932,Madeline,38
MI,F,1932,Erma,37
MI,F,1932,Muriel,37
MI,F,1932,Doreen,36
MI,F,1932,Emma,36
MI,F,1932,Jacquelyn,36
MI,F,1932,Kay,36
MI,F,1932,Jennie,35
MI,F,1932,Marcella,35
MI,F,1932,Rosemarie,35
MI,F,1932,Bette,34
MI,F,1932,Ella,34
MI,F,1932,Joy,34
MI,F,1932,Lucy,34
MI,F,1932,Verna,34
MI,F,1932,Alberta,33
MI,F,1932,Beverley,33
MI,F,1932,Lila,33
MI,F,1932,Luella,33
MI,F,1932,Naomi,33
MI,F,1932,Bernadine,32
MI,F,1932,Marianne,32
MI,F,1932,Nellie,32
MI,F,1932,Alma,31
MI,F,1932,Diana,31
MI,F,1932,Gail,31
MI,F,1932,Ardith,30
MI,F,1932,Henrietta,30
MI,F,1932,Iris,30
MI,F,1932,Victoria,30
MI,F,1932,Annie,29
MI,F,1932,Cynthia,29
MI,F,1932,Mona,29
MI,F,1932,Nora,29
MI,F,1932,Veronica,29
MI,F,1932,Winifred,29
MI,F,1932,Dawn,28
MI,F,1932,Mabel,28
MI,F,1932,Myrtle,28
