StateCode,Sex,YearOfBirth,Name,Number
MI,F,1979,Janice,42
MI,F,1979,Tracie,42
MI,F,1979,Rose,41
MI,F,1979,Shana,41
MI,F,1979,Carol,40
MI,F,1979,Jami,40
MI,F,1979,Jeanette,40
MI,F,1979,Leanne,40
MI,F,1979,Maureen,40
MI,F,1979,Summer,40
MI,F,1979,Devon,39
MI,F,1979,Kirsten,39
MI,F,1979,Nina,39
MI,F,1979,Christa,38
MI,F,1979,Jenifer,38
MI,F,1979,Joanna,38
MI,F,1979,Karla,38
MI,F,1979,Billie,37
MI,F,1979,Bobbi,37
MI,F,1979,Caroline,37
MI,F,1979,Marisa,37
MI,F,1979,Melisa,37
MI,F,1979,Olivia,37
MI,F,1979,Stefanie,37
MI,F,1979,Brianna,36
MI,F,1979,Jennie,36
MI,F,1979,Kerry,36
MI,F,1979,Latisha,36
MI,F,1979,Latonya,36
MI,F,1979,Lesley,36
MI,F,1979,Yvonne,36
MI,F,1979,Abby,35
MI,F,1979,Staci,35
MI,F,1979,Amie,34
MI,F,1979,Faith,34
MI,F,1979,Keisha,34
MI,F,1979,Hope,33
MI,F,1979,Sherri,33
MI,F,1979,Angelina,32
MI,F,1979,Bianca,32
MI,F,1979,Carly,32
MI,F,1979,Connie,32
MI,F,1979,Hollie,32
MI,F,1979,Martha,32
MI,F,1979,Tonia,32
MI,F,1979,Aisha,31
MI,F,1979,Candy,31
MI,F,1979,Carissa,31
MI,F,1979,Cassie,31
MI,F,1979,Jane,31
MI,F,1979,Marissa,31
MI,F,1979,Randi,31
MI,F,1979,Trina,31
MI,F,1979,Alexis,30
MI,F,1979,Betsy,30
MI,F,1979,Charlene,30
MI,F,1979,Jackie,30
MI,F,1979,Joyce,30
MI,F,1979,Karrie,30
MI,F,1979,Rita,30
MI,F,1979,Shelley,30
MI,F,1979,Darcy,29
MI,F,1979,Dorothy,29
MI,F,1979,Lakesha,29
MI,F,1979,Marcie,29
MI,F,1979,Mia,29
MI,F,1979,Raquel,29
MI,F,1979,Dena,28
MI,F,1979,Jasmine,28
MI,F,1979,Jessie,28
MI,F,1979,Jocelyn,28
MI,F,1979,Lacey,28
MI,F,1979,Naomi,28
MI,F,1979,Sylvia,28
MI,F,1979,Beverly,27
MI,F,1979,Brandie,27
MI,F,1979,Elaine,27
MI,F,1979,Elisabeth,27
MI,F,1979,Gloria,27
MI,F,1979,Kasey,27
MI,F,1979,Priscilla,27
MI,F,1979,Sally,27
MI,F,1979,Shamika,27
MI,F,1979,Tabatha,27
MI,F,1979,Tania,27
MI,F,1979,Annie,26
MI,F,1979,Charlotte,26
MI,F,1979,Hannah,26
MI,F,1979,Helen,26
MI,F,1979,Jammie,26
MI,F,1979,Jana,26
MI,F,1979,Jenna,26
MI,F,1979,Lee,26
MI,F,1979,Ryan,26
MI,F,1979,Virginia,26
MI,F,1979,Cortney,25
MI,F,1979,Darlene,25
MI,F,1979,Genevieve,25
MI,F,1979,Janel,25
MI,F,1979,Leigh,25
MI,F,1979,Mandi,25
MI,F,1979,Marci,25
MI,F,1979,Alana,24
MI,F,1979,Chrystal,24
MI,F,1979,Joann,24
MI,F,1979,Lydia,24
MI,F,1979,Marcy,24
MI,F,1979,Michael,24
MI,F,1979,Tameka,24
MI,F,1979,Alisa,23
MI,F,1979,Antoinette,23
MI,F,1979,Carey,23
MI,F,1979,Corey,23
MI,F,1979,Cristina,23
MI,F,1979,Juanita,23
MI,F,1979,Kenya,23
MI,F,1979,Kristal,23
MI,F,1979,Lynette,23
MI,F,1979,Mellissa,23
MI,F,1979,Renae,23
MI,F,1979,Roberta,23
MI,F,1979,Wendi,23
MI,F,1979,Angelica,22
MI,F,1979,Angelique,22
MI,F,1979,Annette,22
MI,F,1979,Elissa,22
MI,F,1979,Esther,22
MI,F,1979,Joanne,22
MI,F,1979,Kenyatta,22
MI,F,1979,Lashonda,22
MI,F,1979,Ronda,22
MI,F,1979,Sherrie,22
MI,F,1979,Shirley,22
MI,F,1979,Tami,22
MI,F,1979,Tera,22
MI,F,1979,Teri,22
MI,F,1979,Tiffani,22
MI,F,1979,Adrianne,21
MI,F,1979,Breanne,21
MI,F,1979,Chasity,21
MI,F,1979,Katy,21
MI,F,1979,Kylie,21
MI,F,1979,Latosha,21
MI,F,1979,Latrice,21
MI,F,1979,Malinda,21
MI,F,1979,Marianne,21
MI,F,1979,Meghann,21
MI,F,1979,Penny,21
MI,F,1979,Qiana,21
MI,F,1979,Sandy,21
MI,F,1979,Shari,21
MI,F,1979,Shavonne,21
MI,F,1979,Bambi,20
MI,F,1979,Chandra,20
MI,F,1979,Christi,20
MI,F,1979,Devin,20
MI,F,1979,Elisha,20
MI,F,1979,Eva,20
MI,F,1979,Ginger,20
MI,F,1979,Jean,20
MI,F,1979,Jenelle,20
MI,F,1979,Joni,20
MI,F,1979,Karin,20
MI,F,1979,Ladonna,20
MI,F,1979,Lora,20
MI,F,1979,Loretta,20
MI,F,1979,Peggy,20
MI,F,1979,Shavon,20
MI,F,1979,Sheri,20
MI,F,1979,Whitney,20
MI,F,1979,Alexandra,19
MI,F,1979,Amelia,19
MI,F,1979,Aubrey,19
MI,F,1979,Cherie,19
MI,F,1979,Harmony,19
MI,F,1979,Jamila,19
MI,F,1979,Johanna,19
MI,F,1979,Jolene,19
MI,F,1979,Nora,19
MI,F,1979,Sonia,19
MI,F,1979,Terra,19
MI,F,1979,Alice,18
MI,F,1979,Claire,18
MI,F,1979,Dianna,18
MI,F,1979,Elena,18
MI,F,1979,Frances,18
MI,F,1979,Gail,18
MI,F,1979,Janell,18
MI,F,1979,Jeanine,18
MI,F,1979,Kim,18
MI,F,1979,Kylee,18
MI,F,1979,Leann,18
MI,F,1979,Lena,18
MI,F,1979,Lyndsay,18
MI,F,1979,Patrice,18
MI,F,1979,Rosemary,18
MI,F,1979,Sue,18
MI,F,1979,Sunshine,18
MI,F,1979,Yvette,18
MI,F,1979,Abbie,17
MI,F,1979,Allyson,17
MI,F,1979,Camille,17
MI,F,1979,Corrie,17
MI,F,1979,Dayna,17
MI,F,1979,Elisa,17
MI,F,1979,Emma,17
MI,F,1979,Evelyn,17
MI,F,1979,Janine,17
MI,F,1979,Jeannie,17
MI,F,1979,Katharine,17
MI,F,1979,Maya,17
MI,F,1979,Mellisa,17
MI,F,1979,Miriam,17
MI,F,1979,Nadia,17
MI,F,1979,Nakia,17
MI,F,1979,Quiana,17
MI,F,1979,Rhiannon,17
MI,F,1979,Tawana,17
MI,F,1979,Tia,17
MI,F,1979,Vicki,17
MI,F,1979,Abbey,16
MI,F,1979,Ashanti,16
MI,F,1979,Christal,16
MI,F,1979,Christopher,16
MI,F,1979,David,16
MI,F,1979,Irene,16
MI,F,1979,Jaimie,16
MI,F,1979,Jeannette,16
MI,F,1979,Karyn,16
MI,F,1979,Kimberlee,16
MI,F,1979,Latanya,16
MI,F,1979,Leeann,16
MI,F,1979,Margo,16
MI,F,1979,Monika,16
MI,F,1979,Richelle,16
MI,F,1979,Sasha,16
MI,F,1979,Shanika,16
MI,F,1979,Sheree,16
MI,F,1979,Sommer,16
MI,F,1979,Tisha,16
MI,F,1979,Vickie,16
MI,F,1979,Betty,15
MI,F,1979,Bree,15
MI,F,1979,Bridgett,15
MI,F,1979,Cari,15
MI,F,1979,Chrissy,15
MI,F,1979,Constance,15
