StateCode,Sex,YearOfBirth,Name,Number
MI,F,1996,Brandi,76
MI,F,1996,Casey,76
MI,F,1996,Jade,76
MI,F,1996,Veronica,76
MI,F,1996,Desiree,75
MI,F,1996,Sophia,75
MI,F,1996,Summer,75
MI,F,1996,Angel,74
MI,F,1996,Angelica,74
MI,F,1996,Julie,73
MI,F,1996,Kirsten,73
MI,F,1996,Alison,72
MI,F,1996,Cierra,72
MI,F,1996,Whitney,72
MI,F,1996,Ashlee,70
MI,F,1996,Lisa,70
MI,F,1996,Mckenzie,70
MI,F,1996,Dana,68
MI,F,1996,Katelynn,68
MI,F,1996,April,67
MI,F,1996,Marisa,67
MI,F,1996,Alexus,65
MI,F,1996,Alissa,65
MI,F,1996,Jordyn,65
MI,F,1996,Kennedy,65
MI,F,1996,Gabriella,64
MI,F,1996,Patricia,64
MI,F,1996,Jillian,63
MI,F,1996,Mallory,62
MI,F,1996,Selena,62
MI,F,1996,Shania,62
MI,F,1996,Zoe,62
MI,F,1996,Kendall,61
MI,F,1996,Amelia,60
MI,F,1996,Kathleen,60
MI,F,1996,Allyson,59
MI,F,1996,Raven,59
MI,F,1996,Hope,58
MI,F,1996,Renee,57
MI,F,1996,Tiara,57
MI,F,1996,Hanna,56
MI,F,1996,Isabella,56
MI,F,1996,Jada,56
MI,F,1996,Mercedes,56
MI,F,1996,Bianca,55
MI,F,1996,Bridget,55
MI,F,1996,Ciara,55
MI,F,1996,Ariana,54
MI,F,1996,Ashleigh,54
MI,F,1996,Chelsey,54
MI,F,1996,Kiara,54
MI,F,1996,Krista,54
MI,F,1996,Micah,54
MI,F,1996,Alisha,53
MI,F,1996,Mckenna,53
MI,F,1996,Riley,53
MI,F,1996,Alana,52
MI,F,1996,Shayla,52
MI,F,1996,Arianna,51
MI,F,1996,Katrina,50
MI,F,1996,Lacey,50
MI,F,1996,Tessa,50
MI,F,1996,Aubrey,49
MI,F,1996,India,49
MI,F,1996,Kyla,49
MI,F,1996,Kyra,49
MI,F,1996,Tia,49
MI,F,1996,Valerie,49
MI,F,1996,Hunter,48
MI,F,1996,Katlyn,48
MI,F,1996,Natasha,48
MI,F,1996,Jazmine,47
MI,F,1996,Mia,47
MI,F,1996,Brandy,46
MI,F,1996,Cynthia,46
MI,F,1996,Deanna,46
MI,F,1996,Madelyn,46
MI,F,1996,Tabitha,46
MI,F,1996,Alaina,45
MI,F,1996,Brenna,45
MI,F,1996,Ellen,45
MI,F,1996,Madeleine,45
MI,F,1996,Dakota,44
MI,F,1996,Delaney,44
MI,F,1996,Nichole,44
MI,F,1996,Anne,43
MI,F,1996,Elise,43
MI,F,1996,Kali,43
