StateCode,Sex,YearOfBirth,Name,Number
MI,F,2003,Bailee,13
MI,F,2003,Breonna,13
MI,F,2003,Carolina,13
MI,F,2003,Daija,13
MI,F,2003,Elyse,13
MI,F,2003,Essence,13
MI,F,2003,Eve,13
MI,F,2003,Felicia,13
MI,F,2003,Gloria,13
MI,F,2003,Greta,13
MI,F,2003,Haven,13
MI,F,2003,Helen,13
MI,F,2003,Jessie,13
MI,F,2003,Kali,13
MI,F,2003,Kayden,13
MI,F,2003,Kelsie,13
MI,F,2003,Kierra,13
MI,F,2003,Krystal,13
MI,F,2003,Laney,13
MI,F,2003,Leanna,13
MI,F,2003,Lexus,13
MI,F,2003,London,13
MI,F,2003,Loren,13
MI,F,2003,Madisen,13
MI,F,2003,Makaila,13
MI,F,2003,Marianna,13
MI,F,2003,Nancy,13
MI,F,2003,Nayeli,13
MI,F,2003,Paulina,13
MI,F,2003,Regina,13
MI,F,2003,Rosa,13
MI,F,2003,Rosemary,13
MI,F,2003,Sharon,13
MI,F,2003,Sonia,13
MI,F,2003,Tania,13
MI,F,2003,Teresa,13
MI,F,2003,Tyra,13
MI,F,2003,Wendy,13
MI,F,2003,Yesenia,13
MI,F,2003,Aimee,12
MI,F,2003,Alessandra,12
MI,F,2003,Alia,12
MI,F,2003,Aliya,12
MI,F,2003,Alyse,12
MI,F,2003,Alysia,12
MI,F,2003,Amiyah,12
MI,F,2003,Anjali,12
MI,F,2003,Averie,12
MI,F,2003,Azaria,12
MI,F,2003,Brook,12
MI,F,2003,Ivy,12
MI,F,2003,Jaelyn,12
MI,F,2003,Janessa,12
MI,F,2003,Jaylin,12
MI,F,2003,Jaylynn,12
MI,F,2003,Karis,12
MI,F,2003,Katarina,12
MI,F,2003,Kayli,12
MI,F,2003,Laurel,12
MI,F,2003,Lilliana,12
MI,F,2003,Linda,12
MI,F,2003,Patience,12
MI,F,2003,Savana,12
MI,F,2003,Shawna,12
MI,F,2003,Sienna,12
MI,F,2003,Tyler,12
MI,F,2003,Valentina,12
MI,F,2003,Yasmeen,12
MI,F,2003,Abagail,11
MI,F,2003,Adrian,11
MI,F,2003,Alysa,11
MI,F,2003,Amira,11
MI,F,2003,Breanne,11
MI,F,2003,Brionna,11
MI,F,2003,Candace,11
MI,F,2003,Carla,11
MI,F,2003,Carrie,11
MI,F,2003,Chanel,11
MI,F,2003,Charlie,11
MI,F,2003,Cloe,11
MI,F,2003,Colleen,11
MI,F,2003,Dalia,11
MI,F,2003,Dania,11
MI,F,2003,Deasia,11
MI,F,2003,Felicity,11
MI,F,2003,Genesis,11
MI,F,2003,Isabell,11
MI,F,2003,Jaidyn,11
MI,F,2003,Jana,11
MI,F,2003,Jazlyn,11
MI,F,2003,Jazmyne,11
MI,F,2003,Jena,11
MI,F,2003,Johanna,11
MI,F,2003,Julianne,11
MI,F,2003,Kaley,11
MI,F,2003,Karlie,11
MI,F,2003,Kellie,11
MI,F,2003,Kiarra,11
MI,F,2003,Lea,11
MI,F,2003,Lexis,11
MI,F,2003,Lilian,11
MI,F,2003,Lucia,11
MI,F,2003,Lyndsey,11
MI,F,2003,Maia,11
MI,F,2003,Martina,11
MI,F,2003,Maura,11
MI,F,2003,Mila,11
MI,F,2003,Monique,11
MI,F,2003,Nyah,11
MI,F,2003,Penelope,11
MI,F,2003,Priscilla,11
MI,F,2003,Rana,11
MI,F,2003,Robyn,11
MI,F,2003,Salena,11
MI,F,2003,Shanya,11
MI,F,2003,Suzanne,11
MI,F,2003,Taliyah,11
MI,F,2003,Thalia,11
MI,F,2003,Trisha,11
MI,F,2003,Valeria,11
MI,F,2003,Zariah,11
MI,F,2003,Abbigayle,10
MI,F,2003,Aidan,10
MI,F,2003,Amina,10
MI,F,2003,Ananya,10
MI,F,2003,Ann,10
MI,F,2003,Aryana,10
MI,F,2003,Aryanna,10
MI,F,2003,Ashtyn,10
MI,F,2003,Aubrie,10
MI,F,2003,Austin,10
MI,F,2003,Cailyn,10
MI,F,2003,Caitlynn,10
MI,F,2003,Caleigh,10
MI,F,2003,Cali,10
MI,F,2003,Celina,10
MI,F,2003,Chasity,10
MI,F,2003,Christiana,10
MI,F,2003,Colette,10
MI,F,2003,Daniella,10
MI,F,2003,Darby,10
MI,F,2003,Destiney,10
MI,F,2003,Devin,10
MI,F,2003,Drew,10
MI,F,2003,Ebony,10
MI,F,2003,Ericka,10
MI,F,2003,Frances,10
MI,F,2003,Gretchen,10
MI,F,2003,Guadalupe,10
MI,F,2003,Hadeel,10
MI,F,2003,Julissa,10
MI,F,2003,Kaia,10
MI,F,2003,Kaliyah,10
MI,F,2003,Kalyn,10
MI,F,2003,Kaya,10
MI,F,2003,Kayley,10
MI,F,2003,Kylah,10
MI,F,2003,Lacy,10
MI,F,2003,Lainey,10
MI,F,2003,Liana,10
MI,F,2003,Lucille,10
MI,F,2003,Lyric,10
MI,F,2003,Makala,10
