StateCode,Sex,YearOfBirth,Name,Number
MI,F,2010,Nina,30
MI,F,2010,Addisyn,29
MI,F,2010,Elle,29
MI,F,2010,Janiya,29
MI,F,2010,Joslyn,29
MI,F,2010,Kyleigh,29
MI,F,2010,Maggie,29
MI,F,2010,Taryn,29
MI,F,2010,Abby,28
MI,F,2010,Adeline,28
MI,F,2010,Alyvia,28
MI,F,2010,Amira,28
MI,F,2010,Anastasia,28
MI,F,2010,Aya,28
MI,F,2010,Bianca,28
MI,F,2010,Caitlyn,28
MI,F,2010,Daisy,28
MI,F,2010,Elyse,28
MI,F,2010,Iris,28
MI,F,2010,Kaelyn,28
MI,F,2010,Kaylin,28
MI,F,2010,Lucia,28
MI,F,2010,Malia,28
MI,F,2010,Alexia,27
MI,F,2010,Annika,27
MI,F,2010,Arabella,27
MI,F,2010,Cameron,27
MI,F,2010,Charlie,27
MI,F,2010,Jazmine,27
MI,F,2010,Lauryn,27
MI,F,2010,Madalynn,27
MI,F,2010,Myah,27
MI,F,2010,Myla,27
MI,F,2010,Adelaide,26
MI,F,2010,Alayah,26
MI,F,2010,Aleah,26
MI,F,2010,Alissa,26
MI,F,2010,Anika,26
MI,F,2010,Anya,26
MI,F,2010,Aria,26
MI,F,2010,Arielle,26
MI,F,2010,Bethany,26
MI,F,2010,Gemma,26
MI,F,2010,Jane,26
MI,F,2010,Janiyah,26
MI,F,2010,Justice,26
MI,F,2010,Kaylynn,26
MI,F,2010,Kenzie,26
MI,F,2010,Lilyana,26
MI,F,2010,Macie,26
MI,F,2010,Phoebe,26
MI,F,2010,Sylvia,26
MI,F,2010,Cali,25
MI,F,2010,Cassandra,25
MI,F,2010,Imani,25
MI,F,2010,Jacqueline,25
MI,F,2010,Kimberly,25
MI,F,2010,Lailah,25
MI,F,2010,Adelyn,24
MI,F,2010,Ariel,24
MI,F,2010,Aubrie,24
MI,F,2010,Averie,24
MI,F,2010,Evangeline,24
MI,F,2010,Juliet,24
MI,F,2010,Kadence,24
MI,F,2010,Kinley,24
MI,F,2010,Kira,24
MI,F,2010,Lilian,24
MI,F,2010,Lilliana,24
MI,F,2010,Madeleine,24
MI,F,2010,Malak,24
MI,F,2010,Melody,24
MI,F,2010,Nyla,24
MI,F,2010,Raven,24
MI,F,2010,Alicia,23
MI,F,2010,Alina,23
MI,F,2010,Alison,23
MI,F,2010,Amari,23
MI,F,2010,Audrina,23
MI,F,2010,Caitlin,23
MI,F,2010,Camila,23
MI,F,2010,Giuliana,23
MI,F,2010,Gwendolyn,23
MI,F,2010,Hazel,23
MI,F,2010,Joselyn,23
MI,F,2010,Kiara,23
MI,F,2010,Lexie,23
MI,F,2010,Paisley,23
MI,F,2010,Ruth,23
MI,F,2010,Scarlet,23
MI,F,2010,Valeria,23
MI,F,2010,Zariah,23
MI,F,2010,Ana,22
MI,F,2010,Emilia,22
MI,F,2010,Esther,22
MI,F,2010,Eve,22
MI,F,2010,Hayley,22
MI,F,2010,Holly,22
MI,F,2010,Kiley,22
MI,F,2010,Kinsley,22
MI,F,2010,Laniyah,22
MI,F,2010,Liberty,22
MI,F,2010,Madilynn,22
MI,F,2010,Miley,22
MI,F,2010,Raelynn,22
MI,F,2010,Rosalie,22
MI,F,2010,Shaniya,22
MI,F,2010,Tiffany,22
MI,F,2010,Zaria,22
MI,F,2010,Adalynn,21
MI,F,2010,Anabelle,21
MI,F,2010,Braelyn,21
MI,F,2010,Crystal,21
MI,F,2010,Genesis,21
MI,F,2010,Gracelyn,21
MI,F,2010,Heidi,21
MI,F,2010,Kimora,21
MI,F,2010,Madyson,21
MI,F,2010,Mariana,21
MI,F,2010,Miracle,21
MI,F,2010,Nia,21
MI,F,2010,Raegan,21
MI,F,2010,Saniyah,21
MI,F,2010,Skye,21
MI,F,2010,Abagail,20
MI,F,2010,Alanna,20
MI,F,2010,Annie,20
MI,F,2010,Cherish,20
MI,F,2010,Danica,20
MI,F,2010,Diana,20
MI,F,2010,Ellery,20
MI,F,2010,Hanna,20
MI,F,2010,Helena,20
MI,F,2010,Janelle,20
MI,F,2010,Jaylynn,20
MI,F,2010,Lana,20
MI,F,2010,Lorelai,20
MI,F,2010,Michaela,20
MI,F,2010,Monica,20
MI,F,2010,Paityn,20
MI,F,2010,Ryan,20
MI,F,2010,Sasha,20
MI,F,2010,Selah,20
MI,F,2010,Simone,20
MI,F,2010,Tiana,20
MI,F,2010,Valerie,20
MI,F,2010,Alaya,19
MI,F,2010,Amiya,19
MI,F,2010,Audrianna,19
MI,F,2010,Bristol,19
MI,F,2010,Cecelia,19
MI,F,2010,Charlee,19
MI,F,2010,Daniela,19
MI,F,2010,Destinee,19
MI,F,2010,Emelia,19
MI,F,2010,Georgia,19
MI,F,2010,Giana,19
MI,F,2010,Jordynn,19
MI,F,2010,Kailyn,19
MI,F,2010,Kyra,19
MI,F,2010,Lorelei,19
MI,F,2010,Lyric,19
MI,F,2010,Maleah,19
MI,F,2010,Maliyah,19
MI,F,2010,Marie,19
MI,F,2010,Mira,19
MI,F,2010,Tatum,19
MI,F,2010,Vera,19
MI,F,2010,Vivienne,19
MI,F,2010,Aiyana,18
MI,F,2010,Aleena,18
