StateCode,Sex,YearOfBirth,Name,Number
MI,M,1984,Brenton,25
MI,M,1984,Dwight,25
MI,M,1984,Francis,25
MI,M,1984,Jake,25
MI,M,1984,Lorenzo,25
MI,M,1984,Quentin,25
MI,M,1984,Anton,24
MI,M,1984,Joe,24
MI,M,1984,Marshall,24
MI,M,1984,Ramon,24
MI,M,1984,Barry,23
MI,M,1984,Brock,23
MI,M,1984,Deshawn,23
MI,M,1984,Dominique,23
MI,M,1984,Steve,23
MI,M,1984,Terence,23
MI,M,1984,Trent,23
MI,M,1984,Alfred,22
MI,M,1984,Bernard,22
MI,M,1984,Clarence,22
MI,M,1984,Darin,22
MI,M,1984,Dylan,22
MI,M,1984,Logan,22
MI,M,1984,Nolan,22
MI,M,1984,Omar,22
MI,M,1984,Ralph,22
MI,M,1984,Rick,22
MI,M,1984,Tristan,22
MI,M,1984,Alvin,21
MI,M,1984,Bryant,21
MI,M,1984,Darrin,21
MI,M,1984,Jimmie,21
MI,M,1984,Preston,21
MI,M,1984,Ray,21
MI,M,1984,Cedric,20
MI,M,1984,Chadwick,20
MI,M,1984,Clint,20
MI,M,1984,Emmanuel,20
MI,M,1984,Jamar,20
MI,M,1984,Joesph,20
MI,M,1984,Josiah,20
MI,M,1984,Marlon,20
MI,M,1984,Orlando,20
MI,M,1984,Antione,19
MI,M,1984,Antwan,19
MI,M,1984,Chris,19
MI,M,1984,Jamal,19
MI,M,1984,Jayson,19
MI,M,1984,Kurtis,19
MI,M,1984,Perry,19
MI,M,1984,Taylor,19
MI,M,1984,Brady,18
MI,M,1984,Brendon,18
MI,M,1984,Dane,18
MI,M,1984,Dion,18
MI,M,1984,Edwin,18
MI,M,1984,Simon,18
MI,M,1984,Abraham,17
MI,M,1984,Andy,17
MI,M,1984,Ashley,17
MI,M,1984,Dejuan,17
MI,M,1984,Eli,17
MI,M,1984,Elliott,17
MI,M,1984,Fredrick,17
MI,M,1984,Howard,17
MI,M,1984,Kellen,17
MI,M,1984,Kiel,17
MI,M,1984,Lamont,17
MI,M,1984,Max,17
MI,M,1984,Miles,17
MI,M,1984,Rickey,17
MI,M,1984,Vernon,17
MI,M,1984,Wade,17
MI,M,1984,Warren,17
MI,M,1984,Beau,16
MI,M,1984,Ben,16
MI,M,1984,Donovan,16
MI,M,1984,Elijah,16
MI,M,1984,Hassan,16
MI,M,1984,Ivan,16
MI,M,1984,Lewis,16
MI,M,1984,Lloyd,16
MI,M,1984,Luis,16
MI,M,1984,Manuel,16
MI,M,1984,Rocky,16
MI,M,1984,Shannon,16
MI,M,1984,Trenton,16
MI,M,1984,Tyrell,16
MI,M,1984,Aron,15
MI,M,1984,Bret,15
MI,M,1984,Bryce,15
MI,M,1984,Derick,15
MI,M,1984,Erick,15
MI,M,1984,Heath,15
MI,M,1984,Isiah,15
MI,M,1984,Jeff,15
MI,M,1984,Joey,15
MI,M,1984,Kory,15
MI,M,1984,Lonnie,15
MI,M,1984,Loren,15
MI,M,1984,Marco,15
MI,M,1984,Marquis,15
MI,M,1984,Martell,15
MI,M,1984,Miguel,15
MI,M,1984,Tommy,15
MI,M,1984,Tyson,15
MI,M,1984,Alonzo,14
MI,M,1984,Clifton,14
MI,M,1984,Damien,14
MI,M,1984,Gene,14
MI,M,1984,Greg,14
MI,M,1984,Guy,14
MI,M,1984,Jameson,14
MI,M,1984,Lyle,14
MI,M,1984,Morgan,14
MI,M,1984,Myron,14
MI,M,1984,Roberto,14
MI,M,1984,Stephan,14
MI,M,1984,Bradford,13
MI,M,1984,Charlie,13
MI,M,1984,Damian,13
MI,M,1984,Dan,13
MI,M,1984,Dante,13
MI,M,1984,Demarcus,13
MI,M,1984,Deon,13
MI,M,1984,Donte,13
MI,M,1984,Elliot,13
MI,M,1984,Gerard,13
MI,M,1984,Harry,13
MI,M,1984,Jesus,13
MI,M,1984,Julius,13
MI,M,1984,Kelvin,13
MI,M,1984,Leslie,13
MI,M,1984,Quincy,13
MI,M,1984,Rafael,13
MI,M,1984,Robin,13
MI,M,1984,Ruben,13
MI,M,1984,Arnold,12
MI,M,1984,Bradly,12
MI,M,1984,Bryon,12
MI,M,1984,Carlton,12
MI,M,1984,Dana,12
MI,M,1984,Delano,12
MI,M,1984,Desmond,12
MI,M,1984,Dewayne,12
MI,M,1984,Donnell,12
MI,M,1984,Emanuel,12
MI,M,1984,Francisco,12
MI,M,1984,Fred,12
MI,M,1984,Graham,12
MI,M,1984,Jerrod,12
MI,M,1984,Korey,12
MI,M,1984,Martez,12
MI,M,1984,Mohammad,12
MI,M,1984,Raphael,12
MI,M,1984,Salvatore,12
MI,M,1984,Sam,12
MI,M,1984,Stefan,12
MI,M,1984,Zachariah,12
MI,M,1984,Amos,11
MI,M,1984,Curt,11
MI,M,1984,Dallas,11
MI,M,1984,Dorian,11
MI,M,1984,Erich,11
MI,M,1984,Gavin,11
MI,M,1984,Jarod,11
MI,M,1984,Jarrod,11
MI,M,1984,Jordon,11
MI,M,1984,Markus,11
MI,M,1984,Maxwell,11
MI,M,1984,Nathanial,11
MI,M,1984,Noel,11
MI,M,1984,Pedro,11
MI,M,1984,Pierre,11
MI,M,1984,Quintin,11
MI,M,1984,Randal,11
MI,M,1984,Rex,11
MI,M,1984,Rory,11
MI,M,1984,Ted,11
MI,M,1984,Wyatt,11
MI,M,1984,Xavier,11
MI,M,1984,Zackery,11
MI,M,1984,Ahmed,10
MI,M,1984,Chester,10
MI,M,1984,Clyde,10
MI,M,1984,Cornelius,10
MI,M,1984,Cortez,10
MI,M,1984,Don,10
MI,M,1984,Donta,10
MI,M,1984,Edgar,10
MI,M,1984,Everett,10
MI,M,1984,Fernando,10
MI,M,1984,Floyd,10
MI,M,1984,Jaime,10
MI,M,1984,Jarred,10
MI,M,1984,Javon,10
MI,M,1984,Jovan,10
MI,M,1984,Kenny,10
MI,M,1984,Kerry,10
MI,M,1984,Lamarr,10
MI,M,1984,Leo,10
MI,M,1984,Leroy,10
MI,M,1984,Lionel,10
MI,M,1984,Marcellus,10
MI,M,1984,Nathanael,10
MI,M,1984,Oscar,10
MI,M,1984,Otis,10
MI,M,1984,Quinton,10
MI,M,1984,Ramone,10
MI,M,1984,Randolph,10
MI,M,1984,Reid,10
MI,M,1984,Stewart,10
MI,M,1984,Taurean,10
MI,M,1984,Ty,10
MI,M,1984,Zachery,10
MI,M,1984,Ahmad,9
MI,M,1984,Andres,9
MI,M,1984,Antwon,9
MI,M,1984,Blair,9
MI,M,1984,Brain,9
MI,M,1984,Carlo,9
MI,M,1984,Dajuan,9
MI,M,1984,Daren,9
MI,M,1984,Dirk,9
MI,M,1984,Edmund,9
MI,M,1984,Garry,9
MI,M,1984,Hans,9
MI,M,1984,Herbert,9
MI,M,1984,Hunter,9
MI,M,1984,Josef,9
MI,M,1984,Josh,9
MI,M,1984,Keenan,9
MI,M,1984,Kendall,9
MI,M,1984,Landon,9
MI,M,1984,Lester,9
MI,M,1984,Marcel,9
MI,M,1984,Marques,9
MI,M,1984,Milton,9
MI,M,1984,Mohammed,9
MI,M,1984,Nelson,9
MI,M,1984,Nikolas,9
MI,M,1984,Riley,9
MI,M,1984,Roland,9
MI,M,1984,Ron,9
MI,M,1984,Russel,9
MI,M,1984,Sergio,9
MI,M,1984,Stacy,9
MI,M,1984,Thaddeus,9
MI,M,1984,Tomas,9
MI,M,1984,Trever,9
MI,M,1984,Virgil,9
MI,M,1984,Abram,8
MI,M,1984,Alec,8
MI,M,1984,Alphonso,8
MI,M,1984,Alton,8
MI,M,1984,Arron,8
MI,M,1984,Aubrey,8
MI,M,1984,Bill,8
MI,M,1984,Chance,8
MI,M,1984,Clark,8
MI,M,1984,Clay,8
MI,M,1984,Collin,8
MI,M,1984,Cornell,8
MI,M,1984,Danial,8
MI,M,1984,Darwin,8
MI,M,1984,Demarco,8
MI,M,1984,Donny,8
MI,M,1984,Ira,8
MI,M,1984,Jarrett,8
MI,M,1984,Jeremie,8
MI,M,1984,Jerrell,8
MI,M,1984,Johnnie,8
MI,M,1984,Jonah,8
MI,M,1984,Justen,8
MI,M,1984,Laurence,8
MI,M,1984,Leland,8
MI,M,1984,Reed,8
MI,M,1984,Rob,8
MI,M,1984,Rodger,8
MI,M,1984,Roosevelt,8
MI,M,1984,Rudy,8
MI,M,1984,Rusty,8
MI,M,1984,Sebastian,8
MI,M,1984,Toby,8
MI,M,1984,Tracy,8
MI,M,1984,Wendell,8
MI,M,1984,Alejandro,7
MI,M,1984,Angel,7
MI,M,1984,Anson,7
MI,M,1984,Antony,7
MI,M,1984,Avery,7
MI,M,1984,Brandin,7
MI,M,1984,Brooks,7
MI,M,1984,Cale,7
MI,M,1984,Carey,7
MI,M,1984,Cassidy,7
MI,M,1984,Dangelo,7
MI,M,1984,Darrel,7
MI,M,1984,Deonte,7
MI,M,1984,Dereck,7
MI,M,1984,Dexter,7
MI,M,1984,Dominick,7
MI,M,1984,Donnie,7
MI,M,1984,Earnest,7
MI,M,1984,Frankie,7
MI,M,1984,Freddie,7
MI,M,1984,Gilbert,7
MI,M,1984,Gregg,7
MI,M,1984,Issac,7
MI,M,1984,Jamel,7
MI,M,1984,Jarvis,7
MI,M,1984,Javier,7
MI,M,1984,Jean,7
MI,M,1984,Jerad,7
MI,M,1984,Jerod,7
MI,M,1984,Jess,7
MI,M,1984,Jevon,7
MI,M,1984,Julio,7
MI,M,1984,Keegan,7
MI,M,1984,Kristofer,7
MI,M,1984,Lukas,7
MI,M,1984,Matt,7
MI,M,1984,Mohamad,7
MI,M,1984,Moses,7
MI,M,1984,Nick,7
MI,M,1984,Oliver,7
MI,M,1984,Owen,7
MI,M,1984,Rashad,7
MI,M,1984,Rayshawn,7
MI,M,1984,Reuben,7
MI,M,1984,Santino,7
MI,M,1984,Tremaine,7
MI,M,1984,Zane,7
MI,M,1984,Abel,6
MI,M,1984,Alberto,6
MI,M,1984,Antwain,6
MI,M,1984,Armond,6
MI,M,1984,Arturo,6
MI,M,1984,Billie,6
MI,M,1984,Blaine,6
MI,M,1984,Brice,6
MI,M,1984,Carson,6
MI,M,1984,Chauncey,6
MI,M,1984,Chaz,6
MI,M,1984,Chistopher,6
MI,M,1984,Damion,6
MI,M,1984,Dave,6
MI,M,1984,Desean,6
MI,M,1984,Dionte,6
MI,M,1984,Dontae,6
MI,M,1984,Dujuan,6
MI,M,1984,Dusty,6
MI,M,1984,Edmond,6
MI,M,1984,Elias,6
MI,M,1984,Erin,6
MI,M,1984,Ezra,6
MI,M,1984,Garett,6
MI,M,1984,Garret,6
MI,M,1984,Germaine,6
MI,M,1984,Greggory,6
MI,M,1984,Harley,6
MI,M,1984,Harvey,6
MI,M,1984,Hector,6
MI,M,1984,Herman,6
MI,M,1984,Jackie,6
MI,M,1984,Jakob,6
MI,M,1984,Jamaal,6
MI,M,1984,Jasen,6
MI,M,1984,Jerald,6
MI,M,1984,Jeramie,6
MI,M,1984,Jerell,6
MI,M,1984,Jody,6
MI,M,1984,Jonas,6
MI,M,1984,Jorge,6
MI,M,1984,Kalvin,6
MI,M,1984,Keven,6
MI,M,1984,Kody,6
MI,M,1984,Laron,6
MI,M,1984,Lenard,6
MI,M,1984,Luther,6
MI,M,1984,Mack,6
MI,M,1984,Mackenzie,6
MI,M,1984,Marcos,6
MI,M,1984,Marty,6
MI,M,1984,Mikel,6
MI,M,1984,Mohamed,6
MI,M,1984,Muhammad,6
MI,M,1984,Myles,6
MI,M,1984,Pablo,6
MI,M,1984,Parker,6
MI,M,1984,Pete,6
MI,M,1984,Prince,6
MI,M,1984,Rafeal,6
MI,M,1984,Ramsey,6
MI,M,1984,Raul,6
MI,M,1984,Raymon,6
MI,M,1984,Raynard,6
MI,M,1984,Robbie,6
MI,M,1984,Royce,6
MI,M,1984,Samir,6
MI,M,1984,Sammie,6
MI,M,1984,Sammy,6
MI,M,1984,Scot,6
MI,M,1984,Shay,6
MI,M,1984,Shea,6
MI,M,1984,Sheldon,6
MI,M,1984,Skyler,6
MI,M,1984,Stacey,6
MI,M,1984,Tim,6
MI,M,1984,Tyron,6
MI,M,1984,Akeem,5
MI,M,1984,Alexis,5
MI,M,1984,Alfonso,5
MI,M,1984,Amanda,5
MI,M,1984,Amir,5
MI,M,1984,Antuan,5
MI,M,1984,Antwann,5
MI,M,1984,Anwar,5
MI,M,1984,Aric,5
MI,M,1984,Ashton,5
MI,M,1984,August,5
MI,M,1984,Benedict,5
MI,M,1984,Benny,5
MI,M,1984,Braden,5
MI,M,1984,Brenden,5
MI,M,1984,Cecil,5
MI,M,1984,Chancey,5
MI,M,1984,Claude,5
MI,M,1984,Cordell,5
MI,M,1984,Cortney,5
MI,M,1984,Coty,5
