StateCode,Sex,YearOfBirth,Name,Number
MI,M,2013,Danny,13
MI,M,2013,Daxton,13
MI,M,2013,Dwayne,13
MI,M,2013,Eddie,13
MI,M,2013,Josue,13
MI,M,2013,Kaeden,13
MI,M,2013,Korbin,13
MI,M,2013,Lee,13
MI,M,2013,Manuel,13
MI,M,2013,Martell,13
MI,M,2013,Mustafa,13
MI,M,2013,Nickolas,13
MI,M,2013,Nico,13
MI,M,2013,Rodney,13
MI,M,2013,Sterling,13
MI,M,2013,Vincenzo,13
MI,M,2013,Xzavier,13
MI,M,2013,Zackary,13
MI,M,2013,Zain,13
MI,M,2013,Zechariah,13
MI,M,2013,Antoine,12
MI,M,2013,Cyrus,12
MI,M,2013,Dane,12
MI,M,2013,Dominique,12
MI,M,2013,Edison,12
MI,M,2013,Eugene,12
MI,M,2013,Fabian,12
MI,M,2013,Fisher,12
MI,M,2013,Israel,12
MI,M,2013,Jawad,12
MI,M,2013,Kane,12
MI,M,2013,Kendall,12
MI,M,2013,Kyrie,12
MI,M,2013,Marlon,12
MI,M,2013,Maxton,12
MI,M,2013,Melvin,12
MI,M,2013,Micheal,12
MI,M,2013,Moses,12
MI,M,2013,Niko,12
MI,M,2013,Rowen,12
MI,M,2013,Thaddeus,12
MI,M,2013,Warren,12
MI,M,2013,Abdulrahman,11
MI,M,2013,Adnan,11
MI,M,2013,Albert,11
MI,M,2013,Braiden,11
MI,M,2013,Brayson,11
MI,M,2013,Brodie,11
MI,M,2013,Bronson,11
MI,M,2013,Bryant,11
MI,M,2013,Camari,11
MI,M,2013,Carmelo,11
MI,M,2013,Chad,11
MI,M,2013,Colby,11
MI,M,2013,Cristiano,11
MI,M,2013,Davon,11
MI,M,2013,Demarcus,11
MI,M,2013,Enrique,11
MI,M,2013,Hendrix,11
MI,M,2013,Iker,11
MI,M,2013,Issac,11
MI,M,2013,Jacoby,11
MI,M,2013,Jamarion,11
MI,M,2013,Javion,11
MI,M,2013,Jett,11
MI,M,2013,Julien,11
MI,M,2013,Kamdyn,11
MI,M,2013,Kash,11
MI,M,2013,Kody,11
MI,M,2013,Leeland,11
MI,M,2013,Leonard,11
MI,M,2013,Marek,11
MI,M,2013,Morgan,11
MI,M,2013,Nasir,11
MI,M,2013,Oakley,11
MI,M,2013,Princeton,11
MI,M,2013,Quinten,11
MI,M,2013,Raphael,11
MI,M,2013,Reese,11
MI,M,2013,Ronnie,11
MI,M,2013,Royal,11
MI,M,2013,Samir,11
MI,M,2013,Soren,11
MI,M,2013,Talon,11
MI,M,2013,Tristin,11
MI,M,2013,Urijah,11
MI,M,2013,Alfredo,10
MI,M,2013,Amarion,10
MI,M,2013,Blaze,10
MI,M,2013,Bowen,10
MI,M,2013,Branden,10
MI,M,2013,Callen,10
MI,M,2013,Callum,10
MI,M,2013,Clarence,10
