StateCode,Sex,YearOfBirth,Name,Number
MN,F,1952,Vicky,62
MN,F,1952,Joy,61
MN,F,1952,Phyllis,60
MN,F,1952,Stephanie,60
MN,F,1952,Jeanette,58
MN,F,1952,Lynda,58
MN,F,1952,Marlys,58
MN,F,1952,Rhonda,58
MN,F,1952,Sherry,58
MN,F,1952,Annette,57
MN,F,1952,Charlotte,56
MN,F,1952,Lisa,56
MN,F,1952,Louise,56
MN,F,1952,Lynne,56
MN,F,1952,Robin,56
MN,F,1952,Alice,55
MN,F,1952,Yvonne,55
MN,F,1952,Doris,53
MN,F,1952,Geraldine,51
MN,F,1952,Carla,50
MN,F,1952,Terri,50
MN,F,1952,Audrey,49
MN,F,1952,Penny,49
MN,F,1952,Shelley,48
MN,F,1952,Arlene,47
MN,F,1952,Irene,47
MN,F,1952,Laurel,47
MN,F,1952,Therese,47
MN,F,1952,Carole,45
MN,F,1952,June,44
MN,F,1952,Patrice,44
MN,F,1952,Patti,42
MN,F,1952,Debbie,41
MN,F,1952,Jacquelyn,41
MN,F,1952,Sarah,41
MN,F,1952,Frances,40
MN,F,1952,Gretchen,40
MN,F,1952,Sue,40
MN,F,1952,Lorraine,38
MN,F,1952,Andrea,37
MN,F,1952,Faye,37
MN,F,1952,Lavonne,36
MN,F,1952,Delores,35
MN,F,1952,Lori,35
MN,F,1952,Karla,34
MN,F,1952,Maxine,34
MN,F,1952,Loretta,33
MN,F,1952,Toni,33
MN,F,1952,Norma,32
MN,F,1952,Gwen,31
MN,F,1952,Holly,31
MN,F,1952,Jody,31
MN,F,1952,Leann,31
MN,F,1952,Pauline,31
MN,F,1952,Evelyn,30
MN,F,1952,Amy,29
MN,F,1952,Anna,29
MN,F,1952,Ramona,29
MN,F,1952,Doreen,28
MN,F,1952,Glenda,28
MN,F,1952,Kristin,28
MN,F,1952,Maria,28
MN,F,1952,Sara,27
MN,F,1952,Gwendolyn,26
MN,F,1952,Lana,26
MN,F,1952,Marian,26
MN,F,1952,Deanna,25
MN,F,1952,Rosanne,25
MN,F,1952,Janis,24
MN,F,1952,Kim,24
MN,F,1952,Lee,24
MN,F,1952,Lucille,24
MN,F,1952,Melanie,24
MN,F,1952,Lucinda,23
MN,F,1952,Angela,22
MN,F,1952,Corinne,22
MN,F,1952,Mavis,22
MN,F,1952,Melissa,22
MN,F,1952,Shari,22
MN,F,1952,Trudy,22
MN,F,1952,Dianna,21
MN,F,1952,Juanita,21
MN,F,1952,Kathie,21
MN,F,1952,Melody,21
MN,F,1952,Sonja,21
MN,F,1952,Grace,20
MN,F,1952,Kerry,20
MN,F,1952,Lorna,20
MN,F,1952,Luann,20
MN,F,1952,Margie,20
MN,F,1952,Molly,20
MN,F,1952,Randi,20
MN,F,1952,Teri,20
MN,F,1952,Candice,19
MN,F,1952,Edith,19
MN,F,1952,Janelle,19
MN,F,1952,Lucy,19
MN,F,1952,Sylvia,19
MN,F,1952,Bernadette,18
MN,F,1952,Dolores,18
MN,F,1952,Jacalyn,18
MN,F,1952,Jeannie,18
MN,F,1952,Kimberly,18
MN,F,1952,Margo,18
MN,F,1952,Maryann,18
MN,F,1952,Mona,18
MN,F,1952,Nadine,18
MN,F,1952,Vivian,18
MN,F,1952,Denice,17
MN,F,1952,Jeanine,17
MN,F,1952,Jeannine,17
MN,F,1952,Jolene,17
MN,F,1952,Kristi,17
MN,F,1952,Lora,17
MN,F,1952,Lynnette,17
MN,F,1952,Melinda,17
MN,F,1952,Patsy,17
MN,F,1952,Renae,17
MN,F,1952,Cathleen,16
MN,F,1952,Dana,16
MN,F,1952,Ginger,16
MN,F,1952,Janine,16
MN,F,1952,Jodell,16
MN,F,1952,Julia,16
MN,F,1952,Marguerite,16
MN,F,1952,Marianne,16
MN,F,1952,Marilee,16
MN,F,1952,Marion,16
MN,F,1952,Rachel,16
MN,F,1952,Robyn,16
MN,F,1952,Shelly,16
MN,F,1952,Ardis,15
MN,F,1952,Carmen,15
MN,F,1952,Harriet,15
MN,F,1952,Heidi,15
MN,F,1952,Naomi,15
MN,F,1952,Patty,15
MN,F,1952,Susanne,15
MN,F,1952,Tamara,15
MN,F,1952,Cecelia,14
MN,F,1952,Claire,14
MN,F,1952,Coleen,14
MN,F,1952,Corrine,14
MN,F,1952,Darcy,14
MN,F,1952,Gale,14
MN,F,1952,Jayne,14
MN,F,1952,Jeri,14
MN,F,1952,Karin,14
MN,F,1952,Rochelle,14
MN,F,1952,Rosalie,14
MN,F,1952,Antoinette,13
MN,F,1952,April,13
MN,F,1952,Bernice,13
MN,F,1952,Betsy,13
MN,F,1952,Bridget,13
MN,F,1952,Cheri,13
MN,F,1952,Christina,13
MN,F,1952,Emily,13
MN,F,1952,Jeannette,13
MN,F,1952,Leanne,13
MN,F,1952,Lenore,13
MN,F,1952,Merry,13
MN,F,1952,Penelope,13
MN,F,1952,Arlys,12
MN,F,1952,Carrie,12
MN,F,1952,Celeste,12
MN,F,1952,Christy,12
MN,F,1952,Georgia,12
MN,F,1952,Kaye,12
MN,F,1952,Kristen,12
MN,F,1952,Leeann,12
MN,F,1952,Lorene,12
MN,F,1952,Nina,12
MN,F,1952,Priscilla,12
MN,F,1952,Roseann,12
MN,F,1952,Veronica,12
MN,F,1952,Cherie,11
MN,F,1952,Eleanor,11
MN,F,1952,Eunice,11
MN,F,1952,Jackie,11
