StateCode,Sex,YearOfBirth,Name,Number
MN,F,1970,Jillene,5
MN,F,1970,Jodell,5
MN,F,1970,Johanna,5
MN,F,1970,Jolie,5
MN,F,1970,Karina,5
MN,F,1970,Karmen,5
MN,F,1970,Kate,5
MN,F,1970,Kaye,5
MN,F,1970,Kayla,5
MN,F,1970,Launa,5
MN,F,1970,Lavonne,5
MN,F,1970,Lorraine,5
MN,F,1970,Lorri,5
MN,F,1970,Marit,5
MN,F,1970,Maryjo,5
MN,F,1970,Mia,5
MN,F,1970,Michael,5
MN,F,1970,Miriam,5
MN,F,1970,Nanette,5
MN,F,1970,Nora,5
MN,F,1970,Patrica,5
MN,F,1970,Patrice,5
MN,F,1970,Phyllis,5
MN,F,1970,Priscilla,5
MN,F,1970,Rebekah,5
MN,F,1970,Rhoda,5
MN,F,1970,Roseann,5
MN,F,1970,Rosemarie,5
MN,F,1970,Sandi,5
MN,F,1970,Shannan,5
MN,F,1970,Shannyn,5
MN,F,1970,Shantel,5
MN,F,1970,Sharie,5
MN,F,1970,Tamela,5
MN,F,1970,Tana,5
MN,F,1970,Tania,5
MN,F,1970,Tanja,5
MN,F,1970,Tessa,5
MN,F,1970,Vonda,5
MN,F,1971,Jennifer,1282
MN,F,1971,Amy,793
MN,F,1971,Michelle,734
MN,F,1971,Lisa,678
MN,F,1971,Julie,499
MN,F,1971,Kimberly,481
MN,F,1971,Melissa,475
MN,F,1971,Angela,440
MN,F,1971,Heather,383
MN,F,1971,Kelly,325
MN,F,1971,Shannon,305
MN,F,1971,Tammy,303
MN,F,1971,Lori,288
MN,F,1971,Rebecca,287
MN,F,1971,Christine,281
MN,F,1971,Susan,278
MN,F,1971,Nicole,272
MN,F,1971,Dawn,269
MN,F,1971,Heidi,267
MN,F,1971,Brenda,257
MN,F,1971,Laura,248
MN,F,1971,Sarah,248
MN,F,1971,Tracy,246
MN,F,1971,Mary,242
MN,F,1971,Stephanie,238
MN,F,1971,Jodi,237
MN,F,1971,Tina,229
MN,F,1971,Stacy,217
MN,F,1971,Jill,209
MN,F,1971,Wendy,204
MN,F,1971,Sara,198
MN,F,1971,Kristin,195
MN,F,1971,Elizabeth,194
MN,F,1971,Jessica,194
MN,F,1971,Kari,192
MN,F,1971,Karen,177
MN,F,1971,Andrea,176
MN,F,1971,Ann,176
MN,F,1971,Carrie,175
MN,F,1971,Pamela,166
MN,F,1971,Teresa,155
MN,F,1971,Tamara,153
MN,F,1971,Kristine,151
MN,F,1971,Denise,146
MN,F,1971,Debra,144
MN,F,1971,Rachel,144
MN,F,1971,Patricia,142
MN,F,1971,Sandra,138
MN,F,1971,Cynthia,133
MN,F,1971,Theresa,131
MN,F,1971,Nancy,130
MN,F,1971,Cheryl,129
MN,F,1971,Dana,128
MN,F,1971,Paula,128
MN,F,1971,Sheila,127
MN,F,1971,Tara,127
MN,F,1971,Barbara,120
MN,F,1971,Holly,120
MN,F,1971,Jody,116
MN,F,1971,Kathleen,115
MN,F,1971,Melanie,115
MN,F,1971,Christina,113
MN,F,1971,Stacey,113
MN,F,1971,Tanya,112
MN,F,1971,Michele,111
MN,F,1971,Deborah,110
MN,F,1971,Lynn,110
MN,F,1971,Katherine,107
MN,F,1971,Rhonda,105
MN,F,1971,Shelly,100
MN,F,1971,Anne,99
MN,F,1971,Beth,99
MN,F,1971,Laurie,98
MN,F,1971,Linda,98
MN,F,1971,Catherine,96
MN,F,1971,Erin,96
MN,F,1971,Kristi,96
MN,F,1971,Renee,95
MN,F,1971,Kristen,93
MN,F,1971,Gina,92
MN,F,1971,Kathryn,91
MN,F,1971,Colleen,89
MN,F,1971,Jacqueline,89
MN,F,1971,Tricia,88
MN,F,1971,Deanna,87
MN,F,1971,Robin,84
MN,F,1971,Cindy,82
MN,F,1971,Krista,82
MN,F,1971,Karla,81
MN,F,1971,Leslie,79
MN,F,1971,Suzanne,77
MN,F,1971,Jean,76
MN,F,1971,Diane,75
MN,F,1971,Becky,74
MN,F,1971,Jenny,69
MN,F,1971,Stacie,69
MN,F,1971,Shelley,66
MN,F,1971,Kristina,65
MN,F,1971,Margaret,65
MN,F,1971,Tiffany,64
MN,F,1971,Kim,63
MN,F,1971,Sherry,63
MN,F,1971,Tami,63
MN,F,1971,Maria,62
MN,F,1971,Melinda,61
MN,F,1971,Peggy,61
MN,F,1971,Gretchen,60
MN,F,1971,Leah,60
MN,F,1971,Monica,60
MN,F,1971,Sharon,60
MN,F,1971,Tonya,59
MN,F,1971,Annette,58
MN,F,1971,Molly,58
MN,F,1971,Traci,58
MN,F,1971,April,57
MN,F,1971,Kelli,57
MN,F,1971,Vicki,57
MN,F,1971,Donna,55
MN,F,1971,Terri,55
MN,F,1971,Tracey,55
MN,F,1971,Connie,54
MN,F,1971,Shawn,53
MN,F,1971,Janelle,52
MN,F,1971,Jane,51
MN,F,1971,Sherri,51
MN,F,1971,Kara,50
MN,F,1971,Valerie,50
MN,F,1971,Carla,49
MN,F,1971,Kathy,49
MN,F,1971,Joy,48
MN,F,1971,Victoria,48
MN,F,1971,Allison,47
MN,F,1971,Carol,47
MN,F,1971,Danielle,47
MN,F,1971,Kirsten,47
MN,F,1971,Jamie,46
MN,F,1971,Janet,46
MN,F,1971,Shari,46
MN,F,1971,Sheri,46
MN,F,1971,Christy,45
MN,F,1971,Erica,44
MN,F,1971,Bonnie,42
MN,F,1971,Diana,42
MN,F,1971,Rochelle,42
MN,F,1971,Anna,41
MN,F,1971,Natalie,41
MN,F,1971,Amanda,40
MN,F,1971,Anita,40
MN,F,1971,Darcy,40
MN,F,1971,Roberta,39
MN,F,1971,Toni,39
MN,F,1971,Kerry,38
MN,F,1971,Kristy,38
MN,F,1971,Nichole,38
MN,F,1971,Alison,37
MN,F,1971,Jeanne,37
MN,F,1971,Jodie,37
MN,F,1971,Lynette,37
MN,F,1971,Roxanne,37
MN,F,1971,Bridget,36
MN,F,1971,Karin,36
MN,F,1971,Megan,36
MN,F,1971,Emily,35
MN,F,1971,Amber,34
MN,F,1971,Gail,34
MN,F,1971,Rachelle,34
MN,F,1971,Cheri,33
MN,F,1971,Darla,33
MN,F,1971,Debbie,33
MN,F,1971,Katie,33
