StateCode,Sex,YearOfBirth,Name,Number
MN,F,2001,Sundus,5
MN,F,2001,Tamara,5
MN,F,2001,Tania,5
MN,F,2001,Virginia,5
MN,F,2001,Yessenia,5
MN,F,2001,Yoselin,5
MN,F,2002,Emma,505
MN,F,2002,Grace,488
MN,F,2002,Emily,442
MN,F,2002,Olivia,398
MN,F,2002,Abigail,395
MN,F,2002,Hannah,383
MN,F,2002,Madison,382
MN,F,2002,Anna,346
MN,F,2002,Elizabeth,310
MN,F,2002,Alexis,290
MN,F,2002,Megan,290
MN,F,2002,Lauren,284
MN,F,2002,Sophia,263
MN,F,2002,Ashley,250
MN,F,2002,Samantha,239
MN,F,2002,Morgan,235
MN,F,2002,Taylor,232
MN,F,2002,Isabella,223
MN,F,2002,Rachel,213
MN,F,2002,Sarah,209
MN,F,2002,Sydney,208
MN,F,2002,Hailey,204
MN,F,2002,Chloe,202
MN,F,2002,Paige,197
MN,F,2002,Julia,192
MN,F,2002,Madeline,189
MN,F,2002,Ella,167
MN,F,2002,Kayla,166
MN,F,2002,Alyssa,157
MN,F,2002,Brianna,149
MN,F,2002,Natalie,149
MN,F,2002,Allison,146
MN,F,2002,Kaitlyn,146
MN,F,2002,Mackenzie,143
MN,F,2002,Jenna,141
MN,F,2002,Jessica,141
MN,F,2002,Katherine,139
MN,F,2002,Isabelle,136
MN,F,2002,Haley,133
MN,F,2002,Brooke,131
MN,F,2002,Kylie,130
MN,F,2002,Lily,129
MN,F,2002,Alexandra,124
MN,F,2002,Ava,123
MN,F,2002,Claire,123
MN,F,2002,Katelyn,120
MN,F,2002,Jasmine,119
MN,F,2002,Kaylee,119
MN,F,2002,Victoria,117
MN,F,2002,Nicole,116
MN,F,2002,Isabel,111
MN,F,2002,Faith,108
MN,F,2002,Amanda,104
MN,F,2002,Erin,104
MN,F,2002,Jennifer,102
MN,F,2002,Maria,101
MN,F,2002,Zoe,99
MN,F,2002,Gabrielle,96
MN,F,2002,Jordan,96
MN,F,2002,Makayla,95
MN,F,2002,Sara,95
MN,F,2002,Kathryn,93
MN,F,2002,Ellie,92
MN,F,2002,Lillian,90
MN,F,2002,Madelyn,88
MN,F,2002,Lydia,87
MN,F,2002,Destiny,86
MN,F,2002,Bailey,85
MN,F,2002,Rebecca,85
MN,F,2002,Savannah,85
MN,F,2002,Molly,84
MN,F,2002,Amber,83
MN,F,2002,Amelia,82
MN,F,2002,Mary,82
MN,F,2002,Autumn,80
MN,F,2002,Annika,79
MN,F,2002,Laura,78
MN,F,2002,Shelby,78
MN,F,2002,Alexa,73
MN,F,2002,Courtney,73
MN,F,2002,Leah,72
MN,F,2002,Margaret,71
MN,F,2002,Maya,67
MN,F,2002,Sophie,67
MN,F,2002,Audrey,66
MN,F,2002,Sierra,66
MN,F,2002,Marissa,65
MN,F,2002,Mia,65
MN,F,2002,Mikayla,65
MN,F,2002,Riley,65
MN,F,2002,Stephanie,65
MN,F,2002,Mckenna,64
MN,F,2002,Mckenzie,64
MN,F,2002,Kelsey,63
MN,F,2002,Gabriella,62
MN,F,2002,Avery,61
MN,F,2002,Katie,61
MN,F,2002,Abby,60
MN,F,2002,Danielle,60
MN,F,2002,Cassandra,59
MN,F,2002,Lindsey,58
MN,F,2002,Michelle,57
MN,F,2002,Amy,56
MN,F,2002,Kendra,56
MN,F,2002,Andrea,55
MN,F,2002,Josephine,55
MN,F,2002,Aaliyah,53
MN,F,2002,Kylee,53
MN,F,2002,Mya,53
MN,F,2002,Arianna,52
MN,F,2002,Elise,52
MN,F,2002,Jada,52
MN,F,2002,Josie,52
MN,F,2002,Mariah,50
MN,F,2002,Angela,49
MN,F,2002,Jade,49
MN,F,2002,Kate,49
MN,F,2002,Meghan,49
MN,F,2002,Trinity,49
MN,F,2002,Payton,48
MN,F,2002,Carly,47
MN,F,2002,Greta,47
MN,F,2002,Caroline,46
MN,F,2002,Catherine,46
MN,F,2002,Lucy,46
MN,F,2002,Hope,45
MN,F,2002,Jocelyn,44
MN,F,2002,Makenna,44
MN,F,2002,Kelly,43
MN,F,2002,Alison,42
MN,F,2002,Clara,42
MN,F,2002,Peyton,42
MN,F,2002,Alicia,41
MN,F,2002,Caitlyn,41
MN,F,2002,Delaney,41
MN,F,2002,Eva,41
MN,F,2002,Jordyn,41
MN,F,2002,Angelina,40
MN,F,2002,Breanna,40
MN,F,2002,Cassidy,40
MN,F,2002,Eleanor,40
MN,F,2002,Evelyn,40
MN,F,2002,Naomi,40
MN,F,2002,Vanessa,40
MN,F,2002,Alexia,39
MN,F,2002,Ariana,39
MN,F,2002,Brooklyn,39
MN,F,2002,Christina,39
MN,F,2002,Melissa,39
MN,F,2002,Ana,38
MN,F,2002,Brenna,38
MN,F,2002,Jaden,38
MN,F,2002,Kennedy,38
MN,F,2002,Miranda,38
MN,F,2002,Bethany,37
MN,F,2002,Heather,37
MN,F,2002,Jamie,37
MN,F,2002,Maggie,37
MN,F,2002,Ruby,37
MN,F,2002,Sabrina,37
MN,F,2002,Caitlin,36
MN,F,2002,Gracie,36
MN,F,2002,Halle,36
MN,F,2002,Hanna,36
MN,F,2002,Kaitlin,36
MN,F,2002,Kimberly,36
MN,F,2002,Macy,36
MN,F,2002,Ellen,35
MN,F,2002,Sofia,35
MN,F,2002,Alayna,34
MN,F,2002,Holly,34
MN,F,2002,Jillian,34
MN,F,2002,Angel,33
MN,F,2002,Brittany,33
MN,F,2002,Erica,33
MN,F,2002,Jacqueline,33
MN,F,2002,Rylee,33
MN,F,2002,Callie,32
MN,F,2002,Kailey,32
MN,F,2002,Melanie,32
MN,F,2002,Michaela,32
MN,F,2002,Tessa,32
MN,F,2002,Anika,31
MN,F,2002,Cecilia,31
MN,F,2002,Cora,31
MN,F,2002,Elena,31
MN,F,2002,Kaia,31
MN,F,2002,Mara,31
MN,F,2002,Rose,31
MN,F,2002,Summer,31
MN,F,2002,Tori,31
MN,F,2002,Lindsay,30
MN,F,2002,Sadie,30
MN,F,2002,Serena,30
MN,F,2002,Annie,29
MN,F,2002,Sidney,29
MN,F,2002,Skylar,29
MN,F,2002,Kiara,28
MN,F,2002,Mallory,28
MN,F,2002,Addison,27
MN,F,2002,Annabelle,27
MN,F,2002,Anne,27
MN,F,2002,Ashlyn,27
MN,F,2002,Cheyenne,27
MN,F,2002,Clare,27
MN,F,2002,Erika,27
MN,F,2002,Katrina,27
MN,F,2002,Kyra,27
MN,F,2002,Nora,27
MN,F,2002,Allyson,26
MN,F,2002,April,26
MN,F,2002,Claudia,26
MN,F,2002,Haylee,26
MN,F,2002,Natasha,26
MN,F,2002,Nevaeh,26
MN,F,2002,Tiffany,26
MN,F,2002,Allie,25
MN,F,2002,Desiree,25
MN,F,2002,Gabriela,25
MN,F,2002,Heidi,25
MN,F,2002,Jayden,25
MN,F,2002,Kira,25
MN,F,2002,Alissa,24
MN,F,2002,Diana,24
MN,F,2002,Jasmin,24
MN,F,2002,Mercedes,24
MN,F,2002,Brynn,23
MN,F,2002,Elisabeth,23
MN,F,2002,Karen,23
MN,F,2002,Makenzie,23
MN,F,2002,Marie,23
MN,F,2002,Veronica,23
MN,F,2002,Alaina,22
MN,F,2002,Bianca,22
MN,F,2002,Camryn,22
MN,F,2002,Kyla,22
MN,F,2002,Leslie,22
MN,F,2002,Madalyn,22
MN,F,2002,Madeleine,22
MN,F,2002,Piper,22
MN,F,2002,Samira,22
MN,F,2002,Ariel,21
MN,F,2002,Charlotte,21
MN,F,2002,Jadyn,21
MN,F,2002,Liliana,21
MN,F,2002,Lilly,21
MN,F,2002,Madisyn,21
MN,F,2002,Maia,21
MN,F,2002,Marisa,21
MN,F,2002,Nina,21
MN,F,2002,Rebekah,21
MN,F,2002,Shannon,21
MN,F,2002,Abbigail,20
MN,F,2002,Alana,20
MN,F,2002,Aubrey,20
MN,F,2002,Bridget,20
MN,F,2002,Chelsea,20
MN,F,2002,Christine,20
MN,F,2002,Jane,20
MN,F,2002,Kristina,20
MN,F,2002,Lexi,20
MN,F,2002,Noelle,20
MN,F,2002,Rachael,20
MN,F,2002,Abbey,19
MN,F,2002,Alivia,19
MN,F,2002,Ashanti,19
MN,F,2002,Ashleigh,19
MN,F,2002,Aurora,19
MN,F,2002,Briana,19
MN,F,2002,Cecelia,19
MN,F,2002,Crystal,19
MN,F,2002,Cynthia,19
MN,F,2002,Eliza,19
MN,F,2002,Genevieve,19
MN,F,2002,Johanna,19
MN,F,2002,Kali,19
MN,F,2002,Kendall,19
MN,F,2002,Lauryn,19
MN,F,2002,Mckayla,19
MN,F,2002,Monica,19
MN,F,2002,Salma,19
MN,F,2002,Savanna,19
MN,F,2002,Tara,19
MN,F,2002,Teagan,19
MN,F,2002,Wendy,19
MN,F,2002,Adriana,18
MN,F,2002,Camille,18
MN,F,2002,Dana,18
MN,F,2002,Elaina,18
MN,F,2002,Elle,18
MN,F,2002,Kailee,18
MN,F,2002,Kristen,18
MN,F,2002,Kristin,18
MN,F,2002,Lacey,18
MN,F,2002,Nancy,18
MN,F,2002,Shayla,18
MN,F,2002,Adrianna,17
MN,F,2002,Aisha,17
MN,F,2002,Amara,17
MN,F,2002,Ann,17
MN,F,2002,Brenda,17
MN,F,2002,Carmen,17
MN,F,2002,Daniela,17
MN,F,2002,Eliana,17
MN,F,2002,Elsa,17
MN,F,2002,Georgia,17
MN,F,2002,Gretchen,17
MN,F,2002,Hailie,17
MN,F,2002,Hallie,17
MN,F,2002,Hayley,17
MN,F,2002,Juliana,17
MN,F,2002,Kathleen,17
MN,F,2002,Kiana,17
MN,F,2002,Lizbeth,17
MN,F,2002,Meredith,17
MN,F,2002,Natalia,17
MN,F,2002,Rylie,17
MN,F,2002,Selena,17
MN,F,2002,Tayler,17
MN,F,2002,Vivian,17
MN,F,2002,Aliyah,16
MN,F,2002,Amaya,16
MN,F,2002,Anastasia,16
MN,F,2002,Angelica,16
MN,F,2002,Ashlee,16
MN,F,2002,Dakota,16
MN,F,2002,Eve,16
MN,F,2002,Jayda,16
MN,F,2002,Justice,16
MN,F,2002,Kara,16
MN,F,2002,Karla,16
MN,F,2002,Katlyn,16
MN,F,2002,Linnea,16
MN,F,2002,Phoebe,16
MN,F,2002,Sage,16
MN,F,2002,Skyler,16
MN,F,2002,Stella,16
MN,F,2002,Adeline,15
MN,F,2002,Ally,15
MN,F,2002,Brittney,15
MN,F,2002,Esther,15
MN,F,2002,Helen,15
MN,F,2002,Kiera,15
MN,F,2002,Layla,15
MN,F,2002,Lisa,15
MN,F,2002,Precious,15
MN,F,2002,Reagan,15
MN,F,2002,Ruth,15
MN,F,2002,Talia,15
MN,F,2002,Tianna,15
MN,F,2002,Whitney,15
MN,F,2002,Yasmin,15
MN,F,2002,Alyson,14
MN,F,2002,Anisa,14
MN,F,2002,Anya,14
MN,F,2002,Bella,14
MN,F,2002,Bryanna,14
MN,F,2002,Cindy,14
MN,F,2002,Daisy,14
MN,F,2002,Frances,14
MN,F,2002,Gianna,14
MN,F,2002,Gina,14
MN,F,2002,Ingrid,14
MN,F,2002,Ivy,14
MN,F,2002,Jazmin,14
MN,F,2002,Joanna,14
MN,F,2002,Julianna,14
MN,F,2002,Julie,14
MN,F,2002,Kalli,14
MN,F,2002,Karissa,14
MN,F,2002,Kassandra,14
MN,F,2002,Melody,14
MN,F,2002,Nadia,14
MN,F,2002,Regan,14
MN,F,2002,Valerie,14
MN,F,2002,Anja,13
MN,F,2002,Carissa,13
MN,F,2002,Ciara,13
MN,F,2002,Eden,13
MN,F,2002,Fatima,13
MN,F,2002,Fiona,13
MN,F,2002,Francesca,13
MN,F,2002,Gwendolyn,13
MN,F,2002,Izabella,13
MN,F,2002,Karina,13
MN,F,2002,Kenzie,13
MN,F,2002,Kirsten,13
MN,F,2002,Lucia,13
MN,F,2002,Macie,13
MN,F,2002,Madyson,13
MN,F,2002,Malia,13
MN,F,2002,Maren,13
MN,F,2002,Sylvia,13
