StateCode,Sex,YearOfBirth,Name,Number
MN,M,1929,Clair,13
MN,M,1929,Dewayne,13
MN,M,1929,Harris,13
MN,M,1929,Jacob,13
MN,M,1929,Jay,13
MN,M,1929,Merton,13
MN,M,1929,Palmer,13
MN,M,1929,Ted,13
MN,M,1929,Wendell,13
MN,M,1929,Arlo,12
MN,M,1929,Hugh,12
MN,M,1929,Mervin,12
MN,M,1929,Arden,11
MN,M,1929,Ben,11
MN,M,1929,Benjamin,11
MN,M,1929,Lauren,11
MN,M,1929,Lavern,11
MN,M,1929,Marlyn,11
MN,M,1929,Neal,11
MN,M,1929,Samuel,11
MN,M,1929,Arne,10
MN,M,1929,Cyril,10
MN,M,1929,Ellsworth,10
MN,M,1929,Erling,10
MN,M,1929,Forrest,10
MN,M,1929,Merrill,10
MN,M,1929,Milan,10
MN,M,1929,Nick,10
MN,M,1929,Otto,10
MN,M,1929,Waldo,10
MN,M,1929,Adrian,9
MN,M,1929,Alden,9
MN,M,1929,Ambrose,9
MN,M,1929,Arvin,9
MN,M,1929,August,9
MN,M,1929,Daryl,9
MN,M,1929,Delmar,9
MN,M,1929,Grant,9
MN,M,1929,Mike,9
MN,M,1929,Perry,9
MN,M,1929,Quentin,9
MN,M,1929,Verne,9
MN,M,1929,Alois,8
MN,M,1929,Benedict,8
MN,M,1929,Carlton,8
MN,M,1929,Carol,8
MN,M,1929,Dallas,8
MN,M,1929,Dave,8
MN,M,1929,Duwayne,8
MN,M,1929,Dwain,8
MN,M,1929,Dwayne,8
MN,M,1929,Eddie,8
MN,M,1929,Eldred,8
MN,M,1929,Fredrick,8
MN,M,1929,Hugo,8
MN,M,1929,Jesse,8
MN,M,1929,Marshall,8
MN,M,1929,Mathew,8
MN,M,1929,Matt,8
MN,M,1929,Max,8
MN,M,1929,Orval,8
MN,M,1929,Roderick,8
MN,M,1929,Stewart,8
MN,M,1929,Alex,7
MN,M,1929,Bennie,7
MN,M,1929,Clemens,7
MN,M,1929,Darold,7
MN,M,1929,Donn,7
MN,M,1929,Donovan,7
MN,M,1929,Dudley,7
MN,M,1929,Dwaine,7
MN,M,1929,Elden,7
MN,M,1929,Elwood,7
