StateCode,Sex,YearOfBirth,Name,Number
MN,M,1957,Tommy,6
MN,M,1957,Troy,6
MN,M,1957,Wally,6
MN,M,1957,Ward,6
MN,M,1957,Adrian,5
MN,M,1957,Andre,5
MN,M,1957,Arden,5
MN,M,1957,Arlen,5
MN,M,1957,Bart,5
MN,M,1957,Barton,5
MN,M,1957,Bert,5
MN,M,1957,Bryce,5
MN,M,1957,Dallas,5
MN,M,1957,Dirk,5
MN,M,1957,Ed,5
MN,M,1957,Elmer,5
MN,M,1957,Felix,5
MN,M,1957,Franz,5
MN,M,1957,Harley,5
MN,M,1957,Jefferey,5
MN,M,1957,Johnny,5
MN,M,1957,Kimberly,5
MN,M,1957,Lauren,5
MN,M,1957,Laverne,5
MN,M,1957,Lindsey,5
MN,M,1957,Lorin,5
MN,M,1957,Luther,5
MN,M,1957,Lyman,5
MN,M,1957,Mario,5
MN,M,1957,Merrill,5
MN,M,1957,Michel,5
MN,M,1957,Monty,5
MN,M,1957,Nels,5
MN,M,1957,Noel,5
MN,M,1957,Orville,5
MN,M,1957,Randell,5
MN,M,1957,Reginald,5
MN,M,1957,Ricardo,5
MN,M,1957,Rob,5
MN,M,1957,Rolf,5
MN,M,1957,Royce,5
MN,M,1957,Russel,5
MN,M,1957,Ryan,5
MN,M,1957,Sherman,5
MN,M,1957,Timmothy,5
MN,M,1957,Toby,5
MN,M,1957,Vern,5
MN,M,1957,Willis,5
MN,M,1957,Wyatt,5
MN,M,1958,Michael,1782
MN,M,1958,David,1757
MN,M,1958,Mark,1670
MN,M,1958,James,1347
MN,M,1958,John,1330
MN,M,1958,Thomas,1233
MN,M,1958,Robert,1199
MN,M,1958,Steven,1076
MN,M,1958,Scott,1043
MN,M,1958,Richard,944
MN,M,1958,Timothy,931
MN,M,1958,Daniel,892
MN,M,1958,Jeffrey,860
MN,M,1958,Kevin,809
MN,M,1958,Paul,783
MN,M,1958,William,719
MN,M,1958,Brian,715
MN,M,1958,Gary,591
MN,M,1958,Gregory,548
MN,M,1958,Randy,490
MN,M,1958,Douglas,486
MN,M,1958,Ronald,484
MN,M,1958,Bruce,474
MN,M,1958,Joseph,462
MN,M,1958,Donald,454
MN,M,1958,Charles,379
MN,M,1958,Dale,371
MN,M,1958,Kenneth,359
MN,M,1958,Patrick,354
MN,M,1958,Dennis,324
MN,M,1958,Larry,324
MN,M,1958,Terry,323
MN,M,1958,Peter,321
MN,M,1958,Bradley,306
MN,M,1958,Craig,295
MN,M,1958,Mike,293
MN,M,1958,Todd,281
MN,M,1958,Dean,279
MN,M,1958,Keith,263
MN,M,1958,Stephen,254
MN,M,1958,Steve,253
MN,M,1958,Tim,233
MN,M,1958,Jeff,226
MN,M,1958,Roger,224
MN,M,1958,Alan,215
MN,M,1958,Jay,215
MN,M,1958,Jon,211
MN,M,1958,Tom,207
MN,M,1958,Wayne,206
MN,M,1958,Jerry,182
MN,M,1958,Gerald,173
MN,M,1958,Jeffery,167
MN,M,1958,Joel,166
MN,M,1958,Edward,164
MN,M,1958,Rick,164
MN,M,1958,Anthony,163
MN,M,1958,Jim,162
MN,M,1958,Ricky,158
MN,M,1958,Duane,157
MN,M,1958,Greg,157
MN,M,1958,Christopher,149
MN,M,1958,Curtis,140
MN,M,1958,Dan,140
MN,M,1958,Russell,140
MN,M,1958,Dave,135
MN,M,1958,George,131
MN,M,1958,Jerome,123
MN,M,1958,Randall,121
MN,M,1958,Rodney,121
MN,M,1958,Matthew,120
MN,M,1958,Bill,116
MN,M,1958,Raymond,115
MN,M,1958,Brad,111
MN,M,1958,Bryan,109
MN,M,1958,Eric,109
MN,M,1958,Lee,109
MN,M,1958,Lawrence,102
MN,M,1958,Danny,100
MN,M,1958,Kent,100
MN,M,1958,Allen,99
MN,M,1958,Kurt,99
MN,M,1958,Philip,99
MN,M,1958,Chris,91
MN,M,1958,Micheal,91
MN,M,1958,Martin,86
MN,M,1958,Frank,85
MN,M,1958,Tony,85
MN,M,1958,Andrew,84
MN,M,1958,Joe,83
MN,M,1958,Eugene,74
MN,M,1958,Glenn,74
MN,M,1958,Barry,71
MN,M,1958,Bob,71
MN,M,1958,Darrell,71
MN,M,1958,Gregg,71
MN,M,1958,Glen,70
MN,M,1958,Brett,68
MN,M,1958,Jack,67
