StateCode,Sex,YearOfBirth,Name,Number
MO,F,1927,Myrl,5
MO,F,1927,Nan,5
MO,F,1927,Nell,5
MO,F,1927,Neoma,5
MO,F,1927,Noma,5
MO,F,1927,Oma,5
MO,F,1927,Ramona,5
MO,F,1927,Rosaline,5
MO,F,1927,Sandra,5
MO,F,1927,Theodora,5
MO,F,1927,Tressie,5
MO,F,1927,Velta,5
MO,F,1927,Velva,5
MO,F,1927,Vergie,5
MO,F,1927,Winnifred,5
MO,F,1927,Zoe,5
MO,F,1928,Mary,2088
MO,F,1928,Betty,1641
MO,F,1928,Dorothy,1074
MO,F,1928,Helen,715
MO,F,1928,Virginia,509
MO,F,1928,Shirley,494
MO,F,1928,Ruth,485
MO,F,1928,Doris,475
MO,F,1928,Margaret,446
MO,F,1928,Norma,413
MO,F,1928,Mildred,360
MO,F,1928,Patricia,314
MO,F,1928,Anna,312
MO,F,1928,Martha,293
MO,F,1928,Wanda,288
MO,F,1928,Barbara,286
MO,F,1928,Frances,285
MO,F,1928,Lois,279
MO,F,1928,Jean,275
MO,F,1928,Wilma,269
MO,F,1928,Dolores,262
MO,F,1928,Evelyn,254
MO,F,1928,Alice,242
MO,F,1928,Rose,236
MO,F,1928,Marjorie,232
MO,F,1928,Ruby,229
MO,F,1928,Marie,198
MO,F,1928,Elizabeth,190
MO,F,1928,Bonnie,187
MO,F,1928,Gloria,182
MO,F,1928,Juanita,174
MO,F,1928,Geraldine,173
MO,F,1928,Thelma,168
MO,F,1928,Peggy,167
MO,F,1928,Edna,165
MO,F,1928,Hazel,156
MO,F,1928,Pauline,150
MO,F,1928,Joan,149
MO,F,1928,Joyce,149
MO,F,1928,Maxine,145
MO,F,1928,June,144
MO,F,1928,Marilyn,142
MO,F,1928,Marian,139
MO,F,1928,Velma,138
MO,F,1928,Audrey,135
MO,F,1928,Nancy,135
MO,F,1928,Catherine,134
MO,F,1928,Rosemary,132
MO,F,1928,Georgia,130
MO,F,1928,Lillian,126
MO,F,1928,Louise,125
MO,F,1928,Bernice,123
MO,F,1928,Gladys,123
MO,F,1928,Phyllis,121
MO,F,1928,Beverly,119
MO,F,1928,Lucille,117
MO,F,1928,Clara,116
MO,F,1928,Florence,116
MO,F,1928,Lorraine,115
MO,F,1928,Jane,113
MO,F,1928,Emma,112
MO,F,1928,Edith,108
MO,F,1928,Ethel,108
MO,F,1928,Opal,107
MO,F,1928,Alma,106
MO,F,1928,Irene,106
MO,F,1928,Jacqueline,106
MO,F,1928,Delores,104
MO,F,1928,Charlotte,102
MO,F,1928,Esther,99
MO,F,1928,Vera,98
MO,F,1928,Carol,97
MO,F,1928,Vivian,97
MO,F,1928,Laverne,95
MO,F,1928,Eleanor,93
MO,F,1928,Marcella,93
MO,F,1928,Eva,92
MO,F,1928,Patsy,91
MO,F,1928,Donna,89
MO,F,1928,Marion,88
MO,F,1928,Grace,87
MO,F,1928,Josephine,87
MO,F,1928,Margie,87
MO,F,1928,Loretta,86
MO,F,1928,Billie,85
MO,F,1928,Viola,83
MO,F,1928,Imogene,81
MO,F,1928,Laura,79
MO,F,1928,Roberta,79
MO,F,1928,Ella,77
MO,F,1928,Ellen,73
MO,F,1928,Erma,73
MO,F,1928,Katherine,72
MO,F,1928,Violet,72
MO,F,1928,Bertha,71
MO,F,1928,Kathleen,71
MO,F,1928,Kathryn,71
MO,F,1928,Elsie,70
MO,F,1928,Jessie,70
MO,F,1928,Sarah,70
MO,F,1928,Eileen,69
MO,F,1928,Nellie,69
MO,F,1928,Rita,68
MO,F,1928,Ida,67
MO,F,1928,Leona,66
MO,F,1928,Geneva,65
MO,F,1928,Ann,64
MO,F,1928,Jeanne,64
MO,F,1928,Bessie,63
MO,F,1928,Myrtle,62
MO,F,1928,Carolyn,60
MO,F,1928,Beatrice,59
MO,F,1928,Lena,58
MO,F,1928,Nadine,58
MO,F,1928,Theresa,58
MO,F,1928,Alberta,57
MO,F,1928,Melba,57
MO,F,1928,Pearl,57
MO,F,1928,Bettie,56
MO,F,1928,Beulah,56
MO,F,1928,Jo,56
MO,F,1928,Agnes,55
MO,F,1928,Fern,54
MO,F,1928,Minnie,54
MO,F,1928,Rosalie,53
MO,F,1928,Freda,52
MO,F,1928,Julia,52
MO,F,1928,Naomi,52
MO,F,1928,Stella,52
MO,F,1928,Genevieve,51
MO,F,1928,Jeanette,50
MO,F,1928,Irma,49
MO,F,1928,Lola,49
MO,F,1928,Mabel,49
MO,F,1928,Nina,49
MO,F,1928,Gertrude,48
MO,F,1928,Della,47
MO,F,1928,Verna,47
MO,F,1928,Dixie,43
MO,F,1928,Sylvia,42
MO,F,1928,Eula,41
MO,F,1928,Lorene,41
MO,F,1928,Rosa,41
MO,F,1928,Colleen,40
MO,F,1928,Goldie,40
MO,F,1928,Sally,39
MO,F,1928,Lillie,38
MO,F,1928,Bette,37
MO,F,1928,Christine,37
MO,F,1928,Lula,36
MO,F,1928,Mable,36
MO,F,1928,Ramona,36
MO,F,1928,Alta,35
MO,F,1928,Charlene,35
MO,F,1928,Jewell,35
MO,F,1928,Annie,34
MO,F,1928,Eunice,34
MO,F,1928,Janet,34
MO,F,1928,Lucy,34
MO,F,1928,Anita,33
MO,F,1928,Daisy,33
MO,F,1928,Etta,33
MO,F,1928,Joann,33
MO,F,1928,Lela,33
MO,F,1928,Deloris,32
MO,F,1928,Dora,32
MO,F,1928,Elaine,32
MO,F,1928,Joanne,32
MO,F,1928,Willa,32
MO,F,1928,Joy,31
MO,F,1928,Lila,31
MO,F,1928,Mae,31
MO,F,1928,Ada,30
MO,F,1928,Arlene,30
MO,F,1928,Harriet,30
MO,F,1928,Ina,30
MO,F,1928,Darlene,29
MO,F,1928,Flora,29
MO,F,1928,Iris,29
MO,F,1928,Willie,29
MO,F,1928,Nora,28
MO,F,1928,Olive,28
MO,F,1928,Rosie,28
MO,F,1928,Bernadine,27
MO,F,1928,Emily,27
MO,F,1928,Anne,26
MO,F,1928,Carrie,26
MO,F,1928,Cora,26
MO,F,1928,Faye,26
MO,F,1928,Letha,26
MO,F,1928,Ernestine,25
MO,F,1928,Patty,25
MO,F,1928,Wilda,25
MO,F,1928,Frieda,24
MO,F,1928,Hattie,24
MO,F,1928,Inez,24
MO,F,1928,Jennie,24
MO,F,1928,Lenora,24
MO,F,1928,Reba,24
MO,F,1928,Winifred,24
MO,F,1928,Zelma,24
MO,F,1928,Bobbie,23
MO,F,1928,Dorthy,23
MO,F,1928,Glenda,23
MO,F,1928,Marguerite,23
MO,F,1928,Sue,23
MO,F,1928,Arline,22
MO,F,1928,Berniece,22
MO,F,1928,Blanche,22
MO,F,1928,Fay,22
MO,F,1928,Henrietta,22
MO,F,1928,Mamie,22
MO,F,1928,Mattie,22
MO,F,1928,Nettie,22
MO,F,1928,Neva,22
MO,F,1928,Pat,22
MO,F,1928,Janice,21
MO,F,1928,Leola,21
MO,F,1928,Myra,21
MO,F,1928,Nola,21
MO,F,1928,Suzanne,21
MO,F,1928,Aileen,20
MO,F,1928,Dorris,20
MO,F,1928,Elnora,20
MO,F,1928,Jeannine,20
MO,F,1928,Ola,20
MO,F,1928,Susan,20
MO,F,1928,Teresa,20
MO,F,1928,Yvonne,20
MO,F,1928,Hilda,19
MO,F,1928,Lee,19
MO,F,1928,Reva,19
MO,F,1928,Rosemarie,19
MO,F,1928,Cleo,18
MO,F,1928,Emogene,18
MO,F,1928,Fannie,18
MO,F,1928,Iva,18
MO,F,1928,Rachel,18
MO,F,1928,Sadie,18
MO,F,1928,Annabelle,17
MO,F,1928,Clarice,17
MO,F,1928,Eloise,17
MO,F,1928,Elva,17
MO,F,1928,Frankie,17
MO,F,1928,Ila,17
MO,F,1928,Jaunita,17
MO,F,1928,Leota,17
MO,F,1928,Muriel,17
MO,F,1928,Oma,17
MO,F,1928,Dollie,16
MO,F,1928,Gwendolyn,16
MO,F,1928,Jerry,16
MO,F,1928,Jewel,16
MO,F,1928,Judith,16
MO,F,1928,Loraine,16
MO,F,1928,Madeline,16
MO,F,1928,Melva,16
MO,F,1928,Ora,16
MO,F,1928,Pansy,16
MO,F,1928,Rebecca,16
MO,F,1928,Virgie,16
MO,F,1928,Dolly,15
MO,F,1928,Dorothea,15
MO,F,1928,Glenna,15
MO,F,1928,Lora,15
MO,F,1928,Lorna,15
MO,F,1928,Lottie,15
MO,F,1928,Lou,15
MO,F,1928,Maggie,15
MO,F,1928,Marianne,15
MO,F,1928,Marietta,15
MO,F,1928,May,15
MO,F,1928,Ollie,15
MO,F,1928,Sara,15
MO,F,1928,Caroline,14
MO,F,1928,Charline,14
MO,F,1928,Claire,14
MO,F,1928,Constance,14
MO,F,1928,Estelle,14
MO,F,1928,Flossie,14
MO,F,1928,Luella,14
MO,F,1928,Lydia,14
MO,F,1928,Mona,14
MO,F,1928,Regina,14
MO,F,1928,Zella,14
MO,F,1928,Connie,13
MO,F,1928,Corinne,13
MO,F,1928,Dorotha,13
MO,F,1928,Dortha,13
MO,F,1928,Earline,13
MO,F,1928,Jacquelyn,13
MO,F,1928,Amy,12
MO,F,1928,Annette,12
MO,F,1928,Bettye,12
MO,F,1928,Celeste,12
MO,F,1928,Charmaine,12
MO,F,1928,James,12
MO,F,1928,Joanna,12
MO,F,1928,Johnnie,12
MO,F,1928,Lily,12
MO,F,1928,Maryann,12
