StateCode,Sex,YearOfBirth,Name,Number
MO,M,1923,Myron,9
MO,M,1923,Noble,9
MO,M,1923,Nolan,9
MO,M,1923,Reginald,9
MO,M,1923,Reuben,9
MO,M,1923,Rolla,9
MO,M,1923,Winford,9
MO,M,1923,Audrey,8
MO,M,1923,Burton,8
MO,M,1923,Carter,8
MO,M,1923,Christopher,8
MO,M,1923,Cornelius,8
MO,M,1923,Ed,8
MO,M,1923,Edmond,8
MO,M,1923,Elton,8
MO,M,1923,Elzie,8
MO,M,1923,Farris,8
MO,M,1923,Ferdinand,8
MO,M,1923,Fredrick,8
MO,M,1923,Gus,8
MO,M,1923,Irving,8
MO,M,1923,Lindell,8
MO,M,1923,Maynard,8
MO,M,1923,Neil,8
MO,M,1923,Olen,8
MO,M,1923,Preston,8
MO,M,1923,Rodney,8
MO,M,1923,Roosevelt,8
MO,M,1923,Salvatore,8
MO,M,1923,Sammie,8
MO,M,1923,Shelby,8
MO,M,1923,Thurman,8
MO,M,1923,Urban,8
MO,M,1923,Weldon,8
MO,M,1923,Wilber,8
MO,M,1923,Adrian,7
MO,M,1923,Arvel,7
MO,M,1923,Asa,7
MO,M,1923,Berry,7
MO,M,1923,Bud,7
MO,M,1923,Clark,7
MO,M,1923,Conrad,7
MO,M,1923,Delmer,7
MO,M,1923,Dudley,7
MO,M,1923,Estel,7
MO,M,1923,Granville,7
MO,M,1923,Hiram,7
MO,M,1923,Irwin,7
MO,M,1923,Joel,7
MO,M,1923,Lambert,7
MO,M,1923,Mac,7
MO,M,1923,Matthew,7
MO,M,1923,Nathaniel,7
MO,M,1923,Newton,7
MO,M,1923,Norval,7
MO,M,1923,Ora,7
MO,M,1923,Orval,7
MO,M,1923,Percy,7
MO,M,1923,Phil,7
MO,M,1923,Roman,7
MO,M,1923,Sammy,7
MO,M,1923,Silas,7
MO,M,1923,Stuart,7
MO,M,1923,Tommie,7
MO,M,1923,Val,7
MO,M,1923,Warner,7
MO,M,1923,Adam,6
MO,M,1923,Alphonse,6
MO,M,1923,Alton,6
MO,M,1923,Blaine,6
MO,M,1923,Bryan,6
MO,M,1923,Carol,6
MO,M,1923,Carrol,6
MO,M,1923,Clell,6
MO,M,1923,Clem,6
MO,M,1923,Dave,6
MO,M,1923,Dorris,6
MO,M,1923,Edmund,6
MO,M,1923,Elwyn,6
MO,M,1923,Emery,6
MO,M,1923,Freeman,6
MO,M,1923,Garrett,6
MO,M,1923,Glenwood,6
MO,M,1923,Hershal,6
MO,M,1923,Hobert,6
MO,M,1923,Houston,6
MO,M,1923,Jason,6
MO,M,1923,Lavern,6
MO,M,1923,Levi,6
MO,M,1923,Malcolm,6
MO,M,1923,Manuel,6
MO,M,1923,Murl,6
MO,M,1923,Murray,6
MO,M,1923,Ned,6
MO,M,1923,Olin,6
MO,M,1923,Randall,6
MO,M,1923,Riley,6
MO,M,1923,Rolland,6
MO,M,1923,Stewart,6
MO,M,1923,Vergil,6
MO,M,1923,Verl,6
MO,M,1923,Vern,6
MO,M,1923,Wiley,6
MO,M,1923,Will,6
MO,M,1923,Alex,5
MO,M,1923,Anton,5
MO,M,1923,Arley,5
MO,M,1923,Barney,5
MO,M,1923,Benny,5
MO,M,1923,Bernell,5
MO,M,1923,Beverly,5
MO,M,1923,Carlton,5
MO,M,1923,Chris,5
MO,M,1923,Claudie,5
MO,M,1923,Clemens,5
MO,M,1923,Clint,5
MO,M,1923,Coy,5
MO,M,1923,Darrel,5
MO,M,1923,Dee,5
MO,M,1923,Dewayne,5
MO,M,1923,Dick,5
MO,M,1923,Dillard,5
MO,M,1923,Dominic,5
MO,M,1923,Dominick,5
MO,M,1923,Donnie,5
MO,M,1923,Dorothy,5
MO,M,1923,Duane,5
MO,M,1923,Elliott,5
MO,M,1923,Elston,5
MO,M,1923,Emanuel,5
MO,M,1923,Emmit,5
MO,M,1923,Emory,5
MO,M,1923,Estle,5
MO,M,1923,Ezra,5
MO,M,1923,Farrell,5
MO,M,1923,Gayle,5
MO,M,1923,Gerard,5
MO,M,1923,Harris,5
MO,M,1923,Harrold,5
MO,M,1923,Hillard,5
MO,M,1923,Jose,5
MO,M,1923,Kelly,5
MO,M,1923,Leeroy,5
MO,M,1923,Loy,5
MO,M,1923,Micheal,5
MO,M,1923,Milburn,5
MO,M,1923,Millard,5
MO,M,1923,Murrel,5
MO,M,1923,Norris,5
MO,M,1923,Oral,5
MO,M,1923,Orvil,5
MO,M,1923,Raymon,5
MO,M,1923,Royce,5
MO,M,1923,Theadore,5
MO,M,1923,Theo,5
MO,M,1923,Verlin,5
MO,M,1923,Waldo,5
MO,M,1923,Webster,5
MO,M,1923,Winston,5
MO,M,1924,Robert,1789
MO,M,1924,William,1619
MO,M,1924,James,1534
MO,M,1924,John,1448
MO,M,1924,Charles,1181
MO,M,1924,George,730
MO,M,1924,Harold,591
MO,M,1924,Donald,557
MO,M,1924,Richard,524
MO,M,1924,Edward,499
MO,M,1924,Joseph,485
MO,M,1924,Paul,466
MO,M,1924,Kenneth,443
MO,M,1924,Raymond,416
MO,M,1924,Thomas,416
MO,M,1924,Jack,390
MO,M,1924,Eugene,341
MO,M,1924,Walter,334
MO,M,1924,Carl,308
MO,M,1924,Frank,303
MO,M,1924,Ralph,298
MO,M,1924,Clarence,295
MO,M,1924,Roy,293
MO,M,1924,Arthur,277
MO,M,1924,Earl,261
MO,M,1924,Harry,249
MO,M,1924,Henry,226
MO,M,1924,Billy,219
MO,M,1924,Albert,215
MO,M,1924,Melvin,204
MO,M,1924,David,203
MO,M,1924,Joe,197
MO,M,1924,Norman,197
MO,M,1924,Howard,192
MO,M,1924,Lawrence,190
MO,M,1924,Calvin,186
MO,M,1924,Elmer,186
MO,M,1924,Fred,181
MO,M,1924,Marvin,178
MO,M,1924,Louis,168
MO,M,1924,Leonard,166
MO,M,1924,Vernon,165
MO,M,1924,Russell,164
MO,M,1924,Lloyd,159
MO,M,1924,Floyd,157
MO,M,1924,Francis,145
MO,M,1924,Herbert,137
MO,M,1924,Leroy,134
MO,M,1924,Clifford,127
MO,M,1924,Clyde,127
MO,M,1924,Gerald,122
MO,M,1924,Leo,118
MO,M,1924,Bill,113
MO,M,1924,Ray,113
MO,M,1924,Glenn,111
MO,M,1924,Virgil,111
MO,M,1924,Cecil,106
MO,M,1924,Junior,106
MO,M,1924,Wayne,106
MO,M,1924,Edwin,105
MO,M,1924,Lester,105
MO,M,1924,Warren,104
MO,M,1924,Stanley,99
MO,M,1924,Marion,95
MO,M,1924,Samuel,94
MO,M,1924,Lee,93
MO,M,1924,Bernard,90
MO,M,1924,Ernest,89
MO,M,1924,Alfred,87
MO,M,1924,Gene,85
MO,M,1924,Glen,85
MO,M,1924,Victor,85
MO,M,1924,Alvin,83
MO,M,1924,Chester,83
MO,M,1924,Jesse,80
MO,M,1924,Theodore,80
MO,M,1924,Everett,79
MO,M,1924,Willard,79
MO,M,1924,Daniel,78
MO,M,1924,Edgar,78
MO,M,1924,Milton,78
MO,M,1924,Herman,77
MO,M,1924,Wallace,76
MO,M,1924,Harvey,75
MO,M,1924,Bob,69
MO,M,1924,Andrew,68
MO,M,1924,Homer,68
MO,M,1924,Hubert,68
MO,M,1924,Dale,67
MO,M,1924,Leon,66
MO,M,1924,Gilbert,65
MO,M,1924,Lewis,65
MO,M,1924,Delbert,63
MO,M,1924,Frederick,63
MO,M,1924,Claude,61
MO,M,1924,Oliver,61
MO,M,1924,Oscar,61
MO,M,1924,Leslie,60
MO,M,1924,Wilbur,60
MO,M,1924,Don,58
MO,M,1924,Orville,57
MO,M,1924,Allen,56
MO,M,1924,Anthony,56
MO,M,1924,Ivan,55
MO,M,1924,Maurice,55
MO,M,1924,Billie,53
MO,M,1924,Johnny,53
MO,M,1924,Wilbert,52
MO,M,1924,Willie,51
MO,M,1924,Bobby,49
MO,M,1924,Benjamin,48
MO,M,1924,Curtis,48
MO,M,1924,Roland,48
MO,M,1924,Vincent,48
MO,M,1924,Gordon,47
MO,M,1924,Sam,47
