StateCode,Sex,YearOfBirth,Name,Number
MO,M,1967,Perry,15
MO,M,1967,Daren,14
MO,M,1967,Frankie,14
MO,M,1967,Lorenzo,14
MO,M,1967,Robbie,14
MO,M,1967,Robin,14
MO,M,1967,Stewart,14
MO,M,1967,Trevor,14
MO,M,1967,Alex,13
MO,M,1967,Demetrius,13
MO,M,1967,Ervin,13
MO,M,1967,Francis,13
MO,M,1967,Justin,13
MO,M,1967,Lowell,13
MO,M,1967,Monte,13
MO,M,1967,Nathaniel,13
MO,M,1967,Roderick,13
MO,M,1967,Roland,13
MO,M,1967,Scotty,13
MO,M,1967,Toby,13
MO,M,1967,Trent,13
MO,M,1967,Willard,13
MO,M,1967,Alexander,12
MO,M,1967,Allan,12
MO,M,1967,Buddy,12
MO,M,1967,Chester,12
MO,M,1967,Devin,12
MO,M,1967,Edgar,12
MO,M,1967,Elmer,12
MO,M,1967,Jeffry,12
MO,M,1967,Loren,12
MO,M,1967,Pat,12
MO,M,1967,Preston,12
MO,M,1967,Cecil,11
MO,M,1967,Clark,11
MO,M,1967,Dallas,11
MO,M,1967,Ivan,11
MO,M,1967,Kelvin,11
MO,M,1967,Kendall,11
MO,M,1967,Mathew,11
MO,M,1967,Rusty,11
MO,M,1967,Sam,11
MO,M,1967,Shaun,11
MO,M,1967,Stephan,11
MO,M,1967,Tracey,11
MO,M,1967,Blake,10
MO,M,1967,Bradford,10
MO,M,1967,Brandon,10
MO,M,1967,Casey,10
MO,M,1967,Clifton,10
MO,M,1967,Doyle,10
MO,M,1967,Kim,10
MO,M,1967,Kraig,10
MO,M,1967,Marlon,10
MO,M,1967,Monty,10
MO,M,1967,Morris,10
MO,M,1967,Rodger,10
MO,M,1967,Sheldon,10
MO,M,1967,Thad,10
MO,M,1967,Tyler,10
MO,M,1967,Bennie,9
MO,M,1967,Billie,9
MO,M,1967,Boyd,9
MO,M,1967,Clayton,9
MO,M,1967,Deron,9
MO,M,1967,Drew,9
MO,M,1967,Ellis,9
MO,M,1967,Glennon,9
MO,M,1967,Hubert,9
MO,M,1967,Jacob,9
MO,M,1967,Jared,9
MO,M,1967,Lyle,9
MO,M,1967,Myron,9
MO,M,1967,Rob,9
MO,M,1967,Rocky,9
MO,M,1967,Scot,9
MO,M,1967,Scottie,9
MO,M,1967,Sherman,9
MO,M,1967,Terrell,9
MO,M,1967,Vince,9
MO,M,1967,Alphonso,8
MO,M,1967,Angelo,8
MO,M,1967,Anton,8
MO,M,1967,August,8
MO,M,1967,Ben,8
MO,M,1967,Benny,8
MO,M,1967,Colin,8
MO,M,1967,Cory,8
MO,M,1967,Darnell,8
MO,M,1967,Denis,8
MO,M,1967,Donnell,8
MO,M,1967,Gerard,8
MO,M,1967,Homer,8
MO,M,1967,Hugh,8
MO,M,1967,Jerald,8
MO,M,1967,Juan,8
MO,M,1967,Kenton,8
MO,M,1967,Leland,8
MO,M,1967,Noah,8
MO,M,1967,Ricardo,8
MO,M,1967,Rickie,8
MO,M,1967,Roosevelt,8
MO,M,1967,Sidney,8
MO,M,1967,Wallace,8
MO,M,1967,Wilbert,8
MO,M,1967,Alonzo,7
MO,M,1967,Archie,7
MO,M,1967,Arnold,7
MO,M,1967,Carlton,7
MO,M,1967,Corey,7
MO,M,1967,Cortez,7
MO,M,1967,Dion,7
MO,M,1967,Edmond,7
MO,M,1967,Evan,7
MO,M,1967,Gale,7
MO,M,1967,Jose,7
MO,M,1967,Joshua,7
MO,M,1967,Julius,7
MO,M,1967,Mario,7
MO,M,1967,Marion,7
MO,M,1967,Max,7
MO,M,1967,Oliver,7
MO,M,1967,Oscar,7
MO,M,1967,Owen,7
MO,M,1967,Phil,7
MO,M,1967,Royce,7
MO,M,1967,Sammie,7
